s_129	G_20	s_163	s_133	s_252	s_201	s_245	s_228	s_142	s_158	G_18	s_205	s_172	s_222	s_145	s_248	s_226	s_231	G_31	s_168	G_22	s_215	s_138	s_199	s_240	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_237	s_196	s_183	s_164	s_178	G_2	s_213	G_27	s_136	s_246	G_14	s_241	G_10	s_182	s_156	G_5	s_144	G_16	s_239	s_243	s_220	s_203	s_250	s_187	G_25	s_184	s_154	G_21	s_131	s_124	s_159	s_254	s_233	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	G_12	s_218	G_4	s_202	s_253	s_225	s_167	s_132	s_127	s_212	s_227	s_214	s_134	s_148	s_198	s_249	s_191	s_162	s_185	G_32	s_171	s_149	s_143	s_197	s_236	s_179	G_36	G_34	s_152	s_137	s_244	G_23	s_169	s_247	s_177	s_223	s_146	s_140	G_7	s_147	s_230	s_207	s_180	G_8	s_234	G_35	s_170	s_242	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_217	s_251	s_130	s_175	s_255	s_141	G_6	G_30	G_29	s_173	s_235	G_3	s_206	s_210	s_232	s_157	s_190	s_186	G_24	s_161	s_238	G_13
s_208 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000383 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000137 0.10000000 0.10000000 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000273 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000219 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_219 0.00000794 0.10000000 0.00005390 0.10000000 0.10000000 0.10000000 0.00000790 0.10000000 0.00000684 0.00001113 0.10000000 0.10000000 0.00000956 0.00001062 0.00000846 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005556 0.10000000 0.10000000 0.10000000 0 0.10000000 0.00000716 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000685 0.10000000 0.10000000 0.10000000 0.10000000 0.00001114 0.10000000 0.00000422 0.10000000 0.10000000 0.10000000 0.00000557 0.10000000 0.10000000 0.10000000 0.10000000 0.00000505 0.00001114 0.10000000 0.00001005 0.00000526 0.00000967 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000452 0.10000000 0.00000929 0.10000000 0.10000000 0.00000237 0.00005613 0.00000770 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000713 0.10000000 0.10000000 0.10000000 0.10000000 0.00000869 0.10000000 0.10000000 0.10000000 0.00005389 0.00000743 0.10000000 0.00001265 0.10000000 0.00000738 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000771 0.10000000 0.10000000 0.10000000 0.10000000 0.00000685 0.10000000 0.00000743 0.00000316 0.00000608 0.10000000 0.00000714 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000369 0.10000000 0.10000000 0.00000397 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000769 0.10000000 0.10000000 0.00000741 0.00000770 0.10000000 0.00000448 0.10000000 0.10000000 0.10000000 0.00000903 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000642 0.10000000 0.10000000 0.10000000 0.00005659 0.10000000 0.10000000
s_181 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000619 0.10000000 0.00000744 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_151 0.00000878 0.10000000 0.00006668 0.10000000 0.10000000 0.10000000 0.00000795 0.10000000 0.00000584 0.00000762 0.10000000 0.10000000 0.00000920 0.00000581 0.00000718 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00006841 0.10000000 0.10000000 0.10000000 0.00000716 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000689 0.10000000 0.10000000 0.10000000 0.10000000 0.00000421 0.10000000 0.00000557 0.10000000 0.10000000 0.10000000 0.00000641 0.10000000 0.10000000 0.10000000 0.10000000 0.00000683 0.00000867 0.10000000 0.00000639 0.00000610 0.00000585 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000777 0.10000000 0.00000487 0.10000000 0.10000000 0.00000372 0.00006521 0.00000473 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000665 0.10000000 0.10000000 0.10000000 0.10000000 0.00000874 0.10000000 0.10000000 0.10000000 0.00006643 0.00000342 0.10000000 0.00000389 0.10000000 0.00000637 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000583 0.10000000 0.10000000 0.10000000 0.10000000 0.00000902 0.10000000 0.00000552 0.00000689 0.00000773 0.10000000 0.00000957 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000504 0.10000000 0.10000000 0.00000773 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000394 0.10000000 0.10000000 0.00000612 0.00000736 0.10000000 0.00000928 0.10000000 0.10000000 0.10000000 0.00000814 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000742 0.10000000 0.10000000 0.10000000 0.00006804 0.10000000 0.10000000
s_237 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000949 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000979 0.10000000 0.10000000 0.00000474 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000343 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_196 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000027 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000243 0.00000054 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_183 0.10000000 0.00108378 0.10000000 0.10000000 0.10000000 0.00000522 0.10000000 0.00000339 0.10000000 0.10000000 0.00008226 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007328 0.00000287 0.00009598 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007254 0.00000786 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0 0.00000809 0.00000365 0.00096229 0.00000679 0.00007282 0.10000000 0.10000000 0.00010906 0.10000000 0.10000000 0.10000000 0.10000000 0.00007301 0.10000000 0.00010848 0.10000000 0.10000000 0.10000000 0.10000000 0.00000627 0.10000000 0.00008227 0.10000000 0.10000000 0.00011477 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00006981 0.00000653 0.10000000 0.00009157 0.10000000 0.00007968 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00008354 0.00007460 0.10000000 0.00008412 0.00000705 0.10000000 0.00000757 0.00000261 0.10000000 0.10000000 0.00000626 0.00000888 0.00000470 0.10000000 0.10000000 0.10000000 0.10000000 0.00000574 0.10000000 0.10000000 0.00010465 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00014227 0.00007812 0.10000000 0.10000000 0.10000000 0.00006772 0.00000365 0.10000000 0.00000600 0.10000000 0.10000000 0.10000000 0.00007092 0.10000000 0.00004707 0.10000000 0.10000000 0.00006963 0.10000000 0.00011020 0.00000313 0.10000000 0.00001019 0.00102261 0.10000000 0.00007651 0.00097759 0.10000000 0.10000000 0.00009062 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007438 0.00007177 0.00009231 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000470 0.10000000 0.00000574 0.00000600 0.00007756 0.10000000 0.00000372 0.00006927
s_164 0.10000000 0.00108474 0.10000000 0.10000000 0.10000000 0.00001044 0.10000000 0.00001095 0.10000000 0.10000000 0.00008617 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007534 0.00000939 0.00009812 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007642 0.00000983 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000809 0 0.00000730 0.00096470 0.00000756 0.00007331 0.10000000 0.10000000 0.00011135 0.10000000 0.10000000 0.10000000 0.10000000 0.00007562 0.10000000 0.00011027 0.10000000 0.10000000 0.10000000 0.10000000 0.00000670 0.10000000 0.00008426 0.10000000 0.10000000 0.00011622 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007063 0.00000335 0.10000000 0.00009507 0.10000000 0.00008174 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00008692 0.00007811 0.10000000 0.00008618 0.00000991 0.10000000 0.00000283 0.00001018 0.10000000 0.10000000 0.00000860 0.00000386 0.00000731 0.10000000 0.10000000 0.10000000 0.10000000 0.00000783 0.10000000 0.10000000 0.00010775 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00014362 0.00008287 0.10000000 0.10000000 0.10000000 0.00007165 0.00000862 0.10000000 0.00000887 0.10000000 0.10000000 0.10000000 0.00007218 0.10000000 0.00004164 0.10000000 0.10000000 0.00007275 0.10000000 0.00011156 0.00000809 0.10000000 0.00000541 0.00102183 0.10000000 0.00007751 0.00097807 0.10000000 0.10000000 0.00009347 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007704 0.00007409 0.00009672 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000783 0.10000000 0.00000861 0.00000783 0.00007936 0.10000000 0.00000611 0.00007029
s_178 0.10000000 0.00108049 0.10000000 0.10000000 0.10000000 0.00000157 0.10000000 0.00000573 0.10000000 0.10000000 0.00008347 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007369 0.00000547 0.00009644 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007270 0.00000707 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000365 0.00000730 0 0.00096600 0.00000313 0.00007349 0.10000000 0.10000000 0.00010942 0.10000000 0.10000000 0.10000000 0.10000000 0.00007420 0.10000000 0.00010805 0.10000000 0.10000000 0.10000000 0.10000000 0.00000784 0.10000000 0.00008374 0.10000000 0.10000000 0.00011692 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00006924 0.00000836 0.10000000 0.00009146 0.10000000 0.00008168 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00008446 0.00007687 0.10000000 0.00008403 0.00000391 0.10000000 0.00000627 0.00000496 0.10000000 0.10000000 0.00000339 0.00000784 0.00000209 0.10000000 0.10000000 0.10000000 0.10000000 0.00000104 0.10000000 0.10000000 0.00010425 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00014287 0.00007880 0.10000000 0.10000000 0.10000000 0.00006948 0.00000574 0.10000000 0.00000287 0.10000000 0.10000000 0.10000000 0.00007290 0.10000000 0.00004862 0.10000000 0.10000000 0.00006979 0.10000000 0.00011190 0.00000704 0.10000000 0.00000862 0.00102150 0.10000000 0.00007587 0.00097631 0.10000000 0.10000000 0.00009023 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007479 0.00007192 0.00009346 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000183 0.10000000 0.00000208 0.00000078 0.00007847 0.10000000 0.00000159 0.00007022
G_2 0.10000000 0.00194324 0.10000000 0.10000000 0.10000000 0.00096424 0.10000000 0.00096486 0.10000000 0.10000000 0.00099252 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00097644 0.00096180 0.00100068 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00098094 0.00097019 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00096229 0.00096470 0.00096600 0 0.00096361 0.00098228 0.10000000 0.10000000 0.00102419 0.10000000 0.10000000 0.10000000 0.10000000 0.00097748 0.10000000 0.00101528 0.10000000 0.10000000 0.10000000 0.10000000 0.00096610 0.10000000 0.00098445 0.10000000 0.10000000 0.00102426 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00097078 0.00096498 0.10000000 0.00101137 0.10000000 0.00098546 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00099146 0.00098603 0.10000000 0.00098256 0.00096630 0.10000000 0.00096522 0.00096602 0.10000000 0.10000000 0.00096506 0.00096567 0.00096508 0.10000000 0.10000000 0.10000000 0.10000000 0.00096303 0.10000000 0.10000000 0.00101223 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00103112 0.00097111 0.10000000 0.10000000 0.10000000 0.00097045 0.00096336 0.10000000 0.00096311 0.10000000 0.10000000 0.10000000 0.00098080 0.10000000 0.00105011 0.10000000 0.10000000 0.00098593 0.10000000 0.00101290 0.00096690 0.10000000 0.00096658 0.00012636 0.10000000 0.00098633 0.00008070 0.10000000 0.10000000 0.00100225 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00097967 0.00097491 0.00100236 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00096121 0.10000000 0.00096706 0.00096591 0.00100202 0.10000000 0.00097782 0.00096934
s_213 0.10000000 0.00108535 0.10000000 0.10000000 0.10000000 0.00000339 0.10000000 0.00000625 0.10000000 0.10000000 0.00008321 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007421 0.00000600 0.00009537 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007425 0.00000891 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000679 0.00000756 0.00000313 0.00096361 0 0.00007008 0.10000000 0.10000000 0.00011017 0.10000000 0.10000000 0.10000000 0.10000000 0.00007449 0.10000000 0.00010750 0.10000000 0.10000000 0.10000000 0.10000000 0.00000862 0.10000000 0.00008137 0.10000000 0.10000000 0.00011558 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00006976 0.00000653 0.10000000 0.00009249 0.10000000 0.00008271 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00008551 0.00007475 0.10000000 0.00008504 0.00000287 0.10000000 0.00000757 0.00000548 0.10000000 0.10000000 0.00000234 0.00000705 0.00000235 0.10000000 0.10000000 0.10000000 0.10000000 0.00000261 0.10000000 0.10000000 0.00010555 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00014289 0.00008119 0.10000000 0.10000000 0.10000000 0.00006973 0.00000548 0.10000000 0.00000208 0.10000000 0.10000000 0.10000000 0.00007105 0.10000000 0.00004757 0.10000000 0.10000000 0.00007098 0.10000000 0.00011034 0.00000652 0.10000000 0.00000862 0.00102442 0.10000000 0.00007507 0.00097608 0.10000000 0.10000000 0.00009258 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007374 0.00007428 0.00009505 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000157 0.10000000 0.00000182 0.00000235 0.00007743 0.10000000 0.00000239 0.00006943
G_27 0.10000000 0.00105760 0.10000000 0.10000000 0.10000000 0.00007409 0.10000000 0.00007268 0.10000000 0.10000000 0.00006614 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005228 0.00007300 0.00007899 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005171 0.00007793 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007282 0.00007331 0.00007349 0.00098228 0.00007008 0 0.10000000 0.10000000 0.00009108 0.10000000 0.10000000 0.10000000 0.10000000 0.00005123 0.10000000 0.00009100 0.10000000 0.10000000 0.10000000 0.10000000 0.00007450 0.10000000 0.00006953 0.10000000 0.10000000 0.00009283 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005298 0.00007419 0.10000000 0.00006992 0.10000000 0.00005797 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00006487 0.00005360 0.10000000 0.00006189 0.00007373 0.10000000 0.00007526 0.00007281 0.10000000 0.10000000 0.00007215 0.00007525 0.00007374 0.10000000 0.10000000 0.10000000 0.10000000 0.00007170 0.10000000 0.10000000 0.00008620 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00012217 0.00005989 0.10000000 0.10000000 0.10000000 0.00004758 0.00007333 0.10000000 0.00007218 0.10000000 0.10000000 0.10000000 0.00005101 0.10000000 0.00011462 0.10000000 0.10000000 0.00004968 0.10000000 0.00009794 0.00007356 0.10000000 0.00007523 0.00104761 0.10000000 0.00004983 0.00099879 0.10000000 0.10000000 0.00007189 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00005389 0.00005152 0.00007577 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00007304 0.10000000 0.00007271 0.00007249 0.00005888 0.10000000 0.00007456 0.00004448
s_136 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000155 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000239 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000106 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_246 0.00000847 0.10000000 0.00005251 0.10000000 0.10000000 0.10000000 0.00000316 0.10000000 0.00000711 0.00001194 0.10000000 0.10000000 0.00000690 0.00000929 0.00000714 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00004821 0.10000000 0.10000000 0.10000000 0.00000685 0.10000000 0.00000689 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.00000796 0.10000000 0.00000422 0.10000000 0.10000000 0.10000000 0.00000398 0.10000000 0.10000000 0.10000000 0.10000000 0.00000876 0.00000901 0.10000000 0.00000767 0.00000395 0.00000780 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000638 0.10000000 0.00000710 0.10000000 0.10000000 0.00000185 0.00005444 0.00000584 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000185 0.10000000 0.10000000 0.10000000 0.10000000 0.00000869 0.10000000 0.10000000 0.10000000 0.00004954 0.00000956 0.10000000 0.00000815 0.10000000 0.00000738 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000372 0.10000000 0.10000000 0.10000000 0.10000000 0.00000395 0.10000000 0.00000716 0.00000579 0.00000635 0.10000000 0.00000792 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000579 0.10000000 0.10000000 0.00000661 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000716 0.10000000 0.10000000 0.00000952 0.00000637 0.10000000 0.00000579 0.10000000 0.10000000 0.10000000 0.00000663 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00000775 0.10000000 0.10000000 0.10000000 0.00005008 0.10000000 0.10000000
