s_2377	s_2405	F_28	s_2393	F_47	F_17	F_12	s_2384	F_53	F_35	s_2373	F_51	s_2382	F_58	F_13	s_2370	F_37	s_2366	s_2414	s_2399	s_2368	F_39	s_2344	s_2371	F_44	s_2408	s_2401	s_2364	F_64	F_31	s_2387	F_61	G_2	s_2367	F_26	F_19	s_2390	F_21	s_2337	s_2360	G_5	s_2396	F_32	s_2391	s_2349	s_2336	F_56	s_2410	F_59	s_2412	F_41	s_2379	F_27	F_54	F_15	s_2340	s_2356	F_45	s_2361	s_2389	s_2335	F_24	s_2345	s_2397	s_2354	G_9	s_2403	G_4	s_2369	F_52	F_34	s_2363	F_25	F_11	F_18	F_62	s_2404	s_2378	F_43	F_29	s_2347	s_2409	F_42	F_40	s_2406	F_14	F_60	s_2353	F_48	F_20	s_2376	F_23	F_57	s_2343	s_2372	s_2388	s_2386	s_2400	F_36	F_66	F_38	G_7	s_2385	s_2338	s_2380	F_55	s_2398	s_2413	F_67	F_46	F_65	s_2350	G_8	s_2362	s_2381	F_63	s_2395	F_16	G_1	s_2355	F_22	s_2407	s_2415	G_6	F_30	s_2392	s_2411	s_2374	s_2348	s_2394	G_3	s_2351	s_2402	F_33	F_50	s_2383	F_49	s_2359	s_2365	s_2346
s_2390 0.00002267 0.01480029 0.00018451 0.01481722 0.00011246 0.00011271 0.01383041 0.01440821 0.01384580 0.00063109 0.01331611 0.00039374 0.00001960 0.01460249 0.01400820 0.00000557 0.01417646 0.00000581 0.01337636 0.01481509 0.00000677 0.00016835 0.01468229 0.00002057 0.07517254 0.01508013 0.01481219 0.01319373 0.15238883 0.01403427 0.00000311 0.00018646 0.01489192 0.00000580 0.01451961 0.00019867 0 0.00055103 0.00000315 0.00002301 0.00036798 0.01481192 0.01373882 0.00000048 0.00028663 0.00002323 0.01461612 0.00000216 0.00000724 0.01490762 0.00009192 0.01512301 0.00016716 0.01406612 0.01488664 0.01296998 0.01337620 0.01402203 0.01321603 0.00000144 0.08314821 0.01496282 0.01512044 0.01491139 0.01333135 0.00033099 0.01478070 0.00020668 0.00005696 0.01443546 0.01406357 0.01369522 0.00020754 0.01489787 0.00006030 0.16114790 0.01477537 0.07953840 0.00038517 0.01410071 0.01479040 0.01479273 0.01372365 0.01394892 0.01497241 0.00019145 0.07516964 0.01335515 0.01403113 0.01455494 0.01478943 0.00020791 0.01491679 0.01493700 0.01419786 0.00001920 0.00002761 0.01481057 0.00016731 0.00018737 0.01432426 0.00031710 0.00002155 0.01500604 0.07839862 0.00054504 0.01490751 0.01481649 0.00032162 0.00018743 0.01566871 0.00031374 0.01450279 0.01332300 0.00002055 0.00039549 0.01492358 0.00018768 0.01527480 0.01333393 0.00032407 0.01477056 0.00035585 0.00032661 0.01387648 0.00001774 0.00005136 0.01341003 0.00000242 0.01501650 0.01468760 0.05606114 0.01480490 0.01384499 0.15193864 0.00001912 0.00002440 0.00000484 0.01331751 0.01399356
F_21 0.00053290 0.01462599 0.00002300 0.01430544 0.00039619 0.00039754 0.01383685 0.01433524 0.01385023 0.00007480 0.01275633 0.00144339 0.00052660 0.01532657 0.01398674 0.00053288 0.01419342 0.00053496 0.01281658 0.01461651 0.00051461 0.00035479 0.01462454 0.00054353 0.07516593 0.01481258 0.01461300 0.01282406 0.15221376 0.01406209 0.00052869 0.00002302 0.01402913 0.00053527 0.01455926 0.00100989 0.00055103 0 0.00053046 0.00050980 0.00138909 0.01453456 0.01373909 0.00054971 0.00051327 0.00053185 0.01511838 0.00053517 0.00050771 0.01487927 0.00101973 0.01511480 0.00035202 0.01409284 0.01431007 0.01355440 0.01301966 0.01405910 0.01395327 0.00055024 0.08031785 0.01422421 0.01509117 0.01493552 0.01282533 0.00135148 0.01478519 0.00100567 0.00045745 0.01452240 0.01378409 0.01295070 0.00106377 0.01430274 0.00035947 0.16114790 0.01467382 0.07609278 0.00002346 0.01411883 0.01478179 0.01461681 0.01381611 0.01394711 0.01484209 0.00002507 0.07515103 0.01395382 0.01404440 0.01504964 0.01478054 0.00105858 0.01480388 0.01492091 0.01465411 0.00052804 0.00052667 0.01461028 0.00100751 0.00002304 0.01439216 0.00124584 0.00052121 0.01514901 0.07535714 0.00001209 0.01478489 0.01464211 0.00136838 0.00002324 0.01683970 0.00048059 0.01402746 0.01285169 0.00052229 0.00000263 0.01476924 0.00002407 0.01462002 0.01286185 0.00137122 0.01478476 0.00008141 0.00135628 0.01383059 0.00054917 0.00053424 0.01261346 0.00051650 0.01480178 0.01410102 0.05309483 0.01453744 0.01384921 0.15192313 0.00054467 0.00052790 0.00053337 0.01309443 0.01400290
s_2337 0.00000535 0.01451244 0.00018205 0.01448457 0.00004716 0.00004741 0.01386894 0.01433012 0.01388451 0.00061253 0.01355267 0.00038410 0.00001907 0.01461013 0.01402555 0.00000579 0.01419151 0.00000603 0.01346448 0.01451218 0.00000314 0.00016676 0.01458545 0.00002101 0.07536546 0.01477566 0.01451164 0.01331762 0.15272617 0.01407651 0.00000363 0.00018546 0.01449826 0.00000580 0.01454910 0.00019531 0.00000315 0.00053046 0 0.00000556 0.00035873 0.01451217 0.01377900 0.00000363 0.00000700 0.00000628 0.01460133 0.00000412 0.00000627 0.01461875 0.00005717 0.01478795 0.00016655 0.01409878 0.01491819 0.01271886 0.01353631 0.01407575 0.01316627 0.00000435 0.08325353 0.01493589 0.01476343 0.01461323 0.01349273 0.00031779 0.01448852 0.00020437 0.00005967 0.01445782 0.01378535 0.01397378 0.00020449 0.01492908 0.00001440 1.00000000 0.01450430 0.07965708 0.00036943 0.01422929 0.01448185 0.01450131 0.01385025 0.01392813 0.01467242 0.00018868 0.07536569 0.01322453 0.01406982 0.01435368 0.01448130 0.00020444 0.01460909 0.01460143 0.01433937 0.00000412 0.00002465 0.01451191 0.00016289 0.00017996 0.01434269 0.00030955 0.00001960 0.01503360 0.08204695 0.00052699 0.01460862 0.01451746 0.00031187 0.00018522 0.01569595 0.00004836 0.01451658 0.01339875 0.00001957 0.00037659 0.01463004 0.00018620 0.01521893 0.01348551 0.00031319 0.01447738 0.00033806 0.00031853 0.01390455 0.00000315 0.00003755 0.01358324 0.00000266 0.01462484 0.01463853 0.06249731 0.01451191 0.01388448 0.15243478 0.00001931 0.00001907 0.00000459 0.01356298 0.01462590
s_2360 0.00000170 0.01471621 0.00018315 0.01468859 0.00001465 0.00001466 0.01385976 0.01452062 0.01387453 0.00059601 0.01340296 0.00037850 0.00002005 0.01460956 0.01399365 0.00000121 0.01420711 0.00000121 0.01338378 0.01471621 0.00000459 0.00016895 0.01455788 0.00002247 0.07532912 0.01490571 0.01471567 0.01310658 0.15280738 0.01410646 0.00000606 0.00018655 0.01452761 0.00001642 0.01453220 0.00021279 0.00002301 0.00050980 0.00000556 0 0.00035063 0.01471593 0.01376875 0.00000606 0.00000699 0.00000676 0.01461286 0.00000509 0.00000773 0.01482283 0.00004521 0.01499784 0.00016801 0.01410091 0.01490504 0.01271977 0.01338092 0.01409486 0.01321336 0.00000533 0.08326524 0.01491192 0.01500175 0.01481654 0.01333639 0.00031514 0.01469227 0.00020538 0.00005919 0.01444152 0.01381116 0.01387856 0.00020573 0.01487736 0.00001537 1.00000000 0.01470805 0.07966232 0.00034694 0.01415420 0.01466641 0.01470561 0.01384059 0.01393916 0.01488248 0.00019100 0.07532905 0.01320632 0.01409359 0.01422221 0.01468536 0.00020565 0.01481352 0.01480545 0.01446314 0.00000605 0.00002537 0.01471567 0.00016384 0.00018715 0.01431526 0.00030104 0.00003727 0.01496114 0.08206602 0.00050531 0.01481248 0.01472123 0.00030459 0.00018631 0.01578331 0.00005042 0.01452620 0.01333266 0.00003792 0.00035675 0.01483341 0.00018754 0.01516564 0.01333641 0.00030740 0.01468140 0.00033789 0.00031078 0.01391383 0.00000606 0.00000533 0.01348255 0.00000411 0.01482740 0.01460163 0.05609157 0.01471594 0.01387511 0.15242635 0.00002007 0.00002440 0.00000121 0.01345940 0.01387409
G_5 0.00035363 0.01361426 0.00145660 0.01329738 0.00025813 0.00025886 0.01384037 0.01333483 0.01384081 0.00146701 0.01449777 0.00003284 0.00036364 0.01505320 0.01402018 0.00035411 0.01416804 0.00035072 0.01448129 0.01360535 0.00035413 0.00027026 0.01361392 0.00036787 0.07536474 0.01376713 0.01360544 0.01404578 0.15221272 0.01407564 0.00037303 0.00145587 0.01399116 0.00034948 0.01447280 0.00064001 0.00036798 0.00138909 0.00035873 0.00035063 0 0.01352931 0.01386014 0.00036824 0.00041382 0.00035520 0.01489602 0.00036624 0.00041524 0.01386963 0.00065975 0.01404826 0.00019422 0.01410564 0.01441385 0.01330305 0.01444551 0.01407133 0.01373276 0.00036753 0.08334102 0.01441824 0.01403346 0.01389168 0.01444895 0.00002425 0.01375063 0.00072328 0.00030910 0.01446811 0.01379769 0.01511221 0.00070263 0.01442804 0.00019541 0.16114790 0.01367196 0.07954418 0.00136843 0.01421526 0.01374389 0.01361409 0.01372026 0.01391455 0.01377425 0.00138595 0.07503255 0.01372627 0.01406670 0.01386988 0.01374306 0.00068221 0.01374578 0.01387926 0.01424692 0.00036809 0.00037080 0.01360123 0.00060615 0.00145804 0.01445068 0.00002312 0.00036499 0.01387622 0.07865395 0.00125392 0.01374887 0.01362704 0.00002333 0.00145498 0.01531016 0.00048758 0.01423173 0.01437196 0.00036424 0.00142543 0.01375210 0.00145653 0.01489508 0.01441099 0.00002592 0.01375053 0.00136851 0.00002241 0.01388878 0.00036837 0.00037149 0.01442388 0.00033947 0.01378555 0.01441697 0.05617462 0.01352922 0.01384060 0.15130716 0.00036495 0.00035804 0.00035193 0.01438123 0.01304584
s_2396 0.01454124 0.00002595 0.01444982 0.00001337 0.01451577 0.01449001 0.01259584 0.00002020 0.01259058 0.01365562 0.01582256 0.01354649 0.01478708 0.01347735 0.01345884 0.01451721 0.01352749 0.01473198 0.01576209 0.00001593 0.01471775 0.01452124 0.00001596 0.01474202 0.07576666 0.00002733 0.00001593 0.01547897 0.15209469 0.01603751 0.01470608 0.01446467 0.01342992 0.01473203 0.01395584 0.01449609 0.01481192 0.01453456 0.01451217 0.01471593 0.01352931 0 0.01261037 0.01477356 0.01469205 0.01450820 0.01235783 0.01460667 0.01445398 0.00001738 0.01464468 0.00004624 0.01449068 0.01603867 0.01499994 0.01535709 0.01582644 0.01619706 0.01567929 0.01494455 0.08238559 0.01509387 0.00002482 0.00001191 0.01582152 0.01351267 0.00001214 0.01449934 0.01469763 0.01551100 0.01326242 0.01575606 0.01457203 0.01507364 0.01442085 1.00000000 0.00002807 0.07917764 0.01357099 0.01596734 0.00002215 0.00001905 0.01260504 0.01329855 0.00001441 0.01450084 0.07577311 0.01559486 0.01631929 0.01514638 0.00001381 0.01455839 0.00004142 0.00001264 0.01454546 0.01479684 0.01478654 0.00003092 0.01456731 0.01450147 0.01348827 0.01350980 0.01459276 0.00019135 0.07759689 0.01355143 0.00001834 0.00001214 0.01350625 0.01445607 0.01520276 0.01465577 0.01310707 0.01577507 0.01457967 0.01457484 0.00000740 0.01445006 0.01531587 0.01575658 0.01355163 0.00004856 0.01460643 0.01355719 0.01566687 0.01489621 0.01461142 0.01562151 0.01459237 0.00001369 0.01499018 0.04830938 0.00002093 0.01259452 0.15156404 0.01465932 0.01441299 0.01469344 0.01561145 0.00003143
F_32 0.01373044 0.01263398 0.01373825 0.01218572 0.01380501 0.01379516 0.00007087 0.01267447 0.00006688 0.01356618 0.01481679 0.01384515 0.01378764 0.01229428 0.01298413 0.01376172 0.01264568 0.01376590 0.01487456 0.01264360 0.01377528 0.01371575 0.01266402 0.01377981 0.07564337 0.01271214 0.01259559 0.01459351 0.15100022 0.01447808 0.01373841 0.01370124 0.00908793 0.01374904 0.01304880 0.01374681 0.01373882 0.01373909 0.01377900 0.01376875 0.01386014 0.01261037 0 0.01375538 0.01372079 0.01376762 0.01240155 0.01376019 0.01371116 0.01262004 0.01373369 0.01273481 0.01374192 0.01444707 0.01520348 0.01435784 0.01483043 0.01447709 0.01475591 0.01375712 0.08446316 0.01530719 0.01278989 0.01262603 0.01485016 0.01384507 0.01259939 0.01374780 0.01375601 0.01493975 0.01260773 0.01494359 0.01379833 0.01534007 0.01374757 0.16114790 0.01261413 0.08235467 0.01367812 0.01448473 0.01260433 0.01261958 0.00007516 0.01279374 0.01270104 0.01370878 0.07566830 0.01479495 0.01430658 0.01520261 0.01262548 0.01383744 0.01254847 0.01261062 0.01535027 0.01375050 0.01378116 0.01259652 0.01371827 0.01368061 0.01295560 0.01364923 0.01377212 0.01273502 0.08000087 0.01375733 0.01262731 0.01263687 0.01380858 0.01370122 0.01453945 0.01355426 0.00908685 0.01483647 0.01375951 0.01370934 0.01264232 0.01373021 0.01524444 0.01482497 0.01384501 0.01251218 0.01375745 0.01388169 0.01477770 0.01375485 0.01376666 0.01485709 0.01376023 0.01256297 0.01518450 0.05539552 0.01264817 0.00006868 0.15148547 0.01379320 0.01370064 0.01376765 0.01491352 0.01182613
s_2391 0.00000463 0.01476194 0.00018294 0.01478121 0.00006590 0.00006590 0.01385033 0.01436721 0.01386558 0.00063117 0.01331517 0.00039400 0.00002008 0.01462147 0.01404324 0.00000605 0.01419465 0.00000629 0.01337864 0.01477676 0.00000726 0.00016865 0.01464330 0.00002010 0.07516159 0.01504072 0.01477384 0.01319119 0.15279578 0.01404358 0.00000264 0.00018610 0.01454372 0.00000629 0.01455900 0.00019708 0.00000048 0.00054971 0.00000363 0.00000606 0.00036824 0.01477356 0.01375538 0 0.00027003 0.00000629 0.01463762 0.00000240 0.00000774 0.01487117 0.00004458 0.01508105 0.00016796 0.01405580 0.01498277 0.01289883 0.01337527 0.01403686 0.01321510 0.00000096 0.08326353 0.01498456 0.01507934 0.01487385 0.01333038 0.00033166 0.01474424 0.00020612 0.00005721 0.01453032 0.01403900 0.01369912 0.00020625 0.01488045 0.00001566 1.00000000 0.01473892 0.07953694 0.00038498 0.01409338 0.01474947 0.01475438 0.01383163 0.01391032 0.01493296 0.00018960 0.07516182 0.01327852 0.01403456 0.01453435 0.01474850 0.00020664 0.01489236 0.01489603 0.01419619 0.00000168 0.00002810 0.01477222 0.00016595 0.00018599 0.01430260 0.00031799 0.00002209 0.01505414 0.07852687 0.00054470 0.01487107 0.01477859 0.00032106 0.00018660 0.01578039 0.00031434 0.01415123 0.01332126 0.00002107 0.00039556 0.01488630 0.00018734 0.01516868 0.01333230 0.00032295 0.01473410 0.00035568 0.00032731 0.01389161 0.00000000 0.00003457 0.01333561 0.00000194 0.01497597 0.01467970 0.05605107 0.01476655 0.01386587 0.15240995 0.00001962 0.00002277 0.00000484 0.01323876 0.01395502
s_2349 0.00000751 0.01469498 0.00018654 0.01459744 0.00001653 0.00001678 0.01368598 0.01443766 0.01370136 0.00064514 0.01334378 0.00044382 0.00002044 0.01448237 0.01414792 0.00000602 0.01411395 0.00000674 0.01324488 0.01468550 0.00000673 0.00017099 0.01464562 0.00002334 0.07509748 0.01487390 0.01468520 0.01313974 0.15258276 0.01406634 0.00027274 0.00018606 0.01473904 0.00002213 0.01472146 0.00021768 0.00028663 0.00051327 0.00000700 0.00000699 0.00041382 0.01469205 0.01372079 0.00027003 0 0.00000676 0.01461854 0.00026836 0.00000768 0.01478765 0.00004647 0.01495751 0.00016770 0.01407121 0.01494884 0.01232662 0.01332701 0.01405012 0.01315095 0.00026937 0.08343006 0.01496269 0.01516077 0.01477435 0.01328295 0.00037682 0.01467074 0.00020526 0.00006400 0.01451284 0.01398232 0.01399725 0.00020439 0.01495879 0.00001578 1.00000000 0.01468640 0.07944283 0.00041645 0.01412989 0.01482756 0.01468347 0.01370843 0.01397155 0.01484691 0.00019048 0.07510818 0.01324457 0.01405724 0.01447569 0.01466411 0.00020312 0.01459714 0.01495590 0.01461682 0.00026989 0.00002818 0.01468679 0.00016304 0.00018737 0.01448934 0.00036542 0.00003929 0.01494671 0.08173381 0.00056876 0.01477649 0.01469675 0.00036868 0.00018582 0.01580435 0.00004314 0.01449781 0.01326941 0.00003853 0.00036129 0.01479831 0.00018680 0.01524464 0.01321476 0.00037206 0.01466756 0.00034020 0.00037609 0.01383667 0.00026935 0.00026744 0.01337151 0.00000532 0.01460334 0.01475681 0.06266368 0.01468560 0.01368904 0.15114040 0.00002189 0.00002570 0.00000722 0.01346970 0.01403005
s_2336 0.00000704 0.01450875 0.00018210 0.01448142 0.00004954 0.00004979 0.01385706 0.01431591 0.01387232 0.00061266 0.01340268 0.00038379 0.00002002 0.01461481 0.01397269 0.00000555 0.01418804 0.00000579 0.01330410 0.01450876 0.00000676 0.00016826 0.01458230 0.00002269 0.07535313 0.01477243 0.01450849 0.01318367 0.15272617 0.01408438 0.00000896 0.00018556 0.01451893 0.00002123 0.01455666 0.00021251 0.00002323 0.00053185 0.00000628 0.00000676 0.00035520 0.01450820 0.01376762 0.00000629 0.00000676 0 0.01462747 0.00000484 0.00000723 0.01461560 0.00004612 0.01478389 0.00016685 0.01407729 0.01499145 0.01281983 0.01338535 0.01408372 0.01321419 0.00000581 0.08325668 0.01500868 0.01475959 0.01461008 0.01334066 0.00031510 0.01448455 0.00020489 0.00006133 0.01445877 0.01380975 0.01388018 0.00020499 0.01500134 0.00001511 1.00000000 0.01450115 0.07965116 0.00037079 0.01413589 0.01447842 0.01449870 0.01383836 0.01394778 0.01466863 0.00018995 0.07534801 0.01327449 0.01407947 0.01442698 0.01447842 0.00020516 0.01460624 0.01459828 0.01440167 0.00000654 0.00002800 0.01450903 0.00016341 0.00018707 0.01428841 0.00030731 0.00003895 0.01502818 0.08205029 0.00052565 0.01460493 0.01451404 0.00030916 0.00018527 0.01569412 0.00004930 0.01451724 0.01333587 0.00003790 0.00037692 0.01462689 0.00018625 0.01529426 0.01334929 0.00031173 0.01447423 0.00033926 0.00031681 0.01390808 0.00000629 0.00003727 0.01348379 0.00000435 0.01462061 0.01472823 0.06250082 0.01450849 0.01387259 0.15243541 0.00001932 0.00002219 0.00000676 0.01346246 0.01462303
F_56 0.01458657 0.01236820 0.01549147 0.01189487 0.01466882 0.01467102 0.01264041 0.01239058 0.01262148 0.01510110 0.01580051 0.01487713 0.01463932 0.01286980 0.01292833 0.01464044 0.01308469 0.01464213 0.01563190 0.01235960 0.01459968 0.01454297 0.01237490 0.01462157 0.07603379 0.01247201 0.01235661 0.01537664 0.15165849 0.01495378 0.01458625 0.01549448 0.01274223 0.01462547 0.01295823 0.01531996 0.01461612 0.01511838 0.01460133 0.01461286 0.01489602 0.01235783 0.01240155 0.01463762 0.01461854 0.01462747 0 0.01462593 0.01459558 0.01249152 0.01531234 0.01258768 0.01458674 0.01501994 0.01617688 0.01520864 0.01577451 0.01497417 0.01558887 0.01464441 0.08411202 0.01626076 0.01257203 0.01248031 0.01573211 0.01487676 0.01234227 0.01530461 0.01461228 0.01493002 0.01324018 0.01589115 0.01534493 0.01625955 0.01461682 0.16114790 0.01236622 0.08270147 0.01513083 0.01510724 0.01233971 0.01236645 0.01242500 0.01347966 0.01244000 0.01540487 0.07608349 0.01558054 0.01506859 0.01589025 0.01234015 0.01533244 0.01247179 0.01248067 0.01620178 0.01460011 0.01461848 0.01235887 0.01526779 0.01547227 0.01308501 0.01479368 0.01460694 0.01249972 0.07996153 0.01511741 0.01248133 0.01237425 0.01486089 0.01548061 0.01514946 0.01452380 0.01274146 0.01571118 0.01459987 0.01509824 0.01250940 0.01547263 0.01616557 0.01570240 0.01487906 0.01233900 0.01515045 0.01488994 0.01461412 0.01464646 0.01463434 0.01583905 0.01460808 0.01249622 0.01612902 0.05644478 0.01235375 0.01254828 0.15175568 0.01464964 0.01455823 0.01464561 0.01573654 0.01169900
s_2410 0.00000561 0.01467254 0.00018073 0.01435269 0.00003156 0.00003156 0.01384911 0.01440263 0.01386418 0.00061257 0.01332486 0.00039399 0.00001789 0.01458210 0.01403409 0.00000411 0.01420258 0.00000484 0.01338497 0.01468705 0.00000580 0.00016915 0.01467664 0.00002155 0.07533125 0.01486883 0.01468427 0.01320137 0.15273374 0.01409044 0.00000528 0.00018413 0.01491420 0.00000484 0.01457554 0.00019601 0.00000216 0.00053517 0.00000412 0.00000509 0.00036624 0.01460667 0.01376019 0.00000240 0.00026836 0.00000484 0.01462593 0 0.00000604 0.01497671 0.00004407 0.01511723 0.00016604 0.01410295 0.01488926 0.01297736 0.01338497 0.01407389 0.01322454 0.00000192 0.08318095 0.01499355 0.01511425 0.01494137 0.01334020 0.00032966 0.01479052 0.00020383 0.00005643 0.01445129 0.01404803 0.01370303 0.00020420 0.01490048 0.00001319 1.00000000 0.01470874 0.07958941 0.00037042 0.01414050 0.01478498 0.01466663 0.01374125 0.01391737 0.01484388 0.00018861 0.07532819 0.01328816 0.01408266 0.01455508 0.01478401 0.00020411 0.01499836 0.01493125 0.01419683 0.00000216 0.00002592 0.01468185 0.00016331 0.00018549 0.01434513 0.00031673 0.00002087 0.01499986 0.07843454 0.00053017 0.01479866 0.01488608 0.00031931 0.00018462 0.01569095 0.00032058 0.01452468 0.01333067 0.00001889 0.00038100 0.01481993 0.00018512 0.01518873 0.01334172 0.00032172 0.01478135 0.00035648 0.00032527 0.01388955 0.00000216 0.00000096 0.01341749 0.00000339 0.01496514 0.01471878 0.05612639 0.01460026 0.01386447 0.15235621 0.00001841 0.00002177 0.00000533 0.01332659 0.01398872
F_59 0.00000777 0.01454153 0.00018088 0.01416511 0.00000971 0.00001166 0.01383330 0.01425331 0.01384993 0.00060431 0.01332967 0.00044975 0.00001806 0.01456812 0.01397571 0.00000627 0.01420195 0.00000748 0.01339217 0.01453381 0.00000506 0.00016804 0.01454032 0.00002171 0.07509568 0.01472026 0.01453033 0.01319100 0.15229481 0.01408807 0.00000749 0.00018587 0.01400128 0.00000746 0.01458098 0.00019355 0.00000724 0.00050771 0.00000627 0.00000773 0.00041524 0.01445398 0.01371116 0.00000774 0.00000768 0.00000723 0.01459558 0.00000604 0 0.01479428 0.00004233 0.01497922 0.00016284 0.01399592 0.01490476 0.01271949 0.01339133 0.01404244 0.01323030 0.00000725 0.08330109 0.01505195 0.01498513 0.01480135 0.01334540 0.00037482 0.01465542 0.00020097 0.00005097 0.01452298 0.01379815 0.01369193 0.00020206 0.01496791 0.00001212 0.16114790 0.01458773 0.07946142 0.00034038 0.01415255 0.01464814 0.01453209 0.01379312 0.01393290 0.01470494 0.00018611 0.07498109 0.01321603 0.01400654 0.01442155 0.01464690 0.00020020 0.01452899 0.01478695 0.01396869 0.00000726 0.00002340 0.01452898 0.00016149 0.00018197 0.01434453 0.00029283 0.00001762 0.01494518 0.07852684 0.00049563 0.01465494 0.01455391 0.00037761 0.00018393 0.01576690 0.00006335 0.01399990 0.01333619 0.00001710 0.00035680 0.01468464 0.00018264 0.01529712 0.01334707 0.00037699 0.01465312 0.00033672 0.00037317 0.01388072 0.00000774 0.00000532 0.01334560 0.00000628 0.01471539 0.01482794 0.05620642 0.01445512 0.01384819 0.15165268 0.00001809 0.00001675 0.00000796 0.01323549 0.01386088
s_2412 0.01464894 0.00001762 0.01478714 0.00001521 0.01487096 0.01482998 0.01260839 0.00002355 0.01260366 0.01403786 0.01582037 0.01388984 0.01489200 0.01349380 0.01367743 0.01462435 0.01349131 0.01483910 0.01578558 0.00002001 0.01482479 0.01479169 0.00001787 0.01484698 0.07585575 0.00001368 0.00001905 0.01549190 0.15208713 0.01631398 0.01480697 0.01480498 0.01327499 0.01483914 0.01397261 0.01484143 0.01490762 0.01487927 0.01461875 0.01482283 0.01386963 0.00001738 0.01262004 0.01487117 0.01478765 0.01461560 0.01249152 0.01497671 0.01479428 0 0.01488020 0.00001321 0.01484829 0.01637544 0.01501492 0.01532482 0.01583857 0.01631428 0.01568608 0.01504731 0.08234414 0.01510976 0.00002432 0.00001598 0.01582082 0.01385514 0.00001262 0.01484312 0.01480517 0.01549936 0.01341969 0.01575810 0.01491030 0.01509253 0.01476051 1.00000000 0.00002072 0.07918961 0.01391145 0.01630642 0.00002263 0.00002001 0.01263750 0.01367231 0.00001783 0.01485077 0.07586518 0.01559043 0.01630689 0.01517671 0.00001643 0.01490818 0.00004717 0.00001049 0.01453994 0.01489260 0.01489211 0.00002239 0.01491898 0.01485151 0.01360615 0.01387065 0.01469815 0.00020256 0.07752580 0.01390797 0.00002241 0.00001619 0.01384924 0.01480567 0.01534694 0.01457622 0.01295489 0.01577351 0.01468463 0.01492953 0.00001241 0.01480712 0.01533937 0.01576612 0.01388537 0.00002001 0.01494545 0.01389871 0.01578890 0.01499223 0.01491177 0.01563064 0.01469949 0.00001706 0.01501529 0.04823151 0.00002406 0.01261935 0.15163310 0.01476433 0.01474807 0.01480057 0.01562571 0.00002088
F_41 0.00004598 0.01474525 0.00002586 0.01436368 0.00012084 0.00012140 0.01384765 0.01444379 0.01381584 0.00116302 0.01368049 0.00067550 0.00005561 0.01503711 0.01396994 0.00004518 0.01420008 0.00004590 0.01356444 0.01471799 0.00004664 0.00004476 0.01462555 0.00008760 0.07615409 0.01492121 0.01471383 0.01334138 0.15222185 0.01430495 0.00007828 0.00002653 0.01412731 0.00006528 0.01414548 0.00002899 0.00009192 0.00101973 0.00005717 0.00004521 0.00065975 0.01464468 0.01373369 0.00004458 0.00004647 0.00004612 0.01531234 0.00004407 0.00004233 0.01488020 0 0.01506799 0.00004547 0.01430949 0.01547037 0.01330908 0.01361866 0.01432370 0.01374950 0.00004507 0.08374894 0.01547451 0.01507282 0.01488039 0.01353997 0.00059144 0.01485894 0.00001316 0.00009216 0.01449166 0.01378768 0.01415278 0.00001340 0.01546609 0.00004498 0.16114790 0.01478911 0.07979230 0.00102684 0.01433556 0.01485195 0.01473482 0.01369363 0.01400440 0.01490582 0.00002900 0.07613958 0.01382183 0.01430299 0.01506855 0.01484934 0.00001314 0.01486770 0.01487291 0.01448288 0.00004535 0.00006396 0.01471382 0.00004324 0.00002581 0.01455575 0.00057097 0.00010652 0.01509505 0.07908290 0.00102412 0.01474109 0.01464124 0.00062315 0.00002628 0.01615334 0.00011914 0.01414525 0.01351967 0.00010313 0.00102359 0.01477037 0.00002560 0.01577811 0.01353217 0.00058890 0.01485697 0.00104049 0.00058657 0.01387728 0.00004409 0.00007839 0.01353662 0.00004347 0.01480037 0.01542248 0.05684920 0.01463986 0.01380751 0.15212526 0.00005618 0.00005451 0.00004542 0.01378731 0.01394111
