#species	lib	length	genomeID	n50	genome_quality
Achromobacter_sp.	N196_BC10	6783686	s_89	3849569	HIGH_QUAL
Achromobacter_sp.	N196_BC11	7010602	s_90	4274167	HIGH_QUAL
Achromobacter_sp.	N198_BC01	6627481	s_91	203897	HIGH_QUAL
Achromobacter_sp.	N202_BC04	7045335	s_92	4284159	HIGH_QUAL
Achromobacter_sp.	N204_BC02	6843833	s_93	6775944	HIGH_QUAL
Achromobacter_sp.	N205_BC12	6852891	s_94	1299973	HIGH_QUAL
Achromobacter_sp.	N206_BC01	6959581	s_95	3848180	HIGH_QUAL
Achromobacter_sp.	N214_BC08	7294637	s_99	6606358	HIGH_QUAL
Achromobacter_sp.	N217_BC08	4372278	s_100	78988	MEDIUM_QUAL
Achromobacter_sp.	N217_BC10	6788934	s_101	1644397	HIGH_QUAL
Achromobacter_sp.	N217_BC12	6262122	s_102	189562	HIGH_QUAL
Achromobacter_sp.	N218_BC12	7007566	s_104	4294997	HIGH_QUAL
Achromobacter_sp.	N220_BC12	6725727	s_105	569499	HIGH_QUAL
Achromobacter_sp.	N221_BC04	6874564	s_106	2234213	HIGH_QUAL
Achromobacter_sp.	N221_BC06	7007364	s_107	3797043	HIGH_QUAL
Achromobacter_sp.	N227_BC09	6841676	s_110	1772816	HIGH_QUAL
Achromobacter_sp.	N228_BC03	5651029	s_111	87145	MEDIUM_QUAL
Achromobacter_sp.	N228_BC06	6691406	s_112	413931	HIGH_QUAL
Achromobacter_sp.	N236_BC01	6919274	s_114	5677870	HIGH_QUAL
Achromobacter_sp.	N237_BC03	6670643	s_117	6604469	HIGH_QUAL
Achromobacter_sp.	N240_BC02	6795805	s_118	4370578	HIGH_QUAL
Acinetobacter_baumannii	N072	3899627	s_173	3860897	HIGH_QUAL
Acinetobacter_baumannii	N073	3901517	s_174	3862768	HIGH_QUAL
Acinetobacter_baumannii	N074	3883020	s_175	3844454	HIGH_QUAL
Acinetobacter_baumannii	N075	3486569	s_176	3285015	HIGH_QUAL
Acinetobacter_baumannii	N076	3917868	s_177	3878957	HIGH_QUAL
Acinetobacter_baumannii	N098_BC06	3916203	s_178	3877302	HIGH_QUAL
Acinetobacter_baumannii	N098_BC07	3910293	s_179	3871450	HIGH_QUAL
Acinetobacter_baumannii	N098_BC08	3925339	s_180	3886348	HIGH_QUAL
Acinetobacter_baumannii	N098_BC09	3923702	s_181	2783095	HIGH_QUAL
Acinetobacter_baumannii	N098_BC10	3920061	s_182	3870413	HIGH_QUAL
Acinetobacter_baumannii	N100_BC08	3668894	s_183	3632442	HIGH_QUAL
Acinetobacter_baumannii	N106_BC02	3929450	s_186	3890418	HIGH_QUAL
Acinetobacter_baumannii	N106_BC03	3921609	s_187	3882655	HIGH_QUAL
Acinetobacter_baumannii	N106_BC04	3920693	s_188	3881749	HIGH_QUAL
Acinetobacter_baumannii	N106_BC06	3680195	s_189	3643631	HIGH_QUAL
Acinetobacter_baumannii	N106_BC10	3662968	s_190	3626576	HIGH_QUAL
Acinetobacter_baumannii	N107_BC11	2396727	s_191	49380	MEDIUM_QUAL
Acinetobacter_baumannii	N110_BC01	3930589	s_192	3891545	HIGH_QUAL
Acinetobacter_baumannii	N110_BC02	3941467	s_193	3902316	HIGH_QUAL
Acinetobacter_baumannii	N110_BC03	3939040	s_194	3899912	HIGH_QUAL
Acinetobacter_baumannii	N110_BC05	3943929	s_195	3904754	HIGH_QUAL
Acinetobacter_baumannii	N112_BC04	3931290	s_196	3467140	HIGH_QUAL
Acinetobacter_baumannii	N112_BC05	3947670	s_197	3908457	HIGH_QUAL
Acinetobacter_baumannii	N113_BC11	4020316	s_198	3980385	HIGH_QUAL
Acinetobacter_baumannii	N113_BC12	4006465	s_199	3966671	HIGH_QUAL
Acinetobacter_baumannii	N114_BC05	4074778	s_200	4034307	HIGH_QUAL
Acinetobacter_baumannii	N114_BC07	4069366	s_201	3042979	HIGH_QUAL
Acinetobacter_baumannii	N115_BC01	3921834	s_202	3882878	HIGH_QUAL
Acinetobacter_baumannii	N116_BC03	3915420	s_203	3876527	HIGH_QUAL
Acinetobacter_baumannii	N116_BC04	3922363	s_204	3883401	HIGH_QUAL
Acinetobacter_baumannii	N116_BC05	3919628	s_205	3880694	HIGH_QUAL
Acinetobacter_baumannii	N116_BC06	3933369	s_206	3894299	HIGH_QUAL
Acinetobacter_baumannii	N118_BC02	3923067	s_209	3884099	HIGH_QUAL
Acinetobacter_baumannii	N118_BC03	3922307	s_210	3883346	HIGH_QUAL
Acinetobacter_baumannii	N118_BC04	3890254	s_211	3851610	HIGH_QUAL
Acinetobacter_baumannii	N118_BC05	3924861	s_212	3885875	HIGH_QUAL
Acinetobacter_baumannii	N124_BC09	4035303	s_213	3995222	HIGH_QUAL
Acinetobacter_baumannii	N126_BC04	3858348	s_214	3820020	HIGH_QUAL
Acinetobacter_baumannii	N126_BC05	3919913	s_215	3880976	HIGH_QUAL
Acinetobacter_baumannii	N126_BC06	4072014	s_216	2969974	HIGH_QUAL
Acinetobacter_baumannii	N126_BC07	3892401	s_217	3853735	HIGH_QUAL
Acinetobacter_baumannii	N129_BC05	3921440	s_218	3882488	HIGH_QUAL
Acinetobacter_baumannii	N129_BC06	3915256	s_219	3876365	HIGH_QUAL
Acinetobacter_baumannii	N129_BC07	3904698	s_220	3865911	HIGH_QUAL
Acinetobacter_baumannii	N129_BC08	3906536	s_221	3867731	HIGH_QUAL
Acinetobacter_baumannii	N131_BC12	3898781	s_222	3860052	HIGH_QUAL
Acinetobacter_baumannii	N132_BC10	3930023	s_223	3890986	HIGH_QUAL
Acinetobacter_baumannii	N132_BC11	3935675	s_224	3896582	HIGH_QUAL
Acinetobacter_baumannii	N132_BC12	3938866	s_225	3899740	HIGH_QUAL
Acinetobacter_baumannii	N133_BC02	3942672	s_226	3903509	HIGH_QUAL
Acinetobacter_baumannii	N134_BC08	4007263	s_227	3967461	HIGH_QUAL
Acinetobacter_baumannii	N134_BC09	4001756	s_228	3962007	HIGH_QUAL
Acinetobacter_baumannii	N134_BC10	4009843	s_229	3463293	HIGH_QUAL
Acinetobacter_baumannii	N137_BC11	3959756	s_230	3920424	HIGH_QUAL
Acinetobacter_baumannii	N137_BC12	3955209	s_231	3915922	HIGH_QUAL
Acinetobacter_baumannii	N138_BC01	3962805	s_232	3923443	HIGH_QUAL
Acinetobacter_baumannii	N138_BC02	3961483	s_233	3922134	HIGH_QUAL
Acinetobacter_baumannii	N139_BC01	3906059	s_234	3867259	HIGH_QUAL
Acinetobacter_baumannii	N139_BC02	3899582	s_235	3860846	HIGH_QUAL
Acinetobacter_baumannii	N139_BC03	3907462	s_236	3868648	HIGH_QUAL
Acinetobacter_baumannii	N139_BC04	3906538	s_237	3867733	HIGH_QUAL
Acinetobacter_baumannii	N139_BC05	3908435	s_238	3869611	HIGH_QUAL
Acinetobacter_baumannii	N142_BC10	3956934	s_240	3917630	HIGH_QUAL
Acinetobacter_baumannii	N142_BC11	3961360	s_241	3922011	HIGH_QUAL
Acinetobacter_baumannii	N144_BC03	3894965	s_243	3856275	HIGH_QUAL
Acinetobacter_baumannii	N147_BC01	3814251	s_244	2887519	HIGH_QUAL
Acinetobacter_baumannii	N147_BC06	3964510	s_245	3925131	HIGH_QUAL
Acinetobacter_baumannii	N147_BC07	3955530	s_246	3916239	HIGH_QUAL
Acinetobacter_baumannii	N149_BC06	3982146	s_247	793776	HIGH_QUAL
Acinetobacter_baumannii	N150_BC08	3959362	s_248	3920033	HIGH_QUAL
Acinetobacter_baumannii	N151_BC04	3882030	s_249	3843468	HIGH_QUAL
Acinetobacter_baumannii	N151_BC05	3874984	s_250	3836491	HIGH_QUAL
Acinetobacter_baumannii	N151_BC07	3977272	s_251	2066052	HIGH_QUAL
Acinetobacter_baumannii	N152_BC02	3593195	s_252	2443711	HIGH_QUAL
Acinetobacter_baumannii	N152_BC06	4049460	s_253	2923040	HIGH_QUAL
Acinetobacter_baumannii	N155_BC01	3993510	s_255	3920762	HIGH_QUAL
Acinetobacter_baumannii	N155_BC02	3935959	s_256	3896863	HIGH_QUAL
Acinetobacter_baumannii	N156_BC03	2471825	s_257	62782	MEDIUM_QUAL
Acinetobacter_baumannii	N156_BC11	3877637	s_258	3839116	HIGH_QUAL
Acinetobacter_baumannii	N156_BC12	3891232	s_259	3822402	HIGH_QUAL
Acinetobacter_baumannii	N157_BC01	3886020	s_260	3847417	HIGH_QUAL
Acinetobacter_baumannii	N157_BC02	3790536	s_261	3752879	HIGH_QUAL
Acinetobacter_baumannii	N161_BC11	3784905	s_264	3747302	HIGH_QUAL
Acinetobacter_baumannii	N161_BC12	3782478	s_265	2251923	HIGH_QUAL
Acinetobacter_baumannii	N172_BC12	3822296	s_268	3784326	HIGH_QUAL
Acinetobacter_baumannii	N173_BC06	3885504	s_269	3834037	HIGH_QUAL
Acinetobacter_baumannii	N173_BC07	3883224	s_270	3532009	HIGH_QUAL
Acinetobacter_baumannii	N177_BC07	4026134	s_274	3944922	HIGH_QUAL
Acinetobacter_baumannii	N177_BC08	3940200	s_275	2592601	HIGH_QUAL
Acinetobacter_baumannii	N180_BC04	3969269	s_276	3867384	HIGH_QUAL
Acinetobacter_baumannii	N180_BC05	4075263	s_277	3254244	HIGH_QUAL
Acinetobacter_baumannii	N183_BC05	3835530	s_279	3797427	HIGH_QUAL
Acinetobacter_baumannii	N183_BC06	3819522	s_280	3328865	HIGH_QUAL
Acinetobacter_baumannii	N183_BC08	3816860	s_281	2207992	HIGH_QUAL
Acinetobacter_baumannii	N183_BC09	3839989	s_282	3801842	HIGH_QUAL
Acinetobacter_baumannii	N191_BC04	4029310	s_283	1400746	HIGH_QUAL
Acinetobacter_baumannii	N191_BC05	3944342	s_284	3845488	HIGH_QUAL
Acinetobacter_baumannii	N194_BC11	3144622	s_285	1809886	HIGH_QUAL
Acinetobacter_baumannii	N197_BC02	3970013	s_286	3930579	HIGH_QUAL
Acinetobacter_baumannii	N197_BC03	3962751	s_287	3141689	HIGH_QUAL
Acinetobacter_baumannii	N197_BC04	3959884	s_288	3920550	HIGH_QUAL
Acinetobacter_baumannii	N197_BC10	3685587	s_290	471278	HIGH_QUAL
Acinetobacter_baumannii	N200_BC04	3898774	s_291	3860047	HIGH_QUAL
Acinetobacter_baumannii	N200_BC11	3980543	s_292	1118163	HIGH_QUAL
Acinetobacter_baumannii	N201_BC01	4095482	s_293	3131304	HIGH_QUAL
Acinetobacter_baumannii	N201_BC05	3773126	s_294	662503	HIGH_QUAL
Acinetobacter_baumannii	N201_BC09	3899959	s_295	2249657	HIGH_QUAL
Acinetobacter_baumannii	N203_BC05	4018188	s_297	3170568	HIGH_QUAL
Acinetobacter_baumannii	N203_BC09	3896207	s_298	1508118	HIGH_QUAL
Acinetobacter_baumannii	N204_BC05	3904497	s_299	3850704	HIGH_QUAL
Acinetobacter_baumannii	N204_BC07	3978325	s_300	3912538	HIGH_QUAL
Acinetobacter_baumannii	N204_BC11	4026010	s_301	3986021	HIGH_QUAL
Acinetobacter_baumannii	N205_BC05	3526878	s_302	224518	HIGH_QUAL
Acinetobacter_baumannii	N206_BC08	4001816	s_303	3962068	HIGH_QUAL
Acinetobacter_baumannii	N209_BC08	3997813	s_305	3958104	HIGH_QUAL
Acinetobacter_baumannii	N209_BC10	3944614	s_306	3905432	HIGH_QUAL
Acinetobacter_baumannii	N210_BC12	3806611	s_308	409608	HIGH_QUAL
Acinetobacter_baumannii	N212_BC08	3976943	s_309	3937440	HIGH_QUAL
Acinetobacter_baumannii	N213_BC07	3729892	s_310	2334494	HIGH_QUAL
Acinetobacter_baumannii	N213_BC08	3962447	s_311	3923087	HIGH_QUAL
Acinetobacter_baumannii	N214_BC07	4330237	s_315	3187735	HIGH_QUAL
Acinetobacter_baumannii	N215_BC06	2575509	s_316	1021813	MEDIUM_QUAL
Acinetobacter_baumannii	N215_BC08	3806455	s_317	3768640	HIGH_QUAL
Acinetobacter_baumannii	N216_BC11	4367125	s_318	3769871	MEDIUM_QUAL
Acinetobacter_baumannii	N218_BC09	3021417	s_319	106680	MEDIUM_QUAL
Acinetobacter_baumannii	N219_BC09	4141411	s_320	3872624	HIGH_QUAL
Acinetobacter_baumannii	N219_BC12	4002599	s_321	2932137	HIGH_QUAL
Acinetobacter_baumannii	N222_BC08	3674583	s_323	290619	HIGH_QUAL
Acinetobacter_baumannii	N222_BC12	3914332	s_324	3230515	HIGH_QUAL
Acinetobacter_baumannii	N224_BC02	3889869	s_325	3851229	HIGH_QUAL
Acinetobacter_baumannii	N224_BC12	3924731	s_327	2173461	HIGH_QUAL
Acinetobacter_baumannii	N228_BC02	3751958	s_331	805767	HIGH_QUAL
Acinetobacter_baumannii	N228_BC04	3912103	s_332	3759280	HIGH_QUAL
Acinetobacter_baumannii	N228_BC11	3976368	s_333	3894195	HIGH_QUAL
Acinetobacter_baumannii	N228_BC12	3972869	s_334	3874963	HIGH_QUAL
Acinetobacter_baumannii	N229_BC01	3922291	s_335	3883330	HIGH_QUAL
Acinetobacter_baumannii	N229_BC02	4019537	s_336	3892430	HIGH_QUAL
Acinetobacter_baumannii	N229_BC04	4039542	s_338	3857270	HIGH_QUAL
Acinetobacter_baumannii	N231_BC05	4033892	s_339	3958730	HIGH_QUAL
Acinetobacter_baumannii	N233_BC06	3957455	s_341	3834617	HIGH_QUAL
Acinetobacter_baumannii	N235_BC10	3945605	s_342	3906412	HIGH_QUAL
Acinetobacter_baumannii	N240_BC09	3687229	s_343	3650594	HIGH_QUAL
Acinetobacter_calcoaceticus	N174_BC05	4094321	s_352	4053656	MEDIUM_QUAL
Acinetobacter_calcoaceticus	N174_BC06	4090001	s_353	4049379	MEDIUM_QUAL
Acinetobacter_calcoaceticus	N219_BC05	4081055	s_362	4040522	MEDIUM_QUAL
Acinetobacter_lwoffii	N199_BC07	3107483	s_413	501454	HIGH_QUAL
Acinetobacter_nosocomialis	N164_BC10	4093001	s_429	4052350	HIGH_QUAL
Acinetobacter_nosocomialis	N164_BC12	4086232	s_430	3178302	HIGH_QUAL
Acinetobacter_nosocomialis	N165_BC04	4104456	s_431	4063692	HIGH_QUAL
Acinetobacter_nosocomialis	N217_BC01	4150827	s_445	4077518	HIGH_QUAL
Acinetobacter_pittii	N104_BC09	2365692	s_465	118150	MEDIUM_QUAL
Acinetobacter_pittii	N104_BC10	3878715	s_466	3559325	HIGH_QUAL
Acinetobacter_pittii	N148_BC12	3928497	s_470	3889474	HIGH_QUAL
Acinetobacter_pittii	N149_BC01	3999053	s_471	3869740	HIGH_QUAL
Acinetobacter_pittii	N153_BC04	3910641	s_474	1261483	HIGH_QUAL
Acinetobacter_pittii	N158_BC12	4023983	s_476	3327181	HIGH_QUAL
Acinetobacter_pittii	N159_BC01	4012773	s_477	3887676	HIGH_QUAL
Acinetobacter_pittii	N214_BC03	1846617	s_492	72038	MEDIUM_QUAL
Acinetobacter_pittii	N214_BC09	3946754	s_495	3907550	HIGH_QUAL
Acinetobacter_pittii	N216_BC02	4038767	s_496	3907760	HIGH_QUAL
Acinetobacter_pittii	N227_BC06	4003225	s_499	1044967	HIGH_QUAL
Acinetobacter_radioresistens	N173_BC06	2866518	s_504	129480	MEDIUM_QUAL
Acinetobacter_radioresistens	N227_BC01	2435364	s_505	25567	MEDIUM_QUAL
Acinetobacter_radioresistens	N237_BC10	3141233	s_508	2471318	HIGH_QUAL
Acinetobacter_soli	N123_BC08	3499155	s_516	3464384	HIGH_QUAL
Acinetobacter_soli	N202_BC10	3485102	s_519	2206402	HIGH_QUAL
Acinetobacter_soli	N212_BC01	3420983	s_520	3386986	HIGH_QUAL
Acinetobacter_sp.	N108_BC08	3419933	s_523	2011087	HIGH_QUAL
Acinetobacter_sp.	N108_BC11	3417072	s_524	2590702	HIGH_QUAL
Acinetobacter_sp.	N117_BC10	3472668	s_525	208107	HIGH_QUAL
Acinetobacter_sp.	N117_BC12	3725905	s_526	832383	HIGH_QUAL
Acinetobacter_sp.	N118_BC01	3197248	s_527	3165466	HIGH_QUAL
Acinetobacter_sp.	N128_BC02	3323088	s_530	3290060	HIGH_QUAL
Acinetobacter_sp.	N132_BC05	3304548	s_531	3271703	HIGH_QUAL
Acinetobacter_sp.	N152_BC02	3319389	s_534	1301087	HIGH_QUAL
Acinetobacter_sp.	N182_BC09	1922540	s_539	24953	MEDIUM_QUAL
Acinetobacter_sp.	N187_BC01	3361294	s_540	2495163	HIGH_QUAL
Acinetobacter_sp.	N197_BC05	1871622	s_541	35280	MEDIUM_QUAL
Acinetobacter_sp.	N208_BC07	3507252	s_545	928256	HIGH_QUAL
Acinetobacter_sp.	N211_BC05	3391520	s_546	3357813	HIGH_QUAL
Acinetobacter_sp.	N213_BC07	3025050	s_547	142836	MEDIUM_QUAL
Acinetobacter_sp.	N222_BC10	3423759	s_551	3389734	HIGH_QUAL
Acinetobacter_sp.	N233_BC02	3311147	s_558	353778	HIGH_QUAL
Acinetobacter_sp.	N236_BC12	3319444	s_560	3286451	HIGH_QUAL
Aerococcus_viridans	N127_BC12	2246468	s_565	2224099	MEDIUM_QUAL
Aeromonas_hydrophila	N226_BC05	4820509	s_568	484873	HIGH_QUAL
Aeromonas_hydrophila	N232_BC05	4220126	s_569	936311	MEDIUM_QUAL
Aeromonas_hydrophila	N232_BC06	5196114	s_570	3773582	HIGH_QUAL
Arthrobacter_sp.	N119_BC07	3073657	s_600	3043099	MEDIUM_QUAL
Bacillus_altitudinis	N217_BC09	3774323	s_613	3736826	HIGH_QUAL
Bacillus_bombysepticus	N203_BC05	2025960	s_818	762720	MEDIUM_QUAL
Bacillus_bombysepticus	N219_BC09	1802927	s_830	438217	MEDIUM_QUAL
Bacillus_cereus	N107_BC06	5051990	s_858	2701248	HIGH_QUAL
Bacillus_cereus	N109_BC11	5293003	s_859	3118306	HIGH_QUAL
Bacillus_cereus	N110_BC08	4947988	s_861	820486	HIGH_QUAL
Bacillus_cereus	N113_BC01	4235819	s_865	108001	MEDIUM_QUAL
Bacillus_cereus	N115_BC02	5275785	s_867	5223422	HIGH_QUAL
Bacillus_cereus	N120_BC02	5009530	s_872	500835	HIGH_QUAL
Bacillus_cereus	N121_BC05	5335417	s_873	1483521	HIGH_QUAL
Bacillus_cereus	N122_BC10	5291204	s_876	5171366	HIGH_QUAL
Bacillus_cereus	N123_BC05	2715793	s_877	70049	MEDIUM_QUAL
Bacillus_cereus	N127_BC04	4655806	s_880	568914	HIGH_QUAL
Bacillus_cereus	N128_BC01	4849356	s_881	822478	HIGH_QUAL
Bacillus_cereus	N128_BC08	3992006	s_883	83164	MEDIUM_QUAL
Bacillus_cereus	N133_BC11	5249910	s_891	1655131	HIGH_QUAL
Bacillus_cereus	N139_BC10	5400764	s_895	1275152	HIGH_QUAL
Bacillus_cereus	N141_BC01	5322970	s_897	1234463	HIGH_QUAL
Bacillus_cereus	N141_BC03	5272091	s_898	888202	HIGH_QUAL
Bacillus_cereus	N142_BC12	5414902	s_899	1577675	HIGH_QUAL
Bacillus_cereus	N143_BC02	5387996	s_900	5314238	HIGH_QUAL
Bacillus_cereus	N150_BC12	5310172	s_905	1952572	HIGH_QUAL
Bacillus_cereus	N151_BC01	4694200	s_906	309346	HIGH_QUAL
Bacillus_cereus	N152_BC01	3575201	s_909	94397	MEDIUM_QUAL
Bacillus_cereus	N152_BC02	2691846	s_910	48322	MEDIUM_QUAL
Bacillus_cereus	N152_BC03	4147060	s_911	677349	MEDIUM_QUAL
Bacillus_cereus	N152_BC04	3200423	s_912	633214	MEDIUM_QUAL
Bacillus_cereus	N155_BC05	4916319	s_915	428989	HIGH_QUAL
Bacillus_cereus	N159_BC08	5386773	s_919	1004793	HIGH_QUAL
Bacillus_cereus	N160_BC12	2951971	s_921	46322	MEDIUM_QUAL
Bacillus_cereus	N161_BC03	5377873	s_922	1985017	HIGH_QUAL
Bacillus_cereus	N164_BC04	5277703	s_927	4694157	HIGH_QUAL
Bacillus_cereus	N165_BC07	4366075	s_928	299681	MEDIUM_QUAL
Bacillus_cereus	N167_BC08	5537465	s_930	4301189	HIGH_QUAL
Bacillus_cereus	N168_BC08	5213579	s_931	5161833	HIGH_QUAL
Bacillus_cereus	N169_BC02	2548313	s_935	141069	MEDIUM_QUAL
Bacillus_cereus	N169_BC10	5240575	s_936	1004338	HIGH_QUAL
Bacillus_cereus	N170_BC02	5220493	s_937	1297124	HIGH_QUAL
Bacillus_cereus	N171_BC12	5566332	s_940	1873496	HIGH_QUAL
Bacillus_cereus	N172_BC01	5538345	s_941	5483385	HIGH_QUAL
Bacillus_cereus	N172_BC07	4761440	s_943	1128491	HIGH_QUAL
Bacillus_cereus	N173_BC10	3787130	s_945	158613	MEDIUM_QUAL
Bacillus_cereus	N173_BC12	4963694	s_946	185051	HIGH_QUAL
Bacillus_cereus	N174_BC03	5623585	s_947	5567779	HIGH_QUAL
Bacillus_cereus	N175_BC01	5394638	s_950	535384	HIGH_QUAL
Bacillus_cereus	N175_BC02	4908205	s_951	199134	HIGH_QUAL
Bacillus_cereus	N175_BC12	5341585	s_952	1860244	HIGH_QUAL
Bacillus_cereus	N179_BC02	2736253	s_958	58051	MEDIUM_QUAL
Bacillus_cereus	N179_BC08	3064615	s_959	2697645	MEDIUM_QUAL
Bacillus_cereus	N183_BC07	5204126	s_964	2743660	HIGH_QUAL
Bacillus_cereus	N183_BC10	4225774	s_965	193611	MEDIUM_QUAL
Bacillus_cereus	N187_BC03	5259539	s_972	437285	HIGH_QUAL
Bacillus_cereus	N187_BC08	5154807	s_973	5080410	HIGH_QUAL
Bacillus_cereus	N188_BC11	3272967	s_976	85439	MEDIUM_QUAL
Bacillus_cereus	N189_BC12	5058747	s_977	492425	HIGH_QUAL
Bacillus_cereus	N190_BC05	5263449	s_978	4087272	HIGH_QUAL
Bacillus_cereus	N190_BC12	4828253	s_980	1320904	HIGH_QUAL
Bacillus_cereus	N192_BC06	3050844	s_983	1133951	MEDIUM_QUAL
Bacillus_cereus	N193_BC05	5448993	s_984	898256	HIGH_QUAL
Bacillus_cereus	N193_BC06	5535929	s_985	1804947	HIGH_QUAL
Bacillus_cereus	N193_BC07	3286237	s_986	2209868	MEDIUM_QUAL
Bacillus_cereus	N193_BC09	5403873	s_987	4256403	HIGH_QUAL
Bacillus_cereus	N193_BC10	3847704	s_988	1973718	MEDIUM_QUAL
Bacillus_cereus	N194_BC02	5527139	s_989	5395823	HIGH_QUAL
Bacillus_cereus	N195_BC04	5413243	s_992	1949742	HIGH_QUAL
Bacillus_cereus	N195_BC06	5760352	s_993	1286329	MEDIUM_QUAL
Bacillus_cereus	N195_BC07	5506512	s_994	5186606	HIGH_QUAL
Bacillus_cereus	N195_BC08	5347570	s_995	471910	HIGH_QUAL
Bacillus_cereus	N195_BC11	4224286	s_997	94803	MEDIUM_QUAL
Bacillus_cereus	N198_BC06	4322431	s_1001	622320	MEDIUM_QUAL
Bacillus_cereus	N198_BC10	5326902	s_1003	3548356	HIGH_QUAL
