s_3356	s_3441	s_3349	s_3444	s_3331	s_3382	s_3436	s_3377	s_3277	s_3280	s_3402	s_3378	s_3328	s_3287	s_3410	s_3254	s_3428	s_3393	s_3386	s_3417	s_3415	s_3326	s_3395	s_3301	s_3274	s_3351	s_3421	s_3256	s_3358	s_3297	s_3425	s_3304	s_3357	s_3264	s_3338	s_3342	s_3353	s_3325	s_3368	s_3335	s_3303	s_3432	s_3292	s_3257	s_3266	s_3366	s_3306	s_3409	s_3355	s_3334	s_3399	s_3375	s_3265	s_3253	s_3288	s_3413	s_3345	s_3341	s_3299	s_3282	s_3319	s_3380	s_3397	s_3339	s_3259	s_3284	s_3435	s_3330	s_3423	s_3261	s_3446	s_3437	s_3384	s_3285	s_3448	s_3445	s_3329	s_3360	s_3369	s_3315	s_3309	s_3343	s_3383	s_3405	s_3258	s_3348	s_3294	s_3305	s_3296	s_3313	s_3450	s_3317	s_3359	s_3376	s_3262	s_3416	s_3362	s_3276	s_3332	s_3286	s_3401	s_3324	s_3278	s_3260	s_3350	s_3281	s_3321	s_3424	s_3293	s_3307	s_3403	s_3255	s_3269	s_3340	s_3316	s_3388	s_3336	s_3252	s_3279	s_3344	s_3396	s_3434	s_3352	s_3419	s_3298	s_3365	s_3320	s_3373	s_3354	s_3367	s_3438	s_3291	s_3300	s_3447	s_3308	s_3346	s_3404	s_3318	s_3295	s_3412	s_3272	s_3379	s_3433	s_3385	s_3333	s_3398	s_3374	s_3431	s_3314	s_3311	s_3449	s_3408
s_3303 0.00028978 0.00012033 0.00023650 0.00012385 0.00358683 0.00409452 0.00357163 0.00363707 0.00366766 0.00373973 0.00217569 0.00363461 0.00013697 0.00354673 0.00027661 0.00012989 0.00404025 0.00351824 0.00022951 0.00012196 0.00362926 0.00373574 0.00406803 0.00298435 0.00341947 0.00012773 0.00015993 0.00011895 0.00015478 0.00028395 0.00388249 0.00016628 0.00016285 0.00354952 0.00013095 0.00025371 0.00011808 0.00372318 0.00012943 0.00426282 0 0.00011806 0.00383289 0.00012396 0.00394853 0.00465241 0.00369505 0.00401102 0.00016079 0.00451374 0.00218744 0.00015436 0.00011986 0.00012004 0.00367386 0.00380869 0.00007740 0.00009620 0.00010403 0.00390839 0.00369634 0.00360756 0.00352504 0.00012592 0.00012046 0.00350349 0.00012114 0.00368944 0.00015517 0.00011709 0.00017044 0.00218005 0.00022542 0.00368201 0.00484406 0.00012273 0.00335030 0.00016848 0.05589619 0.00026401 0.00359712 0.00008495 0.00405171 0.00405787 0.00011827 0.00458507 0.00207061 0.00006079 0.00208973 0.00352639 0.00350029 0.00020084 0.00016409 0.00361402 0.00012358 0.00006367 0.00012414 0.00348854 0.00372739 0.00360838 0.00351632 0.00027809 0.00357604 0.00011635 0.00376221 0.00388257 0.00374682 0.00362286 0.00359125 0.00368740 0.00383958 0.00011509 0.00014067 0.00012789 0.00011295 0.00013550 0.00013359 0.00016540 0.00378927 0.00371036 0.00400070 0.00025243 0.00012312 0.00012128 0.00015806 0.00466724 0.00363944 0.00045311 0.00012364 0.00471469 0.00334858 0.00378403 0.00018315 0.00012227 0.00371193 0.00008390 0.00372963 0.00338814 0.00203349 0.00012199 0.00381505 0.00361361 0.00012560 0.00022860 0.00341268 0.00389131 0.00026532 0.00013062 0.00351357 0.00365593 0.00015191 0.00012373
s_3432 0.00027208 0.00002018 0.00016230 0.00003711 0.00382564 0.00446856 0.00397593 0.00412117 0.00403006 0.00400091 0.00229925 0.00392767 0.00003369 0.00383835 0.00030703 0.00002934 0.00430562 0.00391526 0.00017421 0.00002742 0.00411005 0.00400818 0.00447424 0.00307309 0.00368979 0.00003615 0.00009969 0.00001866 0.00007723 0.00027436 0.00433690 0.00019769 0.00008258 0.00376327 0.00002377 0.00028252 0.00002210 0.00398219 0.00003730 0.00432361 0.00011806 0 0.00405850 0.00001825 0.00426728 0.00510199 0.00391063 0.00444632 0.00007806 0.00455541 0.00238558 0.00006674 0.00001684 0.00002134 0.00399438 0.00416763 0.00009794 0.00012024 0.00006566 0.00421497 0.00392019 0.00401330 0.00392717 0.00002341 0.00002161 0.00379049 0.00002275 0.00396730 0.00007513 0.00001971 0.00008562 0.00232652 0.00017567 0.00397943 0.00532893 0.00002177 0.00356421 0.00011237 0.05758790 0.00023006 0.00371795 0.00009810 0.00452597 0.00457791 0.00001979 0.00498263 0.00212138 0.00007666 0.00214006 0.00378342 0.00395395 0.00016428 0.00008274 0.00405444 0.00001801 0.00009232 0.00004642 0.00376978 0.00401560 0.00392330 0.00391668 0.00018801 0.00378393 0.00001684 0.00406932 0.00418121 0.00395785 0.00409958 0.00383308 0.00388911 0.00418502 0.00001533 0.00003798 0.00002718 0.00008016 0.00005260 0.00003145 0.00007852 0.00408547 0.00404094 0.00447122 0.00014646 0.00002404 0.00002422 0.00012940 0.00510844 0.00389894 0.00035935 0.00002870 0.00510553 0.00363072 0.00397802 0.00016827 0.00002266 0.00389769 0.00008992 0.00412654 0.00365983 0.00206863 0.00002962 0.00407566 0.00404347 0.00003114 0.00017624 0.00365364 0.00415558 0.00019479 0.00003703 0.00376483 0.00385447 0.00006486 0.00003286
s_3292 0.00373791 0.00404281 0.00393398 0.00404962 0.00383232 0.00351337 0.00351018 0.00388309 0.00354375 0.00310855 0.00396977 0.00382777 0.00406087 0.00346154 0.00382945 0.00391299 0.00350018 0.00342317 0.00388462 0.00403514 0.00387625 0.00352711 0.00342776 0.00279715 0.00333033 0.00404389 0.00394566 0.00392539 0.00398230 0.00330236 0.00004297 0.00360793 0.00398679 0.00018188 0.00409026 0.00382629 0.00405274 0.00351839 0.00403407 0.00429784 0.00383289 0.00405850 0 0.00399235 0.00009661 0.00474136 0.00348798 0.00350286 0.00397611 0.00459896 0.00399218 0.00400638 0.00398602 0.00398719 0.00355557 0.00008026 0.00397344 0.00390278 0.00402918 0.00003054 0.00393159 0.00383623 0.00345557 0.00408968 0.00397470 0.00297412 0.00402050 0.00391172 0.00395842 0.00400362 0.00387097 0.00394587 0.00389125 0.00311160 0.00492646 0.00403310 0.00359460 0.00394492 0.05806775 0.00384760 0.00364989 0.00399819 0.00343877 0.00352485 0.00398486 0.00449944 0.00393697 0.00399662 0.00396579 0.00339967 0.00341472 0.00389340 0.00395749 0.00386204 0.00392809 0.00398413 0.00400963 0.00338146 0.00394810 0.00307631 0.00341769 0.00388942 0.00295349 0.00399956 0.00327091 0.00004197 0.00393498 0.00387474 0.00351358 0.00351927 0.00006591 0.00400255 0.00389829 0.00404380 0.00405532 0.00402714 0.00405873 0.00369339 0.00313162 0.00355885 0.00345667 0.00376672 0.00403620 0.00399406 0.00369942 0.00474143 0.00387996 0.00368363 0.00404460 0.00477907 0.00322883 0.00307819 0.00360484 0.00406441 0.00353362 0.00398936 0.00372972 0.00370674 0.00389878 0.00404819 0.00012226 0.00386948 0.00401244 0.00390112 0.00366195 0.00330284 0.00381465 0.00399720 0.00336097 0.00205382 0.00396251 0.00398697
s_3257 0.00026516 0.00001888 0.00015580 0.00002838 0.00379287 0.00431288 0.00385085 0.00388265 0.00396922 0.00396842 0.00224028 0.00384013 0.00003059 0.00372173 0.00027440 0.00002910 0.00428133 0.00372073 0.00015628 0.00001888 0.00386606 0.00393442 0.00426929 0.00299048 0.00357801 0.00002814 0.00009215 0.00001628 0.00007211 0.00026452 0.00411162 0.00020224 0.00007485 0.00359666 0.00002583 0.00027837 0.00001447 0.00391070 0.00003008 0.00431464 0.00012396 0.00001825 0.00399235 0 0.00414886 0.00495297 0.00388543 0.00423080 0.00007607 0.00463952 0.00228551 0.00006361 0.00001479 0.00001481 0.00394636 0.00401837 0.00010486 0.00011517 0.00006513 0.00416822 0.00392550 0.00383464 0.00375325 0.00002015 0.00001889 0.00373741 0.00002147 0.00390432 0.00007012 0.00001731 0.00008231 0.00224809 0.00016404 0.00392385 0.00513027 0.00001859 0.00344247 0.00009474 0.03779644 0.00023465 0.00375721 0.00010109 0.00429645 0.00437641 0.00001952 0.00479598 0.00214460 0.00007683 0.00214876 0.00370911 0.00379131 0.00016779 0.00007752 0.00385318 0.00002204 0.00008492 0.00004185 0.00368567 0.00394416 0.00391289 0.00372578 0.00018424 0.00368911 0.00001511 0.00397478 0.00410990 0.00393735 0.00385338 0.00381768 0.00386748 0.00403468 0.00001539 0.00003845 0.00002172 0.00008413 0.00004560 0.00002394 0.00007296 0.00405563 0.00397486 0.00427336 0.00015364 0.00001927 0.00001950 0.00013568 0.00491804 0.00386668 0.00033801 0.00002361 0.00497129 0.00353086 0.00394134 0.00016713 0.00001887 0.00392734 0.00008714 0.00392191 0.00353058 0.00209900 0.00002524 0.00399651 0.00384478 0.00002430 0.00016588 0.00362689 0.00401534 0.00017957 0.00003309 0.00363486 0.00379457 0.00005513 0.00002628
s_3266 0.00386476 0.00427872 0.00417419 0.00426119 0.00390389 0.00368686 0.00356975 0.00406166 0.00362413 0.00326370 0.00408286 0.00400067 0.00415727 0.00352218 0.00394581 0.00407613 0.00371101 0.00353426 0.00411481 0.00425085 0.00400822 0.00359089 0.00356052 0.00279720 0.00336293 0.00426393 0.00418675 0.00408837 0.00421730 0.00340743 0.00009672 0.00373911 0.00420089 0.00010948 0.00420520 0.00393690 0.00426823 0.00359248 0.00423340 0.00436205 0.00394853 0.00426728 0.00009661 0.00414886 0 0.00488641 0.00356211 0.00364699 0.00419650 0.00465708 0.00418658 0.00422798 0.00415648 0.00414641 0.00360004 0.00012725 0.00407781 0.00402816 0.00412258 0.00008316 0.00394828 0.00402374 0.00352000 0.00417779 0.00414689 0.00306493 0.00424499 0.00394767 0.00416456 0.00417238 0.00406140 0.00404653 0.00408961 0.00319209 0.00509546 0.00426659 0.00356388 0.00414271 0.05392897 0.00394586 0.00367838 0.00416282 0.00357418 0.00366098 0.00415523 0.00461986 0.00393467 0.00409675 0.00397640 0.00344677 0.00359355 0.00399677 0.00417806 0.00404511 0.00407647 0.00421827 0.00424756 0.00343591 0.00397262 0.00317878 0.00349507 0.00384429 0.00301053 0.00419730 0.00346431 0.00009377 0.00393669 0.00407442 0.00351195 0.00358188 0.00011572 0.00419556 0.00408030 0.00416998 0.00417529 0.00423029 0.00418461 0.00374741 0.00328635 0.00364847 0.00360526 0.00396414 0.00425671 0.00421251 0.00378565 0.00486049 0.00391747 0.00381649 0.00426674 0.00488690 0.00331200 0.00319323 0.00367821 0.00428370 0.00358343 0.00411094 0.00392528 0.00365850 0.00392019 0.00425185 0.00008231 0.00404308 0.00424887 0.00408904 0.00368129 0.00342950 0.00397096 0.00421563 0.00339244 0.00210035 0.00417743 0.00421699
s_3366 0.00461706 0.00510653 0.00448873 0.00507586 0.00470003 0.00488379 0.00492120 0.00515036 0.00494670 0.00449208 0.00497981 0.00511056 0.00487077 0.00475645 0.00450131 0.00483600 0.00486595 0.00477870 0.00485598 0.00508961 0.00493278 0.00487709 0.00481542 0.00384657 0.00452769 0.00508242 0.00500288 0.00488354 0.00506036 0.00401935 0.00506243 0.00430343 0.00498527 0.00436366 0.00479280 0.00460929 0.00505711 0.00485206 0.00501391 0.00053140 0.00465241 0.00510199 0.00474136 0.00495297 0.00488641 0 0.00475566 0.00481262 0.00504140 0.00036610 0.00510089 0.00504226 0.00497931 0.00491131 0.00489118 0.00494269 0.00479899 0.00470417 0.00478332 0.00491830 0.00476122 0.00508744 0.00482014 0.00488192 0.00493616 0.00428075 0.00504183 0.00483421 0.00497342 0.00492733 0.00482307 0.00487117 0.00480306 0.00449946 0.00025921 0.00509624 0.00440248 0.00497687 0.09618586 0.00463543 0.00446419 0.00488603 0.00491370 0.00488642 0.00491280 0.00188114 0.00472387 0.00482120 0.00470931 0.00463193 0.00486617 0.00467160 0.00493632 0.00513391 0.00489425 0.00506420 0.00508368 0.00464810 0.00490048 0.00440614 0.00477736 0.00465178 0.00425651 0.00497089 0.00459509 0.00491233 0.00477043 0.00512599 0.00475051 0.00475732 0.00491067 0.00494015 0.00479455 0.00485318 0.00484770 0.00508132 0.00491142 0.00448447 0.00462583 0.00487592 0.00476494 0.00453043 0.00509687 0.00511463 0.00440891 0.00023249 0.00474157 0.00453590 0.00507356 0.00023565 0.00459461 0.00447398 0.00425590 0.00510623 0.00473826 0.00485495 0.00492003 0.00438448 0.00462724 0.00507458 0.00469285 0.00511239 0.00505844 0.00479229 0.00447301 0.00457527 0.00464346 0.00502828 0.00457017 0.00493480 0.00493027 0.00503458
s_3306 0.00354363 0.00389528 0.00373861 0.00386585 0.00127468 0.00278192 0.00380876 0.00395340 0.00008610 0.00247020 0.00389364 0.00390266 0.00394124 0.00381380 0.00365487 0.00378310 0.00272957 0.00022227 0.00370788 0.00390702 0.00126247 0.00003061 0.00277082 0.00025471 0.00015880 0.00390630 0.00378677 0.00383146 0.00383131 0.00327959 0.00354815 0.00348541 0.00381635 0.00317330 0.00400248 0.00374169 0.00391787 0.00003272 0.00391653 0.00437161 0.00369505 0.00391063 0.00348798 0.00388543 0.00356211 0.00475566 0 0.00276757 0.00380964 0.00465677 0.00395760 0.00383989 0.00385477 0.00386608 0.00394492 0.00344810 0.00385980 0.00379125 0.00391956 0.00358792 0.00132597 0.00392916 0.00371565 0.00399426 0.00378387 0.00234110 0.00389322 0.00130209 0.00382316 0.00384803 0.00374370 0.00384963 0.00371164 0.00243705 0.00496260 0.00389314 0.00124628 0.00380650 0.06180790 0.00369735 0.00365088 0.00395287 0.00275819 0.00276860 0.00386589 0.00470224 0.00392112 0.00383931 0.00389958 0.00014435 0.00007524 0.00376467 0.00378503 0.00393800 0.00378040 0.00384156 0.00386417 0.00013898 0.00129202 0.00238673 0.00028248 0.00376315 0.00234513 0.00386788 0.00256924 0.00354819 0.00132287 0.00391933 0.00388810 0.00001597 0.00347991 0.00388757 0.00373337 0.00391685 0.00393427 0.00389373 0.00397606 0.00358316 0.00250128 0.00008546 0.00278181 0.00361303 0.00391256 0.00389222 0.00361744 0.00471272 0.00133649 0.00357314 0.00390037 0.00482350 0.00022521 0.00248561 0.00350612 0.00390890 0.00001733 0.00388226 0.00378749 0.00150909 0.00385020 0.00389539 0.00346097 0.00394064 0.00389803 0.00376503 0.00134680 0.00273082 0.00364826 0.00384651 0.00021748 0.00338946 0.00381124 0.00385500
s_3409 0.00395743 0.00443456 0.00408765 0.00441067 0.00420888 0.00033191 0.00433814 0.00446163 0.00279154 0.00017907 0.00446779 0.00421173 0.00420084 0.00418958 0.00405407 0.00416312 0.00028875 0.00281309 0.00429500 0.00444736 0.00448728 0.00281606 0.00036579 0.00233842 0.00261407 0.00448093 0.00434045 0.00418542 0.00425643 0.00359181 0.00372072 0.00373439 0.00418460 0.00342097 0.00402643 0.00400698 0.00438615 0.00281296 0.00446410 0.00427406 0.00401102 0.00444632 0.00350286 0.00423080 0.00364699 0.00481262 0.00276757 0 0.00424551 0.00447448 0.00450651 0.00428079 0.00426526 0.00423691 0.00430558 0.00359269 0.00402671 0.00405214 0.00419325 0.00361051 0.00429687 0.00433401 0.00425744 0.00421894 0.00424757 0.00020279 0.00438839 0.00433492 0.00436109 0.00426422 0.00419009 0.00441974 0.00417248 0.00018880 0.00494339 0.00442569 0.00398358 0.00427069 0.05994546 0.00400058 0.00389313 0.00406400 0.00032678 0.00033078 0.00424098 0.00498014 0.00426429 0.00409021 0.00427297 0.00273578 0.00285052 0.00404681 0.00412591 0.00439493 0.00416304 0.00439443 0.00433279 0.00267577 0.00439158 0.00019576 0.00281165 0.00407486 0.00024761 0.00428208 0.00047762 0.00357399 0.00434415 0.00435536 0.00418526 0.00273852 0.00358064 0.00425704 0.00417864 0.00423339 0.00413129 0.00436078 0.00424113 0.00397500 0.00016333 0.00282271 0.00041752 0.00411366 0.00437731 0.00446009 0.00389994 0.00478361 0.00429534 0.00392557 0.00439536 0.00481544 0.00253601 0.00015559 0.00380930 0.00444932 0.00276453 0.00416033 0.00426418 0.00404174 0.00419808 0.00443980 0.00353444 0.00437551 0.00443840 0.00423909 0.00406785 0.00048852 0.00416377 0.00435735 0.00273291 0.00317629 0.00430038 0.00436977
s_3355 0.00025455 0.00008030 0.00017069 0.00009262 0.00372457 0.00431480 0.00394898 0.00395058 0.00393814 0.00391038 0.00228457 0.00392010 0.00009343 0.00381130 0.00031936 0.00008511 0.00430731 0.00369887 0.00014003 0.00008061 0.00384431 0.00390289 0.00423263 0.00305246 0.00362403 0.00007246 0.00007254 0.00007611 0.00006172 0.00027689 0.00411891 0.00023439 0.00007216 0.00367430 0.00008291 0.00032406 0.00008298 0.00389417 0.00008302 0.00433656 0.00016079 0.00007806 0.00397611 0.00007607 0.00419650 0.00504140 0.00380964 0.00424551 0 0.00456814 0.00235770 0.00006036 0.00007310 0.00007617 0.00394329 0.00399777 0.00015226 0.00015965 0.00011470 0.00416857 0.00381527 0.00389152 0.00387580 0.00008552 0.00008059 0.00370506 0.00007963 0.00384592 0.00009481 0.00007757 0.00013237 0.00228098 0.00013360 0.00391226 0.00525853 0.00008010 0.00353099 0.00012486 0.00554262 0.00024488 0.00367020 0.00014640 0.00423332 0.00436497 0.00008052 0.00494931 0.00209659 0.00012846 0.00214681 0.00370054 0.00381358 0.00019306 0.00006915 0.00390181 0.00007763 0.00014633 0.00007392 0.00370975 0.00389018 0.00386272 0.00368177 0.00024082 0.00372765 0.00007310 0.00404052 0.00408044 0.00385739 0.00392536 0.00381083 0.00380714 0.00401082 0.00007299 0.00008665 0.00008687 0.00010665 0.00006527 0.00008973 0.00012059 0.00399228 0.00394134 0.00425459 0.00017914 0.00008775 0.00008541 0.00017291 0.00502315 0.00380950 0.00036387 0.00008443 0.00509108 0.00343812 0.00392512 0.00019905 0.00008509 0.00380540 0.00014471 0.00401597 0.00362508 0.00205158 0.00008887 0.00402178 0.00391328 0.00008471 0.00014756 0.00355975 0.00396186 0.00022369 0.00008103 0.00368935 0.00382230 0.00011185 0.00008400
s_3334 0.00433441 0.00456327 0.00435727 0.00459472 0.00468616 0.00455706 0.00461401 0.00474680 0.00469177 0.00436568 0.00469804 0.00472732 0.00466316 0.00461741 0.00423113 0.00455075 0.00445397 0.00442980 0.00445040 0.00458750 0.00463996 0.00479183 0.00447376 0.00376721 0.00434917 0.00457672 0.00454575 0.00460260 0.00460313 0.00380909 0.00468828 0.00423295 0.00460241 0.00421524 0.00469230 0.00444228 0.00457055 0.00474118 0.00454278 0.00041350 0.00451374 0.00455541 0.00459896 0.00463952 0.00465708 0.00036610 0.00465677 0.00447448 0.00456814 0 0.00471092 0.00456619 0.00465468 0.00461340 0.00477192 0.00457080 0.00461122 0.00458232 0.00468559 0.00471308 0.00475909 0.00468693 0.00455248 0.00470444 0.00462940 0.00417950 0.00455121 0.00482797 0.00448953 0.00462050 0.00436466 0.00458817 0.00441105 0.00438767 0.00039657 0.00456974 0.00435273 0.00452398 0.08137224 0.00441414 0.00450298 0.00471547 0.00457249 0.00448869 0.00462387 0.00177187 0.00467031 0.00469295 0.00464306 0.00454182 0.00445185 0.00443686 0.00455958 0.00471347 0.00458818 0.00461724 0.00461097 0.00445322 0.00487904 0.00435084 0.00446119 0.00442582 0.00415068 0.00466662 0.00426902 0.00468884 0.00477331 0.00471560 0.00463420 0.00465117 0.00458618 0.00463430 0.00451983 0.00468195 0.00462130 0.00457899 0.00467748 0.00425358 0.00449649 0.00470408 0.00443564 0.00413988 0.00455882 0.00457953 0.00431046 0.00037732 0.00474614 0.00417316 0.00459030 0.00039368 0.00429920 0.00445434 0.00415838 0.00458847 0.00469855 0.00465347 0.00440981 0.00434529 0.00458243 0.00456362 0.00451495 0.00472776 0.00456726 0.00443579 0.00444661 0.00428206 0.00426478 0.00452080 0.00447592 0.00477925 0.00448715 0.00453142
s_3399 0.00214999 0.00239800 0.00217053 0.00235908 0.00371075 0.00456788 0.00389147 0.00423925 0.00413527 0.00401804 0.00015959 0.00401649 0.00230247 0.00371845 0.00227596 0.00221969 0.00449566 0.00406216 0.00230325 0.00237923 0.00386196 0.00406136 0.00451364 0.00315611 0.00377393 0.00239681 0.00234123 0.00227633 0.00237943 0.00197890 0.00424757 0.00209628 0.00234937 0.00377442 0.00224874 0.00226229 0.00237381 0.00404787 0.00235819 0.00452822 0.00218744 0.00238558 0.00399218 0.00228551 0.00418658 0.00510089 0.00395760 0.00450651 0.00235770 0.00471092 0 0.00237561 0.00232022 0.00228898 0.00387230 0.00421006 0.00225711 0.00222416 0.00222605 0.00417146 0.00379224 0.00411475 0.00382677 0.00227696 0.00228727 0.00381363 0.00236965 0.00380323 0.00232791 0.00229561 0.00227753 0.00020322 0.00228831 0.00398052 0.00529420 0.00237916 0.00349210 0.00234977 0.09896249 0.00224187 0.00350359 0.00228278 0.00456296 0.00454732 0.00228288 0.00498555 0.00007813 0.00223653 0.00007478 0.00386492 0.00401664 0.00224060 0.00231764 0.00416726 0.00227894 0.00234988 0.00238704 0.00387043 0.00387275 0.00391710 0.00394416 0.00226334 0.00389076 0.00232334 0.00422031 0.00413415 0.00385905 0.00417184 0.00373248 0.00395913 0.00412903 0.00231196 0.00222610 0.00225305 0.00227285 0.00242273 0.00229809 0.00205274 0.00411009 0.00406877 0.00447820 0.00234146 0.00238622 0.00236098 0.00204240 0.00508579 0.00380881 0.00231082 0.00237975 0.00510800 0.00377250 0.00399864 0.00198360 0.00237882 0.00398259 0.00225445 0.00400034 0.00358580 0.00008500 0.00239017 0.00402292 0.00415867 0.00236370 0.00229862 0.00355115 0.00419448 0.00229661 0.00234703 0.00379531 0.00388834 0.00232515 0.00234285
s_3375 0.00024322 0.00006457 0.00016917 0.00008083 0.00373511 0.00432693 0.00390435 0.00395841 0.00395139 0.00393226 0.00232061 0.00391590 0.00007910 0.00375684 0.00031492 0.00007250 0.00430961 0.00370457 0.00014833 0.00007702 0.00381451 0.00392925 0.00426225 0.00304617 0.00362180 0.00005959 0.00007407 0.00006319 0.00005506 0.00028913 0.00416846 0.00021351 0.00005434 0.00374929 0.00007368 0.00031145 0.00006420 0.00390657 0.00005922 0.00433493 0.00015436 0.00006674 0.00400638 0.00006361 0.00422798 0.00504226 0.00383989 0.00428079 0.00006036 0.00456619 0.00237561 0 0.00006399 0.00006312 0.00389321 0.00407437 0.00013952 0.00015261 0.00010195 0.00416241 0.00382046 0.00391418 0.00382539 0.00007142 0.00006557 0.00377525 0.00007111 0.00385992 0.00009026 0.00006485 0.00012472 0.00230526 0.00013804 0.00391982 0.00529286 0.00007246 0.00353514 0.00012876 0.05668550 0.00024888 0.00368022 0.00013566 0.00428414 0.00439914 0.00006481 0.00492396 0.00212616 0.00010889 0.00213691 0.00372419 0.00377636 0.00017994 0.00006061 0.00392337 0.00006721 0.00013042 0.00007134 0.00370426 0.00390960 0.00386624 0.00371156 0.00022946 0.00372672 0.00006368 0.00405640 0.00412910 0.00386899 0.00392907 0.00376966 0.00382800 0.00405528 0.00005971 0.00008212 0.00007433 0.00010073 0.00007527 0.00007515 0.00011331 0.00403173 0.00396915 0.00427671 0.00016644 0.00007237 0.00007046 0.00016926 0.00505671 0.00381775 0.00038717 0.00007102 0.00506359 0.00348542 0.00389479 0.00019043 0.00007078 0.00382425 0.00012313 0.00399655 0.00361220 0.00208063 0.00007036 0.00402988 0.00391637 0.00006975 0.00015374 0.00355700 0.00395263 0.00021869 0.00007869 0.00370906 0.00385525 0.00010290 0.00007717
s_3265 0.00026503 0.00001621 0.00015672 0.00003321 0.00375722 0.00434504 0.00390636 0.00388573 0.00397267 0.00393536 0.00227305 0.00385371 0.00002563 0.00384861 0.00029434 0.00002841 0.00430122 0.00375718 0.00015856 0.00002277 0.00388012 0.00389634 0.00428844 0.00297526 0.00359101 0.00003004 0.00008905 0.00001462 0.00006762 0.00025230 0.00414633 0.00020084 0.00007275 0.00376104 0.00002497 0.00028453 0.00001559 0.00389723 0.00003360 0.00424886 0.00011986 0.00001684 0.00398602 0.00001479 0.00415648 0.00497931 0.00385477 0.00426526 0.00007310 0.00465468 0.00232022 0.00006399 0 0.00001224 0.00396946 0.00402055 0.00009874 0.00011822 0.00006357 0.00416823 0.00391114 0.00384372 0.00381874 0.00001716 0.00001660 0.00373335 0.00002535 0.00387255 0.00007043 0.00001783 0.00008282 0.00226961 0.00016592 0.00389612 0.00519683 0.00001686 0.00344022 0.00010181 0.00725573 0.00023954 0.00375699 0.00010209 0.00430296 0.00438018 0.00001666 0.00486733 0.00215156 0.00007388 0.00214360 0.00373976 0.00385784 0.00015891 0.00007714 0.00386286 0.00001522 0.00008511 0.00003928 0.00370099 0.00392679 0.00387219 0.00374599 0.00018696 0.00366784 0.00001310 0.00402233 0.00409349 0.00393348 0.00386377 0.00378602 0.00385479 0.00404137 0.00001001 0.00003467 0.00002152 0.00007803 0.00004804 0.00002498 0.00007228 0.00405025 0.00397570 0.00430186 0.00014104 0.00001816 0.00001870 0.00013487 0.00498147 0.00384282 0.00034034 0.00002464 0.00503810 0.00353336 0.00390265 0.00016338 0.00001715 0.00388780 0.00008633 0.00396945 0.00351810 0.00210317 0.00002533 0.00399857 0.00387202 0.00002377 0.00017236 0.00366526 0.00401756 0.00018575 0.00003248 0.00368722 0.00386561 0.00005494 0.00002667
s_3253 0.00026818 0.00001788 0.00015880 0.00003594 0.00377764 0.00429942 0.00384175 0.00386583 0.00394660 0.00393550 0.00223671 0.00385036 0.00002988 0.00378422 0.00029058 0.00003342 0.00426785 0.00372700 0.00015865 0.00002071 0.00388797 0.00391775 0.00425608 0.00300625 0.00359791 0.00003103 0.00009222 0.00001792 0.00007385 0.00026746 0.00411729 0.00019089 0.00007224 0.00361003 0.00002796 0.00028253 0.00001663 0.00389047 0.00003653 0.00431500 0.00012004 0.00002134 0.00398719 0.00001481 0.00414641 0.00491131 0.00386608 0.00423691 0.00007617 0.00461340 0.00228898 0.00006312 0.00001224 0 0.00392968 0.00403710 0.00010264 0.00011517 0.00006787 0.00415149 0.00390070 0.00382255 0.00374312 0.00002009 0.00001632 0.00374134 0.00002425 0.00387873 0.00006993 0.00001664 0.00008241 0.00227027 0.00016351 0.00390152 0.00513525 0.00001948 0.00345527 0.00010054 0.03543143 0.00023693 0.00372486 0.00010437 0.00425573 0.00435703 0.00002198 0.00481274 0.00211723 0.00007598 0.00212959 0.00371835 0.00382919 0.00017463 0.00007763 0.00384748 0.00001946 0.00008533 0.00004396 0.00369442 0.00391710 0.00386796 0.00372916 0.00018979 0.00366551 0.00001098 0.00397089 0.00409010 0.00388158 0.00386304 0.00375299 0.00385316 0.00400171 0.00001726 0.00004055 0.00002511 0.00007916 0.00004963 0.00002766 0.00007431 0.00401108 0.00395873 0.00427142 0.00014305 0.00002205 0.00001694 0.00013943 0.00491288 0.00383147 0.00034711 0.00002292 0.00496606 0.00354929 0.00392659 0.00016926 0.00002259 0.00386484 0.00008690 0.00395397 0.00354236 0.00211682 0.00002895 0.00399674 0.00385004 0.00002675 0.00016985 0.00364105 0.00397136 0.00018738 0.00003237 0.00369134 0.00375941 0.00005882 0.00003315
