s_3203	s_3356	s_3347	s_3226	s_3193	s_3277	s_3249	s_3328	s_3287	s_3254	s_3200	s_3185	s_3250	s_3224	s_3326	s_3268	s_3218	s_3227	s_3274	s_3358	s_3165	s_3181	s_3188	s_3297	s_3196	s_3164	s_3283	s_3304	s_3357	s_3174	s_3264	s_3237	s_3322	s_3342	s_3353	s_3325	s_3292	s_3190	s_3257	s_3266	s_3213	s_3191	s_3306	s_3189	s_3209	s_3355	s_3334	s_3242	s_3265	s_3253	s_3217	s_3288	s_3205	s_3345	s_3341	s_3319	s_3282	s_3337	s_3259	s_3223	s_3235	s_3284	s_3330	s_3244	s_3163	s_3220	s_3261	s_3271	s_3228	s_3167	s_3169	s_3215	s_3285	s_3251	s_3202	s_3225	s_3343	s_3258	s_3312	s_3210	s_3294	s_3238	s_3263	s_3233	s_3305	s_3313	s_3310	s_3187	s_3204	s_3275	s_3317	s_3262	s_3186	s_3171	s_3162	s_3241	s_3276	s_3332	s_3173	s_3230	s_3286	s_3240	s_3324	s_3350	s_3260	s_3278	s_3302	s_3195	s_3168	s_3321	s_3194	s_3206	s_3293	s_3247	s_3307	s_3243	s_3178	s_3255	s_3269	s_3340	s_3212	s_3245	s_3252	s_3207	s_3344	s_3183	s_3201	s_3175	s_3208	s_3267	s_3161	s_3216	s_3234	s_3354	s_3291	s_3170	s_3346	s_3308	s_3229	s_3318	s_3295	s_3166	s_3239	s_3197	s_3333	s_3222	s_3311	s_3314	s_3248	s_3214	s_3289
s_3325 0.00461411 0.00034365 0.00968637 0.00064857 0.00901753 0.00040131 0.00036695 0.00035010 0.00766274 0.00017713 0.00825928 0.00786297 0.00020623 0.00089028 0.00034335 0.00046449 0.00774588 0.00894627 0.01100334 0.00048964 0.00038030 0.00861554 0.00822862 0.00041248 0.00772034 0.00035240 0.00102471 0.00962239 0.01118210 0.00035927 0.00045676 0.00038516 0.00823300 0.00035019 0.00039708 0 0.00936040 0.00815834 0.01002748 0.00045132 0.00067667 0.00811224 0.00801361 0.00839454 0.00088305 0.00057846 0.00782186 0.00850804 0.00116003 0.00764818 0.00781452 0.00784911 0.00447338 0.00771619 0.00035412 0.00119893 0.00201218 0.00913354 0.01031377 0.00819082 0.00797521 0.00045491 0.00047475 0.01243345 0.00043322 0.00893860 0.00035666 0.00042002 0.00764728 0.00038534 0.00035546 0.00783037 0.00787081 0.00063261 0.00776747 0.00042643 0.00096063 0.00066992 0.00814238 0.00989236 0.00082743 0.00926972 0.00036513 0.00087904 0.00993464 0.00859422 0.01069602 0.00915851 0.00459461 0.01059896 0.00042644 0.00034890 0.00762532 0.00035928 0.00036311 0.00779417 0.01085292 0.00046423 0.00869233 0.00778474 0.00791854 0.00771728 0.00783583 0.00034491 0.00039549 0.05754460 0.00798416 0.00872690 0.00036633 0.00036095 0.00872804 0.00172062 0.00079971 0.00035802 0.01037656 0.01115712 0.00043487 0.00015053 0.00052982 0.00038252 0.00026939 0.00040199 0.00012808 0.00080171 0.00035227 0.00796097 0.00816116 0.00865203 0.00036988 0.00047363 0.00076283 0.00783622 0.00797254 0.00032257 0.00998762 0.00035668 0.00535204 0.00500638 0.00798631 0.00957629 0.00078438 0.00039246 0.00781801 0.00784873 0.00748124 0.00784001 0.00495116 0.00928895 0.00037287 0.00006939 0.00777278
s_3292 0.00948095 0.00945720 0.00894168 0.00947600 0.00102664 0.00951754 0.00923390 0.00948681 0.00910555 0.00910140 0.00036926 0.00674028 0.00926445 0.00975360 0.00949580 0.00889538 0.00823103 0.01084190 0.01012996 0.00960576 0.00924212 0.00823497 0.00035774 0.00937641 0.00935170 0.00929395 0.00999469 0.00103884 0.01017434 0.00925750 0.00897424 0.00932690 0.00811199 0.00946953 0.00952949 0.00936040 0 0.00799259 0.01104581 0.00890345 0.00980303 0.00796515 0.00950601 0.00046419 0.00975018 0.00957598 0.00802199 0.01033877 0.00988529 0.00634851 0.00641288 0.00945174 0.00936463 0.00943546 0.00950824 0.01122153 0.01107386 0.00077596 0.00210846 0.00703847 0.00652264 0.00918538 0.00943782 0.01147682 0.00936651 0.00889851 0.00927461 0.00912615 0.00943212 0.00932847 0.00923660 0.00645057 0.00941135 0.00972269 0.00926496 0.00914158 0.01029253 0.00906940 0.00800512 0.00895153 0.00966720 0.01087097 0.00926236 0.00975021 0.00127204 0.00940503 0.00947406 0.00109795 0.00945850 0.00990483 0.00949826 0.00929032 0.00648991 0.00916601 0.00930939 0.00960086 0.01000520 0.00941920 0.00852639 0.00956273 0.00952014 0.00949694 0.00967472 0.00948977 0.00946223 0.05891115 0.00685905 0.00068532 0.00926696 0.00942602 0.00067186 0.01036267 0.00971427 0.00892440 0.00194415 0.01013935 0.00946372 0.00925727 0.00929585 0.00948454 0.00947371 0.00934138 0.00905557 0.00968884 0.00944143 0.00679270 0.00800174 0.00815470 0.00932265 0.00911454 0.00955014 0.00636448 0.00653113 0.00945653 0.00102065 0.00927590 0.01019832 0.00984285 0.00978840 0.00093509 0.00993810 0.00935631 0.00958963 0.00934009 0.00948903 0.00668801 0.00988340 0.00086056 0.00924622 0.00909950 0.00930760
s_3190 0.00778451 0.00843961 0.01030225 0.00861884 0.00799659 0.00829372 0.00831967 0.00834110 0.00771140 0.00817789 0.00692339 0.00742892 0.00808886 0.00878413 0.00844160 0.00809589 0.00767360 0.00923904 0.01074848 0.00863072 0.00819675 0.00043742 0.00685108 0.00846733 0.00709909 0.00824573 0.00893306 0.00826867 0.01092937 0.00821973 0.00809778 0.00843506 0.00031545 0.00844899 0.00843964 0.00815834 0.00799259 0 0.00962624 0.00809013 0.00854628 0.00009669 0.00722878 0.00712115 0.00858371 0.00857417 0.00012911 0.00868178 0.00888230 0.00706892 0.00700449 0.00774767 0.00768769 0.00712627 0.00843300 0.00988025 0.00998891 0.00841615 0.00924384 0.00762814 0.00707601 0.00825534 0.00818549 0.01229464 0.00839427 0.00588158 0.00841459 0.00825205 0.00798908 0.00829191 0.00820645 0.00703043 0.00771609 0.00854261 0.00702186 0.00837651 0.00939272 0.00856108 0.00019075 0.00969588 0.00840378 0.00925900 0.00843233 0.00842006 0.00884765 0.00805976 0.01049994 0.00773361 0.00775661 0.01046215 0.00842776 0.00844670 0.00717828 0.00821198 0.00828492 0.00797477 0.01067873 0.00853799 0.00085210 0.00799089 0.00773100 0.00795264 0.00806597 0.00842141 0.00829521 0.05798404 0.00755436 0.00769333 0.00824520 0.00841820 0.00767558 0.00960798 0.00836859 0.00843061 0.00915793 0.01104668 0.00845144 0.00811231 0.00836930 0.00846033 0.00821230 0.00844258 0.00817595 0.00867110 0.00841471 0.00754605 0.00016249 0.00034653 0.00841099 0.00812582 0.00849152 0.00704087 0.00710684 0.00843819 0.00902766 0.00825534 0.00853587 0.00820396 0.00817091 0.00876804 0.00852972 0.00833508 0.00796541 0.00703754 0.00771204 0.00731444 0.00815549 0.00837517 0.00842539 0.00800537 0.00764570
s_3257 0.00999764 0.01000271 0.01275916 0.01024176 0.01087264 0.01002194 0.00984779 0.01001313 0.01000203 0.01003800 0.00994777 0.01005118 0.00997315 0.01053829 0.01003511 0.01007862 0.00972251 0.01104275 0.00485660 0.01012717 0.00998173 0.00980877 0.01001889 0.01001392 0.00953826 0.00994959 0.01061411 0.01146164 0.00498026 0.01001393 0.01005183 0.01003881 0.00986275 0.01002301 0.01003800 0.01002748 0.01104581 0.00962624 0 0.01009391 0.01044896 0.00964124 0.00966565 0.01017314 0.01006870 0.01019479 0.00970362 0.01047380 0.01092803 0.00966882 0.00969618 0.01000045 0.00988355 0.00958291 0.01002740 0.01127080 0.01144527 0.01108449 0.01213618 0.01036280 0.00976884 0.01003487 0.01011987 0.00643783 0.01006981 0.01149678 0.01002960 0.01000323 0.00956088 0.01001238 0.01000432 0.00975574 0.00997699 0.01058018 0.00951952 0.00999465 0.01039334 0.00982231 0.00973304 0.01213694 0.01030006 0.01106424 0.01003989 0.01045676 0.01171552 0.00983510 0.01293121 0.01090429 0.00995874 0.00453257 0.01004020 0.01002225 0.00978749 0.01002368 0.01005660 0.00977646 0.00469192 0.01005430 0.00973876 0.00956033 0.00998475 0.00970799 0.00979869 0.01001416 0.01002016 0.09807047 0.01023056 0.01044990 0.01001565 0.00999237 0.01043559 0.01070097 0.01025703 0.00976290 0.01225415 0.00503763 0.01006617 0.01007671 0.01007722 0.01003398 0.01021382 0.01006387 0.01002370 0.01025762 0.00998128 0.01013285 0.00953338 0.00961669 0.00996976 0.01005866 0.01024578 0.00965445 0.00977128 0.01003541 0.01167433 0.00993080 0.01080304 0.01048720 0.01000082 0.01138460 0.01036217 0.01003165 0.00974019 0.00956466 0.00993421 0.00993717 0.01035983 0.01103855 0.00991551 0.00987064 0.00988361
s_3266 0.00443624 0.00019946 0.00979294 0.00057469 0.00926879 0.00017906 0.00022316 0.00019636 0.00786390 0.00052922 0.00818195 0.00777648 0.00051886 0.00083121 0.00020255 0.00015989 0.00774444 0.00902611 0.01083918 0.00036670 0.00022985 0.00869238 0.00818241 0.00014555 0.00777303 0.00019858 0.00077658 0.00917728 0.01097724 0.00020653 0.00016494 0.00024928 0.00793620 0.00020500 0.00024382 0.00045132 0.00890345 0.00809013 0.01009391 0 0.00098619 0.00807222 0.00780577 0.00838609 0.00107501 0.00044505 0.00778428 0.00848895 0.00098870 0.00768616 0.00760592 0.00782535 0.00434456 0.00775250 0.00020133 0.00142260 0.00157189 0.00895499 0.01037466 0.00830412 0.00780229 0.00013879 0.00025680 0.01241896 0.00028177 0.00902944 0.00020367 0.00015788 0.00777754 0.00021768 0.00020717 0.00764673 0.00783886 0.00103977 0.00765198 0.00029843 0.00075184 0.00041642 0.00776575 0.00996884 0.00048239 0.00933975 0.00020342 0.00070915 0.00970899 0.00822460 0.01014199 0.00905749 0.00438178 0.01046493 0.00025278 0.00019575 0.00763078 0.00022278 0.00020589 0.00775564 0.01074382 0.00022222 0.00858926 0.00771480 0.00784037 0.00777813 0.00750592 0.00018987 0.00016940 0.03840479 0.00754747 0.00893767 0.00021258 0.00019970 0.00894148 0.00161907 0.00044399 0.00022405 0.00994728 0.01106602 0.00028968 0.00050313 0.00028385 0.00022626 0.00060920 0.00025089 0.00047108 0.00094779 0.00020896 0.00794403 0.00810804 0.00864082 0.00040662 0.00014211 0.00063273 0.00755273 0.00776068 0.00020130 0.00963041 0.00021075 0.00516215 0.00486469 0.00809023 0.00920669 0.00044004 0.00024173 0.00788862 0.00779900 0.00783509 0.00787317 0.00476500 0.00920686 0.00017974 0.00043521 0.00778472
s_3213 0.00515245 0.00089870 0.01095420 0.00128516 0.00963302 0.00104805 0.00099919 0.00088569 0.00846593 0.00080254 0.00891558 0.00843956 0.00084711 0.00157459 0.00090117 0.00104663 0.00841718 0.00945494 0.01158620 0.00109037 0.00095498 0.00885999 0.00884477 0.00094389 0.00812603 0.00093565 0.00171439 0.01027540 0.01163401 0.00094406 0.00105489 0.00101763 0.00865955 0.00090974 0.00097554 0.00067667 0.00980303 0.00854628 0.01044896 0.00098619 0 0.00854446 0.00825574 0.00904534 0.00174956 0.00114860 0.00826932 0.00910965 0.00172323 0.00825886 0.00830453 0.00841767 0.00505100 0.00817520 0.00093577 0.00192759 0.00274206 0.01003884 0.01100354 0.00880534 0.00855520 0.00109063 0.00106659 0.01306765 0.00104859 0.00952402 0.00090460 0.00089266 0.00813473 0.00097197 0.00095491 0.00846211 0.00843084 0.00131937 0.00797614 0.00100651 0.00183552 0.00128607 0.00863780 0.01082444 0.00136907 0.00976685 0.00094482 0.00155048 0.01054540 0.00882933 0.01122273 0.00991236 0.00522209 0.01109562 0.00098429 0.00091508 0.00818314 0.00096448 0.00093638 0.00810088 0.01138714 0.00104082 0.00939978 0.00817032 0.00842714 0.00812080 0.00825148 0.00090406 0.00099289 0.05911594 0.00853638 0.00937701 0.00094882 0.00091620 0.00936184 0.00260158 0.00136784 0.00099157 0.01110107 0.01177992 0.00107023 0.00071612 0.00107279 0.00099400 0.00089354 0.00102343 0.00074583 0.00160323 0.00091188 0.00861130 0.00858428 0.00903692 0.00107183 0.00103579 0.00150010 0.00842798 0.00857219 0.00091274 0.01069701 0.00094462 0.00601443 0.00557532 0.00845550 0.01015060 0.00130507 0.00101180 0.00817999 0.00811320 0.00841078 0.00836387 0.00555394 0.00995477 0.00096158 0.00065120 0.00835481
s_3191 0.00773988 0.00838579 0.01029719 0.00860618 0.00794382 0.00827580 0.00829801 0.00830078 0.00768818 0.00811272 0.00689774 0.00741610 0.00808395 0.00869490 0.00840710 0.00810672 0.00764062 0.00920703 0.01068567 0.00854834 0.00822284 0.00040255 0.00682799 0.00847979 0.00702809 0.00827184 0.00888573 0.00824825 0.01086454 0.00826695 0.00814518 0.00834422 0.00027061 0.00840462 0.00837444 0.00811224 0.00796515 0.00009669 0.00964124 0.00807222 0.00854446 0 0.00715013 0.00711652 0.00857115 0.00854242 0.00009654 0.00864828 0.00885581 0.00701803 0.00698429 0.00772034 0.00765451 0.00705816 0.00840131 0.00990229 0.00999678 0.00835079 0.00933567 0.00756738 0.00702846 0.00820828 0.00817283 0.01224474 0.00836670 0.00578251 0.00842103 0.00824565 0.00794122 0.00829200 0.00823877 0.00699710 0.00769799 0.00847105 0.00694013 0.00832756 0.00939756 0.00850691 0.00015969 0.00963822 0.00842463 0.00913965 0.00839428 0.00834443 0.00882441 0.00800290 0.01043792 0.00773674 0.00775120 0.01039557 0.00842032 0.00840755 0.00716176 0.00820044 0.00827747 0.00793318 0.01061960 0.00848589 0.00083275 0.00795044 0.00772967 0.00794498 0.00800676 0.00841845 0.00823773 0.05815147 0.00752995 0.00762577 0.00822354 0.00841728 0.00763142 0.00952376 0.00835600 0.00837206 0.00909553 0.01101451 0.00842871 0.00811250 0.00836219 0.00843905 0.00812901 0.00838809 0.00811842 0.00864952 0.00839334 0.00751606 0.00012622 0.00031880 0.00843837 0.00809127 0.00846978 0.00698891 0.00705670 0.00838370 0.00898327 0.00826190 0.00850118 0.00816222 0.00811757 0.00865254 0.00854308 0.00828559 0.00792149 0.00697067 0.00771274 0.00727000 0.00811097 0.00835588 0.00840064 0.00800709 0.00762372
s_3306 0.00757838 0.00797952 0.01081229 0.00820584 0.00928266 0.00792714 0.00783662 0.00801408 0.00740699 0.00798730 0.00839457 0.00817061 0.00790311 0.00839111 0.00800932 0.00772147 0.00726452 0.00840691 0.01083757 0.00825288 0.00794935 0.00729522 0.00838026 0.00782772 0.00032702 0.00793775 0.00811057 0.00972513 0.01102699 0.00798220 0.00794811 0.00797775 0.00739388 0.00801873 0.00804860 0.00801361 0.00950601 0.00722878 0.00966565 0.00780577 0.00825574 0.00715013 0 0.00857575 0.00810996 0.00815771 0.00718793 0.00774252 0.00840252 0.00785689 0.00782806 0.00757951 0.00744907 0.00031120 0.00815026 0.00848937 0.00923919 0.00946199 0.01038464 0.00819003 0.00791634 0.00782203 0.00802279 0.01243624 0.00789176 0.00694843 0.00791415 0.00777128 0.00697910 0.00799548 0.00797852 0.00780264 0.00759399 0.00839619 0.00027440 0.00794236 0.00834249 0.00768019 0.00720154 0.01039240 0.00826246 0.00833540 0.00790400 0.00856838 0.00997828 0.00573599 0.01097691 0.00926924 0.00754164 0.01044547 0.00811374 0.00790994 0.00788383 0.00796249 0.00798536 0.00703972 0.01056461 0.00795517 0.00737898 0.00700356 0.00764878 0.00704643 0.00704054 0.00801560 0.00787384 0.10009309 0.00828742 0.00889511 0.00791366 0.00795509 0.00886225 0.00902924 0.00813779 0.00779482 0.01065007 0.01111189 0.00802589 0.00805464 0.00793169 0.00804408 0.00808616 0.00796990 0.00795402 0.00798673 0.00799343 0.00821517 0.00724029 0.00722505 0.00768969 0.00781564 0.00824223 0.00770743 0.00788912 0.00801261 0.01000906 0.00786769 0.00829253 0.00796100 0.00725861 0.00981398 0.00835104 0.00802715 0.00709625 0.00026620 0.00767688 0.00794787 0.00798111 0.00953573 0.00787164 0.00783217 0.00748288
s_3189 0.00851597 0.00846920 0.00802308 0.00868459 0.00089068 0.00857515 0.00845573 0.00851180 0.00855386 0.00845954 0.00034838 0.00587976 0.00854747 0.00895567 0.00852148 0.00839265 0.00811467 0.00999163 0.00970364 0.00865470 0.00837326 0.00739969 0.00029302 0.00842708 0.00844710 0.00840233 0.00908482 0.00070353 0.00965497 0.00833190 0.00830333 0.00848755 0.00726075 0.00850266 0.00854732 0.00839454 0.00046419 0.00712115 0.01017314 0.00838609 0.00904534 0.00711652 0.00857575 0 0.00886516 0.00862787 0.00715625 0.00938479 0.00925932 0.00552500 0.00560117 0.00865190 0.00845997 0.00847940 0.00852755 0.01024444 0.01005493 0.00049196 0.00168646 0.00618295 0.00563045 0.00849827 0.00848482 0.01085937 0.00845438 0.00796737 0.00851759 0.00840031 0.00864642 0.00842691 0.00835168 0.00562096 0.00858257 0.00887688 0.00840159 0.00845365 0.00927773 0.00867519 0.00714075 0.00805446 0.00874036 0.00992777 0.00848391 0.00893978 0.00090759 0.00845069 0.00861181 0.00096985 0.00855085 0.00951041 0.00853471 0.00852169 0.00563764 0.00831558 0.00841938 0.00872493 0.00963684 0.00850723 0.00778136 0.00875076 0.00861290 0.00867638 0.00875758 0.00852018 0.00856857 0.06421274 0.00599869 0.00059613 0.00838334 0.00846191 0.00059522 0.00914021 0.00874835 0.00849274 0.00153576 0.00971633 0.00854642 0.00847706 0.00851869 0.00852255 0.00861414 0.00850168 0.00845490 0.00884107 0.00849336 0.00601445 0.00713823 0.00734137 0.00850765 0.00844341 0.00873425 0.00554077 0.00562840 0.00849436 0.00069754 0.00839426 0.00932975 0.00886647 0.00891011 0.00066752 0.00906652 0.00846799 0.00869724 0.00841462 0.00858361 0.00584939 0.00892761 0.00053846 0.00850426 0.00835474 0.00849577
s_3209 0.00482971 0.00092855 0.01080689 0.00121614 0.00982828 0.00093566 0.00097228 0.00092394 0.00820888 0.00100223 0.00873383 0.00834587 0.00120301 0.00149582 0.00092288 0.00104894 0.00808741 0.00935842 0.01103520 0.00112956 0.00098216 0.00920540 0.00862734 0.00097935 0.00792134 0.00093670 0.00164403 0.01005201 0.01113515 0.00092100 0.00104684 0.00100947 0.00884795 0.00092415 0.00098811 0.00088305 0.00975018 0.00858371 0.01006870 0.00107501 0.00174956 0.00857115 0.00810996 0.00886516 0 0.00116097 0.00851575 0.00917481 0.00184356 0.00817185 0.00805739 0.00815501 0.00465983 0.00803565 0.00094564 0.00250398 0.00295777 0.01001577 0.01081873 0.00873467 0.00817684 0.00115929 0.00114512 0.01243719 0.00105894 0.00935731 0.00091361 0.00099123 0.00820265 0.00098901 0.00094819 0.00806290 0.00815389 0.00154437 0.00795197 0.00094273 0.00204208 0.00132086 0.00860427 0.01041883 0.00132142 0.00948306 0.00094308 0.00152362 0.01059379 0.00862917 0.01112454 0.00970029 0.00480866 0.01063028 0.00098461 0.00093616 0.00801043 0.00095179 0.00097060 0.00824327 0.01092092 0.00105215 0.00884109 0.00826242 0.00815954 0.00815890 0.00824972 0.00093076 0.00092699 0.05502133 0.00842900 0.00944843 0.00096181 0.00092187 0.00941219 0.00207887 0.00137964 0.00099158 0.01087999 0.01126363 0.00106193 0.00099306 0.00110676 0.00098320 0.00112604 0.00100502 0.00095463 0.00118684 0.00094196 0.00839452 0.00865931 0.00904703 0.00068680 0.00105445 0.00154009 0.00806353 0.00818628 0.00093968 0.01076229 0.00096248 0.00558659 0.00520200 0.00838333 0.01027825 0.00153567 0.00096194 0.00823040 0.00789283 0.00815555 0.00846010 0.00517964 0.00995834 0.00096945 0.00087497 0.00813232
s_3355 0.00463480 0.00030112 0.01065869 0.00080114 0.00951991 0.00032598 0.00034622 0.00029929 0.00801187 0.00068545 0.00846157 0.00816322 0.00071416 0.00108053 0.00030323 0.00044632 0.00789693 0.00935072 0.01109699 0.00041795 0.00035362 0.00910155 0.00840983 0.00039009 0.00798109 0.00030753 0.00092799 0.00978016 0.01119284 0.00031862 0.00042373 0.00036677 0.00868168 0.00030490 0.00035915 0.00057846 0.00957598 0.00857417 0.01019479 0.00044505 0.00114860 0.00854242 0.00815771 0.00862787 0.00116097 0 0.00837732 0.00893846 0.00131700 0.00797055 0.00783802 0.00821221 0.00453404 0.00807781 0.00031253 0.00161526 0.00180064 0.00926927 0.01049745 0.00857442 0.00804350 0.00041084 0.00055515 0.01245518 0.00039770 0.00923182 0.00031120 0.00035042 0.00802774 0.00035070 0.00032054 0.00787999 0.00826025 0.00115841 0.00791374 0.00049155 0.00085969 0.00065208 0.00851556 0.01023026 0.00082293 0.00952847 0.00031748 0.00082437 0.01037889 0.00869065 0.01098026 0.00934163 0.00458225 0.01068426 0.00036063 0.00030963 0.00790810 0.00033461 0.00033752 0.00818203 0.01091877 0.00046196 0.00899660 0.00817247 0.00829409 0.00807200 0.00820435 0.00030698 0.00031494 0.05826537 0.00828918 0.00921465 0.00034204 0.00031683 0.00919587 0.00181315 0.00080119 0.00033338 0.01062762 0.01096599 0.00040171 0.00064584 0.00049641 0.00034689 0.00077109 0.00037461 0.00061747 0.00100694 0.00031402 0.00824932 0.00856310 0.00903116 0.00049812 0.00044026 0.00076974 0.00781953 0.00804894 0.00031988 0.01033275 0.00032997 0.00543709 0.00504071 0.00824472 0.00983236 0.00076424 0.00036033 0.00815413 0.00799372 0.00824665 0.00822572 0.00498364 0.00982685 0.00033793 0.00058610 0.00813208
s_3334 0.00780122 0.00826479 0.01034475 0.00837166 0.00805086 0.00811068 0.00803201 0.00794140 0.00740869 0.00788128 0.00680862 0.00745262 0.00773873 0.00848209 0.00814225 0.00775114 0.00768581 0.00939251 0.01079942 0.00842147 0.00803553 0.00041516 0.00689248 0.00820108 0.00709366 0.00809838 0.00868464 0.00818835 0.01101027 0.00806710 0.00788054 0.00810081 0.00028160 0.00822068 0.00824549 0.00782186 0.00802199 0.00012911 0.00970362 0.00778428 0.00826932 0.00009654 0.00718793 0.00715625 0.00851575 0.00837732 0 0.00874934 0.00874814 0.00704566 0.00698954 0.00763474 0.00767755 0.00711943 0.00826027 0.00987157 0.00998222 0.00855143 0.00930296 0.00770168 0.00709785 0.00807908 0.00810835 0.01235073 0.00819732 0.00570883 0.00808800 0.00794118 0.00789045 0.00814857 0.00805713 0.00702000 0.00763489 0.00830250 0.00703013 0.00801164 0.00917899 0.00788262 0.00015354 0.00983023 0.00841021 0.00924915 0.00809681 0.00862515 0.00881233 0.00786561 0.01047722 0.00774015 0.00778320 0.01046941 0.00818229 0.00806830 0.00720566 0.00799513 0.00814104 0.00801342 0.01064792 0.00818155 0.00084124 0.00797596 0.00772032 0.00792276 0.00806172 0.00828123 0.00806308 0.05296398 0.00760789 0.00766048 0.00804929 0.00788509 0.00769816 0.00973246 0.00821195 0.00776334 0.00896382 0.01100744 0.00822739 0.00787971 0.00813822 0.00831797 0.00797830 0.00816505 0.00776163 0.00870381 0.00821220 0.00755462 0.00017013 0.00034038 0.00828797 0.00793744 0.00834819 0.00703783 0.00712297 0.00826115 0.00894120 0.00810770 0.00855514 0.00811467 0.00821418 0.00869992 0.00865675 0.00810730 0.00802687 0.00709936 0.00766732 0.00734727 0.00809518 0.00830188 0.00808201 0.00772956 0.00750850
s_3242 0.00794244 0.00872444 0.00732621 0.00884513 0.01036509 0.00879530 0.00868574 0.00872159 0.00832565 0.00864210 0.00922045 0.00407356 0.00880391 0.00906867 0.00875823 0.00846879 0.00765516 0.00253854 0.01141308 0.00890082 0.00867375 0.00880645 0.00915590 0.00884417 0.00760043 0.00859286 0.00938718 0.01062388 0.01150898 0.00866487 0.00847753 0.00870554 0.00889229 0.00868958 0.00876103 0.00850804 0.01033877 0.00868178 0.01047380 0.00848895 0.00910965 0.00864828 0.00774252 0.00938479 0.00917481 0.00893846 0.00874934 0 0.00920767 0.00386918 0.00375679 0.00830759 0.00774190 0.00764264 0.00871791 0.00980983 0.01045341 0.01048595 0.01153401 0.00436115 0.00385267 0.00853196 0.00857531 0.01305302 0.00873714 0.00951329 0.00872619 0.00855353 0.00097351 0.00866150 0.00867669 0.00379245 0.00829117 0.00922285 0.00754695 0.00845792 0.00936674 0.00901250 0.00886856 0.00667469 0.00890838 0.00239963 0.00874802 0.00920963 0.01113657 0.00794542 0.00708886 0.01018851 0.00794015 0.01106547 0.00874301 0.00876497 0.00383948 0.00868611 0.00870961 0.00094614 0.01126355 0.00870348 0.00872962 0.00097101 0.00832138 0.00101650 0.00095406 0.00869908 0.00881401 0.06939997 0.00425042 0.00988833 0.00865604 0.00867630 0.00992397 0.01024794 0.00886925 0.00878018 0.01161258 0.01178772 0.00876192 0.00850680 0.00870340 0.00874633 0.00850577 0.00879077 0.00864652 0.00894226 0.00868639 0.00426916 0.00865730 0.00870873 0.00869104 0.00846956 0.00900708 0.00380933 0.00385703 0.00873171 0.01106793 0.00855706 0.00867592 0.00841080 0.00117885 0.01076659 0.00891354 0.00868417 0.00096421 0.00749106 0.00827055 0.00411433 0.00836186 0.01062742 0.00877938 0.00821389 0.00827538
s_3265 0.00517319 0.00105886 0.01078940 0.00129656 0.01010851 0.00105855 0.00110912 0.00106218 0.00876654 0.00124433 0.00912244 0.00867769 0.00121243 0.00168210 0.00106293 0.00099649 0.00855378 0.00983239 0.01170251 0.00118581 0.00110592 0.00949389 0.00904728 0.00095295 0.00840520 0.00108621 0.00164770 0.01016527 0.01185266 0.00107148 0.00099864 0.00116174 0.00892355 0.00106805 0.00111614 0.00116003 0.00988529 0.00888230 0.01092803 0.00098870 0.00172323 0.00885581 0.00840252 0.00925932 0.00184356 0.00131700 0.00874814 0.00920767 0 0.00844803 0.00837507 0.00874974 0.00510230 0.00853548 0.00107411 0.00252655 0.00241224 0.00974724 0.01118599 0.00916897 0.00861356 0.00108914 0.00105506 0.01328617 0.00115426 0.00982873 0.00105468 0.00095554 0.00833670 0.00110268 0.00108293 0.00840316 0.00877458 0.00183382 0.00853570 0.00100564 0.00183000 0.00120467 0.00874247 0.01090712 0.00121900 0.01006658 0.00108099 0.00164148 0.01052269 0.00917408 0.01107111 0.00998781 0.00513484 0.01133863 0.00111632 0.00106472 0.00846282 0.00109088 0.00109519 0.00843695 0.01163552 0.00105143 0.00946497 0.00842595 0.00877525 0.00829657 0.00817954 0.00104738 0.00105064 0.05376076 0.00848186 0.00973698 0.00110933 0.00105974 0.00969569 0.00267237 0.00117061 0.00109406 0.01085135 0.01201049 0.00118397 0.00124417 0.00106044 0.00109557 0.00127058 0.00114871 0.00116941 0.00180006 0.00106453 0.00884798 0.00889412 0.00929196 0.00118723 0.00098759 0.00155640 0.00838473 0.00862510 0.00106404 0.01065745 0.00107877 0.00584982 0.00545537 0.00865316 0.01027781 0.00122603 0.00110285 0.00848710 0.00860528 0.00872806 0.00868422 0.00550155 0.01012562 0.00111980 0.00113561 0.00870681
