s_1645	s_1669	F_28	s_1661	s_1633	F_47	F_17	F_12	F_53	F_35	F_51	s_1688	s_1655	s_1617	s_1630	F_58	F_13	s_1626	F_37	s_1622	s_1691	s_1658	s_1666	F_39	F_44	F_64	F_31	s_1649	F_61	G_2	F_26	s_1613	F_19	F_21	s_1653	s_1667	s_1674	G_5	s_1684	F_32	s_1641	s_1686	s_1643	F_56	s_1689	s_1672	F_59	s_1632	F_41	F_27	F_54	F_15	s_1627	F_45	s_1664	s_1624	s_1615	s_1639	F_24	s_1679	s_1612	G_9	s_1677	s_1647	G_4	s_1692	F_52	F_34	F_25	s_1650	s_1620	F_11	F_18	F_62	F_43	s_1614	s_1648	F_29	s_1657	s_1671	s_1625	s_1646	s_1656	F_42	s_1660	F_40	s_1636	s_1690	s_1687	F_14	F_60	F_48	s_1682	F_20	F_23	F_57	s_1659	s_1676	s_1680	s_1638	s_1631	s_1662	F_36	F_66	F_38	G_7	s_1644	F_55	s_1637	F_67	F_46	F_65	G_8	s_1673	F_63	F_16	G_1	s_1654	s_1681	s_1683	s_1665	F_22	s_1621	G_6	F_30	s_1628	s_1685	s_1651	s_1642	G_3	F_33	F_50	s_1675	s_1668	s_1670	s_1678	F_49	s_1640	s_1623
s_1667 0.00000291 0.00000024 0.00003373 0.00001650 0.00481159 0.00001671 0.00001671 0.00532786 0.00533114 0.00005934 0.00005341 0.00000120 0.07958267 0.00472825 0.00479789 0.00552674 0.00543519 0.00000607 0.00542902 0.00544877 0.00480164 0.00001674 0.00000120 0.00002873 0.07516109 0.15280363 0.00509993 0.00470741 0.00003349 0.00558336 0.00551799 0.00000485 0.00003026 0.00004518 0.00537076 0 0.00540850 0.00004817 0.00547242 0.00530902 0.00480716 0.00548040 0.00000485 0.00546496 0.00000217 0.00543866 0.00000533 0.00482958 0.00001670 0.00002825 0.00511492 0.00521481 0.00000975 0.00509553 0.00001798 0.00537242 0.00531198 0.00483087 0.00521628 0.00540843 0.08360041 0.00004129 0.00541411 0.00000461 0.00003097 0.00003641 0.00522834 0.00529213 0.00003339 0.00477649 0.00540311 0.00513499 0.00001373 1.00000000 0.00003254 0.00000364 0.00001383 0.00512205 0.07856450 0.00541326 0.00000194 0.00002517 0.00546882 0.00532622 0.00001649 0.00522821 0.00000461 0.00540866 0.00540402 0.00003840 0.07515832 0.00510654 0.00540860 0.00509945 0.00003289 0.00542261 0.00001720 0.00543818 0.00540653 0.00483202 0.00480115 0.00001652 0.00002435 0.00003474 0.00537591 0.00003809 0.00000461 0.00004588 0.00000437 0.00003881 0.00003398 0.00566275 0.00552544 0.00541843 0.00003156 0.00003496 0.00526490 0.00000439 0.00540382 0.00540760 0.00000048 0.00004133 0.00532024 0.00004252 0.00524080 0.05759180 0.00540215 0.00481579 0.00483493 0.00513556 0.00533061 0.15247440 0.00543683 0.00000096 0.00000048 0.00540759 0.00000825 0.00485744 0.00497681
s_1674 0.00537133 0.00536791 0.00526996 0.00538697 0.00561014 0.00528335 0.00528418 0.00477458 0.00477606 0.00499548 0.00499435 0.00528490 0.07917764 0.00548958 0.00557436 0.00502401 0.00494886 0.00530426 0.00501655 0.00001095 0.00557955 0.00531446 0.00537453 0.00529802 0.07576666 0.15209469 0.00570570 0.00496859 0.00527425 0.00494575 0.00509029 0.00529329 0.00527729 0.00528478 0.00000524 0.00540850 0 0.00499089 0.00000537 0.00475764 0.00556170 0.00000732 0.00537831 0.00446906 0.00528238 0.00000505 0.00527521 0.00561380 0.00530039 0.00527928 0.00570865 0.00531982 0.00524412 0.00576984 0.00539202 0.00000453 0.00005783 0.00561752 0.00533575 0.00000880 0.08301066 0.00498584 0.00000832 0.00529451 0.00527697 0.00529715 0.00569916 0.00492251 0.00528877 0.00559909 0.00000453 0.00533121 0.00527218 1.00000000 0.00499795 0.00529273 0.00537886 0.00566069 0.07759689 0.00000647 0.00531210 0.00536174 0.00000318 0.00477762 0.00539045 0.00489237 0.00537319 0.00000405 0.00000572 0.00527673 0.07577311 0.00580506 0.00001309 0.00532898 0.00528253 0.00003119 0.00538780 0.00000238 0.00001118 0.00559586 0.00560719 0.00531560 0.00528844 0.00527701 0.00498107 0.00498317 0.00537772 0.00498715 0.00537241 0.00498397 0.00527130 0.00517655 0.00490967 0.00000311 0.00529229 0.00526840 0.00546122 0.00529876 0.00000357 0.00000810 0.00531811 0.00499340 0.00000715 0.00499236 0.00570089 0.06122217 0.00000500 0.00554184 0.00556351 0.00531378 0.00477323 0.15156404 0.00000334 0.00537603 0.00539663 0.00001237 0.00526209 0.00550854 0.00000517
G_5 0.00004427 0.00004783 0.00003211 0.00005453 0.00492012 0.00003059 0.00003084 0.00532185 0.00532185 0.00003610 0.00001573 0.00004767 0.07954418 0.00472014 0.00481011 0.00555992 0.00539591 0.00005465 0.00540580 0.00515503 0.00491423 0.00005462 0.00004840 0.00003175 0.07536474 0.15221272 0.00505110 0.00463304 0.00003066 0.00532924 0.00549343 0.00004651 0.00003771 0.00002913 0.00507241 0.00004817 0.00499089 0 0.00507232 0.00531517 0.00488973 0.00507097 0.00004579 0.00549234 0.00004757 0.00507307 0.00004410 0.00493890 0.00003664 0.00003099 0.00506835 0.00487557 0.00005134 0.00505018 0.00005552 0.00507279 0.00502431 0.00493562 0.00487744 0.00501677 0.08358575 0.00000970 0.00501640 0.00004555 0.00003878 0.00003863 0.00524249 0.00524072 0.00003941 0.00490919 0.00510021 0.00487646 0.00003057 0.00000000 0.00002787 0.00004546 0.00005250 0.00508278 0.07865395 0.00486873 0.00004229 0.00006143 0.00515646 0.00530321 0.00005472 0.00521500 0.00004603 0.00502054 0.00501836 0.00003553 0.07503255 0.00506077 0.00505187 0.00480705 0.00003936 0.00501693 0.00005496 0.00504305 0.00499399 0.00484141 0.00491326 0.00005498 0.00003232 0.00003215 0.00539684 0.00001133 0.00004618 0.00002442 0.00004569 0.00000993 0.00003088 0.00547002 0.00544320 0.00503491 0.00002944 0.00003235 0.00507538 0.00004626 0.00507351 0.00501913 0.00004822 0.00001204 0.00502030 0.00001063 0.00522740 0.05760712 0.00507444 0.00490611 0.00492915 0.00487254 0.00532241 0.15130716 0.00510171 0.00004807 0.00004806 0.00501689 0.00004266 0.00501883 0.00472570
s_1684 0.00543554 0.00542821 0.00536329 0.00545202 0.00564240 0.00538281 0.00537706 0.00480344 0.00479911 0.00509006 0.00507611 0.00536869 0.07966597 0.00551584 0.00561096 0.00505542 0.00501467 0.00536409 0.00504798 0.00001220 0.00561986 0.00537664 0.00543490 0.00536280 0.07582019 0.15215805 0.00576442 0.00498415 0.00536731 0.00499069 0.00514386 0.00535482 0.00536479 0.00538444 0.00000635 0.00547242 0.00000537 0.00507232 0 0.00478436 0.00559813 0.00000415 0.00544286 0.00448927 0.00536604 0.00000518 0.00536411 0.00564448 0.00539499 0.00537188 0.00578606 0.00535409 0.00529213 0.00583049 0.00545764 0.00000635 0.00005784 0.00564676 0.00537063 0.00000855 0.08356803 0.00506638 0.00000807 0.00535580 0.00536643 0.00538959 0.00573937 0.00497061 0.00537647 0.00563686 0.00000612 0.00536397 0.00537006 1.00000000 0.00507999 0.00535354 0.00544254 0.00574006 0.07791626 0.00000615 0.00537395 0.00543045 0.00000538 0.00480526 0.00545531 0.00494494 0.00543719 0.00000489 0.00000586 0.00537423 0.07583088 0.00586070 0.00001246 0.00536397 0.00537578 0.00003178 0.00545249 0.00000466 0.00000881 0.00562710 0.00563740 0.00537589 0.00538263 0.00537453 0.00502446 0.00505603 0.00544197 0.00507955 0.00543640 0.00506971 0.00536403 0.00524117 0.00495299 0.00000515 0.00539287 0.00536638 0.00550156 0.00536045 0.00000562 0.00000586 0.00537913 0.00507199 0.00000831 0.00507203 0.00574935 0.04068569 0.00000489 0.00557802 0.00557014 0.00534958 0.00480049 0.15163408 0.00000539 0.00543668 0.00545838 0.00000806 0.00534845 0.00553044 0.00000690
F_32 0.00531288 0.00530721 0.00530512 0.00532228 0.00559345 0.00530097 0.00530187 0.00002702 0.00002517 0.00523620 0.00531079 0.00531142 0.08235467 0.00552222 0.00560495 0.00467281 0.00494077 0.00528437 0.00492692 0.00481735 0.00559959 0.00531099 0.00531013 0.00529095 0.07564337 0.15100022 0.00538241 0.00544637 0.00529067 0.00342037 0.00497754 0.00531311 0.00530634 0.00529074 0.00475836 0.00530902 0.00475764 0.00531517 0.00478436 0 0.00557474 0.00479368 0.00531089 0.00479465 0.00531143 0.00472785 0.00528322 0.00560223 0.00530178 0.00529956 0.00537103 0.00567155 0.00525064 0.00538072 0.00531649 0.00475469 0.00478192 0.00560262 0.00567376 0.00475331 0.08481685 0.00531206 0.00477912 0.00531070 0.00529725 0.00529930 0.00551725 0.00485753 0.00530717 0.00559186 0.00475697 0.00567588 0.00529944 0.00000000 0.00527333 0.00531362 0.00531951 0.00538097 0.08000087 0.00456287 0.00531133 0.00530015 0.00479943 0.00002724 0.00531879 0.00488192 0.00531041 0.00477004 0.00476251 0.00530400 0.07566830 0.00529370 0.00475905 0.00566368 0.00530796 0.00473199 0.00531978 0.00476459 0.00478105 0.00560171 0.00559307 0.00531759 0.00529286 0.00529275 0.00492238 0.00525657 0.00530211 0.00529792 0.00531000 0.00530097 0.00529003 0.00511274 0.00342057 0.00477129 0.00528595 0.00529964 0.00568305 0.00530747 0.00475170 0.00476785 0.00530130 0.00531826 0.00478472 0.00531748 0.00564132 0.05660655 0.00470201 0.00560974 0.00564404 0.00566142 0.00002724 0.15148547 0.00476346 0.00530246 0.00530975 0.00475467 0.00528428 0.00561034 0.00440078
s_1641 0.00481110 0.00480686 0.00470225 0.00481508 0.00001009 0.00480402 0.00480678 0.00556633 0.00556911 0.00468375 0.00489464 0.00480921 0.07634653 0.00005215 0.00001263 0.00544420 0.00545205 0.00477600 0.00473258 0.00558675 0.00001019 0.00481128 0.00480614 0.00480634 0.07580718 0.15173130 0.00521352 0.00005604 0.00470262 0.00545626 0.00547520 0.00480589 0.00479603 0.00469317 0.00556732 0.00480716 0.00556170 0.00488973 0.00559813 0.00557474 0 0.00559298 0.00480790 0.00560297 0.00480837 0.00556035 0.00480464 0.00000981 0.00480196 0.00480566 0.00522554 0.00084713 0.00468902 0.00521962 0.00481725 0.00556390 0.00555940 0.00001350 0.00083137 0.00556409 0.08175954 0.00488226 0.00556448 0.00480764 0.00479837 0.00461838 0.00499335 0.00536463 0.00482298 0.00001441 0.00556540 0.00083078 0.00480923 1.00000000 0.00473387 0.00482888 0.00481110 0.00529905 0.07861108 0.00556083 0.00477668 0.00480453 0.00559575 0.00556886 0.00481331 0.00542725 0.00480816 0.00556766 0.00555946 0.00470641 0.07593482 0.00521801 0.00556959 0.00089012 0.00482001 0.00556918 0.00481561 0.00556569 0.00556028 0.00001280 0.00000943 0.00481527 0.00482213 0.00470610 0.00545231 0.00487085 0.00480756 0.00473413 0.00477764 0.00487966 0.00470277 0.00549748 0.00544833 0.00556447 0.00462128 0.00470194 0.00086742 0.00480273 0.00556719 0.00556223 0.00480594 0.00488512 0.00556270 0.00486567 0.00533149 0.05577179 0.00556257 0.00000072 0.00005152 0.00081995 0.00556695 0.14866005 0.00556733 0.00480710 0.00480721 0.00556069 0.00480086 0.00009654 0.00512821
s_1686 0.00543973 0.00546207 0.00536128 0.00545622 0.00563735 0.00535578 0.00537571 0.00481031 0.00480896 0.00508630 0.00507485 0.00537746 0.07953547 0.00551160 0.00560548 0.00505706 0.00498725 0.00536860 0.00504785 0.00001120 0.00561727 0.00538079 0.00546907 0.00536754 0.07601436 0.15219836 0.00573760 0.00497898 0.00536578 0.00498365 0.00514410 0.00538317 0.00536929 0.00537838 0.00000684 0.00548040 0.00000732 0.00507097 0.00000415 0.00479368 0.00559298 0 0.00544706 0.00449621 0.00537472 0.00000592 0.00536561 0.00563877 0.00539554 0.00537231 0.00572853 0.00535106 0.00530791 0.00580525 0.00546185 0.00000660 0.00006021 0.00564148 0.00536729 0.00001123 0.08351688 0.00506553 0.00001025 0.00538440 0.00536943 0.00538842 0.00574136 0.00497457 0.00537966 0.00563117 0.00000734 0.00536315 0.00536466 1.00000000 0.00507791 0.00538213 0.00544674 0.00569212 0.07784405 0.00000639 0.00537842 0.00543037 0.00000538 0.00481835 0.00545952 0.00494638 0.00544170 0.00000391 0.00000587 0.00536934 0.07602156 0.00586551 0.00001514 0.00536303 0.00537627 0.00003396 0.00545669 0.00000564 0.00001123 0.00562138 0.00563194 0.00538004 0.00538316 0.00536964 0.00502513 0.00504345 0.00544645 0.00507019 0.00544087 0.00506560 0.00536296 0.00524693 0.00494826 0.00000686 0.00538718 0.00536250 0.00550051 0.00538924 0.00000562 0.00000440 0.00541084 0.00507063 0.00000758 0.00507063 0.00575457 0.03870753 0.00000611 0.00556566 0.00555771 0.00534846 0.00481035 0.15163359 0.00000662 0.00547061 0.00546799 0.00001001 0.00535196 0.00550656 0.00000598
s_1643 0.00000387 0.00000461 0.00003471 0.00001768 0.00481126 0.00001469 0.00001444 0.00532711 0.00533054 0.00005724 0.00005077 0.00000485 0.07968675 0.00470410 0.00482768 0.00553112 0.00541050 0.00000362 0.00543485 0.00544397 0.00479998 0.00001766 0.00000510 0.00002961 0.07533017 0.15280400 0.00510484 0.00483459 0.00003471 0.00552817 0.00551597 0.00000580 0.00003064 0.00004304 0.00537382 0.00000485 0.00537831 0.00004579 0.00544286 0.00531089 0.00480790 0.00544706 0 0.00546391 0.00000607 0.00540022 0.00000628 0.00482949 0.00001714 0.00002840 0.00511556 0.00521585 0.00000726 0.00510074 0.00001842 0.00536462 0.00530269 0.00482958 0.00524818 0.00538038 0.08352641 0.00003918 0.00538076 0.00000024 0.00003159 0.00003478 0.00523102 0.00525699 0.00003376 0.00480942 0.00539413 0.00521969 0.00001441 1.00000000 0.00003069 0.00000435 0.00001548 0.00512261 0.08209251 0.00537357 0.00000314 0.00002491 0.00546228 0.00532547 0.00001765 0.00522958 0.00000048 0.00537893 0.00537651 0.00003986 0.07532736 0.00511190 0.00537873 0.00514497 0.00003350 0.00539806 0.00001813 0.00539488 0.00538103 0.00483124 0.00480081 0.00001722 0.00002499 0.00003572 0.00537094 0.00003599 0.00000024 0.00004424 0.00000024 0.00003671 0.00003520 0.00563544 0.00552703 0.00538787 0.00002970 0.00003618 0.00538395 0.00000049 0.00537417 0.00537927 0.00000461 0.00003921 0.00531294 0.00004040 0.00524525 0.05757749 0.00537265 0.00482290 0.00483381 0.00513415 0.00532987 0.15250194 0.00539538 0.00000436 0.00000461 0.00538065 0.00000943 0.00485388 0.00497078
F_56 0.00545642 0.00546444 0.00554343 0.00546687 0.00563450 0.00546317 0.00546431 0.00482734 0.00481983 0.00550585 0.00548964 0.00546108 0.08270147 0.00556436 0.00561315 0.00482658 0.00483405 0.00544100 0.00488576 0.00450806 0.00559606 0.00545856 0.00546027 0.00544359 0.07603379 0.15165849 0.00544528 0.00543132 0.00554959 0.00494874 0.00492353 0.00545846 0.00552507 0.00551271 0.00447161 0.00546496 0.00446906 0.00549234 0.00448927 0.00479465 0.00560297 0.00449621 0.00546391 0 0.00546380 0.00450235 0.00544347 0.00564842 0.00552778 0.00544236 0.00546241 0.00575549 0.00540001 0.00545527 0.00546167 0.00447148 0.00449549 0.00564130 0.00576314 0.00447524 0.08432523 0.00548696 0.00447676 0.00546255 0.00552001 0.00551839 0.00549901 0.00499993 0.00553028 0.00562199 0.00449772 0.00576087 0.00545046 0.00000000 0.00551332 0.00545677 0.00546527 0.00547664 0.07996153 0.00427950 0.00545638 0.00543570 0.00451269 0.00475579 0.00546947 0.00503193 0.00546427 0.00447870 0.00447456 0.00553174 0.07608349 0.00546041 0.00447888 0.00571617 0.00552614 0.00449218 0.00546745 0.00449611 0.00447230 0.00563961 0.00563026 0.00545824 0.00551850 0.00554520 0.00491006 0.00544399 0.00545596 0.00550754 0.00546079 0.00547882 0.00554110 0.00517792 0.00494816 0.00449242 0.00550810 0.00553962 0.00575160 0.00545832 0.00447105 0.00447468 0.00545202 0.00548757 0.00447976 0.00549198 0.00546152 0.05760437 0.00447192 0.00564785 0.00565262 0.00574371 0.00481384 0.15175568 0.00449710 0.00545570 0.00546589 0.00447548 0.00543689 0.00560833 0.00415367
s_1689 0.00000266 0.00000192 0.00003317 0.00001601 0.00481187 0.00001396 0.00001371 0.00532776 0.00533006 0.00005650 0.00005281 0.00000000 0.07958688 0.00472934 0.00482787 0.00552671 0.00543018 0.00000558 0.00542111 0.00543557 0.00476968 0.00001648 0.00000072 0.00002793 0.07532600 0.15278014 0.00507972 0.00470140 0.00003317 0.00558170 0.00551605 0.00000607 0.00003122 0.00004382 0.00535918 0.00000217 0.00528238 0.00004757 0.00536604 0.00531143 0.00480837 0.00537472 0.00000607 0.00546380 0 0.00538901 0.00000435 0.00483008 0.00001693 0.00002745 0.00508948 0.00511884 0.00001144 0.00507620 0.00001650 0.00536084 0.00530178 0.00483133 0.00515124 0.00530825 0.08348743 0.00004070 0.00531182 0.00000583 0.00003167 0.00003744 0.00523186 0.00529334 0.00003360 0.00476898 0.00539354 0.00512351 0.00001223 1.00000000 0.00003096 0.00000413 0.00001551 0.00509861 0.07844035 0.00516972 0.00000340 0.00002488 0.00545683 0.00532649 0.00001770 0.00522568 0.00000607 0.00537294 0.00530208 0.00003807 0.07534120 0.00508853 0.00533829 0.00508651 0.00003310 0.00539785 0.00001597 0.00535285 0.00528300 0.00483228 0.00480144 0.00001651 0.00002307 0.00003393 0.00537005 0.00003775 0.00000656 0.00004452 0.00000436 0.00003823 0.00003366 0.00565721 0.00552410 0.00532669 0.00003023 0.00003464 0.00528345 0.00000610 0.00536017 0.00530510 0.00000024 0.00004074 0.00530878 0.00004217 0.00523671 0.05756293 0.00535842 0.00481692 0.00483518 0.00504282 0.00532858 0.15237401 0.00541169 0.00000241 0.00000192 0.00530682 0.00000799 0.00485623 0.00496713
s_1672 0.00539353 0.00540706 0.00535560 0.00540930 0.00560959 0.00537620 0.00537004 0.00479367 0.00479499 0.00508911 0.00507615 0.00539267 0.07882715 0.00548933 0.00557171 0.00503720 0.00495905 0.00530086 0.00502572 0.00001051 0.00558970 0.00533572 0.00541372 0.00538386 0.07608431 0.15241039 0.00579349 0.00498045 0.00536005 0.00499021 0.00510988 0.00531455 0.00536475 0.00537181 0.00000600 0.00543866 0.00000505 0.00507307 0.00000518 0.00472785 0.00556035 0.00000592 0.00540022 0.00450235 0.00538901 0 0.00536106 0.00561439 0.00537268 0.00537046 0.00577359 0.00532570 0.00523363 0.00578413 0.00541356 0.00000624 0.00005987 0.00561725 0.00534358 0.00000817 0.08291096 0.00506622 0.00000937 0.00531567 0.00536297 0.00538110 0.00570249 0.00498022 0.00537482 0.00559969 0.00000792 0.00534104 0.00535923 1.00000000 0.00507974 0.00531401 0.00539851 0.00577639 0.07709707 0.00001071 0.00533321 0.00538304 0.00000542 0.00479061 0.00541227 0.00501773 0.00539468 0.00000336 0.00000553 0.00536795 0.07609274 0.00580662 0.00001273 0.00534728 0.00537434 0.00003194 0.00540959 0.00000601 0.00000961 0.00559324 0.00561132 0.00533673 0.00538042 0.00536821 0.00500854 0.00506631 0.00539960 0.00507611 0.00539415 0.00507111 0.00535672 0.00522685 0.00494266 0.00000554 0.00537924 0.00535934 0.00547144 0.00531957 0.00000505 0.00000697 0.00534831 0.00507428 0.00000696 0.00507312 0.00571569 0.05754694 0.00000337 0.00553444 0.00555822 0.00532437 0.00479438 0.15189850 0.00000433 0.00541568 0.00543638 0.00000865 0.00534608 0.00547985 0.00000723
F_59 0.00000361 0.00000460 0.00003052 0.00001521 0.00481049 0.00000801 0.00000874 0.00531147 0.00531526 0.00005444 0.00004920 0.00000484 0.07946142 0.00467024 0.00479488 0.00550630 0.00539511 0.00000361 0.00541472 0.00543689 0.00479729 0.00001421 0.00000533 0.00002648 0.07509568 0.15229481 0.00508221 0.00468149 0.00003083 0.00532652 0.00551112 0.00000580 0.00002636 0.00003821 0.00535645 0.00000533 0.00527521 0.00004410 0.00536411 0.00528322 0.00480464 0.00536561 0.00000628 0.00544347 0.00000435 0.00536106 0 0.00482662 0.00001241 0.00002457 0.00504897 0.00519474 0.00000797 0.00506778 0.00001547 0.00535724 0.00529694 0.00482803 0.00523389 0.00530230 0.08354953 0.00003803 0.00530241 0.00000556 0.00002747 0.00003024 0.00525067 0.00524705 0.00003014 0.00476622 0.00538636 0.00520078 0.00001067 0.00000000 0.00002443 0.00000387 0.00001327 0.00510806 0.07852684 0.00513334 0.00000386 0.00002262 0.00545309 0.00529977 0.00001496 0.00521005 0.00000580 0.00530561 0.00530173 0.00003540 0.07498109 0.00507321 0.00533479 0.00513427 0.00002911 0.00528065 0.00001517 0.00532676 0.00527800 0.00482876 0.00479899 0.00001472 0.00002114 0.00003184 0.00538543 0.00003218 0.00000627 0.00003820 0.00000555 0.00003428 0.00003196 0.00564642 0.00532541 0.00532275 0.00002452 0.00003170 0.00535951 0.00000583 0.00535768 0.00530571 0.00000507 0.00003663 0.00530550 0.00003779 0.00522253 0.05768162 0.00535836 0.00478331 0.00479860 0.00514798 0.00531301 0.15165268 0.00538854 0.00000508 0.00000484 0.00530216 0.00000551 0.00485118 0.00496552
s_1632 0.00483267 0.00482898 0.00472280 0.00483775 0.00000298 0.00482707 0.00482899 0.00559501 0.00559534 0.00470126 0.00494148 0.00483126 0.07529328 0.00005403 0.00001294 0.00550784 0.00547921 0.00477183 0.00485306 0.00562867 0.00000282 0.00483344 0.00482814 0.00482371 0.07569082 0.15211125 0.00523281 0.00005611 0.00472348 0.00550846 0.00551953 0.00483116 0.00482071 0.00470819 0.00561880 0.00482958 0.00561380 0.00493890 0.00564448 0.00560223 0.00000981 0.00563877 0.00482949 0.00564842 0.00483008 0.00561439 0.00482662 0 0.00482540 0.00482889 0.00518492 0.00076282 0.00471255 0.00517750 0.00483913 0.00560986 0.00561580 0.00000362 0.00074776 0.00561543 0.08072206 0.00492801 0.00561546 0.00482928 0.00482119 0.00471098 0.00498476 0.00545161 0.00484732 0.00000149 0.00560916 0.00074828 0.00483115 1.00000000 0.00475333 0.00485571 0.00483288 0.00525715 0.07743935 0.00561108 0.00480072 0.00483032 0.00564176 0.00559436 0.00483513 0.00546176 0.00482922 0.00561951 0.00561076 0.00472740 0.07569530 0.00517649 0.00562116 0.00081028 0.00484433 0.00562101 0.00483746 0.00561729 0.00561150 0.00001277 0.00000125 0.00483682 0.00484574 0.00472771 0.00550983 0.00491951 0.00482875 0.00475196 0.00482761 0.00492590 0.00472358 0.00555136 0.00550851 0.00561589 0.00471381 0.00472296 0.00078158 0.00482403 0.00561913 0.00561360 0.00482811 0.00493265 0.00560825 0.00491376 0.00535712 0.05618080 0.00561392 0.00000988 0.00005094 0.00073616 0.00559336 0.14828911 0.00561943 0.00482907 0.00482950 0.00561150 0.00481865 0.00009305 0.00516594
F_41 0.00001442 0.00001569 0.00001748 0.00002544 0.00481458 0.00002148 0.00002125 0.00532232 0.00531724 0.00004657 0.00004006 0.00001522 0.07979230 0.00478995 0.00488291 0.00557640 0.00539404 0.00001415 0.00541997 0.00544882 0.00479367 0.00002759 0.00001647 0.00001655 0.07615409 0.15222185 0.00516028 0.00473456 0.00001713 0.00533464 0.00545303 0.00001689 0.00000911 0.00002881 0.00538774 0.00001670 0.00530039 0.00003664 0.00539499 0.00530178 0.00480196 0.00539554 0.00001714 0.00552778 0.00001693 0.00537268 0.00001241 0.00482540 0 0.00001581 0.00517517 0.00527621 0.00001949 0.00516637 0.00002618 0.00538964 0.00533603 0.00482365 0.00527607 0.00532603 0.08399732 0.00002780 0.00532689 0.00001640 0.00000838 0.00003838 0.00525052 0.00524626 0.00001101 0.00477665 0.00539820 0.00527463 0.00001606 0.00000000 0.00003529 0.00001470 0.00002541 0.00517985 0.07908290 0.00516431 0.00001466 0.00003400 0.00546488 0.00529779 0.00002516 0.00526579 0.00001665 0.00531829 0.00533272 0.00002277 0.07613958 0.00517218 0.00536491 0.00520358 0.00001099 0.00539527 0.00002514 0.00533814 0.00530178 0.00488597 0.00479785 0.00002863 0.00001386 0.00001906 0.00540827 0.00002246 0.00001857 0.00003354 0.00001638 0.00002864 0.00001784 0.00568313 0.00534285 0.00533408 0.00003008 0.00001795 0.00541199 0.00001698 0.00538943 0.00533684 0.00001861 0.00002635 0.00531699 0.00002804 0.00522686 0.05832664 0.00539050 0.00480104 0.00485562 0.00526221 0.00531353 0.15212526 0.00539848 0.00001840 0.00001568 0.00532638 0.00001412 0.00487426 0.00497575
F_27 0.00002639 0.00002723 0.00002011 0.00003736 0.00481334 0.00001409 0.00001338 0.00531583 0.00531945 0.00003930 0.00003598 0.00002724 0.07941381 0.00474244 0.00479751 0.00551211 0.00539143 0.00002635 0.00540466 0.00544675 0.00479972 0.00003701 0.00002802 0.00001512 0.07542051 0.15224125 0.00510723 0.00468420 0.00001988 0.00531949 0.00549250 0.00002839 0.00001614 0.00002698 0.00536664 0.00002825 0.00527928 0.00003099 0.00537188 0.00529956 0.00480566 0.00537231 0.00002840 0.00544236 0.00002745 0.00537046 0.00002457 0.00482889 0.00001581 0 0.00512365 0.00519477 0.00002033 0.00510740 0.00003762 0.00536712 0.00532445 0.00483034 0.00522749 0.00530359 0.08359004 0.00002520 0.00530404 0.00002840 0.00001661 0.00003371 0.00524814 0.00524102 0.00001875 0.00476801 0.00539630 0.00522717 0.00001359 0.00000000 0.00002801 0.00002648 0.00003559 0.00512562 0.07857084 0.00514119 0.00002569 0.00004540 0.00546287 0.00529901 0.00003778 0.00522069 0.00002840 0.00531509 0.00531082 0.00002322 0.07539198 0.00511641 0.00534417 0.00513061 0.00001896 0.00536083 0.00003796 0.00533656 0.00528073 0.00483089 0.00480218 0.00003758 0.00001199 0.00002158 0.00538258 0.00001998 0.00002858 0.00002700 0.00002836 0.00002207 0.00001987 0.00561536 0.00531839 0.00533181 0.00002801 0.00002029 0.00536146 0.00002879 0.00536854 0.00531382 0.00002743 0.00002257 0.00531526 0.00002448 0.00522842 0.05766152 0.00536727 0.00478389 0.00479840 0.00515900 0.00531991 0.15217352 0.00539685 0.00002698 0.00002721 0.00530383 0.00002578 0.00485849 0.00499117
F_54 0.00511297 0.00508898 0.00508649 0.00511419 0.00514852 0.00516225 0.00515838 0.00543764 0.00543371 0.00496931 0.00505733 0.00511770 0.08023808 0.00508587 0.00520505 0.00530109 0.00516424 0.00510118 0.00537294 0.00588375 0.00514173 0.00511916 0.00509474 0.00512202 0.07464744 0.15157242 0.00000467 0.00514139 0.00505492 0.00550335 0.00525084 0.00511150 0.00510932 0.00508059 0.00576931 0.00511492 0.00570865 0.00506835 0.00578606 0.00537103 0.00522554 0.00572853 0.00511556 0.00546241 0.00508948 0.00577359 0.00504897 0.00518492 0.00517517 0.00512365 0 0.00551589 0.00503370 0.00000493 0.00510879 0.00578424 0.00583898 0.00519260 0.00550093 0.00574162 0.08232058 0.00501167 0.00571651 0.00511541 0.00508715 0.00517767 0.00511447 0.00499159 0.00511870 0.00513529 0.00577778 0.00543490 0.00517406 0.00000000 0.00503072 0.00510460 0.00511272 0.00000316 0.07736542 0.00551125 0.00510694 0.00511873 0.00589162 0.00540047 0.00512794 0.00492249 0.00511958 0.00573235 0.00575420 0.00510848 0.07460178 0.00000341 0.00578050 0.00551544 0.00509951 0.00578440 0.00512858 0.00576390 0.00568727 0.00527029 0.00515429 0.00511150 0.00509996 0.00506038 0.00486828 0.00498940 0.00510559 0.00506930 0.00510809 0.00506883 0.00510042 0.00530718 0.00550263 0.00570040 0.00509760 0.00512232 0.00545066 0.00508756 0.00578502 0.00570676 0.00511414 0.00503165 0.00577703 0.00501621 0.00528921 0.05699358 0.00577118 0.00523416 0.00530702 0.00542581 0.00543647 0.15072915 0.00581822 0.00510696 0.00510449 0.00574003 0.00510278 0.00528929 0.00528428
