s_4408	s_4392	s_4428	s_4448	s_4481	s_4445	s_4439	s_4419	s_4449	s_4443	s_4490	s_4452	s_4412	s_4455	s_4409	s_4470	s_4458	s_4444	s_4414	s_4467	s_4435	s_4397	s_4394	s_4425	s_4416	s_4497	s_4464	s_4496	s_4461	s_4407	s_4488	s_4399	s_4390	s_4405	s_4442	s_4489	s_4404	s_4430	s_4391	s_4395	s_4421	s_4465	s_4450	s_4410	s_4478	s_4460	s_4424	s_4415	s_4454	s_4456	s_4411	s_4413	s_4396	s_4423	s_4432	s_4433	s_4492	s_4482	s_4495	s_4476	s_4474	s_4406	s_4418	s_4437	s_4401	s_4436	s_4479	s_4420	s_4403	s_4469	s_4431	s_4422	s_4400	s_4402	s_4462	s_4494	s_4493	s_4491	s_4453	s_4438	s_4475	s_4429
s_4490 0.00364476 0.00355683 0.00059648 0.01582242 0.00053986 0.00365920 0.00062660 0.00305232 0.01603993 0.00109445 0 0.00365305 0.00054019 0.00056346 0.00075769 0.00070135 0.00366577 0.00078683 0.00357066 0.00059917 0.00364369 0.00355281 0.00358785 0.00380168 0.00366941 0.00052700 0.00059958 0.00053085 0.00075563 0.00365878 0.00051299 0.00348058 0.00351146 0.00349624 0.00370764 0.00050310 0.00362551 0.00061769 0.00351320 0.00355794 0.00221818 0.01566123 0.01600310 0.00054665 0.00053083 0.00060369 0.00128719 0.00361806 0.00051986 0.00368673 0.00053517 0.00362049 0.00356552 0.00357308 0.00062628 0.00060349 0.00374719 0.00052499 0.00375733 0.00051968 0.00364066 0.00354394 0.00054242 0.00059274 0.00032866 0.00063318 0.00052815 0.00055401 0.01551462 0.00078331 0.00061859 0.00055509 0.00033724 0.00029187 0.00057028 0.00374839 0.00375244 0.00051813 0.00373402 0.00359061 0.00054849 0.00065053
s_4452 0.00194506 0.00183069 0.00365704 0.01518518 0.00374581 0.00189396 0.00355147 0.00274164 0.01533027 0.00396408 0.00365305 0 0.00325147 0.00368182 0.00332128 0.00348593 0.00193125 0.00357972 0.00188814 0.00364917 0.00138394 0.00189322 0.00190651 0.00163176 0.00195969 0.00367402 0.00371441 0.00364897 0.00360187 0.00194319 0.00364415 0.00183636 0.00181013 0.00007006 0.00209835 0.00363464 0.00007840 0.00362779 0.00181708 0.00186739 0.00204476 0.01467990 0.01532187 0.00338972 0.00370658 0.00367993 0.00226708 0.00189459 0.00370741 0.00190573 0.00336209 0.00193420 0.00189510 0.00191212 0.00360704 0.00358822 0.00004124 0.00373033 0.00004068 0.00340748 0.00193788 0.00007326 0.00339509 0.00367112 0.00287934 0.00365133 0.00368257 0.00340460 0.01496538 0.00334386 0.00358689 0.00324239 0.00285976 0.00280891 0.00372429 0.00003918 0.00004312 0.00364172 0.00197666 0.00198806 0.00369615 0.00363020
s_4412 0.00332962 0.00323759 0.00054409 0.01429113 0.00052518 0.00323598 0.00058512 0.00282216 0.01432617 0.00094480 0.00054019 0.00325147 0 0.00053229 0.00073472 0.00064949 0.00326507 0.00072088 0.00323056 0.00058754 0.00329120 0.00323997 0.00327357 0.00330372 0.00333222 0.00052096 0.00058169 0.00053006 0.00069244 0.00336474 0.00054122 0.00317061 0.00320357 0.00323170 0.00334234 0.00052218 0.00335150 0.00057562 0.00322117 0.00324273 0.00212477 0.01398240 0.01433370 0.00050403 0.00052897 0.00054538 0.00126322 0.00326219 0.00052342 0.00325922 0.00051499 0.00330647 0.00326247 0.00324511 0.00059013 0.00056864 0.00321938 0.00051205 0.00322218 0.00054319 0.00322953 0.00326948 0.00052095 0.00057035 0.00040246 0.00057249 0.00053020 0.00053486 0.01431312 0.00072585 0.00059252 0.00057307 0.00042067 0.00034656 0.00052198 0.00321074 0.00321413 0.00051759 0.00331941 0.00322131 0.00055210 0.00057754
s_4455 0.00367640 0.00357062 0.00057966 0.01583664 0.00056872 0.00367946 0.00061279 0.00310839 0.01606873 0.00103360 0.00056346 0.00368182 0.00053229 0 0.00075805 0.00067434 0.00363592 0.00078056 0.00359429 0.00058926 0.00364664 0.00357752 0.00361938 0.00381531 0.00368419 0.00056633 0.00057865 0.00058795 0.00069182 0.00368690 0.00057701 0.00350605 0.00352896 0.00352764 0.00371868 0.00055813 0.00363766 0.00063322 0.00354890 0.00355588 0.00221389 0.01539669 0.01604039 0.00055538 0.00056314 0.00057694 0.00131051 0.00364317 0.00051871 0.00363280 0.00056177 0.00366497 0.00359655 0.00360707 0.00059468 0.00059591 0.00365161 0.00055978 0.00365859 0.00054170 0.00358907 0.00356741 0.00054560 0.00058776 0.00033762 0.00061442 0.00057083 0.00055332 0.01548805 0.00072261 0.00062107 0.00057303 0.00034665 0.00030149 0.00055575 0.00364893 0.00364887 0.00055362 0.00374600 0.00362831 0.00054712 0.00060356
s_4409 0.00336115 0.00327487 0.00077769 0.01431052 0.00075971 0.00332540 0.00075043 0.00288595 0.01438702 0.00110769 0.00075769 0.00332128 0.00073472 0.00075805 0 0.00082866 0.00332729 0.00082653 0.00328173 0.00079218 0.00338063 0.00327233 0.00330264 0.00340088 0.00339370 0.00073822 0.00073563 0.00075882 0.00073684 0.00338442 0.00074590 0.00316035 0.00323547 0.00327466 0.00340235 0.00075022 0.00329280 0.00079115 0.00324292 0.00326659 0.00210002 0.01407273 0.01442761 0.00072869 0.00074366 0.00075497 0.00128775 0.00330772 0.00072986 0.00333959 0.00072752 0.00337380 0.00328448 0.00327044 0.00078675 0.00081327 0.00330338 0.00074188 0.00329492 0.00079014 0.00333629 0.00327477 0.00074892 0.00072981 0.00052592 0.00075514 0.00073908 0.00073910 0.01398547 0.00077103 0.00079307 0.00070415 0.00052555 0.00047663 0.00072905 0.00330178 0.00330377 0.00075776 0.00337938 0.00323501 0.00075250 0.00078531
s_4470 0.00348666 0.00340235 0.00069259 0.01579356 0.00069155 0.00348832 0.00071147 0.00293012 0.01598401 0.00109050 0.00070135 0.00348593 0.00064949 0.00067434 0.00082866 0 0.00349461 0.00086042 0.00343037 0.00069961 0.00349045 0.00339956 0.00343380 0.00365375 0.00355009 0.00068907 0.00068834 0.00071067 0.00079275 0.00352499 0.00069694 0.00332586 0.00336050 0.00335538 0.00356026 0.00069507 0.00347852 0.00072253 0.00338034 0.00338136 0.00213089 0.01572031 0.01591536 0.00067154 0.00070614 0.00071192 0.00123683 0.00347654 0.00066386 0.00351426 0.00065855 0.00349718 0.00342769 0.00341767 0.00068525 0.00069883 0.00345742 0.00068009 0.00346243 0.00068736 0.00337691 0.00340935 0.00065963 0.00067638 0.00043833 0.00071751 0.00068723 0.00067105 0.01571995 0.00084328 0.00071724 0.00067409 0.00045726 0.00038917 0.00067490 0.00345225 0.00345476 0.00070072 0.00355044 0.00342955 0.00066923 0.00073526
s_4458 0.00019284 0.00010524 0.00366448 0.01485075 0.00372197 0.00016107 0.00358950 0.00271982 0.01504350 0.00397737 0.00366577 0.00193125 0.00326507 0.00363592 0.00332729 0.00349461 0 0.00359550 0.00016644 0.00367926 0.00205996 0.00017496 0.00014685 0.00210135 0.00020558 0.00367920 0.00374461 0.00366370 0.00365878 0.00019896 0.00366424 0.00009988 0.00009871 0.00184986 0.00050219 0.00365022 0.00184067 0.00362891 0.00010431 0.00014813 0.00093711 0.01438392 0.01504175 0.00339628 0.00369482 0.00369343 0.00160729 0.00013372 0.00367829 0.00012083 0.00336380 0.00019076 0.00016563 0.00013654 0.00360421 0.00358555 0.00189328 0.00368794 0.00188802 0.00356812 0.00027200 0.00189033 0.00333293 0.00369453 0.00292226 0.00368500 0.00367600 0.00341395 0.01469125 0.00334822 0.00358466 0.00329999 0.00289413 0.00285129 0.00371650 0.00188969 0.00189521 0.00365021 0.00016258 0.00014620 0.00369718 0.00365456
s_4444 0.00359325 0.00351197 0.00080689 0.01557819 0.00079324 0.00357205 0.00077043 0.00303956 0.01567109 0.00118286 0.00078683 0.00357972 0.00072088 0.00078056 0.00082653 0.00086042 0.00359550 0 0.00353634 0.00079127 0.00357838 0.00351704 0.00354877 0.00368520 0.00364258 0.00078989 0.00077030 0.00079277 0.00080003 0.00362772 0.00079633 0.00344315 0.00347144 0.00345938 0.00367610 0.00079756 0.00360012 0.00081222 0.00348839 0.00349493 0.00213008 0.01528612 0.01566882 0.00073277 0.00080739 0.00078449 0.00126401 0.00357075 0.00074456 0.00358701 0.00074783 0.00359495 0.00353628 0.00354108 0.00081035 0.00079935 0.00356055 0.00078845 0.00355909 0.00079118 0.00351017 0.00349842 0.00076635 0.00076909 0.00046522 0.00077017 0.00079957 0.00076380 0.01549205 0.00083005 0.00080377 0.00073690 0.00047023 0.00043050 0.00076757 0.00355623 0.00356526 0.00077432 0.00364843 0.00355394 0.00077856 0.00079294
s_4414 0.00021340 0.00009322 0.00359746 0.01445167 0.00359109 0.00013875 0.00349223 0.00271555 0.01461327 0.00379041 0.00357066 0.00188814 0.00323056 0.00359429 0.00328173 0.00343037 0.00016644 0.00353634 0 0.00355384 0.00203926 0.00019024 0.00016584 0.00201172 0.00023816 0.00358979 0.00361975 0.00358565 0.00358228 0.00022613 0.00356773 0.00017857 0.00008619 0.00185619 0.00051920 0.00355459 0.00184901 0.00352793 0.00009045 0.00016867 0.00107879 0.01424567 0.01455502 0.00336170 0.00359324 0.00358636 0.00193755 0.00012666 0.00362581 0.00011248 0.00333839 0.00021586 0.00017381 0.00021556 0.00352977 0.00352712 0.00184321 0.00360104 0.00183822 0.00348005 0.00022560 0.00186625 0.00337756 0.00362335 0.00287972 0.00358009 0.00356186 0.00338578 0.01439118 0.00334865 0.00352915 0.00328184 0.00284527 0.00281639 0.00364671 0.00184855 0.00185331 0.00355425 0.00017965 0.00023314 0.00359318 0.00356170
s_4467 0.00361215 0.00355014 0.00060942 0.01614051 0.00060377 0.00368599 0.00061340 0.00300195 0.01593209 0.00108788 0.00059917 0.00364917 0.00058754 0.00058926 0.00079218 0.00069961 0.00367926 0.00079127 0.00355384 0 0.00356890 0.00355918 0.00356613 0.00383650 0.00368737 0.00061859 0.00062623 0.00062076 0.00078384 0.00365328 0.00060952 0.00342763 0.00354424 0.00345446 0.00372565 0.00060132 0.00378233 0.00061972 0.00353735 0.00354843 0.00196027 0.01566350 0.01613875 0.00060023 0.00060194 0.00058200 0.00120986 0.00360235 0.00057234 0.00367412 0.00059885 0.00365196 0.00357473 0.00355063 0.00062164 0.00063037 0.00368282 0.00061119 0.00369262 0.00057442 0.00355358 0.00355635 0.00059138 0.00060021 0.00035078 0.00060944 0.00062575 0.00058084 0.01572761 0.00079943 0.00061758 0.00059369 0.00036718 0.00032317 0.00058907 0.00368930 0.00368233 0.00061448 0.00374525 0.00349317 0.00055032 0.00063938
s_4435 0.00207925 0.00198340 0.00367840 0.01479942 0.00371814 0.00200410 0.00353499 0.00284739 0.01490883 0.00380555 0.00364369 0.00138394 0.00329120 0.00364664 0.00338063 0.00349045 0.00205996 0.00357838 0.00203926 0.00356890 0 0.00202318 0.00204286 0.00038200 0.00212904 0.00366721 0.00370852 0.00366337 0.00362149 0.00210107 0.00364045 0.00196928 0.00195870 0.00136100 0.00223793 0.00361483 0.00174622 0.00364944 0.00195270 0.00202619 0.00219406 0.01447675 0.01491586 0.00343026 0.00369127 0.00366123 0.00226786 0.00203531 0.00369216 0.00203990 0.00341863 0.00209429 0.00201979 0.00205434 0.00363006 0.00362638 0.00134868 0.00372091 0.00133126 0.00296136 0.00203174 0.00137925 0.00342244 0.00367061 0.00292121 0.00363546 0.00368150 0.00344614 0.01480590 0.00339388 0.00360986 0.00330100 0.00289044 0.00284691 0.00370732 0.00134870 0.00134767 0.00362711 0.00211167 0.00212326 0.00368703 0.00368055
s_4397 0.00019093 0.00013450 0.00357002 0.01425719 0.00361899 0.00017493 0.00347007 0.00272919 0.01437069 0.00379913 0.00355281 0.00189322 0.00323997 0.00357752 0.00327233 0.00339956 0.00017496 0.00351704 0.00019024 0.00355918 0.00202318 0 0.00014705 0.00201853 0.00020255 0.00357522 0.00362089 0.00355060 0.00358965 0.00019795 0.00356063 0.00019478 0.00013358 0.00186072 0.00046041 0.00353571 0.00183901 0.00351095 0.00013627 0.00014956 0.00110933 0.01400833 0.01440280 0.00336372 0.00357630 0.00357202 0.00190022 0.00016508 0.00361334 0.00015257 0.00334773 0.00019778 0.00015408 0.00022597 0.00352597 0.00352184 0.00185913 0.00358724 0.00185720 0.00344746 0.00026396 0.00186412 0.00334078 0.00359100 0.00286172 0.00356914 0.00356850 0.00337914 0.01416971 0.00335756 0.00348684 0.00326270 0.00288441 0.00282738 0.00361832 0.00185711 0.00186289 0.00354116 0.00016643 0.00022529 0.00357694 0.00354995
s_4394 0.00017036 0.00011065 0.00360483 0.01448747 0.00365686 0.00014417 0.00349932 0.00273052 0.01457019 0.00380641 0.00358785 0.00190651 0.00327357 0.00361938 0.00330264 0.00343380 0.00014685 0.00354877 0.00016584 0.00356613 0.00204286 0.00014705 0 0.00203522 0.00017810 0.00360991 0.00365550 0.00359051 0.00358724 0.00018384 0.00358614 0.00016730 0.00009953 0.00186731 0.00043997 0.00356554 0.00186434 0.00353607 0.00010726 0.00012642 0.00109297 0.01422938 0.01459311 0.00335843 0.00361610 0.00361049 0.00192555 0.00013261 0.00364171 0.00012388 0.00337011 0.00016999 0.00013127 0.00019874 0.00354495 0.00353837 0.00187205 0.00362508 0.00186627 0.00344728 0.00023208 0.00188373 0.00337043 0.00361979 0.00289862 0.00359633 0.00360490 0.00339835 0.01442525 0.00336226 0.00352135 0.00327353 0.00290571 0.00283035 0.00365459 0.00187571 0.00187503 0.00358235 0.00014565 0.00020428 0.00360661 0.00357789
s_4425 0.00207485 0.00197497 0.00381687 0.01442562 0.00387758 0.00202505 0.00367742 0.00303358 0.01427904 0.00379380 0.00380168 0.00163176 0.00330372 0.00381531 0.00340088 0.00365375 0.00210135 0.00368520 0.00201172 0.00383650 0.00038200 0.00201853 0.00203522 0 0.00209531 0.00381377 0.00381364 0.00379274 0.00379556 0.00208347 0.00376223 0.00191123 0.00197176 0.00156810 0.00226354 0.00374968 0.00176038 0.00371392 0.00196273 0.00201980 0.00194687 0.01386809 0.01442587 0.00342031 0.00383609 0.00378046 0.00222600 0.00202517 0.00382418 0.00208633 0.00341856 0.00208778 0.00202148 0.00203121 0.00375795 0.00376100 0.00159287 0.00389806 0.00161268 0.00317329 0.00196239 0.00154539 0.00340517 0.00378414 0.00299753 0.00379414 0.00385898 0.00347000 0.01394402 0.00363883 0.00373903 0.00334121 0.00293230 0.00292344 0.00381386 0.00161738 0.00161289 0.00379273 0.00215668 0.00217967 0.00381200 0.00377232
s_4416 0.00022778 0.00017390 0.00369568 0.01467722 0.00370856 0.00022365 0.00358698 0.00280537 0.01475794 0.00392413 0.00366941 0.00195969 0.00333222 0.00368419 0.00339370 0.00355009 0.00020558 0.00364258 0.00023816 0.00368737 0.00212904 0.00020255 0.00017810 0.00209531 0 0.00368908 0.00373676 0.00367804 0.00364363 0.00022936 0.00366877 0.00021166 0.00015657 0.00191440 0.00052004 0.00365012 0.00190469 0.00362449 0.00015827 0.00019025 0.00117337 0.01439940 0.01478376 0.00347796 0.00369644 0.00369235 0.00201104 0.00020503 0.00372498 0.00019466 0.00343186 0.00022545 0.00019782 0.00025014 0.00363052 0.00363019 0.00192361 0.00369520 0.00191318 0.00356852 0.00029623 0.00195007 0.00345020 0.00372513 0.00297831 0.00369547 0.00367690 0.00348486 0.01463878 0.00345978 0.00362158 0.00336932 0.00294746 0.00291319 0.00374846 0.00192521 0.00192654 0.00365642 0.00020480 0.00026306 0.00370081 0.00365676
s_4497 0.00365315 0.00358291 0.00059087 0.01571654 0.00052361 0.00366417 0.00061422 0.00310663 0.01586786 0.00106370 0.00052700 0.00367402 0.00052096 0.00056633 0.00073822 0.00068907 0.00367920 0.00078989 0.00358979 0.00061859 0.00366721 0.00357522 0.00360991 0.00381377 0.00368908 0 0.00060265 0.00052184 0.00076569 0.00367937 0.00052128 0.00348788 0.00353105 0.00351416 0.00372261 0.00049012 0.00364407 0.00059899 0.00353579 0.00356728 0.00219164 0.01546705 0.01582044 0.00051598 0.00051710 0.00060114 0.00132138 0.00362283 0.00050061 0.00371529 0.00052672 0.00366428 0.00359485 0.00357727 0.00060187 0.00061475 0.00377293 0.00052995 0.00378306 0.00053193 0.00364266 0.00356090 0.00053907 0.00058918 0.00032830 0.00062524 0.00053316 0.00055765 0.01536619 0.00076937 0.00061722 0.00054684 0.00033996 0.00030157 0.00054411 0.00377074 0.00378231 0.00051927 0.00374701 0.00359831 0.00056776 0.00060208
