s_2937	F_52	F_34	F_25	s_2971	s_2940	F_28	F_18	F_11	s_2968	F_62	F_47	F_17	F_12	s_2961	s_2912	F_43	s_2970	F_29	s_2917	F_53	F_35	s_2904	F_51	F_42	s_2909	F_40	F_58	F_13	F_37	s_2939	F_14	F_60	F_48	s_2923	F_20	F_23	s_2941	s_2907	F_57	F_39	s_2931	F_44	s_2955	s_2918	s_2953	F_64	F_31	F_61	G_2	s_2930	F_36	F_26	F_66	F_38	F_19	s_2972	G_7	s_2964	F_21	s_2956	s_2920	F_55	s_2966	F_67	s_2903	G_5	F_46	F_65	G_8	F_32	F_63	F_16	s_2945	G_1	s_2914	F_56	s_2933	s_2965	F_59	s_2915	F_41	F_27	F_22	s_2954	F_54	s_2950	F_30	s_2959	G_6	F_15	s_2948	s_2942	s_2926	G_3	F_45	s_2908	s_2962	F_50	F_33	s_2949	s_2927	s_2969	F_24	s_2916	F_49	s_2952	s_2921	G_9	s_2944	G_4
F_62 0.03623728 0.16114790 0.16114790 0.16114790 0.04793388 0.04008847 0.16114790 0.16114790 0.16114790 0.09782255 0 0.16114790 0.16114790 0.16114790 0.08440047 0.04788639 0.16114790 0.04854369 0.16114790 0.05704170 0.16114790 0.16114790 0.03210095 0.16114790 0.08057395 0.03412322 0.16114790 0.16114790 0.16114790 0.16114790 0.05553442 0.16114790 0.16629956 0.16114790 0.04801762 0.16114790 0.16114790 0.04008847 0.03602484 0.16114790 0.16114790 0.05427509 0.16629956 0.04132465 0.05923203 0.03288288 0.16652927 0.16114790 0.16114790 0.03222958 0.05745769 0.16114790 0.16114790 0.16158285 0.06528452 0.16114790 0.03624628 0.03222958 0.03599801 0.16114790 0.03625528 0.04265264 0.16114790 0.03599801 0.16158285 0.08523059 0.16114790 0.16114790 0.16158285 0.03222958 0.16114790 0.16158285 0.16114790 0.03207965 0.16114790 0.04322084 0.16114790 0.05570393 0.08635334 0.16114790 0.03839380 0.16114790 0.16114790 0.16114790 0.03209385 0.16114790 0.04106485 0.16114790 0.03623728 0.16114790 0.16114790 0.04804212 0.04673496 0.04276187 0.16114790 0.16114790 0.03896104 0.04802632 0.16629956 0.16114790 0.04677988 0.03598547 0.09074074 0.16114790 0.05925623 0.16114790 0.02738185 0.03325040 0.16114790 0.03629132 0.16114790
F_47 0.01301342 0.01450048 0.01379304 0.00008261 0.01361979 0.01315792 0.00002758 0.00000971 0.01504236 0.01684125 0.16114790 0 0.00000219 0.01384206 0.01485339 0.01267193 0.00039870 0.01492154 0.01428631 0.00007012 0.01386237 0.00049394 0.00004157 0.00030324 0.01380210 0.01510399 0.01404182 0.01458859 0.01396676 0.01418376 0.01311785 0.00003029 0.07624528 0.01420845 0.01495456 0.01446734 0.00008146 0.01319814 0.00003883 0.01493911 0.00005369 0.00129085 0.07615390 0.00002948 0.00010717 0.01297953 0.15230009 0.01422620 0.00002717 0.01425116 0.00004019 0.00001139 0.01418941 0.00003013 0.01427004 0.00013796 0.00002539 0.00014275 0.01300744 0.00039619 0.00004406 0.01512841 0.00035083 0.01295266 0.00021301 0.08147137 0.00025813 0.00002732 0.01573777 0.01424950 0.01380501 0.00042265 0.00002633 0.00004721 0.01531971 0.00010710 0.01466882 0.08254302 0.01319341 0.00000971 0.00008231 0.00012084 0.00001554 0.00021941 0.00003526 0.01423117 0.01314598 0.01387318 0.00003417 0.00020994 0.01500103 0.01309920 0.01330993 0.01496311 0.01501201 0.01418593 0.01446986 0.00003845 0.15193225 0.01385783 0.01279008 0.01483926 0.07937110 0.01506009 0.00007084 0.00002091 0.01318071 0.01491224 0.00021985 0.00004814 0.00012368
F_17 0.01304612 0.01450227 0.01379024 0.00008346 0.01360013 0.01318069 0.00002816 0.00001021 0.01497065 0.01685465 0.16114790 0.00000219 0 0.01380789 0.01485509 0.01267728 0.00040653 0.01488815 0.01427844 0.00007084 0.01383712 0.00050749 0.00004301 0.00030433 0.01380310 0.01493538 0.01404005 0.01460561 0.01396760 0.01418382 0.01313824 0.00003029 0.07629014 0.01420717 0.01496377 0.01451604 0.00008265 0.01322824 0.00004124 0.01468371 0.00005473 0.00129119 0.07612782 0.00003141 0.00010862 0.01298350 0.15231824 0.01422265 0.00002546 0.01402926 0.00004186 0.00001191 0.01420563 0.00002965 0.01423249 0.00013952 0.00002705 0.00014371 0.01303117 0.00039754 0.00004527 0.01514173 0.00035097 0.01297589 0.00021504 0.08163277 0.00025886 0.00002644 0.01576183 0.01402760 0.01379516 0.00042255 0.00002657 0.00004913 0.01532220 0.00010903 0.01467102 0.08270842 0.01322365 0.00001166 0.00008303 0.00012140 0.00001533 0.00022208 0.00003618 0.01420325 0.01314973 0.01388311 0.00003561 0.00021042 0.01493436 0.01312187 0.01333005 0.01497723 0.01500386 0.01421559 0.01448263 0.00004035 0.15195271 0.01383834 0.01282023 0.01479243 0.07942167 0.01494160 0.00007253 0.00002116 0.01320376 0.01478013 0.00021985 0.00004956 0.00012344
F_12 0.01447854 0.01495538 0.01278938 0.01382899 0.01187080 0.01452696 0.01380425 0.01383258 0.01519326 0.01457924 0.16114790 0.01384206 0.01380789 0 0.01333035 0.01402731 0.01385972 0.01312752 0.01478926 0.01342108 0.00000000 0.01369776 0.01340854 0.01384404 0.00000026 0.01343045 0.01299481 0.01232494 0.01309640 0.01268929 0.01457739 0.01375804 0.07565178 0.01467630 0.01312098 0.01505164 0.01386405 0.01458140 0.01346923 0.01263170 0.01383705 0.01312359 0.07564202 0.01361566 0.01333608 0.01421299 0.15182984 0.01461568 0.01377347 0.00914603 0.01338565 0.01382250 0.01306247 0.01379396 0.01309280 0.01383723 0.01330552 0.01373493 0.01451107 0.01383685 0.01355247 0.01304605 0.01386139 0.01436036 0.01381188 0.08368305 0.01384037 0.01377267 0.01476814 0.00914495 0.00007087 0.01383418 0.01377363 0.01347790 0.01522094 0.01333410 0.01264041 0.08443494 0.01452491 0.01383330 0.01342807 0.01384765 0.01383744 0.01380888 0.01300898 0.01472999 0.01403512 0.01485601 0.01346067 0.01386418 0.01521228 0.01459010 0.01464413 0.01296389 0.01509146 0.01462343 0.01235765 0.01345482 0.15213186 0.00000078 0.01409028 0.01283099 0.08341524 0.01518925 0.01342204 0.01381102 0.01455993 0.01285178 0.01382646 0.01325720 0.01385963
s_2961 0.01543194 0.01641165 0.01446121 0.01470011 0.00147501 0.01562801 0.01464146 0.01485696 0.01612309 0.01499097 0.08440047 0.01485339 0.01485509 0.01333035 0 0.01513664 0.01461657 0.01384167 0.01584848 0.01390229 0.01333475 0.01454329 0.01417097 0.01461950 0.01330039 0.01389873 0.01466068 0.01399340 0.01487399 0.01419906 0.01542532 0.01477508 0.06898218 0.01569422 0.01371171 0.01606034 0.01450771 0.01563732 0.01412470 0.01295607 0.01480489 0.01377764 0.06890820 0.01413698 0.01431033 0.01535475 0.14394795 0.01567271 0.01463411 0.01423674 0.01380051 0.01465471 0.01541814 0.01476570 0.01441226 0.01477156 0.01418136 0.01478180 0.01552896 0.01468013 0.01419462 0.01347071 0.01467324 0.01576610 0.01463140 0.07942358 0.01465371 0.01463718 0.01608621 0.01423674 0.01334087 0.01477456 0.01463807 0.01428951 0.01658253 0.01386841 0.01321521 0.07920326 0.01569078 0.01426855 0.01423775 0.01484293 0.01468998 0.01469475 0.01391717 0.01625536 0.01610779 0.01687867 0.01416065 0.01463630 0.01609964 0.01557411 0.01560395 0.01357087 0.01545746 0.01569015 0.01261636 0.01427902 0.13792990 0.01332524 0.01488147 0.01346099 0.07957314 0.01611932 0.01421713 0.01422448 0.01564683 0.01320061 0.01465234 0.01416802 0.01465129
s_2912 0.00018071 0.01343347 0.01391394 0.01310512 0.01426445 0.00020137 0.01304847 0.01273405 0.00422509 0.01708302 0.04788639 0.01267193 0.01267728 0.01402731 0.01513664 0 0.01322746 0.01563838 0.01453135 0.01252279 0.01400855 0.01311097 0.01255924 0.01306299 0.01395232 0.01538757 0.01400598 0.01406048 0.01406232 0.01246729 0.00020777 0.01301135 0.07200006 0.01421575 0.01555622 0.00382368 0.01311577 0.00022138 0.01258316 0.01488596 0.01261147 0.01321456 0.07203139 0.01256211 0.01253700 0.00109610 0.14240056 0.01426826 0.01313052 0.01431676 0.01250208 0.01312369 0.01381257 0.01311685 0.01442802 0.01309438 0.01258215 0.01311303 0.00018498 0.01332123 0.01258654 0.01548919 0.01321797 0.00018646 0.01312592 0.07968925 0.01309514 0.01313160 0.01467355 0.01431618 0.01403216 0.01332487 0.01314620 0.01256506 0.00432393 0.01249743 0.01492140 0.07995695 0.00022156 0.01266042 0.01251323 0.01321967 0.01267926 0.01306558 0.01253490 0.01426531 0.00119627 0.01404057 0.01257894 0.01306051 0.00423881 0.00018486 0.00028944 0.01529576 0.00391828 0.01429739 0.01494471 0.01260137 0.13861658 0.01406776 0.00019826 0.01516673 0.07566206 0.00423447 0.01251547 0.01259647 0.00032615 0.01541779 0.01311137 0.01255169 0.01310135
F_43 0.01358424 0.01451293 0.01380841 0.00107526 0.01376265 0.01286900 0.00011825 0.00035434 0.01329558 0.01609314 0.16114790 0.00039870 0.00040653 0.01385972 0.01461657 0.01322746 0 0.01413942 0.01435587 0.00027128 0.01387217 0.00005505 0.00028233 0.00136394 0.01380552 0.01429759 0.01392897 0.01524536 0.01403552 0.01421218 0.01265984 0.00011957 0.07529672 0.01387463 0.01406192 0.01391544 0.00106640 0.01291278 0.00028265 0.01363443 0.00035378 0.00146470 0.07564136 0.00032692 0.00031834 0.01253413 0.15221771 0.01420151 0.00012015 0.01432110 0.00024199 0.00100584 0.01420631 0.00012201 0.01447645 0.00100943 0.00034997 0.00125214 0.01357604 0.00002346 0.00033842 0.01422079 0.00002412 0.01243471 0.00135374 0.07998742 0.00136843 0.00011702 0.01687128 0.01431971 0.01367812 0.00002221 0.00011813 0.00034252 0.01356580 0.00032395 0.01513083 0.08055305 0.01279913 0.00034038 0.00037778 0.00102684 0.00034841 0.00136459 0.00031792 0.01393424 0.01299793 0.01381922 0.00027814 0.00135562 0.01309506 0.01357827 0.01294199 0.01404245 0.01312511 0.01393198 0.01367176 0.00033128 0.15130213 0.01386369 0.01236717 0.01388562 0.07540396 0.01324229 0.00029430 0.00036189 0.01284511 0.01399666 0.00136557 0.00033934 0.00101045
s_2970 0.01602995 0.01594726 0.01348459 0.01496628 0.01158883 0.01617822 0.01484823 0.01482015 0.01551839 0.00198559 0.04854369 0.01492154 0.01488815 0.01312752 0.01384167 0.01563838 0.01413942 0 0.01641937 0.01475675 0.01308731 0.01406758 0.01490371 0.01397889 0.01312479 0.00250098 0.01395425 0.01390737 0.01390307 0.01404568 0.01614690 0.01490046 0.07473489 0.01660011 0.00091490 0.01544669 0.01495844 0.01626403 0.01506316 0.00089455 0.01492305 0.01490045 0.07470607 0.01495581 0.01504478 0.01532436 0.14606492 0.01637894 0.01486476 0.01349000 0.01486639 0.01496605 0.01438090 0.01490061 0.01393025 0.01490231 0.01489196 0.01397688 0.01595433 0.01493410 0.01498894 0.00077148 0.01397551 0.01578950 0.01391873 0.08153127 0.01390674 0.01485633 0.01547946 0.01330918 0.01312824 0.01497508 0.01485145 0.01507143 0.01572951 0.01501321 0.01284312 0.08226262 0.01620201 0.01485137 0.01498434 0.01504840 0.01489378 0.01397645 0.01440608 0.01651618 0.01530569 0.01606546 0.01491220 0.01395900 0.01544083 0.01607438 0.01629875 0.00073810 0.01542454 0.01653898 0.00149240 0.01483041 0.14596591 0.01310147 0.01571276 0.00069783 0.08004410 0.01553232 0.01510109 0.01484334 0.01608695 0.00065078 0.01392453 0.01485751 0.01489021
F_29 0.01482036 0.01432826 0.01352377 0.01417525 0.01489634 0.01486406 0.01412062 0.01428763 0.01588140 0.01859743 0.16114790 0.01428631 0.01427844 0.01478926 0.01584848 0.01453135 0.01435587 0.01641937 0 0.01371692 0.01480404 0.01425946 0.01380446 0.01439964 0.01454556 0.01686529 0.01367330 0.01470795 0.01410581 0.01462725 0.01486070 0.01417010 0.07462075 0.00000365 0.01643152 0.01574916 0.01415735 0.01491143 0.01373304 0.01631677 0.01414466 0.01408533 0.07444666 0.01377000 0.01371751 0.01457027 0.15114049 0.00000689 0.01416063 0.01464698 0.01364088 0.01419173 0.01442303 0.01416217 0.01325616 0.01416026 0.01356138 0.01406593 0.01490155 0.01411883 0.01384164 0.01651167 0.01433310 0.01463213 0.01431363 0.08164880 0.01421526 0.01416455 0.01538153 0.01464392 0.01448473 0.01419630 0.01420205 0.01369728 0.01571796 0.01342473 0.01510724 0.08280112 0.01484329 0.01415255 0.01371053 0.01433556 0.01419604 0.01411834 0.01315379 0.00000583 0.01432970 0.01479567 0.01366639 0.01408694 0.01599948 0.01493926 0.01506537 0.01643412 0.01570368 0.00000838 0.01578796 0.01361799 0.15105909 0.01479177 0.01453757 0.01615246 0.08053327 0.01598587 0.01372219 0.01411901 0.01490968 0.01630358 0.01408050 0.01347896 0.01411743
s_2917 0.01278145 0.01402265 0.01331263 0.00024593 0.01312042 0.01292450 0.00022568 0.00007219 0.01435646 0.01663276 0.05704170 0.00007012 0.00007084 0.01342108 0.01390229 0.01252279 0.00027128 0.01475675 0.01371692 0 0.01341488 0.00050566 0.00015502 0.00040398 0.01328510 0.01477399 0.01344960 0.01410869 0.01359833 0.01357986 0.01291381 0.00023232 0.07196938 0.01360158 0.01466805 0.01398645 0.00024438 0.01293508 0.00014015 0.01409522 0.00021174 0.00139210 0.07200824 0.00012593 0.00024639 0.01319316 0.14502720 0.01364287 0.00022887 0.01389181 0.00015728 0.00020809 0.01416296 0.00022492 0.01391683 0.00024193 0.00012219 0.00032845 0.01283701 0.00041895 0.00013555 0.01475907 0.00041198 0.01294977 0.00032872 0.07996272 0.00037348 0.00022812 0.01518408 0.01389153 0.01332919 0.00027569 0.00022828 0.00016411 0.01460214 0.00025660 0.01409812 0.08124190 0.01290574 0.00006590 0.00019824 0.00010267 0.00020977 0.00033237 0.00013452 0.01373101 0.01333855 0.01354257 0.00012244 0.00033520 0.01435328 0.01286334 0.01301807 0.01464831 0.01401533 0.01357926 0.01430999 0.00010246 0.14448773 0.01341795 0.01282829 0.01445374 0.07706044 0.01436165 0.00020439 0.00008039 0.01299525 0.01463379 0.00033925 0.00016181 0.00024732
F_53 0.01449792 0.01493077 0.01276293 0.01385922 0.01187558 0.01454677 0.01382737 0.01385313 0.01519439 0.01451334 0.16114790 0.01386237 0.01383712 0.00000000 0.01333475 0.01400855 0.01387217 0.01308731 0.01480404 0.01341488 0 0.01371919 0.01342122 0.01386257 0.00000828 0.01326064 0.01296078 0.01230012 0.01309715 0.01270016 0.01459741 0.01380696 0.07587409 0.01465990 0.01312403 0.01507152 0.01387824 0.01459886 0.01347586 0.01260816 0.01386680 0.01316740 0.07588155 0.01350595 0.01332702 0.01422351 0.15190129 0.01468456 0.01377398 0.00914410 0.01338334 0.01383545 0.01306215 0.01379480 0.01308756 0.01380908 0.01330325 0.01373434 0.01452451 0.01385023 0.01355013 0.01302951 0.01386400 0.01437372 0.01381362 0.08363297 0.01384081 0.01382712 0.01468710 0.00914302 0.00006688 0.01381512 0.01382168 0.01346602 0.01515887 0.01345786 0.01262148 0.08441526 0.01448308 0.01384993 0.01347305 0.01381584 0.01385509 0.01382957 0.01301713 0.01473271 0.01405631 0.01489391 0.01347274 0.01386378 0.01514379 0.01460221 0.01466706 0.01294139 0.01509738 0.01470465 0.01235594 0.01346352 0.15213192 0.00000052 0.01410924 0.01282113 0.08334545 0.01518998 0.01342580 0.01382961 0.01458146 0.01285198 0.01383359 0.01328248 0.01381920
F_35 0.01341071 0.01431468 0.01375069 0.00120945 0.01371738 0.01263963 0.00020159 0.00043839 0.01329257 0.01616404 0.16114790 0.00049394 0.00050749 0.01369776 0.01454329 0.01311097 0.00005505 0.01406758 0.01425946 0.00050566 0.01371919 0 0.00050389 0.00148200 0.01368306 0.01443731 0.01390613 0.01523131 0.01394165 0.01415262 0.01241438 0.00020894 0.07485314 0.01390002 0.01410676 0.01396664 0.00120403 0.01268640 0.00051973 0.01384948 0.00042521 0.00168225 0.07487489 0.00055589 0.00054971 0.01247985 0.15195063 0.01410062 0.00020929 0.01417191 0.00045985 0.00111594 0.01440679 0.00020569 0.01410561 0.00114834 0.00058277 0.00133345 0.01328626 0.00007480 0.00057384 0.01429522 0.00006486 0.01216850 0.00144073 0.07913256 0.00146701 0.00020149 0.01682592 0.01417071 0.01356618 0.00007631 0.00020725 0.00057226 0.01348607 0.00054889 0.01510110 0.08033681 0.01262071 0.00060431 0.00057814 0.00116302 0.00042739 0.00148701 0.00053897 0.01388982 0.01266232 0.01371491 0.00050007 0.00149668 0.01310504 0.01352500 0.01271126 0.01411101 0.01298740 0.01387882 0.01377010 0.00056861 0.15114291 0.01369842 0.01210285 0.01398073 0.07530066 0.01326408 0.00051600 0.00060991 0.01262699 0.01407619 0.00150799 0.00056629 0.00115151
s_2904 0.01286135 0.01409542 0.01332152 0.00021931 0.01327491 0.01290630 0.00019776 0.00004440 0.01430969 0.01659514 0.03210095 0.00004157 0.00004301 0.01340854 0.01417097 0.01255924 0.00028233 0.01490371 0.01380446 0.00015502 0.01342122 0.00050389 0 0.00039606 0.01329132 0.01595206 0.01344991 0.01409598 0.01359755 0.01366360 0.01288452 0.00020512 0.07241841 0.01371730 0.01480979 0.01401112 0.00021763 0.01295078 0.00010633 0.01428559 0.00018428 0.00131739 0.07246031 0.00009088 0.00019485 0.01302516 0.14573101 0.01373304 0.00020142 0.01387304 0.00011301 0.00017945 0.01418077 0.00020348 0.01397538 0.00021500 0.00008146 0.00032048 0.01287423 0.00043107 0.00009935 0.01472269 0.00042385 0.01291755 0.00031993 0.08025196 0.00036530 0.00020162 0.01526637 0.01385906 0.01330150 0.00028911 0.00020180 0.00011391 0.01454637 0.00021679 0.01413488 0.08131582 0.01291390 0.00003674 0.00016477 0.00007483 0.00018341 0.00032380 0.00009118 0.01382673 0.01333421 0.01354948 0.00008786 0.00032819 0.01429594 0.01289924 0.01298891 0.01465335 0.01396776 0.01367572 0.01428102 0.00009277 0.14547435 0.01342410 0.01282170 0.01456937 0.07719086 0.01431593 0.00017370 0.00005456 0.01299242 0.01478609 0.00033057 0.00011697 0.00022081
F_51 0.01357232 0.01445462 0.01379506 0.00070830 0.01371516 0.01434786 0.00149643 0.00024100 0.01456864 0.01596441 0.16114790 0.00030324 0.00030433 0.01384404 0.01461950 0.01306299 0.00136394 0.01397889 0.01439964 0.00040398 0.01386257 0.00148200 0.00039606 0 0.01370332 0.01410354 0.01391629 0.01508856 0.01400170 0.01413084 0.01422493 0.00142800 0.07535473 0.01421660 0.01400033 0.01397016 0.00068479 0.01435837 0.00040383 0.01361485 0.00030596 0.00166102 0.07538897 0.00032966 0.00046197 0.01387187 0.15228637 0.01425816 0.00148336 0.01422012 0.00039213 0.00064029 0.01445368 0.00148152 0.01445443 0.00064116 0.00037889 0.00001972 0.01354479 0.00144339 0.00040296 0.01416608 0.00124968 0.01400140 0.00002148 0.08167798 0.00003284 0.00149465 0.01528333 0.01421873 0.01384515 0.00146788 0.00149506 0.00039985 0.01486337 0.00044440 0.01487713 0.08257843 0.01420367 0.00044975 0.00040477 0.00067550 0.00022400 0.00001664 0.00037638 0.01407364 0.01422320 0.01385161 0.00038841 0.00002472 0.01457909 0.01363964 0.01431707 0.01400173 0.01442215 0.01421570 0.01355389 0.00039234 0.15138306 0.01384565 0.01388325 0.01387892 0.07956216 0.01457682 0.00042593 0.00040073 0.01431501 0.01382109 0.00002888 0.00039472 0.00071210
F_42 0.01447695 0.01491220 0.01266265 0.01373567 0.01185860 0.01452762 0.01379343 0.01373007 0.01518551 0.01450640 0.08057395 0.01380210 0.01380310 0.00000026 0.01330039 0.01395232 0.01380552 0.01312479 0.01454556 0.01328510 0.00000828 0.01368306 0.01329132 0.01370332 0 0.01345012 0.01293857 0.01231531 0.01305918 0.01270603 0.01457681 0.01377457 0.07542400 0.01460935 0.01315168 0.01506575 0.01384472 0.01458146 0.01343120 0.01256039 0.01374484 0.01317120 0.07540617 0.01356204 0.01331569 0.01419953 0.15141688 0.01454659 0.01374949 0.00902449 0.01325420 0.01380109 0.01306947 0.01373912 0.01304638 0.01368559 0.01317421 0.01360432 0.01450245 0.01381611 0.01341784 0.01305563 0.01380851 0.01435549 0.01375607 0.08358455 0.01372026 0.01375080 0.01461513 0.00902287 0.00007516 0.01367045 0.01378774 0.01342376 0.01522085 0.01321860 0.01242500 0.08440192 0.01452790 0.01379312 0.01331364 0.01369363 0.01373056 0.01370587 0.01289139 0.01457199 0.01403459 0.01475092 0.01334277 0.01382524 0.01521227 0.01457788 0.01465726 0.01294303 0.01508992 0.01463621 0.01236192 0.01333364 0.15174204 0.00000078 0.01412235 0.01283994 0.08330963 0.01519299 0.01339039 0.01377013 0.01456140 0.01285891 0.01379106 0.01321951 0.01378493
s_2909 0.01572716 0.01603378 0.01384695 0.01508596 0.01232920 0.01594237 0.01511054 0.01493502 0.01523094 0.00382739 0.03412322 0.01510399 0.01493538 0.01343045 0.01389873 0.01538757 0.01429759 0.00250098 0.01686529 0.01477399 0.01326064 0.01443731 0.01595206 0.01410354 0.01345012 0 0.01402690 0.01444608 0.01392073 0.01386594 0.01598603 0.01502132 0.06640028 0.01685726 0.00270350 0.01545693 0.01498728 0.01594096 0.01608893 0.00223542 0.01505444 0.01506172 0.06636224 0.01485559 0.01501108 0.01556852 0.13456896 0.01690269 0.01504223 0.01372765 0.01471030 0.01497447 0.01422538 0.01511550 0.01417156 0.01502356 0.01478246 0.01415256 0.01561892 0.01501818 0.01473539 0.00267362 0.01420480 0.01571668 0.01420797 0.06621049 0.01408838 0.01507005 0.01525666 0.01367885 0.01324433 0.01522441 0.01489971 0.01501532 0.01566602 0.01479639 0.01295538 0.06192707 0.01591869 0.01503129 0.01479667 0.01513426 0.01495607 0.01433665 0.01485928 0.01669579 0.01565882 0.01637726 0.01489426 0.01420741 0.01532624 0.01584930 0.01602308 0.00258189 0.01535884 0.01675353 0.00313232 0.01492927 0.13351020 0.01328372 0.01595161 0.00260784 0.05657754 0.01525353 0.01498389 0.01504044 0.01572324 0.00256443 0.01406937 0.01499955 0.01507525
F_40 0.01435641 0.01460157 0.00001642 0.01396793 0.01317032 0.01446638 0.01392827 0.01402034 0.01503979 0.01586210 0.16114790 0.01404182 0.01404005 0.01299481 0.01466068 0.01400598 0.01392897 0.01395425 0.01367330 0.01344960 0.01296078 0.01390613 0.01344991 0.01391629 0.01293857 0.01402690 0 0.01258334 0.00997556 0.01283525 0.01446461 0.01391133 0.07448786 0.01361832 0.01394888 0.01472268 0.01391928 0.01450405 0.01353684 0.01369091 0.01397484 0.01385242 0.07445955 0.01349549 0.01346920 0.01409991 0.15207429 0.01346799 0.01391022 0.01290880 0.01335174 0.01397107 0.00994395 0.01392321 0.01160452 0.01394540 0.01337664 0.01380837 0.01432282 0.01394711 0.01356022 0.01389052 0.01396079 0.01423947 0.01393585 0.08307277 0.01391455 0.01391882 0.00951039 0.01290851 0.01279374 0.01403468 0.01389734 0.01352792 0.01496242 0.01333083 0.01347966 0.08417314 0.01442332 0.01393290 0.01350076 0.01400440 0.01394693 0.01392007 0.01305314 0.01344290 0.01409364 0.01407025 0.01349220 0.01392682 0.01495121 0.01438073 0.01453153 0.01379628 0.01484301 0.01347296 0.01333135 0.01340210 0.15201714 0.01294761 0.01397927 0.01358069 0.08225297 0.01501926 0.01353677 0.01394558 0.01451125 0.01355780 0.01392762 0.01331913 0.01395829
F_58 0.01438755 0.01449737 0.01239996 0.01508755 0.01265837 0.01429059 0.01504283 0.01457414 0.01632397 0.01550947 0.16114790 0.01458859 0.01460561 0.01232494 0.01399340 0.01406048 0.01524536 0.01390737 0.01470795 0.01410869 0.01230012 0.01523131 0.01409598 0.01508856 0.01231531 0.01444608 0.01258334 0 0.01236073 0.01282234 0.01436898 0.01501044 0.07589979 0.01462762 0.01390943 0.01613958 0.01507604 0.01434209 0.01420397 0.01346589 0.01461883 0.01455522 0.07612139 0.01420416 0.01407455 0.01473992 0.15197929 0.01450272 0.01510673 0.01234756 0.01407932 0.01504046 0.01175786 0.01509374 0.01252119 0.01504462 0.01402414 0.01497027 0.01439232 0.01532657 0.01423634 0.01383476 0.01532993 0.01415498 0.01508760 0.08362580 0.01505320 0.01502258 0.01317421 0.01234700 0.01229428 0.01532548 0.01502330 0.01421770 0.01629632 0.01405619 0.01286980 0.08473241 0.01428152 0.01456812 0.01418981 0.01503711 0.01455912 0.01509828 0.01370486 0.01457378 0.01481058 0.01467511 0.01416539 0.01505969 0.01632748 0.01449967 0.01441863 0.01371778 0.01621624 0.01453124 0.01342696 0.01412387 0.15161337 0.01232075 0.01385780 0.01355907 0.08433281 0.01632029 0.01422637 0.01456639 0.01434655 0.01345909 0.01508431 0.01401646 0.01504737
F_13 0.01446609 0.01449920 0.00981055 0.01397948 0.01277648 0.01447648 0.01400187 0.01396677 0.01518146 0.01559160 0.16114790 0.01396676 0.01396760 0.01309640 0.01487399 0.01406232 0.01403552 0.01390307 0.01410581 0.01359833 0.01309715 0.01394165 0.01359755 0.01400170 0.01305918 0.01392073 0.00997556 0.01236073 0 0.01290794 0.01447125 0.01400172 0.07586927 0.01408149 0.01389227 0.01510113 0.01397438 0.01454977 0.01370006 0.01366891 0.01397404 0.01375673 0.07581506 0.01363619 0.01364703 0.01415496 0.15047622 0.01383906 0.01398921 0.01303501 0.01353339 0.01397060 0.00220879 0.01400221 0.01127266 0.01396473 0.01353446 0.01391927 0.01444762 0.01398674 0.01371362 0.01382280 0.01401816 0.01436114 0.01403774 0.08379462 0.01402018 0.01400520 0.00394658 0.01303388 0.01298413 0.01398094 0.01399569 0.01368565 0.01510990 0.01363338 0.01292833 0.08452674 0.01447548 0.01397571 0.01367506 0.01396994 0.01395358 0.01401312 0.01319482 0.01390890 0.01415458 0.01414542 0.01366108 0.01403014 0.01513754 0.01446898 0.01457265 0.01374767 0.01508441 0.01383470 0.01297184 0.01358040 0.15150020 0.01309114 0.01405296 0.01355658 0.08358544 0.01518359 0.01371038 0.01397200 0.01457978 0.01364904 0.01402544 0.01349559 0.01398629
F_37 0.01280850 0.01467427 0.01282859 0.01419876 0.01242066 0.01313966 0.01413888 0.01418310 0.01532926 0.01557259 0.16114790 0.01418376 0.01418382 0.01268929 0.01419906 0.01246729 0.01421218 0.01404568 0.01462725 0.01357986 0.01270016 0.01415262 0.01366360 0.01413084 0.01270603 0.01386594 0.01283525 0.01282234 0.01290794 0 0.01307344 0.01415441 0.07623983 0.01455416 0.01406398 0.01521579 0.01420702 0.01317492 0.01380186 0.01353859 0.01413629 0.01401557 0.07603885 0.01384977 0.01368961 0.01251143 0.15111645 0.01443033 0.01414485 0.01275270 0.01358551 0.01416321 0.01270110 0.01412414 0.01291012 0.01418586 0.01367890 0.01404483 0.01279665 0.01419342 0.01375414 0.01404439 0.01416982 0.01270456 0.01415223 0.08352869 0.01416804 0.01415146 0.01423958 0.01275125 0.01264568 0.01417614 0.01412450 0.01377690 0.01524237 0.01379357 0.01308469 0.08411249 0.01309695 0.01420195 0.01367648 0.01420008 0.01416318 0.01416509 0.01331333 0.01443299 0.01246681 0.01467989 0.01376512 0.01417296 0.01530777 0.01278436 0.01317616 0.01397160 0.01520368 0.01449943 0.01338447 0.01375430 0.15079947 0.01262123 0.01274194 0.01374342 0.08301569 0.01537831 0.01376993 0.01414891 0.01294442 0.01374966 0.01414606 0.01357683 0.01420097
