s_129	G_20	s_163	s_133	s_194	s_252	s_201	s_245	s_228	s_142	s_158	G_18	s_205	s_172	s_222	s_145	s_248	s_226	s_231	G_31	s_168	G_22	s_215	s_135	s_138	s_199	s_240	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_237	s_196	s_183	s_164	s_178	G_2	s_213	G_27	s_136	s_246	G_14	s_241	G_10	s_182	s_156	G_5	s_144	s_192	G_16	s_239	s_243	s_220	s_203	s_250	s_187	G_25	s_184	s_154	G_21	s_131	s_124	s_159	s_254	s_233	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	G_12	s_218	G_4	s_202	s_253	s_225	s_167	s_132	s_127	s_212	s_227	s_214	s_134	s_148	s_198	s_249	s_221	s_191	s_162	s_185	G_32	s_171	s_149	s_143	s_126	s_150	s_197	s_236	s_179	G_36	G_34	s_152	s_137	s_244	G_23	s_169	s_247	s_177	s_176	s_223	s_146	s_140	G_7	s_147	s_230	s_207	s_180	G_8	s_234	G_35	s_170	s_242	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_251	s_130	s_175	s_255	G_6	s_141	G_30	G_29	s_173	s_235	G_3	s_211	s_206	s_210	s_232	s_157	s_186	s_190	G_24	s_161	s_238	G_13
s_136 0.01951116 0.01934852 0.01938104 0.01877219 0.01871733 0.01796035 0.01857552 0.01952169 0.01860863 0.01958576 0.01943607 0.01881400 0.00814541 0.01938895 0.01944666 0.01952587 0.01986994 0.00000370 0.01101474 0.01867450 0.01856444 0.01890368 0.02027853 0.01826379 0.01220151 0.01115938 0.00813682 0.01936431 0.01872520 0.01863060 0.00812734 0.01952869 0.01800714 0.01942397 0.02026108 0.01862821 0.01856027 0.01856946 0.01851268 0.01873645 0.01858552 0.01869376 0 0.01952239 0.01866239 0.01060348 0.01912335 0.01852553 0.01937319 0.01872261 0.01946999 0.01870343 0.01875851 0.02030205 0.01167523 0.01951482 0.02026114 0.01854459 0.01731031 0.01881892 0.01943216 0.01939086 0.01873781 0.01950176 0.01947485 0.01990802 0.01768937 0.01744517 0.01059461 0.01881860 0.01847582 0.01832432 0.01866621 0.01952925 0.01868945 0.01922825 0.01868814 0.01831702 0.01947869 0.01935814 0.01942879 0.01873465 0.01867190 0.01212822 0.01874518 0.01862815 0.01765034 0.01864771 0.01861347 0.01840089 0.01950050 0.01857828 0.01857066 0.01857651 0.02051579 0.01951516 0.01873324 0.01990765 0.01698733 0.01858420 0.01935710 0.01942113 0.01868497 0.01919865 0.01760934 0.01948481 0.01882528 0.01648888 0.01862271 0.01862696 0.01741768 0.01894669 0.01879968 0.01939817 0.00001669 0.01110460 0.01868525 0.01857719 0.01948523 0.01859509 0.02033207 0.01936694 0.01952854 0.01952997 0.01866621 0.01946781 0.01902781 0.00813469 0.01731071 0.01872713 0.01740785 0.01889872 0.01857075 0.01950682 0.01855501 0.01860662 0.01943302 0.01866156 0.01859689 0.02007779 0.01217991 0.01874478 0.01941542 0.01161743 0.00000212 0.01989219 0.01948752 0.01939294 0.01768464 0.01883362 0.01952831 0.01871179 0.01866476 0.01944750 0.01907971 0.01913259 0.02073980 0.00812758 0.01066546 0.01851736 0.01938088 0.01857896 0.01851006 0.01862458 0.01934591 0.01823057 0.01863787
s_246 0.00003121 0.01862957 0.00045376 0.01866921 0.00072662 0.01795311 0.01790780 0.00002289 0.01797876 0.00003054 0.00005248 0.01834779 0.01817233 0.00003237 0.00004669 0.00002352 0.01876432 0.02002561 0.01916110 0.01786535 0.01800238 0.01827407 0.01950009 0.01899327 0.01977713 0.01830548 0.01817857 0.00045489 0.01790447 0.01796125 0.01816892 0.00003317 0.01953873 0.00004031 0.01948079 0.01870707 0.01800398 0.01801277 0.01791624 0.01851213 0.01795586 0.01787103 0.01952239 0 0.01808688 0.01942503 0.01941221 0.01865936 0.00004426 0.01794128 0.00002714 0.00074188 0.01812064 0.01959555 0.01824141 0.00001592 0.01945608 0.01800826 0.01753138 0.01841118 0.00005253 0.00004799 0.01794062 0.00002697 0.00001870 0.00008781 0.01768918 0.01767291 0.01945100 0.01826508 0.01795925 0.01705764 0.01813266 0.00002710 0.01788723 0.00004150 0.01870380 0.01812826 0.00001686 0.00045703 0.00003476 0.01785695 0.01808026 0.01974882 0.01790336 0.01794689 0.01769248 0.01794550 0.01793649 0.01813830 0.00002482 0.01793915 0.01795576 0.01790597 0.02048358 0.00002369 0.01890191 0.01883401 0.01814863 0.01798806 0.00045242 0.00005707 0.01805655 0.00004547 0.01812998 0.00003608 0.00003818 0.01729934 0.01865180 0.01871306 0.01756821 0.01831351 0.01820817 0.00002629 0.01953828 0.01832389 0.01785835 0.01800394 0.00001553 0.01794504 0.00009963 0.00004744 0.00003393 0.00002751 0.01782989 0.00002641 0.01615701 0.01818444 0.01878742 0.01842906 0.01887111 0.01841639 0.01790894 0.00003131 0.01803492 0.01841405 0.00002168 0.01784006 0.01841609 0.01955137 0.01978453 0.01791552 0.00004956 0.01860777 0.01953172 0.01878860 0.00002829 0.00003555 0.01883009 0.01839964 0.00002449 0.01792250 0.01786136 0.00003237 0.01855133 0.01942923 0.02049521 0.01816031 0.01938767 0.01794823 0.00004140 0.01792042 0.01794482 0.01806562 0.00046202 0.01793307 0.01791467
G_14 0.01800882 0.00265882 0.01799608 0.01884272 0.01665012 0.01818908 0.00032426 0.01803435 0.00033812 0.01780721 0.01799562 0.00021842 0.01819870 0.01802068 0.01807379 0.01804226 0.01902243 0.01920525 0.01817926 0.00016980 0.00033887 0.00022193 0.01869043 0.01822631 0.01891711 0.01823044 0.01819311 0.01805431 0.00015153 0.00050220 0.01817577 0.01805735 0.01989827 0.01809988 0.01864580 0.01806236 0.00033741 0.00035101 0.00033486 0.00377764 0.00032602 0.00016562 0.01866239 0.01808688 0 0.01880316 0.01862953 0.01942197 0.01800057 0.00017059 0.01804920 0.01677587 0.00017503 0.01878881 0.01802052 0.01807025 0.01880261 0.00035586 0.01868189 0.00021424 0.01802045 0.01798552 0.00021293 0.01810078 0.01807051 0.01775353 0.01887691 0.01882683 0.01883919 0.00021702 0.00036398 0.01786072 0.00015467 0.01797609 0.00016435 0.01795733 0.01806121 0.01832882 0.01809826 0.01800836 0.01802019 0.00016612 0.00013214 0.01893418 0.00014589 0.00034226 0.01884029 0.00035135 0.00034522 0.01833720 0.01807828 0.00033586 0.00036837 0.00033731 0.01954714 0.01802105 0.01819337 0.01901602 0.01874660 0.00034139 0.01802583 0.01809909 0.00017429 0.01788333 0.01900517 0.01804886 0.01751590 0.01818032 0.01806515 0.01805777 0.01865367 0.00038500 0.00028826 0.01806136 0.01872269 0.01824538 0.00014954 0.00033943 0.01804628 0.00032386 0.01904539 0.01799678 0.01805635 0.01808234 0.00015133 0.01800617 0.00057178 0.01815616 0.01929139 0.00014214 0.01925616 0.00024194 0.00033757 0.01805112 0.00036830 0.00409556 0.01804772 0.00014618 0.00385344 0.01869538 0.01895734 0.00016587 0.01799778 0.01826774 0.01869087 0.01891066 0.01807081 0.01802396 0.01887613 0.00025305 0.01810014 0.00015840 0.00015870 0.01806211 0.01913371 0.01859731 0.02044791 0.01813755 0.01883952 0.00034156 0.01800991 0.00033860 0.00033702 0.00014161 0.01799296 0.00032749 0.00016519
s_241 0.01932394 0.01925790 0.01930874 0.01913111 0.01794921 0.01863871 0.01862979 0.01942853 0.01863377 0.01908986 0.01931559 0.01871811 0.01027756 0.01930081 0.01927435 0.01938263 0.01965144 0.01060926 0.01185045 0.01863220 0.01863242 0.01892970 0.02003372 0.01837654 0.01317538 0.01156408 0.01027482 0.01930971 0.01868075 0.01872151 0.01025580 0.01937173 0.01904009 0.01930764 0.01997372 0.01908964 0.01863323 0.01865907 0.01858956 0.01917863 0.01862800 0.01866902 0.01060348 0.01942503 0.01880316 0 0.01867224 0.01869565 0.01930992 0.01863416 0.01933989 0.01794596 0.01887931 0.02011246 0.01179789 0.01934199 0.01996834 0.01872032 0.01746434 0.01874612 0.01929154 0.01932670 0.01874268 0.01932954 0.01932115 0.01986651 0.01797922 0.01757317 0.00001806 0.01887366 0.01862848 0.01745645 0.01885477 0.01937476 0.01866237 0.01917394 0.01912800 0.01851509 0.01934568 0.01932052 0.01929854 0.01869123 0.01881971 0.01309001 0.01871016 0.01863750 0.01802116 0.01866972 0.01864084 0.01859560 0.01938559 0.01862175 0.01866991 0.01863759 0.02040628 0.01936831 0.01836118 0.01971394 0.01872586 0.01862988 0.01932476 0.01932889 0.01887102 0.01929398 0.01839187 0.01936142 0.01859786 0.01763840 0.01908527 0.01909910 0.01752066 0.01897582 0.01890468 0.01922232 0.01061066 0.01160372 0.01863542 0.01863556 0.01938600 0.01863460 0.02013057 0.01930086 0.01933472 0.01937882 0.01854689 0.01936306 0.01885231 0.01026288 0.01871580 0.01899729 0.01879975 0.01884719 0.01862865 0.01940366 0.01866363 0.01917738 0.01932457 0.01864554 0.01903367 0.02002707 0.01306412 0.01870753 0.01930922 0.01159534 0.01061805 0.01966278 0.01936816 0.01929967 0.01875040 0.01903331 0.01933998 0.01868080 0.01865412 0.01926959 0.01883164 0.01866819 0.02095227 0.01025700 0.00000334 0.01859378 0.01932340 0.01863236 0.01859310 0.01880445 0.01931114 0.01855459 0.01852904
G_10 0.01935730 0.01364749 0.01914775 0.02004347 0.01762227 0.01880094 0.01837311 0.01941213 0.01848866 0.01902182 0.01931873 0.01857763 0.01856558 0.01934986 0.01935819 0.01942039 0.02001447 0.01964730 0.02023787 0.01829801 0.01842249 0.01845846 0.01980001 0.01817633 0.02120358 0.01954916 0.01855943 0.01912319 0.01831110 0.01840939 0.01855966 0.01937887 0.02001771 0.01932650 0.01977911 0.01898451 0.01843313 0.01838594 0.01837946 0.01867047 0.01847863 0.01837364 0.01912335 0.01941221 0.01862953 0.01867224 0 0.01974903 0.01936615 0.01828359 0.01939890 0.01762218 0.01861642 0.01988523 0.01908388 0.01936525 0.01976065 0.01828098 0.01743421 0.01848639 0.01934406 0.01935413 0.01836331 0.01938719 0.01938559 0.02010236 0.01857859 0.01754139 0.01861616 0.01853567 0.01834945 0.01870394 0.01861515 0.01939808 0.01838548 0.01897563 0.01892831 0.01936214 0.01937987 0.01912833 0.01934322 0.01832184 0.01856811 0.02124568 0.01826336 0.01843612 0.01856180 0.01827554 0.01845852 0.01940717 0.01940786 0.01844065 0.01827498 0.01837400 0.02023825 0.01942638 0.01921854 0.02011442 0.01962155 0.01847778 0.01915090 0.01933381 0.01855940 0.01908735 0.01999740 0.01943317 0.01876605 0.01870996 0.01893899 0.01897984 0.01742734 0.01852760 0.01849849 0.01927906 0.01919742 0.01924428 0.01831320 0.01843460 0.01937974 0.01836332 0.01969990 0.01931532 0.01936910 0.01936512 0.01828989 0.01941442 0.01876824 0.01855630 0.01914502 0.01862966 0.01925722 0.01853921 0.01843347 0.01942003 0.01833482 0.01867539 0.01937886 0.01832213 0.01856205 0.01978177 0.02125121 0.01830480 0.01936741 0.01971479 0.01912464 0.01998385 0.01938752 0.01935394 0.02062485 0.01864556 0.01938035 0.01834487 0.01828040 0.01929759 0.02022936 0.00010483 0.02052504 0.01855664 0.01857065 0.01842745 0.01934391 0.01835267 0.01837136 0.01858176 0.01915576 0.01846985 0.01829870
s_182 0.01863538 0.01981572 0.01832479 0.01109195 0.01724704 0.00942931 0.01930763 0.01863869 0.01930425 0.01830787 0.01861474 0.01942388 0.01873249 0.01864469 0.01867062 0.01861999 0.01939530 0.01872192 0.01869440 0.01935428 0.01933885 0.01945805 0.02046876 0.01814809 0.02006041 0.01900470 0.01871988 0.01834588 0.01927977 0.01943157 0.01872524 0.01862528 0.01535184 0.01865501 0.02046083 0.01886616 0.01931165 0.01933904 0.01934255 0.01935899 0.01929943 0.01927449 0.01852553 0.01865936 0.01942197 0.01869565 0.01974903 0 0.01861719 0.01929956 0.01862715 0.01717483 0.01935241 0.02050516 0.01875898 0.01861021 0.02047686 0.01932331 0.01091621 0.01946086 0.01864607 0.01864210 0.01942619 0.01864087 0.01861844 0.01961290 0.00973591 0.01096554 0.01871125 0.01932612 0.01934631 0.01365183 0.01940232 0.01862922 0.01920779 0.01850941 0.01887278 0.01024939 0.01859978 0.01833897 0.01864328 0.01928359 0.01917682 0.02008245 0.01937675 0.01930731 0.00973637 0.01933012 0.01920066 0.01020200 0.01862419 0.01930007 0.01932552 0.01932105 0.02008436 0.01862072 0.00704796 0.01940371 0.00734493 0.01929785 0.01832954 0.01864430 0.01934647 0.01848052 0.01050466 0.01863847 0.01817461 0.00906787 0.01886792 0.01886369 0.01102550 0.01948399 0.01934344 0.01862742 0.01847909 0.01901379 0.01931705 0.01934530 0.01863157 0.01934180 0.01921803 0.01863423 0.01862032 0.01862195 0.01939902 0.01862014 0.01909834 0.01872115 0.01451841 0.01936016 0.01453264 0.01942548 0.01934616 0.01862650 0.01928294 0.01932557 0.01861894 0.01932995 0.01919882 0.02045803 0.02009153 0.01927827 0.01861820 0.01849113 0.01854418 0.01938659 0.01862557 0.01864377 0.01287656 0.01942339 0.01862819 0.01938159 0.01939584 0.01864940 0.01347825 0.01979193 0.02075855 0.01871948 0.01869746 0.01930988 0.01860113 0.01929772 0.01930671 0.01929416 0.01831991 0.01928452 0.01925052
s_156 0.00003008 0.01858724 0.00077806 0.01867940 0.00071667 0.01796326 0.01788874 0.00003289 0.01789725 0.00002657 0.00002391 0.01829810 0.01815687 0.00003709 0.00001058 0.00005052 0.01843636 0.01984743 0.01895566 0.01782856 0.01792093 0.01821344 0.01951882 0.01898223 0.01981335 0.01823701 0.01815480 0.00078573 0.01785871 0.01793617 0.01813644 0.00004110 0.01937971 0.00001157 0.01948657 0.01865031 0.01792731 0.01794320 0.01789312 0.01843730 0.01790282 0.01784726 0.01937319 0.00004426 0.01800057 0.01930992 0.01936615 0.01861719 0 0.01789923 0.00003530 0.00070375 0.01807975 0.01956998 0.01816835 0.00004543 0.01948915 0.01795653 0.01748575 0.01833575 0.00002499 0.00002970 0.01791792 0.00002794 0.00005301 0.00002032 0.01763345 0.01755817 0.01932199 0.01821851 0.01795614 0.01845542 0.01801450 0.00005702 0.01783504 0.00003379 0.01865907 0.01813726 0.00002465 0.00078759 0.00004209 0.01779790 0.01804045 0.01976767 0.01785660 0.01792726 0.01762299 0.01794630 0.01790224 0.01814839 0.00003321 0.01787459 0.01795209 0.01787479 0.02042114 0.00003602 0.01888070 0.01851091 0.01788691 0.01790236 0.00076969 0.00002762 0.01797050 0.00002083 0.01808586 0.00003128 0.00003404 0.01703591 0.01862728 0.01865061 0.01746436 0.01825137 0.01813999 0.00002518 0.01943378 0.01826195 0.01781702 0.01792145 0.00004456 0.01789248 0.00007736 0.00003102 0.00003705 0.00005217 0.01779021 0.00005394 0.01626342 0.01817198 0.01867962 0.01834854 0.01874351 0.01831146 0.01792128 0.00003684 0.01796860 0.01835642 0.00005430 0.01779297 0.01836978 0.01956315 0.01982186 0.01786719 0.00001524 0.01847176 0.01939321 0.01850595 0.00004629 0.00003394 0.01881759 0.01834412 0.00005831 0.01785908 0.01781021 0.00003762 0.01956212 0.01936633 0.02041071 0.01812826 0.01927376 0.01789729 0.00002807 0.01790741 0.01789220 0.01798114 0.00077528 0.01784063 0.01786922
G_5 0.01787116 0.00240008 0.01778859 0.01881095 0.01670135 0.01813968 0.00030551 0.01795104 0.00031758 0.01767427 0.01789224 0.00013398 0.01816898 0.01789776 0.01790122 0.01794816 0.01885017 0.01922418 0.01810873 0.00013197 0.00031677 0.00014446 0.01863889 0.01823180 0.01885207 0.01826808 0.01815937 0.01780420 0.00010479 0.00044800 0.01815959 0.01795328 0.01967220 0.01792121 0.01861493 0.01800520 0.00031421 0.00030913 0.00031268 0.00353390 0.00031199 0.00011934 0.01872261 0.01794128 0.00017059 0.01863416 0.01828359 0.01929956 0.01789923 0 0.01796791 0.01681236 0.00018336 0.01871956 0.01807996 0.01793974 0.01873153 0.00031051 0.01859369 0.00014811 0.01789542 0.01788398 0.00016806 0.01794189 0.01794752 0.01754180 0.01886373 0.01874248 0.01865711 0.00016861 0.00031625 0.01770630 0.00015362 0.01788197 0.00011496 0.01779006 0.01801908 0.01829305 0.01792802 0.01781666 0.01789936 0.00014053 0.00013257 0.01885763 0.00014104 0.00031597 0.01885491 0.00030578 0.00032178 0.01830077 0.01795583 0.00031706 0.00032097 0.00031224 0.01956801 0.01793419 0.01817248 0.01891333 0.01869473 0.00031739 0.01780744 0.01794849 0.00016420 0.01775223 0.01894624 0.01794797 0.01743410 0.01814193 0.01802072 0.01801626 0.01861981 0.00032443 0.00020051 0.01790049 0.01871213 0.01828018 0.00013529 0.00031465 0.01792948 0.00031009 0.01878110 0.01787324 0.01793952 0.01794412 0.00013046 0.01793731 0.00039630 0.01813452 0.01902099 0.00013422 0.01907354 0.00017754 0.00030523 0.01793215 0.00032034 0.00382191 0.01793256 0.00010646 0.00353917 0.01863609 0.01887041 0.00013967 0.01789637 0.01837887 0.01873767 0.01877132 0.01795438 0.01790183 0.01870894 0.00023060 0.01795484 0.00012298 0.00012311 0.01790048 0.01901576 0.01822566 0.02048321 0.01812586 0.01862905 0.00032483 0.01788687 0.00030833 0.00031663 0.00011909 0.01780916 0.00032247 0.00011077
s_144 0.00002593 0.01866144 0.00047529 0.01867383 0.00071553 0.01796192 0.01791494 0.00001659 0.01795416 0.00001582 0.00004299 0.01830774 0.01814617 0.00004889 0.00003768 0.00002591 0.01882136 0.01995667 0.01913577 0.01789150 0.01795552 0.01828765 0.01956346 0.01900038 0.01977176 0.01820851 0.01814225 0.00048116 0.01792946 0.01793736 0.01812575 0.00001950 0.01952478 0.00003156 0.01953120 0.01864199 0.01791640 0.01796112 0.01791782 0.01846277 0.01790725 0.01791596 0.01946999 0.00002714 0.01804920 0.01933989 0.01939890 0.01862715 0.00003530 0.01796791 0 0.00070652 0.01813309 0.01959883 0.01816178 0.00002045 0.01953342 0.01796032 0.01751719 0.01836628 0.00004118 0.00004592 0.01795019 0.00003968 0.00002345 0.00007688 0.01770605 0.01759184 0.01939787 0.01831384 0.01791955 0.01847607 0.01806207 0.00002978 0.01792076 0.00006200 0.01865075 0.01813134 0.00001080 0.00048041 0.00004331 0.01790513 0.01809520 0.01971344 0.01788871 0.01794740 0.01770427 0.01794045 0.01792268 0.01814238 0.00001137 0.01791041 0.01791875 0.01795082 0.02048766 0.00002872 0.01888665 0.01888903 0.01820631 0.01790924 0.00045458 0.00004810 0.01798939 0.00006763 0.01820123 0.00003477 0.00002616 0.01724709 0.01862090 0.01864109 0.01752520 0.01833630 0.01820657 0.00003294 0.01952838 0.01825231 0.01788160 0.01791519 0.00002846 0.01791047 0.00009795 0.00004379 0.00000949 0.00001324 0.01786820 0.00003015 0.01620754 0.01816100 0.01882249 0.01836557 0.01886907 0.01834837 0.01794737 0.00003029 0.01791870 0.01838773 0.00002593 0.01786534 0.01842711 0.01960752 0.01977943 0.01792513 0.00002946 0.01846166 0.01948708 0.01875281 0.00002540 0.00004408 0.01885887 0.01836961 0.00001581 0.01793528 0.01785341 0.00004700 0.01951739 0.01944533 0.02027543 0.01811751 0.01935102 0.01790413 0.00003183 0.01795529 0.01791623 0.01804121 0.00047201 0.01789447 0.01791298
s_192 0.00069577 0.01673292 0.00073611 0.01660881 0.00003759 0.01663158 0.01673036 0.00071590 0.01675212 0.00070056 0.00069703 0.01675798 0.01699104 0.00072898 0.00069758 0.00072571 0.01727144 0.01959905 0.01686956 0.01674058 0.01673584 0.01684374 0.01865001 0.01810311 0.01706556 0.01704387 0.01699718 0.00071792 0.01682551 0.01658387 0.01699991 0.00071735 0.01943900 0.00070918 0.01864599 0.01673714 0.01663617 0.01673207 0.01655290 0.01715158 0.01672977 0.01681981 0.01870343 0.00074188 0.01677587 0.01794596 0.01762218 0.01717483 0.00070375 0.01681236 0.00070652 0 0.01687726 0.01864178 0.01680443 0.00073792 0.01868548 0.01673398 0.01651092 0.01683017 0.00071535 0.00074043 0.01692638 0.00070361 0.00071724 0.00088347 0.01653140 0.01665216 0.01796599 0.01680400 0.01654843 0.01515013 0.01677266 0.00071912 0.01679004 0.00074357 0.01675681 0.01659986 0.00070354 0.00071851 0.00071608 0.01676468 0.01684557 0.01711108 0.01680754 0.01681462 0.01654391 0.01673699 0.01662664 0.01659662 0.00071489 0.01672555 0.01672855 0.01674178 0.01869823 0.00072120 0.01813857 0.01727510 0.01612684 0.01673148 0.00072563 0.00073725 0.01681015 0.00070515 0.01621507 0.00069722 0.00067510 0.01634218 0.01669503 0.01673950 0.01654723 0.01685945 0.01671425 0.00073346 0.01872026 0.01705311 0.01672373 0.01673772 0.00072386 0.01658650 0.00101206 0.00073566 0.00071274 0.00071336 0.01675666 0.00071617 0.01630898 0.01698394 0.01840473 0.01675080 0.01845369 0.01675565 0.01653473 0.00074076 0.01674137 0.01715682 0.00072150 0.01677359 0.01715717 0.01866749 0.01706389 0.01680200 0.00071548 0.01690498 0.01878952 0.01728149 0.00072798 0.00072115 0.01742958 0.01685786 0.00074295 0.01680872 0.01686624 0.00073572 0.01673217 0.01770142 0.01898571 0.01698074 0.01792544 0.01674120 0.00070212 0.01652900 0.01659189 0.01670241 0.00072065 0.01673622 0.01679863
G_16 0.01807218 0.00267008 0.01813050 0.01888687 0.01683650 0.01821629 0.00032906 0.01811432 0.00033340 0.01783523 0.01807432 0.00018962 0.01820261 0.01809655 0.01812403 0.01811778 0.01907523 0.01927566 0.01824580 0.00016197 0.00033364 0.00021310 0.01875609 0.01825575 0.01895751 0.01825069 0.01820439 0.01816796 0.00013898 0.00048727 0.01819890 0.01813445 0.02001671 0.01812261 0.01873897 0.01802070 0.00033006 0.00034999 0.00033171 0.00371244 0.00032049 0.00017574 0.01875851 0.01812064 0.00017503 0.01887931 0.01861642 0.01935241 0.01807975 0.00018336 0.01813309 0.01687726 0 0.01885358 0.01808454 0.01811808 0.01888337 0.00035862 0.01869804 0.00020543 0.01809701 0.01804370 0.00018711 0.01814184 0.01815155 0.01778345 0.01900838 0.01884819 0.01889052 0.00019359 0.00035826 0.01784573 0.00015067 0.01807070 0.00016488 0.01802090 0.01802450 0.01837818 0.01809645 0.01814714 0.01809606 0.00017156 0.00013981 0.01895724 0.00016038 0.00033467 0.01901903 0.00035530 0.00033840 0.01838835 0.01812812 0.00033555 0.00035936 0.00033128 0.01960069 0.01809650 0.01816015 0.01907040 0.01875122 0.00033115 0.01813074 0.01813452 0.00016812 0.01796662 0.01902315 0.01812250 0.01755839 0.01821563 0.01802158 0.01802013 0.01876126 0.00036512 0.00025408 0.01808176 0.01877703 0.01828650 0.00016949 0.00033445 0.01811662 0.00032437 0.01908851 0.01807114 0.01810287 0.01812678 0.00016899 0.01808100 0.00058405 0.01813655 0.01937746 0.00013905 0.01941096 0.00022626 0.00033126 0.01810140 0.00036019 0.00399562 0.01812841 0.00014687 0.00379026 0.01878510 0.01899836 0.00016016 0.01807606 0.01835995 0.01877724 0.01885721 0.01814717 0.01809444 0.01894561 0.00023685 0.01815265 0.00018983 0.00018613 0.01810639 0.01918536 0.01850565 0.02050965 0.01812072 0.01886027 0.00033864 0.01806124 0.00033046 0.00033172 0.00017128 0.01813070 0.00032799 0.00016573
s_239 0.01944103 0.01913399 0.01949839 0.02082036 0.01860894 0.01952353 0.01872855 0.01958510 0.01862641 0.01927212 0.01956811 0.01896257 0.01925970 0.01959276 0.01962278 0.01959234 0.01998963 0.02075078 0.02028545 0.01870172 0.01867821 0.01906085 0.00001635 0.01909018 0.02025334 0.01917744 0.01928716 0.01950195 0.01877659 0.01888277 0.01925736 0.01957804 0.01998904 0.01963473 0.00003116 0.01943382 0.01870170 0.01871893 0.01873186 0.01923428 0.01869633 0.01875608 0.02030205 0.01959555 0.01878881 0.02011246 0.01988523 0.02050516 0.01956998 0.01871956 0.01959883 0.01864178 0.01885358 0 0.01905673 0.01953256 0.00001794 0.01868116 0.01902366 0.01909372 0.01959312 0.01961429 0.01893918 0.01960526 0.01958740 0.02025681 0.02004034 0.01914101 0.02017214 0.01901648 0.01877777 0.01834428 0.01890216 0.01941107 0.01890617 0.01951935 0.01943693 0.02006681 0.01953942 0.01950909 0.01959437 0.01888479 0.01889434 0.02040021 0.01883079 0.01879058 0.02003340 0.01876654 0.01878090 0.02007694 0.01959967 0.01873318 0.01873989 0.01873782 0.02083109 0.01957945 0.01999807 0.01995787 0.01950201 0.01869388 0.01950234 0.01962233 0.01880047 0.01952525 0.01982698 0.01960129 0.01895494 0.01866299 0.01943008 0.01943500 0.01911112 0.01909931 0.01910339 0.01953851 0.02026809 0.01922301 0.01871633 0.01869144 0.01961691 0.01877862 0.02011571 0.01956738 0.01958946 0.01960407 0.01883162 0.01957052 0.01854840 0.01926323 0.01952618 0.01898898 0.01948279 0.01906971 0.01874306 0.01961001 0.01866856 0.01926068 0.01957736 0.01876874 0.01915302 0.00001847 0.02030127 0.01871274 0.01956983 0.01982651 0.02032911 0.01998454 0.01961605 0.01959446 0.02038397 0.01898192 0.01962337 0.01879205 0.01886434 0.01960939 0.01954461 0.01986644 0.02151635 0.01925845 0.02012913 0.01865410 0.01949510 0.01865619 0.01873954 0.01881046 0.01949932 0.01863152 0.01872153
s_243 0.01817041 0.01859035 0.01790653 0.01854938 0.01665975 0.01730864 0.01802785 0.01824319 0.01796004 0.01782683 0.01816521 0.01819339 0.00897076 0.01816720 0.01816507 0.01815542 0.01911720 0.01212456 0.00581360 0.01800942 0.01795767 0.01819561 0.01897274 0.01757670 0.00297010 0.00001409 0.00895041 0.01791194 0.01802130 0.01796060 0.00894975 0.01815993 0.01773823 0.01817341 0.01898262 0.01794295 0.01801613 0.01795617 0.01801008 0.01795104 0.01795487 0.01799967 0.01167523 0.01824141 0.01802052 0.01179789 0.01908388 0.01875898 0.01816835 0.01807996 0.01816178 0.01680443 0.01808454 0.01905673 0 0.01816627 0.01895965 0.01807341 0.01742354 0.01817794 0.01816040 0.01814733 0.01804039 0.01817895 0.01816809 0.01867219 0.01751708 0.01764395 0.01176341 0.01820372 0.01801970 0.01635207 0.01798557 0.01817252 0.01800490 0.01807895 0.01819655 0.01727960 0.01815269 0.01791373 0.01816017 0.01803814 0.01800732 0.00281467 0.01804297 0.01800574 0.01750425 0.01800316 0.01799944 0.01729803 0.01816988 0.01797486 0.01800349 0.01803378 0.01965003 0.01816470 0.01826732 0.01912443 0.01780313 0.01795406 0.01790797 0.01818182 0.01797946 0.01805062 0.01712581 0.01816235 0.01753574 0.01636980 0.01793343 0.01820979 0.01754097 0.01824051 0.01817846 0.01816493 0.01145850 0.00001776 0.01799496 0.01796099 0.01824902 0.01800137 0.01893204 0.01815941 0.01815989 0.01817025 0.01801570 0.01815357 0.01780125 0.00894065 0.01762892 0.01823841 0.01761097 0.01830893 0.01800803 0.01815645 0.01795561 0.01797486 0.01816599 0.01799590 0.01773198 0.01900519 0.00274523 0.01803382 0.01816499 0.00000216 0.01167590 0.01911327 0.01817821 0.01814988 0.01767283 0.01815220 0.01816886 0.01801147 0.01801933 0.01815916 0.01775360 0.01922581 0.02042945 0.00895073 0.01175651 0.01795544 0.01816522 0.01802967 0.01801107 0.01800689 0.01791284 0.01789672 0.01800350
