s_4097	s_4089	s_4082	s_4046	s_4074	s_4032	s_4029	s_4039	s_4031	s_4051	s_4038	s_4087	s_4030	s_4041	s_4028	s_4034	s_4049	s_4057	s_4080	s_4033	s_4100	s_4076	s_4040
s_4030 0.00007924 0.00345437 0.00008422 0.00484361 0.00495548 0.00010365 0.00008090 0.00014690 0.00009012 0.00512726 0.00501812 0.00344118 0 0.00026081 0.00403902 0.00291592 0.00506145 0.00342427 0.00493078 0.00320676 0.00008660 0.00470570 0.00014212
s_4041 0.00025238 0.00357839 0.00025110 0.00488202 0.00504759 0.00025382 0.00024053 0.00030425 0.00024713 0.00521341 0.00493632 0.00356927 0.00026081 0 0.00400282 0.00302077 0.00510319 0.00358075 0.00496701 0.00319296 0.00025307 0.00473788 0.00029866
s_4028 0.00414070 0.00403389 0.00412780 0.00373928 0.00381567 0.00397252 0.00409356 0.00404422 0.00407037 0.00361275 0.00380047 0.00407119 0.00403902 0.00400282 0 0.00346272 0.00373605 0.00411093 0.00366513 0.00386591 0.00417241 0.00379785 0.00409095
s_4034 0.00311274 0.00309203 0.00306197 0.00421587 0.00437531 0.00292038 0.00294163 0.00304487 0.00295378 0.00453027 0.00436630 0.00309865 0.00291592 0.00302077 0.00346272 0 0.00445401 0.00311180 0.00425036 0.00041025 0.00309576 0.00418413 0.00305708
s_4049 0.00530378 0.00504379 0.00516211 0.00065951 0.00287067 0.00505131 0.00516622 0.00513118 0.00512026 0.00014581 0.00276469 0.00501732 0.00506145 0.00510319 0.00373605 0.00445401 0 0.00506267 0.00023610 0.00487521 0.00524431 0.00321661 0.00515653
s_4057 0.00373991 0.00009523 0.00364630 0.00488839 0.00516762 0.00352058 0.00359504 0.00357161 0.00354643 0.00526840 0.00498614 0.00008306 0.00342427 0.00358075 0.00411093 0.00311180 0.00506267 0 0.00497205 0.00337631 0.00371461 0.00490138 0.00358349
s_4080 0.00522771 0.00495873 0.00512293 0.00065075 0.00284443 0.00491652 0.00501688 0.00500558 0.00498163 0.00019301 0.00269473 0.00493186 0.00493078 0.00496701 0.00366513 0.00425036 0.00023610 0.00497205 0 0.00459998 0.00518524 0.00322434 0.00501823
s_4033 0.00332408 0.00336744 0.00326291 0.00459428 0.00472437 0.00322124 0.00325149 0.00323648 0.00322424 0.00494020 0.00483478 0.00335791 0.00320676 0.00319296 0.00386591 0.00041025 0.00487521 0.00337631 0.00459998 0 0.00330171 0.00451188 0.00323895
s_4100 0.00003805 0.00369693 0.00004620 0.00506043 0.00534237 0.00006860 0.00004565 0.00012332 0.00005642 0.00546515 0.00518964 0.00368165 0.00008660 0.00025307 0.00417241 0.00309576 0.00524431 0.00371461 0.00518524 0.00330171 0 0.00503374 0.00012152
s_4076 0.00504165 0.00492273 0.00494042 0.00327951 0.00323577 0.00472978 0.00479649 0.00479061 0.00475691 0.00332455 0.00320718 0.00489792 0.00470570 0.00473788 0.00379785 0.00418413 0.00321661 0.00490138 0.00322434 0.00451188 0.00503374 0 0.00480407
s_4040 0.00011393 0.00357509 0.00012417 0.00494595 0.00512523 0.00013267 0.00011615 0.00018657 0.00012170 0.00522704 0.00503253 0.00355959 0.00014212 0.00029866 0.00409095 0.00305708 0.00515653 0.00358349 0.00501823 0.00323895 0.00012152 0.00480407 0
