Species_name	Nanopore_ID	Genome_ID	Sequence_size	N50	AR_gene_list	Genome_quality
Staphylococcus_haemolyticus	N182_BC05	s_5632	2587292	347440	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N234_BC07	s_5737	2548124	589240	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N158_BC03	s_5584	2760342	2551429	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N192_BC05	s_5662	2599354	938682	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N223_BC09	s_5719	2576601	1422239	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N157_BC06	s_5581	2663924	2384309	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N141_BC10	s_5546	2418542	53117	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N128_BC07	s_5504	2768161	454718	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N227_BC06	s_5726	2600422	526123	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N135_BC10	s_5534	2128075	19890	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N255_barcode14	s_5756	2683579	2626153	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N204_BC05	s_5687	2304058	62014	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N267_barcode10	s_6936	2668295	1389148	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N144_BC03	s_5553	2418269	55162	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N154_BC02	s_5573	2572891	1745888	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N188_BC07	s_5646	2543919	254309	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N111_BC05	s_5466	2681254	693269	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N130_BC05	s_5517	2631248	579371	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N189_BC02	s_5648	2540795	526513	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N128_BC10	s_5505	2765668	2558476	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N173_BC08	s_5611	2686870	638272	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N257_barcode23	s_5769	2605350	1489823	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N153_BC10	s_5570	2515856	101096	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N212_BC05	s_5698	2684232	331942	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N198_BC08	s_5676	2532556	300392	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N154_BC01	s_5572	2441429	51631	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N266_barcode16	s_6934	2439399	718506	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N259_barcode09	s_5776	2693362	2625395	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N199_BC03	s_5678	2506565	1302524	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N147_BC09	s_5560	2597812	430897	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N129_BC08	s_5514	2553438	606185	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N157_BC04	s_5580	2598740	281535	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N255_barcode13	s_5755	2671153	2369335	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N175_BC10	s_5615	2617212	233768	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N230_BC11	s_5733	2594935	200551	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N259_barcode10	s_5777	2665735	1977273	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N219_BC07	s_5709	2770369	536821	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N264_barcode03	s_5782	2682812	2491062	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N217_BC09	s_5705	2591772	506036	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N200_BC01	s_5679	2619391	187663	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N154_BC04	s_5574	2723884	1809745	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N208_BC12	s_5691	2845191	956074	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N174_BC10	s_5613	2857456	1688244	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N222_BC04	s_5713	1809024	22377	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N177_BC10	s_5618	2562126	598893	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N128_BC11	s_5506	2869902	1956203	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N219_BC01	s_5707	2705942	1350880	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N184_BC03	s_5635	2460525	59778	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N191_BC04	s_5659	2509606	180109	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N133_BC02	s_5525	1919488	20661	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N257_barcode17	s_5767	2538329	2243649	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N199_BC01	s_5677	2507520	330685	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N134_BC07	s_5529	2574416	1420367	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N190_BC08	s_5657	2779687	452687	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N166_BC10	s_5598	2638664	597850	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N156_BC12	s_5578	2406751	66000	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N129_BC04	s_5510	2495995	2459719	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N196_BC06	s_5671	2610236	319408	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N166_BC09	s_5597	2525158	515679	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N124_BC06	s_5494	2364478	88694	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N253_barcode15	s_5746	2611671	796772	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N234_BC01	s_5736	2811649	2175095	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N104_BC11	s_5453	1525486	13030	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N229_BC06	s_5731	2504141	150934	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N186_BC06	s_5641	2820752	655598	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N122_BC02	s_5489	2871845	661170	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N208_BC03	s_5690	2416234	58158	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N172_BC08	s_5607	2250030	81142	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N190_BC06	s_5655	2465005	299231	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N111_BC04	s_5465	2227871	43666	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N125_BC08	s_5498	2545168	314626	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N266_barcode24	s_6935	2555929	1685521	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N264_barcode16	s_5786	2739565	2611475	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N217_BC07	s_5704	2596901	1306979	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N123_BC12	s_5493	2691222	528815	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N131_BC08	s_5521	2799093	742485	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N129_BC06	s_5512	2675580	298874	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N165_BC07	s_5593	2561162	283000	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N173_BC07	s_5610	2608391	807748	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N212_BC02	s_5697	2665256	314433	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N114_BC04	s_5474	2531506	219067	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N129_BC05	s_5511	2607226	282379	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N159_BC09	s_5588	2541068	773726	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N117_BC06	s_5483	2511923	375074	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N255_barcode11	s_5753	2765027	981019	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N253_barcode11	s_5742	2729168	2358262	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N258_barcode10	s_5772	2702456	1706781	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N175_BC02	s_5614	2810127	805604	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N181_BC03	s_5627	2367810	69019	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N101_BC07	s_5449	2561730	457517	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N255_barcode01	s_5747	2648803	207726	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N202_BC07	s_5684	2916642	954947	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N105_BC07	s_5456	2449425	159347	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N143_BC03	s_5549	2516319	1549681	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N146_BC09	s_5557	2614259	731053	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N223_BC02	s_5716	2596467	666367	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N134_BC10	s_5532	1981899	13906	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N166_BC12	s_5600	2595795	1004057	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N257_barcode10	s_5764	2657532	921061	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N209_BC04	s_5692	2617208	992667	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N165_BC09	s_5595	2322279	484105	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N195_BC02	s_5669	1808505	15097	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N122_BC07	s_5490	2525423	648847	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N141_BC04	s_5543	2493902	59940	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N224_BC06	s_5721	2821792	1962415	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N157_BC09	s_5582	2859192	358453	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N139_BC03	s_5539	2629264	550385	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N180_BC08	s_5626	2395996	114123	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N189_BC10	s_5653	2370131	550568	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N141_BC09	s_5545	2328166	24994	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N186_BC09	s_5643	2667343	127465	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N147_BC03	s_5558	2835019	492801	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N108_BC07	s_5461	2800226	729388	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N139_BC05	s_5541	2637603	272230	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N104_BC03	s_5451	2356923	47716	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N258_barcode01	s_5771	2514162	1339783	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N255_barcode08	s_5752	2806750	996222	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N109_BC05	s_5464	2541383	633511	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N137_BC10	s_5537	2627615	750849	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N104_BC05	s_5452	2374418	99654	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N170_BC02	s_5603	2580569	695709	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N139_BC01	s_5538	2590565	336927	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N177_BC12	s_5619	2553466	1323477	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N259_barcode02	s_5773	2734288	700348	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N253_barcode10	s_5741	2582906	2244303	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N207_BC09	s_5689	2648219	235847	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N129_BC07	s_5513	2590753	102429	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N167_BC05	s_5601	2595776	210303	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N179_BC01	s_5621	2593355	618316	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N104_BC01	s_5450	1970407	16781	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N135_BC09	s_5533	2581781	1910490	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N145_BC01	s_5554	2606856	235098	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N116_BC06	s_5481	2595537	1514006	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N240_BC08	s_5738	2662509	661881	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N196_BC04	s_5670	2736442	119500	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N189_BC08	s_5651	2668506	2202457	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N253_barcode13	s_5744	2700774	1333999	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N221_BC09	s_5712	1738457	34377	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N104_BC12	s_5454	2590748	178223	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N141_BC08	s_5544	2414245	48411	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N162_BC06	s_5590	2545175	2463643	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N141_BC11	s_5547	2322138	38316	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N191_BC06	s_5661	2700909	1976699	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N184_BC10	s_5638	2277713	28798	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N253_barcode06	s_5740	2722166	1508335	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N209_BC10	s_5693	2627382	326309	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N184_BC06	s_5636	2272139	27952	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N224_BC08	s_5723	2592554	539431	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N257_barcode16	s_5766	2707272	1966651	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N106_BC04	s_5458	1788024	32235	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N257_barcode22	s_5768	2685450	2605532	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N188_BC05	s_5644	2539155	361962	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N114_BC07	s_5475	2382242	60266	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N151_BC04	s_5563	2551340	73838	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N181_BC05	s_5629	2682700	1760767	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N189_BC09	s_5652	2677571	728841	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N166_BC06	s_5596	2622802	604394	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N180_BC05	s_5624	2530565	210745	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N255_barcode15	s_5757	2658847	2620580	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N267_barcode11	s_6937	2658217	2553852	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N130_BC03	s_5516	2491523	176589	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N129_BC03	s_5509	2528493	314673	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N266_barcode05	s_6933	2527142	1529151	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N184_BC02	s_5634	2503020	195711	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N253_barcode14	s_5745	2577244	2444846	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N224_BC02	s_5720	2527778	621055	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N122_BC11	s_5491	2864353	1028993	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N231_BC09	s_5735	2662406	345699	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N176_BC01	s_5616	2670947	957160	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N219_BC06	s_5708	2457087	53266	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N190_BC09	s_5658	2742839	1146518	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N131_BC07	s_5520	2741128	356469	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N178_BC10	s_5620	2675765	982392	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N115_BC09	s_5478	2035066	18809	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N200_BC03	s_5680	2630067	171777	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N193_BC08	s_5664	2511797	110173	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N121_BC03	s_5488	2552505	316706	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N116_BC05	s_5480	2543012	385175	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N101_BC05	s_5448	2474967	560788	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N132_BC01	s_5523	2615590	101919	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N200_BC10	s_5682	2491218	737146	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N190_BC07	s_5656	2689223	1564872	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N222_BC05	s_5714	2422098	119020	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N215_BC10	s_5702	2790842	254982	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N210_BC04	s_5695	2309042	38315	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N257_barcode11	s_5765	2730397	2138170	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N203_BC12	s_5686	2443657	55310	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N147_BC05	s_5559	2621752	1496173	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N257_barcode24	s_5770	2646649	2156196	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N253_barcode12	s_5743	2685744	2619376	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N160_BC02	s_5589	2673906	226865	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N133_BC08	s_5528	2729482	1359192	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N173_BC12	s_5612	2630214	543264	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N217_BC06	s_5703	2546472	188764	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N139_BC04	s_5540	2513059	85190	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N156_BC11	s_5577	1884114	14776	NONE	MEDIUM_QUAL
Staphylococcus_haemolyticus	N168_BC10	s_5602	2465080	195265	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N255_barcode12	s_5754	2707790	1542570	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N180_BC07	s_5625	2715307	896618	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N100_BC07	s_5447	2428859	51095	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N140_BC07	s_5542	2593752	521410	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N172_BC07	s_5606	2474454	264851	NONE	HIGH_QUAL
Staphylococcus_haemolyticus	N259_barcode08	s_5775	2693191	2213484	NONE	HIGH_QUAL
Staphylococcus_aureus	N186_BC01	s_4657	2803930	465356	NONE	HIGH_QUAL
Staphylococcus_aureus	N253_barcode05	s_4786	2934411	706367	NONE	HIGH_QUAL
Staphylococcus_aureus	N153_BC12	s_4569	3171875	340265	NONE	HIGH_QUAL
Staphylococcus_aureus	N238_BC11	s_4779	2997841	1799294	NONE	HIGH_QUAL
Staphylococcus_aureus	N230_BC05	s_4771	1727304	18577	NONE	MEDIUM_QUAL
Staphylococcus_aureus	N138_BC12	s_4526	3035974	941032	NONE	HIGH_QUAL
Staphylococcus_aureus	N103_BC03	s_4431	2885582	2707787	NONE	HIGH_QUAL
Staphylococcus_aureus	N109_BC04	s_4447	2966085	2667885	NONE	HIGH_QUAL
Staphylococcus_aureus	N134_BC05	s_4515	2949608	284632	NONE	HIGH_QUAL
Staphylococcus_aureus	N256_barcode01	s_4808	3014249	567828	NONE	HIGH_QUAL
Staphylococcus_aureus	N182_BC03	s_4646	3027205	1520500	NONE	HIGH_QUAL
Staphylococcus_aureus	N164_BC03	s_4595	3046190	2955248	NONE	HIGH_QUAL
Staphylococcus_aureus	N143_BC07	s_4542	2926413	628761	NONE	HIGH_QUAL
Staphylococcus_aureus	N105_BC06	s_4437	2926553	117225	NONE	HIGH_QUAL
Staphylococcus_aureus	N173_BC06	s_4621	2963708	381788	NONE	HIGH_QUAL
Staphylococcus_aureus	N210_BC11	s_4721	2938798	369340	NONE	HIGH_QUAL
Staphylococcus_aureus	N148_BC03	s_4555	3012855	669163	NONE	HIGH_QUAL
Staphylococcus_aureus	N219_BC11	s_4741	3006436	2264915	NONE	HIGH_QUAL
Staphylococcus_aureus	N203_BC11	s_4703	2878392	793027	NONE	HIGH_QUAL
Staphylococcus_aureus	N213_BC06	s_4726	2944834	1553866	NONE	HIGH_QUAL
Staphylococcus_aureus	N194_BC05	s_4683	3010102	2943041	NONE	HIGH_QUAL
Staphylococcus_aureus	N179_BC05	s_4637	2778276	2445085	NONE	HIGH_QUAL
Staphylococcus_aureus	N171_BC05	s_4615	2882937	539292	NONE	HIGH_QUAL
Staphylococcus_aureus	N181_BC04	s_4643	2959370	664959	NONE	HIGH_QUAL
Staphylococcus_aureus	N197_BC12	s_4691	2930976	460940	NONE	HIGH_QUAL
Staphylococcus_aureus	N137_BC09	s_4522	2855911	2796213	NONE	HIGH_QUAL
Staphylococcus_aureus	N143_BC06	s_4541	2954967	1702163	NONE	HIGH_QUAL
Staphylococcus_aureus	N207_BC08	s_4712	2935180	327350	NONE	HIGH_QUAL
Staphylococcus_aureus	N115_BC08	s_4463	1505196	11671	NONE	MEDIUM_QUAL
Staphylococcus_aureus	N184_BC07	s_4654	2992500	460457	NONE	HIGH_QUAL
Staphylococcus_aureus	N127_BC01	s_4488	2812913	1501175	NONE	HIGH_QUAL
Staphylococcus_aureus	N216_BC10	s_4732	3085317	2942782	NONE	HIGH_QUAL
Staphylococcus_aureus	N194_BC09	s_4684	2948755	2777396	NONE	HIGH_QUAL
Staphylococcus_aureus	N182_BC05	s_4648	3011872	2117318	NONE	HIGH_QUAL
Staphylococcus_aureus	N224_BC07	s_4755	2923386	2887266	NONE	HIGH_QUAL
Staphylococcus_aureus	N158_BC03	s_4583	2956089	948024	NONE	HIGH_QUAL
Staphylococcus_aureus	N174_BC04	s_4625	2992048	1069057	NONE	HIGH_QUAL
Staphylococcus_aureus	N148_BC07	s_4556	3028642	1693513	NONE	HIGH_QUAL
Staphylococcus_aureus	N221_BC08	s_4743	3082765	934793	NONE	HIGH_QUAL
Staphylococcus_aureus	N227_BC06	s_4760	2863811	770593	NONE	HIGH_QUAL
Staphylococcus_aureus	N135_BC10	s_4520	2961196	1815917	NONE	HIGH_QUAL
Staphylococcus_aureus	N143_BC04	s_4539	2965878	2035562	NONE	HIGH_QUAL
Staphylococcus_aureus	N146_BC08	s_4545	2977849	1887369	NONE	HIGH_QUAL
Staphylococcus_aureus	N154_BC02	s_4571	2899833	428331	NONE	HIGH_QUAL
Staphylococcus_aureus	N209_BC09	s_4718	3059360	1937102	NONE	HIGH_QUAL
Staphylococcus_aureus	N111_BC05	s_4450	2878587	472985	NONE	HIGH_QUAL
Staphylococcus_aureus	N130_BC05	s_4501	2954512	2013636	NONE	HIGH_QUAL
Staphylococcus_aureus	N189_BC02	s_4667	3058745	746162	NONE	HIGH_QUAL
Staphylococcus_aureus	N184_BC11	s_4656	3089236	1136962	NONE	HIGH_QUAL
Staphylococcus_aureus	N173_BC08	s_4623	3090588	640676	NONE	HIGH_QUAL
Staphylococcus_aureus	N253_barcode01	s_4783	3025963	739822	NONE	HIGH_QUAL
Staphylococcus_aureus	N212_BC10	s_4725	2970671	1565112	NONE	HIGH_QUAL
Staphylococcus_aureus	N153_BC10	s_4568	2963910	1757746	NONE	HIGH_QUAL
Staphylococcus_aureus	N112_BC12	s_4454	2750259	39690	NONE	HIGH_QUAL
Staphylococcus_aureus	N198_BC08	s_4692	2994823	1762842	NONE	HIGH_QUAL
Staphylococcus_aureus	N154_BC01	s_4570	2986947	1918563	NONE	HIGH_QUAL
Staphylococcus_aureus	N240_BC07	s_4781	2806862	782687	NONE	HIGH_QUAL
