G_20	s_263	s_194	s_252	s_201	s_245	s_228	s_341	s_274	G_18	s_205	s_222	s_248	s_226	s_231	G_31	G_22	s_261	s_215	s_296	s_240	s_224	G_33	s_326	s_208	s_336	s_343	s_219	s_257	s_279	s_237	s_196	s_183	G_2	G_27	s_321	s_304	s_246	G_14	s_286	s_288	s_269	s_241	G_10	s_265	G_5	s_282	s_323	s_192	G_16	s_239	s_344	s_220	s_243	s_203	s_250	s_187	G_25	s_297	s_330	s_184	G_21	s_299	s_338	s_329	s_254	s_349	s_233	s_209	G_28	s_300	s_313	s_188	s_308	G_19	s_347	s_216	G_17	s_229	s_314	s_195	G_9	G_12	s_275	s_218	G_4	s_202	s_253	s_225	s_337	s_227	s_214	s_291	s_339	s_346	s_273	s_260	s_249	s_221	s_191	s_311	s_185	G_32	s_293	s_332	s_280	s_284	s_320	s_236	G_36	G_34	G_23	s_306	s_316	s_223	s_262	s_322	s_325	s_287	s_328	G_7	s_256	s_350	s_230	s_207	s_310	G_8	s_234	s_303	s_258	G_35	s_242	s_281	s_324	G_1	G_26	G_11	s_204	s_307	s_295	s_305	s_298	G_15	s_217	s_251	s_264	s_285	s_315	s_193	s_255	G_6	s_289	G_30	s_266	G_29	s_302	s_235	G_3	s_290	s_211	s_206	s_232	s_210	s_292	s_186	G_24	s_348	s_238	s_270	G_13	s_340
G_5 0.00240008 0.01785239 0.01767878 0.01848055 0.01949431 0.00035219 0.01723118 0.01771936 0.02010130 0.00013398 0.01826497 0.01741538 0.01733755 0.01737984 0.01710846 0.00013197 0.00014446 0.00033990 0.01727820 0.01755071 0.01729820 0.01724684 0.00010479 0.00032083 0.01718531 0.01995865 0.01795516 0.01740750 0.01858489 0.00031886 0.00031272 0.00246825 0.01732818 0.00353390 0.00011934 0.01686208 0.01733874 0.00034462 0.00017059 0.01775733 0.01775821 0.01769203 0.01723301 0.01828359 0.01769978 0 0.01765770 0.01537465 0.01723453 0.00018336 0.01725210 0.00032376 0.01737568 0.01721908 0.01810614 0.02021483 0.01729048 0.00014811 0.01822881 0.01804942 0.01737219 0.00016806 0.01758561 0.01716414 0.01734062 0.01743469 0.01841245 0.00034822 0.01743871 0.00016861 0.01766199 0.01718782 0.01764741 0.00037315 0.00015362 0.00152131 0.01738681 0.00011496 0.01709581 0.00033149 0.01780645 0.00014053 0.00013257 0.01991826 0.01775463 0.00014104 0.01944663 0.00033071 0.01730630 0.01982870 0.01740777 0.01741874 0.00036062 0.01712685 0.01818928 0.01753164 0.00034286 0.01805948 0.00037107 0.01733586 0.01732708 0.01736811 0.00016420 0.00035475 0.01736393 0.00034102 0.01769300 0.01576707 0.00032155 0.00032443 0.00020051 0.00013529 0.00033795 0.02078936 0.01709338 0.02034973 0.01775629 0.01756603 0.01763537 0.01830462 0.00013046 0.00037036 0.01839653 0.01709267 0.01727434 0.00031379 0.00013422 0.00038031 0.01739289 0.01676605 0.00017754 0.01739740 0.01811067 0.01836788 0.00382191 0.00010646 0.00353917 0.01823827 0.01865612 0.01787196 0.01704945 0.01891487 0.00013967 0.01733234 0.02027933 0.01767247 0.01769311 0.01788153 0.01711650 0.01747235 0.00023060 0.01801279 0.00012298 0.01764064 0.00012311 0.01787690 0.00031245 0.01822566 0.01903440 0.01718462 0.01820340 0.00032644 0.01738335 0.00037377 0.01739882 0.00011909 0.01741645 0.00032206 0.01766579 0.00011077 0.01741450
s_282 0.01796436 0.01962959 0.01906943 0.01936846 0.02065652 0.01821095 0.01880146 0.01839534 0.02059541 0.01790952 0.01905760 0.01902712 0.01907409 0.01909329 0.01884176 0.01762977 0.01789546 0.01826895 0.01891397 0.01832497 0.01895855 0.01901641 0.01766829 0.01767366 0.01916228 0.02080536 0.01857355 0.01916974 0.01880747 0.01797048 0.01807460 0.01814924 0.01913861 0.01815247 0.01770062 0.01733803 0.01833629 0.01804466 0.01775868 0.01808875 0.01854185 0.01906809 0.01894465 0.01851424 0.01969465 0.01765770 0 0.01817850 0.01911158 0.01788574 0.01902623 0.01768135 0.01913079 0.01904147 0.01922844 0.02052537 0.01907125 0.01788695 0.01887013 0.01844502 0.01903534 0.01778065 0.01843169 0.01824819 0.01803564 0.01914892 0.01868664 0.01828736 0.01914063 0.01796318 0.01854040 0.01903840 0.01902667 0.01769961 0.01782713 0.01794133 0.01876772 0.01771652 0.01872286 0.01767122 0.01917817 0.01773691 0.01773592 0.02034339 0.01864439 0.01767685 0.02061690 0.01800992 0.01895612 0.02043132 0.01912858 0.01877107 0.01758371 0.01828776 0.01844922 0.01920470 0.01814004 0.01829518 0.01803687 0.01900710 0.01841945 0.01912561 0.01779899 0.01764099 0.01836125 0.01839354 0.01789949 0.01735305 0.01817058 0.01804174 0.01796493 0.01766969 0.01758156 0.02042606 0.01899593 0.02112106 0.01804846 0.00008975 0.01790868 0.00011952 0.01763053 0.01816767 0.01863460 0.01884957 0.01906452 0.01771628 0.01797462 0.01817809 0.01812620 0.01717058 0.01781681 0.01905223 0.00014240 0.01935207 0.01811348 0.01767439 0.01792821 0.01920524 0.01901213 0.00015511 0.01819359 0.01949998 0.01763637 0.01913991 0.02054482 0.01961969 0.01809185 0.01760261 0.01894115 0.01918186 0.01796039 0.01842765 0.01774833 0.01902341 0.01777025 0.01805954 0.01808995 0.01851824 0.01935451 0.01893221 0.01898809 0.01804800 0.01926205 0.01758088 0.01915073 0.01784016 0.01840045 0.01807042 0.01881382 0.01765916 0.01832355
s_323 0.01626013 0.00124454 0.01737927 0.01815984 0.02013589 0.01700956 0.00053629 0.01643673 0.01944180 0.01571507 0.01844725 0.00012733 0.00011214 0.00006794 0.00049820 0.01526838 0.01577257 0.01718556 0.00005099 0.00026606 0.00006004 0.00006857 0.01530781 0.01523167 0.00005391 0.01791822 0.01647967 0.00012473 0.01714636 0.01674071 0.01692844 0.01746593 0.00005004 0.01601224 0.01537279 0.00135950 0.00007944 0.01702498 0.01551903 0.01743179 0.01756923 0.01822742 0.00005966 0.01700776 0.00120143 0.01537465 0.01817850 0 0.00008448 0.01562051 0.00006463 0.01538267 0.00010502 0.00006407 0.01824882 0.01948130 0.00004510 0.01571887 0.01839812 0.01687412 0.00006767 0.01533175 0.00057131 0.00005385 0.01588016 0.00011251 0.01565239 0.01703317 0.00005176 0.01572134 0.00054735 0.01755016 0.01736737 0.01717453 0.01562177 0.01554527 0.00009195 0.01555266 0.00053311 0.01701154 0.01746385 0.01542027 0.01559637 0.01922128 0.01672251 0.01529517 0.02004792 0.01704484 0.00006485 0.01772097 0.00007736 0.00005819 0.01714323 0.00006742 0.01640077 0.01824017 0.01707277 0.01656799 0.01692694 0.00004935 0.00007046 0.00005481 0.01547512 0.01703002 0.00007960 0.01716612 0.01740680 0.01460188 0.01699053 0.01570656 0.01566435 0.01529746 0.01705461 0.01975558 0.00005757 0.01980125 0.01834875 0.01692319 0.01737478 0.01768446 0.01530495 0.01699510 0.01564645 0.00058857 0.00005177 0.01676931 0.01580140 0.01705659 0.00010139 0.01572824 0.01565539 0.00006881 0.01864763 0.01739400 0.01588141 0.01533678 0.01582799 0.01840288 0.01877362 0.01867126 0.00050164 0.01917943 0.01526334 0.00005945 0.01968189 0.00120178 0.01737521 0.01649213 0.00006646 0.00014266 0.01588302 0.01808735 0.01537853 0.01823401 0.01533723 0.01696585 0.01698185 0.01695921 0.01886385 0.00005470 0.01831323 0.01689481 0.00006700 0.01682295 0.00005097 0.01556787 0.01554990 0.01700289 0.01820914 0.01535869 0.00005480
s_192 0.01798760 0.00122526 0.01749158 0.01798800 0.02030322 0.01717436 0.00057132 0.01829055 0.01992872 0.01767150 0.01889848 0.00016680 0.00015508 0.00009830 0.00052290 0.01715459 0.01773034 0.01735950 0.00007804 0.00028829 0.00009347 0.00009985 0.01719546 0.01717904 0.00007961 0.02042090 0.01827389 0.00017168 0.01731586 0.01706107 0.01711818 0.01730942 0.00007970 0.01779419 0.01719165 0.00137988 0.00010492 0.01711666 0.01743583 0.01763322 0.01877431 0.01820597 0.00009269 0.01879974 0.00118704 0.01723453 0.01911158 0.00008448 0 0.01751929 0.00009424 0.01732593 0.00014081 0.00009294 0.01883347 0.02009622 0.00008478 0.01765083 0.01908589 0.01874810 0.00010616 0.01724349 0.00060475 0.00008557 0.01760279 0.00015391 0.01725790 0.01714979 0.00007446 0.01761131 0.00059036 0.01869728 0.01720164 0.01729482 0.01751243 0.01749332 0.00011893 0.01718557 0.00057841 0.01718412 0.01748166 0.01727096 0.01748855 0.01989584 0.01709922 0.01717254 0.02027141 0.01716267 0.00009856 0.02005163 0.00012014 0.00008191 0.01724786 0.00009690 0.01816750 0.01836998 0.01725448 0.01694327 0.01722370 0.00007789 0.00009762 0.00008260 0.01740278 0.01720444 0.00010628 0.01724816 0.01759722 0.01675509 0.01716571 0.01766900 0.01757845 0.01714374 0.01719004 0.02061847 0.00009543 0.01982844 0.01835131 0.01903912 0.01761321 0.01900661 0.01715678 0.01718362 0.01727659 0.00063540 0.00006130 0.01708623 0.01774942 0.01718997 0.00013273 0.01700320 0.01765024 0.00009452 0.01905386 0.01907941 0.01771967 0.01718976 0.01773434 0.01886868 0.01943207 0.01875143 0.00050523 0.01969223 0.01717575 0.00008551 0.02005387 0.00118922 0.01763394 0.01679230 0.00008913 0.00018333 0.01777312 0.01880607 0.01720275 0.01819336 0.01723759 0.01725309 0.01715847 0.01883967 0.01909699 0.00008116 0.01888520 0.01709981 0.00009172 0.01716136 0.00008392 0.01743041 0.01728393 0.01716837 0.01813816 0.01716573 0.00008970
G_16 0.00267008 0.01804987 0.01782851 0.01871648 0.01958019 0.00036801 0.01758634 0.01796426 0.02024353 0.00018962 0.01848627 0.01768856 0.01762085 0.01762303 0.01756792 0.00016197 0.00021310 0.00035753 0.01760508 0.01785092 0.01755017 0.01759038 0.00013898 0.00033169 0.01763513 0.02019004 0.01821147 0.01766226 0.01882435 0.00033730 0.00032828 0.00256538 0.01757021 0.00371244 0.00017574 0.01706385 0.01764013 0.00036372 0.00017503 0.01786822 0.01805343 0.01776076 0.01752599 0.01861642 0.01799205 0.00018336 0.01788574 0.01562051 0.01751929 0 0.01755071 0.00035993 0.01763850 0.01755571 0.01825596 0.02067750 0.01756683 0.00020543 0.01838762 0.01837645 0.01762568 0.00018711 0.01788751 0.01729163 0.01744662 0.01773113 0.01869839 0.00039128 0.01769357 0.00019359 0.01796865 0.01752750 0.01778397 0.00040729 0.00015067 0.00159992 0.01763788 0.00016488 0.01753321 0.00034095 0.01796808 0.00017156 0.00013981 0.02005353 0.01793109 0.00016038 0.01953038 0.00034948 0.01759441 0.02014742 0.01766707 0.01771272 0.00036877 0.01740543 0.01849958 0.01775776 0.00036231 0.01830390 0.00041268 0.01757880 0.01759025 0.01745543 0.00016812 0.00036127 0.01762545 0.00035219 0.01780050 0.01595764 0.00033329 0.00036512 0.00025408 0.00016949 0.00037374 0.02135286 0.01737430 0.02056592 0.01784121 0.01786669 0.01777576 0.01855463 0.00016899 0.00037773 0.01866588 0.01748460 0.01753246 0.00033176 0.00013905 0.00039379 0.01773662 0.01705961 0.00022626 0.01763878 0.01834383 0.01851842 0.00399562 0.00014687 0.00379026 0.01842114 0.01890042 0.01811577 0.01749539 0.01911126 0.00016016 0.01759269 0.02071160 0.01797873 0.01780876 0.01812097 0.01745688 0.01780679 0.00023685 0.01844124 0.00018983 0.01771948 0.00018613 0.01809873 0.00033034 0.01850565 0.01915222 0.01752301 0.01846269 0.00036260 0.01763870 0.00037867 0.01761765 0.00017128 0.01755121 0.00033228 0.01775611 0.00016573 0.01753164
s_239 0.01793813 0.00121796 0.01713684 0.01794077 0.02003569 0.01664436 0.00078851 0.01785284 0.01997315 0.01761133 0.01861193 0.00011171 0.00009185 0.00005177 0.00076877 0.01720855 0.01769774 0.01671105 0.00006178 0.00026250 0.00003595 0.00004623 0.01723664 0.01715083 0.00005642 0.02039354 0.01788149 0.00012396 0.01715389 0.01674432 0.01685025 0.01751132 0.00004914 0.01779756 0.01716192 0.00130928 0.00005574 0.01702890 0.01741678 0.01749769 0.01847268 0.01797472 0.00003698 0.01874165 0.00117938 0.01725210 0.01902623 0.00006463 0.00009424 0.01755071 0 0.01720406 0.00009338 0.00004163 0.01836248 0.01984219 0.00005455 0.01718783 0.01885376 0.01848093 0.00007655 0.01741305 0.00055832 0.00006859 0.01748763 0.00009685 0.01708941 0.01723256 0.00005295 0.01766872 0.00058877 0.01846460 0.01722776 0.01724371 0.01751043 0.01744206 0.00009340 0.01720547 0.00080738 0.01716496 0.01740198 0.01720377 0.01746203 0.01995975 0.01665072 0.01724031 0.01999264 0.01710264 0.00004610 0.01997097 0.00006273 0.00005787 0.01711604 0.00007484 0.01746512 0.01826223 0.01717341 0.01681327 0.01701960 0.00005493 0.00004939 0.00006121 0.01742253 0.01714974 0.00009289 0.01667192 0.01750744 0.01684525 0.01699885 0.01764244 0.01751607 0.01719245 0.01719014 0.02034315 0.00004229 0.01957182 0.01807145 0.01901929 0.01752311 0.01915463 0.01717258 0.01692457 0.01713832 0.00087155 0.00006308 0.01706528 0.01773684 0.01714739 0.00009262 0.01683872 0.01732778 0.00004267 0.01906548 0.01894529 0.01770332 0.01716019 0.01788970 0.01846775 0.01913277 0.01886129 0.00075563 0.01970374 0.01723844 0.00005862 0.01989099 0.00117960 0.01744519 0.01665010 0.00006751 0.00012839 0.01731081 0.01862445 0.01727212 0.01788129 0.01727370 0.01714232 0.01709337 0.01875572 0.01916850 0.00006005 0.01864086 0.01702584 0.00007117 0.01707375 0.00005864 0.01742531 0.01730958 0.01700883 0.01803858 0.01721739 0.00007147
s_344 0.00251386 0.01772758 0.01756581 0.01853447 0.01938477 0.00010270 0.01718176 0.01769039 0.02010793 0.00030580 0.01813435 0.01736780 0.01736191 0.01731031 0.01707025 0.00030688 0.00032963 0.00008472 0.01724177 0.01757481 0.01738034 0.01723193 0.00028896 0.00004562 0.01739174 0.02000336 0.01794727 0.01751237 0.01856090 0.00005792 0.00004958 0.00238783 0.01730091 0.00335788 0.00030399 0.01674237 0.01739371 0.00009875 0.00035821 0.01766301 0.01784533 0.01749628 0.01719525 0.01778347 0.01770957 0.00032376 0.01768135 0.01538267 0.01732593 0.00035993 0.01720406 0 0.01739358 0.01725402 0.01794483 0.02045623 0.01736640 0.00033344 0.01811568 0.01808049 0.01736103 0.00036584 0.01757222 0.01709796 0.01719958 0.01741981 0.01827459 0.00008346 0.01737353 0.00033973 0.01786437 0.01718523 0.01748830 0.00010066 0.00035081 0.00143974 0.01744276 0.00029236 0.01706352 0.00005530 0.01773691 0.00030488 0.00032312 0.01989000 0.01813464 0.00031420 0.01941717 0.00008415 0.01726365 0.01988739 0.01736758 0.01739846 0.00009689 0.01710034 0.01811301 0.01738388 0.00009176 0.01799059 0.00016559 0.01727136 0.01744383 0.01733018 0.00036494 0.00009546 0.01734560 0.00005714 0.01759758 0.01570092 0.00005095 0.00052364 0.00038995 0.00029426 0.00006837 0.02105185 0.01707865 0.02010575 0.01757400 0.01753272 0.01755426 0.01834930 0.00031307 0.00010647 0.01827635 0.01720991 0.01733000 0.00005142 0.00032303 0.00008758 0.01757251 0.01683936 0.00033656 0.01747154 0.01822280 0.01815159 0.00363470 0.00029271 0.00339846 0.01808838 0.01847601 0.01777084 0.01702378 0.01875604 0.00030239 0.01731851 0.02052435 0.01768396 0.01758662 0.01789161 0.01711053 0.01750399 0.00041585 0.01812235 0.00032010 0.01747308 0.00034010 0.01813269 0.00004885 0.01761667 0.01882142 0.01721036 0.01804996 0.00005354 0.01743936 0.00011126 0.01742057 0.00032954 0.01753329 0.00004934 0.01731375 0.00029594 0.01737170
s_220 0.01808993 0.00127976 0.01723206 0.01817724 0.02011246 0.01739695 0.00083542 0.01805728 0.02008357 0.01780389 0.01871122 0.00016204 0.00015487 0.00009882 0.00081257 0.01729880 0.01782511 0.01739601 0.00009463 0.00031622 0.00008566 0.00009597 0.01733768 0.01735421 0.00010571 0.02044992 0.01814598 0.00017488 0.01736954 0.01745912 0.01727652 0.01760966 0.00009765 0.01788572 0.01735143 0.00135907 0.00010127 0.01725713 0.01758758 0.01767192 0.01863524 0.01831360 0.00008643 0.01882462 0.00123315 0.01737568 0.01913079 0.00010502 0.00014081 0.01763850 0.00009338 0.01739358 0 0.00008720 0.01849837 0.02015989 0.00010145 0.01776399 0.01901082 0.01869222 0.00011339 0.01741176 0.00061480 0.00010797 0.01762736 0.00015242 0.01734080 0.01735952 0.00009982 0.01776803 0.00063411 0.01859444 0.01725554 0.01751537 0.01766141 0.01763584 0.00014348 0.01729963 0.00086676 0.01748211 0.01741447 0.01741726 0.01764912 0.02004188 0.01664967 0.01740251 0.02009681 0.01733313 0.00005315 0.02010501 0.00012222 0.00010213 0.01739440 0.00012129 0.01805368 0.01837591 0.01740552 0.01701019 0.01738407 0.00010094 0.00009287 0.00010648 0.01764394 0.01747069 0.00013140 0.01746133 0.01763858 0.01687795 0.01728970 0.01780431 0.01773404 0.01728394 0.01743765 0.02066859 0.00008693 0.01990634 0.01848183 0.01907984 0.01768403 0.01916292 0.01730017 0.01737981 0.01734298 0.00094452 0.00010165 0.01731155 0.01792878 0.01732516 0.00009163 0.01705231 0.01776563 0.00009288 0.01926918 0.01916360 0.01789078 0.01733921 0.01783978 0.01851433 0.01940678 0.01894081 0.00081697 0.01986909 0.01728925 0.00010209 0.02008485 0.00124180 0.01761516 0.01684442 0.00011050 0.00018268 0.01796948 0.01875191 0.01737661 0.01826948 0.01748772 0.01715038 0.01732722 0.01886226 0.01934313 0.00009980 0.01873713 0.01726812 0.00011156 0.01732743 0.00010108 0.01757708 0.01747131 0.01732560 0.01825879 0.01733491 0.00011373
s_243 0.01793521 0.00121360 0.01708640 0.01801332 0.02004412 0.01712569 0.00078856 0.01785279 0.01980278 0.01759729 0.01854644 0.00010288 0.00008740 0.00005074 0.00076513 0.01718670 0.01769365 0.01716930 0.00005425 0.00026704 0.00003393 0.00004598 0.01722469 0.01729957 0.00005565 0.02021601 0.01788940 0.00013209 0.01706897 0.01720828 0.01684598 0.01733219 0.00004862 0.01782663 0.01714472 0.00130208 0.00006037 0.01703331 0.01744432 0.01747634 0.01842832 0.01793762 0.00003516 0.01872617 0.00117698 0.01721908 0.01904147 0.00006407 0.00009294 0.01755571 0.00004163 0.01725402 0.00008720 0 0.01829147 0.01989973 0.00005299 0.01763077 0.01879326 0.01846768 0.00007629 0.01729706 0.00055986 0.00006933 0.01745700 0.00009369 0.01703403 0.01721747 0.00005399 0.01765398 0.00059865 0.01842355 0.01719998 0.01728879 0.01747478 0.01744723 0.00009629 0.01718559 0.00080584 0.01721952 0.01730019 0.01720342 0.01744697 0.01976792 0.01650834 0.01725153 0.01997315 0.01712283 0.00004532 0.01981014 0.00006117 0.00005372 0.01716928 0.00007845 0.01788167 0.01828893 0.01716022 0.01683351 0.01702783 0.00005182 0.00004807 0.00005758 0.01743500 0.01718681 0.00009283 0.01720393 0.01750432 0.01699273 0.01705590 0.01766773 0.01750255 0.01716988 0.01726556 0.02030248 0.00004358 0.01947710 0.01806178 0.01880163 0.01747679 0.01893663 0.01717105 0.01710516 0.01714372 0.00086316 0.00005789 0.01708335 0.01774200 0.01719427 0.00008791 0.01693571 0.01764057 0.00003723 0.01902772 0.01905299 0.01769333 0.01713515 0.01776355 0.01843252 0.01929925 0.01882273 0.00075041 0.01967967 0.01725665 0.00005577 0.01983094 0.00118028 0.01743508 0.01662701 0.00006882 0.00012417 0.01775959 0.01855586 0.01725088 0.01801557 0.01724195 0.01704470 0.01708638 0.01874336 0.01913713 0.00006083 0.01855504 0.01704191 0.00006754 0.01712647 0.00005164 0.01739389 0.01727598 0.01705943 0.01801163 0.01719746 0.00006725
s_203 0.01839164 0.01883658 0.01748707 0.01752284 0.02003518 0.01760016 0.01834419 0.01927153 0.01277712 0.01791362 0.01127300 0.01842844 0.01855604 0.01839471 0.01830640 0.01811316 0.01837207 0.01772789 0.01854804 0.01877788 0.01835602 0.01842901 0.01809440 0.01763804 0.01850221 0.01311163 0.01936912 0.01839751 0.01667975 0.01765624 0.01778380 0.01819667 0.01884484 0.01792030 0.01808049 0.01782186 0.01850148 0.01750319 0.01818260 0.00769673 0.01011782 0.01801715 0.01822292 0.01847941 0.01879290 0.01810614 0.01922844 0.01824882 0.01883347 0.01825596 0.01836248 0.01794483 0.01849837 0.01829147 0 0.01807708 0.01878494 0.01788439 0.00035127 0.01005584 0.01891024 0.01817886 0.01880818 0.01862682 0.00752981 0.01849538 0.01660021 0.01783632 0.01846889 0.01830669 0.01874811 0.01045579 0.01738945 0.01799303 0.01777705 0.01798840 0.01842363 0.01808942 0.01810498 0.01762020 0.01742417 0.01811206 0.01778157 0.01284553 0.01622502 0.01814208 0.01990864 0.01778709 0.01842302 0.01281882 0.01839414 0.01830395 0.01765970 0.01857951 0.01934179 0.01757487 0.01760732 0.01643941 0.01786444 0.01872216 0.01848581 0.01870522 0.01815618 0.01766589 0.01856960 0.01763657 0.00777122 0.01636727 0.01776391 0.01832375 0.01825755 0.01808399 0.01795983 0.01851708 0.01842099 0.01130850 0.01811717 0.01913949 0.00772140 0.01931814 0.01810275 0.01756547 0.01663527 0.01834183 0.01847162 0.01768294 0.01824527 0.01788849 0.01860694 0.01638232 0.01798340 0.01847273 0.01902198 0.01834794 0.01788894 0.01804309 0.01779219 0.00006708 0.00086401 0.01926285 0.01844667 0.01222660 0.01812169 0.01853824 0.01803529 0.01877521 0.00775527 0.01628981 0.01876345 0.01849217 0.01834266 0.01008263 0.01802670 0.01800927 0.01817154 0.01645585 0.01785155 0.01847521 0.01925299 0.01853562 0.01154318 0.01773212 0.01857260 0.01759601 0.01887460 0.01814613 0.01723113 0.01782070 0.01800040 0.01808073 0.01859590
s_250 0.02017656 0.02017752 0.01361379 0.01519663 0.02141614 0.02040221 0.01994741 0.02108109 0.01765758 0.01996576 0.02021204 0.02007358 0.02005257 0.01992400 0.01979254 0.02024114 0.02049307 0.02002455 0.02002261 0.01991165 0.01999308 0.01995566 0.02039918 0.01992399 0.02018550 0.01803174 0.02112722 0.02006625 0.01328666 0.02001981 0.02014837 0.02179885 0.02017836 0.02023844 0.02019471 0.01932809 0.01967714 0.02035650 0.02059599 0.01846695 0.01938497 0.01960882 0.01991824 0.02007138 0.02012760 0.02021483 0.02052537 0.01948130 0.02009622 0.02067750 0.01984219 0.02045623 0.02015989 0.01989973 0.01807708 0 0.02017462 0.01984088 0.01819211 0.01936636 0.02021966 0.02029791 0.01993176 0.01979809 0.01839820 0.01964566 0.01557342 0.02050115 0.02011000 0.02033498 0.02011010 0.01966982 0.01371503 0.02048765 0.02021228 0.02069020 0.02005187 0.02027020 0.01986385 0.01994781 0.01379592 0.02021075 0.02008135 0.01759267 0.01211462 0.02037154 0.02153771 0.02022908 0.01995535 0.01764368 0.02001916 0.02013236 0.01994771 0.01978020 0.02122061 0.01537091 0.01999237 0.01345475 0.01989753 0.02008079 0.01970621 0.02003269 0.02064248 0.01994230 0.01976548 0.02001655 0.01847188 0.01215109 0.02022783 0.02040468 0.02033108 0.02024930 0.02045560 0.00113097 0.01981220 0.02073722 0.01972926 0.02048240 0.01840093 0.02069583 0.02011640 0.01994196 0.01546164 0.01980544 0.01997003 0.02013327 0.02060043 0.02052680 0.01972030 0.01213848 0.01997845 0.02007656 0.02042556 0.01568431 0.02025899 0.02016388 0.02004167 0.01804337 0.01796921 0.02061278 0.01965481 0.02058227 0.02031120 0.02011069 0.00103137 0.02007632 0.01846081 0.01297911 0.01994120 0.01968333 0.02064131 0.01934738 0.02020962 0.01956465 0.02041090 0.01227791 0.02024192 0.01998867 0.02100620 0.02000987 0.02036615 0.02037563 0.02013815 0.01990240 0.02008039 0.02057408 0.01340043 0.02036575 0.01955213 0.02030353 0.01981169
s_187 0.01805241 0.00122315 0.01748484 0.01800900 0.02019661 0.01713937 0.00053186 0.01823563 0.02002687 0.01774151 0.01891643 0.00012043 0.00010604 0.00005787 0.00049076 0.01722721 0.01778533 0.01735065 0.00004020 0.00026188 0.00005222 0.00006046 0.01725759 0.01722513 0.00004537 0.02048127 0.01828786 0.00011694 0.01733363 0.01712949 0.01706281 0.01723316 0.00003974 0.01787782 0.01728055 0.00130811 0.00006756 0.01716843 0.01748980 0.01757488 0.01878510 0.01816382 0.00005091 0.01888745 0.00117421 0.01729048 0.01907125 0.00004510 0.00008478 0.01756683 0.00005455 0.01736640 0.00010145 0.00005299 0.01878494 0.02017462 0 0.01772127 0.01901466 0.01873277 0.00007261 0.01731207 0.00055877 0.00005132 0.01752912 0.00011497 0.01719338 0.01719906 0.00004202 0.01768148 0.00056032 0.01864882 0.01740100 0.01737249 0.01756565 0.01751054 0.00008581 0.01725736 0.00053423 0.01723305 0.01750883 0.01733434 0.01745451 0.02001629 0.01697790 0.01722288 0.02036804 0.01709882 0.00006046 0.02003234 0.00006880 0.00004664 0.01716508 0.00006498 0.01818421 0.01836434 0.01728275 0.01699389 0.01729925 0.00004150 0.00005585 0.00004351 0.01748418 0.01726674 0.00007063 0.01731165 0.01755863 0.01680362 0.01716220 0.01774716 0.01760169 0.01721298 0.01730069 0.02065487 0.00005293 0.01989602 0.01832573 0.01899181 0.01755424 0.01898438 0.01722840 0.01714157 0.01721749 0.00058441 0.00004845 0.01703573 0.01779184 0.01707995 0.00010629 0.01706379 0.01772058 0.00005689 0.01907101 0.01910735 0.01779517 0.01724860 0.01782995 0.01886584 0.01939089 0.01873020 0.00050305 0.01971331 0.01722358 0.00004870 0.02012033 0.00118186 0.01760801 0.01681488 0.00005361 0.00014122 0.01784369 0.01887007 0.01728890 0.01814805 0.01728103 0.01717916 0.01711506 0.01893798 0.01908164 0.00004228 0.01892661 0.01701089 0.00005388 0.01711617 0.00005537 0.01749681 0.01731824 0.01709253 0.01809342 0.01726184 0.00005339
