s_3485	s_3545	s_3559	s_3518	s_3468	s_3524	s_3538	s_3469	s_3494	s_3526	s_3539	s_3495	s_3479	s_3516	s_3541	s_3476	s_3491	s_3514	s_3509	s_3484	s_3458	s_3507	s_3482	s_3506	s_3540	s_3550	s_3546	s_3498	s_3452	s_3551	s_3481	s_3459	s_3499	s_3542	s_3489	s_3557	s_3473	s_3457	s_3517	s_3478	s_3493	s_3515	s_3453
s_3539 0.00090076 0.10000000 0.00242377 0.00088603 0.00038239 0.00095313 0.00037393 0.00036378 0.00089098 0.00123608 0 0.00087106 0.00036580 0.00089733 0.00016799 0.00082138 0.00088096 0.00040754 0.00088904 0.00068456 0.00117079 0.00088104 0.00083145 0.00017297 0.00015440 0.10000000 0.10000000 0.00126631 0.00088696 0.10000000 0.00100427 0.00118112 0.00125992 0.00128347 0.00098869 0.00127037 0.00118817 0.00113632 0.00090901 0.00096849 0.00087090 0.00087227 0.00091981
s_3495 0.00061847 0.10000000 0.00226383 0.00004185 0.00065750 0.00064331 0.00065581 0.00062987 0.00010623 0.00062004 0.00087106 0 0.00064044 0.00064037 0.00087629 0.00002856 0.00062960 0.00070140 0.00010636 0.00049018 0.00052977 0.00062045 0.00011462 0.00088582 0.00087150 0.10000000 0.10000000 0.00057684 0.00052585 0.10000000 0.00068047 0.00054271 0.00057726 0.00057587 0.00063796 0.00056447 0.00054642 0.00055603 0.00015932 0.00061983 0.00007815 0.00063483 0.00062070
s_3479 0.00070269 0.10000000 0.00220674 0.00065032 0.00009394 0.00078338 0.00004412 0.00010264 0.00069888 0.00106403 0.00036580 0.00064044 0 0.00068993 0.00038855 0.00064767 0.00068406 0.00008745 0.00067790 0.00055306 0.00102143 0.00067775 0.00067399 0.00037533 0.00035477 0.10000000 0.10000000 0.00105601 0.00076573 0.10000000 0.00089313 0.00104941 0.00105907 0.00105960 0.00077402 0.00104756 0.00107042 0.00102092 0.00071729 0.00078558 0.00069387 0.00069087 0.00075155
s_3516 0.00004228 0.10000000 0.00234153 0.00064042 0.00068037 0.00031290 0.00069009 0.00068195 0.00068092 0.00099570 0.00089733 0.00064037 0.00068993 0 0.00090967 0.00060498 0.00003682 0.00072289 0.00066869 0.00077240 0.00094264 0.00004296 0.00063996 0.00091663 0.00090787 0.10000000 0.10000000 0.00101533 0.00028507 0.10000000 0.00046377 0.00094939 0.00100334 0.00101841 0.00027796 0.00101862 0.00096219 0.00094066 0.00071300 0.00028735 0.00064784 0.00006545 0.00026299
s_3541 0.00092113 0.10000000 0.00244005 0.00089654 0.00039925 0.00097500 0.00038866 0.00038030 0.00091584 0.00126645 0.00016799 0.00087629 0.00038855 0.00090967 0 0.00083300 0.00090236 0.00042076 0.00089985 0.00071525 0.00117483 0.00089059 0.00084932 0.00017941 0.00015754 0.10000000 0.10000000 0.00128402 0.00089421 0.10000000 0.00101798 0.00118793 0.00127675 0.00129871 0.00099258 0.00128431 0.00120469 0.00116883 0.00092537 0.00094807 0.00088009 0.00090680 0.00094276
s_3476 0.00058783 0.10000000 0.00211492 0.00004445 0.00067069 0.00063878 0.00062401 0.00065715 0.00011019 0.00060312 0.00082138 0.00002856 0.00064767 0.00060498 0.00083300 0 0.00060063 0.00066801 0.00010931 0.00051956 0.00053224 0.00059522 0.00013275 0.00085732 0.00082092 0.10000000 0.10000000 0.00053660 0.00052805 0.10000000 0.00070579 0.00054770 0.00055040 0.00053374 0.00059349 0.00052601 0.00057196 0.00056032 0.00016952 0.00063133 0.00008455 0.00061024 0.00061189
s_3491 0.00004032 0.10000000 0.00231103 0.00063357 0.00067677 0.00031658 0.00067840 0.00068294 0.00066976 0.00098160 0.00088096 0.00062960 0.00068406 0.00003682 0.00090236 0.00060063 0 0.00072160 0.00066046 0.00075822 0.00092294 0.00003612 0.00063336 0.00090446 0.00090078 0.10000000 0.10000000 0.00100573 0.00027205 0.10000000 0.00047039 0.00094089 0.00100060 0.00101133 0.00029321 0.00099826 0.00094790 0.00092332 0.00070205 0.00028129 0.00064113 0.00006510 0.00025457
s_3514 0.00074548 0.10000000 0.00226241 0.00071733 0.00012058 0.00081862 0.00008628 0.00009677 0.00072958 0.00110036 0.00040754 0.00070140 0.00008745 0.00072289 0.00042076 0.00066801 0.00072160 0 0.00072584 0.00058147 0.00102625 0.00072577 0.00069604 0.00041768 0.00040176 0.10000000 0.10000000 0.00110890 0.00074684 0.10000000 0.00088514 0.00104476 0.00110505 0.00111628 0.00082883 0.00110541 0.00108163 0.00103445 0.00075179 0.00080201 0.00072831 0.00072046 0.00076787
s_3509 0.00067621 0.10000000 0.00221036 0.00009684 0.00067937 0.00070630 0.00068332 0.00068115 0.00017022 0.00065174 0.00088904 0.00010636 0.00067790 0.00066869 0.00089985 0.00010931 0.00066046 0.00072584 0 0.00053629 0.00058326 0.00065441 0.00018937 0.00091017 0.00089783 0.10000000 0.10000000 0.00063166 0.00058487 0.10000000 0.00075220 0.00058981 0.00063720 0.00063127 0.00070746 0.00062465 0.00061639 0.00060382 0.00020293 0.00069399 0.00014134 0.00066687 0.00067134
s_3484 0.00075339 0.10000000 0.00219426 0.00050521 0.00057999 0.00071039 0.00053201 0.00055446 0.00055609 0.00104555 0.00068456 0.00049018 0.00055306 0.00077240 0.00071525 0.00051956 0.00075822 0.00058147 0.00053629 0 0.00098958 0.00076215 0.00055993 0.00072165 0.00069563 0.10000000 0.10000000 0.00102914 0.00067254 0.10000000 0.00080851 0.00100592 0.00101753 0.00102900 0.00066949 0.00100705 0.00105199 0.00100094 0.00058130 0.00069949 0.00049835 0.00075818 0.00069500
s_3458 0.00092860 0.10000000 0.00178003 0.00054542 0.00102081 0.00094576 0.00095014 0.00101362 0.00059487 0.00012329 0.00117079 0.00052977 0.00102143 0.00094264 0.00117483 0.00053224 0.00092294 0.00102625 0.00058326 0.00098958 0 0.00091051 0.00059428 0.00120381 0.00116110 0.10000000 0.10000000 0.00004394 0.00082801 0.10000000 0.00097938 0.00004644 0.00005154 0.00003300 0.00093909 0.00003534 0.00006524 0.00007830 0.00060613 0.00093989 0.00054132 0.00090055 0.00093497
s_3507 0.00004271 0.10000000 0.00227057 0.00062988 0.00068707 0.00031038 0.00066817 0.00068681 0.00066325 0.00098134 0.00088104 0.00062045 0.00067775 0.00004296 0.00089059 0.00059522 0.00003612 0.00072577 0.00065441 0.00076215 0.00091051 0 0.00062131 0.00090585 0.00088032 0.10000000 0.10000000 0.00099001 0.00028146 0.10000000 0.00046476 0.00092460 0.00097591 0.00097566 0.00027211 0.00097441 0.00093802 0.00091578 0.00069377 0.00029029 0.00063643 0.00006821 0.00026232
s_3482 0.00062077 0.10000000 0.00203750 0.00013283 0.00069313 0.00067449 0.00064441 0.00068841 0.00017493 0.00063898 0.00083145 0.00011462 0.00067399 0.00063996 0.00084932 0.00013275 0.00063336 0.00069604 0.00018937 0.00055993 0.00059428 0.00062131 0 0.00087407 0.00082673 0.10000000 0.10000000 0.00060694 0.00057837 0.10000000 0.00072334 0.00060467 0.00060004 0.00059069 0.00063020 0.00057707 0.00062389 0.00059793 0.00023867 0.00067657 0.00015046 0.00063623 0.00063850
s_3506 0.00091955 0.10000000 0.00237341 0.00090339 0.00039943 0.00098295 0.00037253 0.00038344 0.00090733 0.00127060 0.00017297 0.00088582 0.00037533 0.00091663 0.00017941 0.00085732 0.00090446 0.00041768 0.00091017 0.00072165 0.00120381 0.00090585 0.00087407 0 0.00016005 0.10000000 0.10000000 0.00129750 0.00091456 0.10000000 0.00105575 0.00121691 0.00129864 0.00129626 0.00099596 0.00128955 0.00124649 0.00119761 0.00093391 0.00096997 0.00089183 0.00090659 0.00094903
s_3540 0.00090888 0.10000000 0.00241221 0.00088935 0.00037357 0.00095516 0.00036501 0.00035021 0.00089741 0.00123039 0.00015440 0.00087150 0.00035477 0.00090787 0.00015754 0.00082092 0.00090078 0.00040176 0.00089783 0.00069563 0.00116110 0.00088032 0.00082673 0.00016005 0 0.10000000 0.10000000 0.00127038 0.00089074 0.10000000 0.00100198 0.00117376 0.00125989 0.00129096 0.00098872 0.00127265 0.00118504 0.00116694 0.00091507 0.00093273 0.00087957 0.00088042 0.00094070
s_3550 0.10000000 0.00007427 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0 0.00003719 0.10000000 0.10000000 0.00003978 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_3546 0.10000000 0.00007424 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00003719 0 0.10000000 0.10000000 0.00003507 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_3498 0.00099617 0.10000000 0.00194018 0.00059546 0.00104539 0.00101827 0.00102894 0.00104617 0.00064209 0.00012581 0.00126631 0.00057684 0.00105601 0.00101533 0.00128402 0.00053660 0.00100573 0.00110890 0.00063166 0.00102914 0.00004394 0.00099001 0.00060694 0.00129750 0.00127038 0.10000000 0.10000000 0 0.00087807 0.10000000 0.00101346 0.00004867 0.00005827 0.00003880 0.00102331 0.00003884 0.00005741 0.00007537 0.00065133 0.00098780 0.00058883 0.00098529 0.00100601
s_3452 0.00029527 0.10000000 0.00219757 0.00055714 0.00073254 0.00015267 0.00071008 0.00079293 0.00057523 0.00087419 0.00088696 0.00052585 0.00076573 0.00028507 0.00089421 0.00052805 0.00027205 0.00074684 0.00058487 0.00067254 0.00082801 0.00028146 0.00057837 0.00091456 0.00089074 0.10000000 0.10000000 0.00087807 0 0.10000000 0.00034637 0.00085511 0.00085939 0.00087017 0.00011423 0.00086373 0.00087808 0.00085786 0.00059643 0.00012488 0.00057109 0.00029467 0.00010880
s_3551 0.10000000 0.00007621 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.00003978 0.00003507 0.10000000 0.10000000 0 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000 0.10000000
s_3481 0.00046811 0.10000000 0.00220004 0.00070734 0.00092025 0.00033914 0.00086603 0.00087873 0.00070056 0.00098564 0.00100427 0.00068047 0.00089313 0.00046377 0.00101798 0.00070579 0.00047039 0.00088514 0.00075220 0.00080851 0.00097938 0.00046476 0.00072334 0.00105575 0.00100198 0.10000000 0.10000000 0.00101346 0.00034637 0.10000000 0 0.00099272 0.00099822 0.00099170 0.00029710 0.00099056 0.00103380 0.00097873 0.00075028 0.00031542 0.00070306 0.00048653 0.00033394
s_3459 0.00094102 0.10000000 0.00178926 0.00055915 0.00103514 0.00097124 0.00096499 0.00104624 0.00060001 0.00011092 0.00118112 0.00054271 0.00104941 0.00094939 0.00118793 0.00054770 0.00094089 0.00104476 0.00058981 0.00100592 0.00004644 0.00092460 0.00060467 0.00121691 0.00117376 0.10000000 0.10000000 0.00004867 0.00085511 0.10000000 0.00099272 0 0.00005035 0.00003342 0.00095146 0.00003491 0.00006216 0.00008003 0.00062480 0.00099020 0.00055556 0.00093455 0.00094313
s_3499 0.00097743 0.10000000 0.00192544 0.00059357 0.00103875 0.00101770 0.00103500 0.00104187 0.00064484 0.00011510 0.00125992 0.00057726 0.00105907 0.00100334 0.00127675 0.00055040 0.00100060 0.00110505 0.00063720 0.00101753 0.00005154 0.00097591 0.00060004 0.00129864 0.00125989 0.10000000 0.10000000 0.00005827 0.00085939 0.10000000 0.00099822 0.00005035 0 0.00003848 0.00098656 0.00004105 0.00006235 0.00006459 0.00065541 0.00097646 0.00058636 0.00094374 0.00096929
s_3542 0.00100954 0.10000000 0.00197337 0.00059549 0.00103796 0.00101789 0.00104181 0.00105080 0.00063616 0.00010494 0.00128347 0.00057587 0.00105960 0.00101841 0.00129871 0.00053374 0.00101133 0.00111628 0.00063127 0.00102900 0.00003300 0.00097566 0.00059069 0.00129626 0.00129096 0.10000000 0.10000000 0.00003880 0.00087017 0.10000000 0.00099170 0.00003342 0.00003848 0 0.00103661 0.00002771 0.00004606 0.00006665 0.00064337 0.00098573 0.00058288 0.00096911 0.00100716
s_3489 0.00030213 0.10000000 0.00246076 0.00065829 0.00076954 0.00007600 0.00078033 0.00075811 0.00068029 0.00098725 0.00098869 0.00063796 0.00077402 0.00027796 0.00099258 0.00059349 0.00029321 0.00082883 0.00070746 0.00066949 0.00093909 0.00027211 0.00063020 0.00099596 0.00098872 0.10000000 0.10000000 0.00102331 0.00011423 0.10000000 0.00029710 0.00095146 0.00098656 0.00103661 0 0.00099976 0.00095623 0.00092158 0.00071668 0.00003672 0.00064283 0.00029277 0.00004692
s_3557 0.00099722 0.10000000 0.00198252 0.00058448 0.00102607 0.00097774 0.00103950 0.00102461 0.00063819 0.00011090 0.00127037 0.00056447 0.00104756 0.00101862 0.00128431 0.00052601 0.00099826 0.00110541 0.00062465 0.00100705 0.00003534 0.00097441 0.00057707 0.00128955 0.00127265 0.10000000 0.10000000 0.00003884 0.00086373 0.10000000 0.00099056 0.00003491 0.00004105 0.00002771 0.00099976 0 0.00004149 0.00007100 0.00065151 0.00097220 0.00057562 0.00097513 0.00099402
s_3473 0.00095236 0.10000000 0.00183491 0.00057193 0.00106218 0.00098806 0.00098517 0.00106748 0.00062690 0.00012925 0.00118817 0.00054642 0.00107042 0.00096219 0.00120469 0.00057196 0.00094790 0.00108163 0.00061639 0.00105199 0.00006524 0.00093802 0.00062389 0.00124649 0.00118504 0.10000000 0.10000000 0.00005741 0.00087808 0.10000000 0.00103380 0.00006216 0.00006235 0.00004606 0.00095623 0.00004149 0 0.00009789 0.00064899 0.00099956 0.00057062 0.00093439 0.00097153
s_3457 0.00092377 0.10000000 0.00175638 0.00056459 0.00102205 0.00095892 0.00095283 0.00102329 0.00060975 0.00013895 0.00113632 0.00055603 0.00102092 0.00094066 0.00116883 0.00056032 0.00092332 0.00103445 0.00060382 0.00100094 0.00007830 0.00091578 0.00059793 0.00119761 0.00116694 0.10000000 0.10000000 0.00007537 0.00085786 0.10000000 0.00097873 0.00008003 0.00006459 0.00006665 0.00092158 0.00007100 0.00009789 0 0.00063881 0.00093457 0.00056409 0.00090492 0.00094703
s_3517 0.00070351 0.10000000 0.00215506 0.00016571 0.00072553 0.00072704 0.00070979 0.00071342 0.00022254 0.00067944 0.00090901 0.00015932 0.00071729 0.00071300 0.00092537 0.00016952 0.00070205 0.00075179 0.00020293 0.00058130 0.00060613 0.00069377 0.00023867 0.00093391 0.00091507 0.10000000 0.10000000 0.00065133 0.00059643 0.10000000 0.00075028 0.00062480 0.00065541 0.00064337 0.00071668 0.00065151 0.00064899 0.00063881 0 0.00070678 0.00019328 0.00070668 0.00069396
s_3478 0.00030189 0.10000000 0.00234411 0.00065224 0.00079228 0.00009377 0.00075166 0.00077715 0.00066191 0.00097901 0.00096849 0.00061983 0.00078558 0.00028735 0.00094807 0.00063133 0.00028129 0.00080201 0.00069399 0.00069949 0.00093989 0.00029029 0.00067657 0.00096997 0.00093273 0.10000000 0.10000000 0.00098780 0.00012488 0.10000000 0.00031542 0.00099020 0.00097646 0.00098573 0.00003672 0.00097220 0.00099956 0.00093457 0.00070678 0 0.00065608 0.00029526 0.00005216
s_3493 0.00061765 0.10000000 0.00217397 0.00008853 0.00070085 0.00066689 0.00067417 0.00070696 0.00014010 0.00064155 0.00087090 0.00007815 0.00069387 0.00064784 0.00088009 0.00008455 0.00064113 0.00072831 0.00014134 0.00049835 0.00054132 0.00063643 0.00015046 0.00089183 0.00087957 0.10000000 0.10000000 0.00058883 0.00057109 0.10000000 0.00070306 0.00055556 0.00058636 0.00058288 0.00064283 0.00057562 0.00057062 0.00056409 0.00019328 0.00065608 0 0.00062807 0.00064400
s_3515 0.00007337 0.10000000 0.00226787 0.00063982 0.00067955 0.00033690 0.00066756 0.00066329 0.00066605 0.00098042 0.00087227 0.00063483 0.00069087 0.00006545 0.00090680 0.00061024 0.00006510 0.00072046 0.00066687 0.00075818 0.00090055 0.00006821 0.00063623 0.00090659 0.00088042 0.10000000 0.10000000 0.00098529 0.00029467 0.10000000 0.00048653 0.00093455 0.00094374 0.00096911 0.00029277 0.00097513 0.00093439 0.00090492 0.00070668 0.00029526 0.00062807 0 0.00027032
s_3453 0.00026675 0.10000000 0.00229639 0.00065030 0.00075714 0.00008474 0.00073546 0.00074351 0.00064640 0.00099125 0.00091981 0.00062070 0.00075155 0.00026299 0.00094276 0.00061189 0.00025457 0.00076787 0.00067134 0.00069500 0.00093497 0.00026232 0.00063850 0.00094903 0.00094070 0.10000000 0.10000000 0.00100601 0.00010880 0.10000000 0.00033394 0.00094313 0.00096929 0.00100716 0.00004692 0.00099402 0.00097153 0.00094703 0.00069396 0.00005216 0.00064400 0.00027032 0
