s_3579	s_3614	s_3625	s_3600	s_3587	s_3596	s_3626	s_3616	s_3642	s_3606	s_3641	s_3624	s_3608	s_3584	s_3597	s_3581	s_3635	s_3586	s_3599	s_3588	s_3633	s_3593	s_3612	s_3598	s_3583	s_3638	s_3607	s_3591	s_3580	s_3582	s_3611	s_3585	s_3590	s_3632	s_3627	s_3634	s_3617	s_3604	s_3578	s_3609	s_3615	s_3592	s_3589	s_3636	s_3628	s_3618	s_3643	s_3613
s_3641 0.00111632 0.00783195 0.00746719 0.00786672 0.00766002 0.00146902 0.00860728 0.00932921 0.00205324 0.00836103 0 0.00180958 0.00886366 0.00778595 0.00163407 0.00087979 0.00823702 0.00771406 0.00105146 0.00808066 0.00117883 0.00805815 0.00819186 0.00133988 0.00759944 0.00107177 0.00786343 0.00768184 0.00090322 0.05655372 0.00831638 0.00781898 0.00777689 0.00807233 0.00780959 0.00799146 0.05295730 0.00271783 0.00188607 0.00963757 0.00933237 0.00802860 0.00799547 0.04922738 0.00106444 0.00934713 0.00764272 0.00787115
s_3624 0.00162502 0.00836032 0.00805270 0.00817101 0.00796392 0.00203404 0.00898302 0.00981260 0.00267098 0.00887470 0.00180958 0 0.00909711 0.00831259 0.00213349 0.00137109 0.00875233 0.00819982 0.00148168 0.00851487 0.00180676 0.00865831 0.00863141 0.00188511 0.00788587 0.00169220 0.00848731 0.00833578 0.00142259 0.05572230 0.00848981 0.00830554 0.00832429 0.00837859 0.00855255 0.00861702 0.05284861 0.00302814 0.00236135 0.00990489 0.00959346 0.00872386 0.00841663 0.05304043 0.00168539 0.00980137 0.00829893 0.00838942
s_3608 0.00824623 0.00923802 0.00904061 0.00806712 0.00861100 0.00856321 0.00219116 0.01051517 0.00948839 0.00935505 0.00886366 0.00909711 0 0.00767466 0.00863943 0.00797222 0.00893418 0.00774012 0.00804460 0.00905323 0.00891235 0.00816422 0.00810470 0.00838014 0.00845254 0.00877132 0.00796118 0.00782616 0.00797445 0.05631299 0.00916216 0.00770310 0.00880192 0.00896554 0.00802454 0.00953413 0.05286188 0.00982919 0.00889604 0.00305291 0.01078330 0.00827480 0.00892696 0.05154596 0.00883209 0.00968633 0.00864664 0.00815334
s_3584 0.00734993 0.00830206 0.00802216 0.00731428 0.00769532 0.00769852 0.00755280 0.00984924 0.00844425 0.00874951 0.00778595 0.00831259 0.00767466 0 0.00769517 0.00704580 0.00786906 0.00056255 0.00716047 0.00840704 0.00775072 0.00783821 0.00070903 0.00756450 0.00753895 0.00768590 0.00731903 0.00754202 0.00712407 0.05549879 0.00820618 0.00057412 0.00813893 0.00812127 0.00730186 0.00865258 0.05251069 0.00877075 0.00794780 0.00841280 0.00973604 0.00798840 0.00837479 0.05003336 0.00766454 0.00923684 0.00782156 0.00736815
s_3597 0.00157223 0.00803480 0.00765554 0.00815052 0.00773338 0.00186413 0.00843526 0.00929227 0.00240726 0.00826104 0.00163407 0.00213349 0.00863943 0.00769517 0 0.00126977 0.00844842 0.00776779 0.00138394 0.00797583 0.00165476 0.00798074 0.00800444 0.00172406 0.00763903 0.00153049 0.00763071 0.00758720 0.00131308 0.05505274 0.00844094 0.00767433 0.00782611 0.00819609 0.00760100 0.00807780 0.05215353 0.00273175 0.00229829 0.00929691 0.00939175 0.00810756 0.00793224 0.05106027 0.00152136 0.00908856 0.00774599 0.00767003
s_3581 0.00069605 0.00733679 0.00696457 0.00753986 0.00707507 0.00116791 0.00774937 0.00859702 0.00167683 0.00774177 0.00087979 0.00137109 0.00797222 0.00704580 0.00126977 0 0.00784138 0.00701261 0.00064084 0.00733508 0.00084790 0.00724484 0.00723694 0.00102124 0.00703163 0.00072818 0.00693160 0.00691530 0.00050302 0.05505457 0.00776986 0.00700315 0.00712709 0.00753724 0.00691795 0.00740703 0.05135906 0.00203864 0.00143806 0.00858053 0.00877329 0.00733782 0.00725677 0.05001410 0.00073209 0.00834099 0.00707002 0.00695668
s_3635 0.00808709 0.00872078 0.00824606 0.00197580 0.00846134 0.00846040 0.00859783 0.01004908 0.00902008 0.00917370 0.00823702 0.00875233 0.00893418 0.00786906 0.00844842 0.00784138 0 0.00772383 0.00797218 0.00893751 0.00827845 0.00866517 0.00827417 0.00828743 0.00838197 0.00826671 0.00877186 0.00828316 0.00784096 0.05637228 0.00893491 0.00792611 0.00871469 0.00880080 0.00878577 0.00896832 0.05288012 0.00967954 0.00880662 0.00957715 0.01009489 0.00853907 0.00892092 0.05156119 0.00810652 0.00995156 0.00844888 0.00876401
s_3586 0.00728391 0.00806555 0.00792744 0.00711061 0.00770899 0.00769442 0.00749413 0.00983927 0.00834335 0.00867115 0.00771406 0.00819982 0.00774012 0.00056255 0.00776779 0.00701261 0.00772383 0 0.00720674 0.00843783 0.00768904 0.00782841 0.00061400 0.00752338 0.00750255 0.00762170 0.00727239 0.00751706 0.00708105 0.05557100 0.00813012 0.00058086 0.00812710 0.00799512 0.00727275 0.00866040 0.05238802 0.00866279 0.00796890 0.00837944 0.00962057 0.00799550 0.00827045 0.05087409 0.00760182 0.00929393 0.00767674 0.00732644
s_3599 0.00089137 0.00747090 0.00709554 0.00759266 0.00720041 0.00122958 0.00795907 0.00877558 0.00180092 0.00778958 0.00105146 0.00148168 0.00804460 0.00716047 0.00138394 0.00064084 0.00797218 0.00720674 0 0.00756401 0.00097820 0.00747926 0.00740040 0.00112964 0.00716788 0.00087359 0.00706735 0.00714261 0.00073791 0.05492664 0.00789862 0.00716325 0.00732886 0.00768504 0.00707487 0.00752129 0.05152834 0.00209188 0.00161017 0.00873907 0.00893973 0.00756311 0.00750606 0.05028429 0.00085289 0.00843024 0.00723828 0.00713583
s_3588 0.00762792 0.00841138 0.00791541 0.00858119 0.00835252 0.00801717 0.00890180 0.00254949 0.00890473 0.00870617 0.00808066 0.00851487 0.00905323 0.00840704 0.00797583 0.00733508 0.00893751 0.00843783 0.00756401 0 0.00791466 0.00848390 0.00876506 0.00787632 0.00829840 0.00797523 0.00795913 0.00819758 0.00737314 0.05550608 0.00840536 0.00839571 0.00108110 0.00823816 0.00802057 0.00127346 0.05191745 0.00903184 0.00823818 0.00958183 0.01019871 0.00863784 0.00119055 0.05163406 0.00788183 0.00963444 0.00814278 0.00805766
s_3633 0.00110671 0.00780747 0.00738742 0.00788712 0.00752617 0.00155533 0.00867984 0.00920448 0.00210234 0.00833704 0.00117883 0.00180676 0.00891235 0.00775072 0.00165476 0.00084790 0.00827845 0.00768904 0.00097820 0.00791466 0 0.00797494 0.00818288 0.00138916 0.00750538 0.00111613 0.00783533 0.00760599 0.00091141 0.05622658 0.00825036 0.00778512 0.00767865 0.00806383 0.00778880 0.00782808 0.05260814 0.00264612 0.00184608 0.00964672 0.00922499 0.00799727 0.00784767 0.05049590 0.00111446 0.00920011 0.00749733 0.00784338
s_3593 0.00753507 0.00826530 0.00799004 0.00809087 0.00817205 0.00798841 0.00795489 0.00996081 0.00887545 0.00865091 0.00805815 0.00865831 0.00816422 0.00783821 0.00798074 0.00724484 0.00866517 0.00782841 0.00747926 0.00848390 0.00797494 0 0.00811028 0.00786868 0.00808696 0.00793435 0.00297112 0.00124557 0.00733480 0.05514780 0.00823649 0.00784719 0.00828164 0.00805157 0.00288414 0.00870790 0.05166600 0.00892224 0.00828703 0.00876043 0.01016415 0.00178745 0.00840753 0.05099575 0.00793471 0.00284645 0.00814299 0.00295917
s_3612 0.00756141 0.00875395 0.00844849 0.00744867 0.00786387 0.00794884 0.00787637 0.01031093 0.00882936 0.00913108 0.00819186 0.00863141 0.00810470 0.00070903 0.00800444 0.00723694 0.00827417 0.00061400 0.00740040 0.00876506 0.00818288 0.00811028 0 0.00779768 0.00775977 0.00813208 0.00767677 0.00777143 0.00731378 0.05654355 0.00848617 0.00071714 0.00849902 0.00840599 0.00761810 0.00909792 0.05318137 0.00925184 0.00815675 0.00886088 0.01016022 0.00824544 0.00867735 0.05184134 0.00812469 0.00968208 0.00820945 0.00770557
s_3598 0.00130243 0.00775667 0.00744083 0.00795975 0.00763921 0.00163692 0.00822890 0.00910739 0.00212014 0.00808558 0.00133988 0.00188511 0.00838014 0.00756450 0.00172406 0.00102124 0.00828743 0.00752338 0.00112964 0.00787632 0.00138916 0.00786868 0.00779768 0 0.00756665 0.00120048 0.00747508 0.00754377 0.00109937 0.05507301 0.00818655 0.00758544 0.00765557 0.00802480 0.00745149 0.00785355 0.05152542 0.00249887 0.00203127 0.00908323 0.00930056 0.00794430 0.00777118 0.05076572 0.00123440 0.00878957 0.00756334 0.00750385
s_3583 0.00734709 0.00777584 0.00772902 0.00804417 0.00076400 0.00765825 0.00829394 0.00948322 0.00823721 0.00845862 0.00759944 0.00788587 0.00845254 0.00753895 0.00763903 0.00703163 0.00838197 0.00750255 0.00716788 0.00829840 0.00750538 0.00808696 0.00775977 0.00756665 0 0.00741755 0.00728392 0.00775106 0.00705412 0.05541969 0.00782939 0.00754407 0.00812951 0.00768130 0.00727843 0.00839550 0.05166412 0.00858411 0.00799912 0.00920633 0.00248863 0.00821151 0.00822334 0.04981583 0.00738388 0.00917338 0.00780379 0.00733520
s_3638 0.00101948 0.00772319 0.00733445 0.00780732 0.00751755 0.00139979 0.00861960 0.00933130 0.00194497 0.00830982 0.00107177 0.00169220 0.00877132 0.00768590 0.00153049 0.00072818 0.00826671 0.00762170 0.00087359 0.00797523 0.00111613 0.00793435 0.00813208 0.00120048 0.00741755 0 0.00779911 0.00740690 0.00079756 0.05641732 0.00818775 0.00772572 0.00772447 0.00794000 0.00772887 0.00791850 0.05296021 0.00253012 0.00174298 0.00952804 0.00925843 0.00792445 0.00788280 0.04938136 0.00097007 0.00923674 0.00750407 0.00779333
s_3607 0.00720673 0.00801000 0.00798338 0.00795410 0.00739620 0.00760922 0.00783963 0.00970154 0.00854293 0.00865658 0.00786343 0.00848731 0.00796118 0.00731903 0.00763071 0.00693160 0.00877186 0.00727239 0.00706735 0.00795913 0.00783533 0.00297112 0.00767677 0.00747508 0.00728392 0.00779911 0 0.00259673 0.00699774 0.05569705 0.00796727 0.00732099 0.00765263 0.00775954 0.00113555 0.00832968 0.05217502 0.00890021 0.00791130 0.00861792 0.00966444 0.00310777 0.00787917 0.05117567 0.00780287 0.00429472 0.00793199 0.00123125
s_3591 0.00721606 0.00774184 0.00756678 0.00775865 0.00787299 0.00764362 0.00766946 0.00957530 0.00849388 0.00829155 0.00768184 0.00833578 0.00782616 0.00754202 0.00758720 0.00691530 0.00828316 0.00751706 0.00714261 0.00819758 0.00760599 0.00124557 0.00777143 0.00754377 0.00775106 0.00740690 0.00259673 0 0.00702476 0.05525806 0.00772560 0.00755357 0.00784914 0.00756258 0.00254273 0.00838115 0.05164330 0.00856999 0.00794178 0.00838156 0.00981760 0.00139823 0.00810591 0.05121311 0.00757127 0.00245406 0.00777087 0.00258992
s_3580 0.00081019 0.00736986 0.00702206 0.00753119 0.00707997 0.00122621 0.00777359 0.00857511 0.00173825 0.00777322 0.00090322 0.00142259 0.00797445 0.00712407 0.00131308 0.00050302 0.00784096 0.00708105 0.00073791 0.00737314 0.00091141 0.00733480 0.00731378 0.00109937 0.00705412 0.00079756 0.00699774 0.00702476 0 0.05472574 0.00782316 0.00709726 0.00689319 0.00758687 0.00698112 0.00741526 0.05082498 0.00212610 0.00155016 0.00865702 0.00883153 0.00743477 0.00727366 0.04983021 0.00080341 0.00837844 0.00708858 0.00700445
s_3582 0.05511227 0.05663582 0.05661911 0.05475919 0.05539262 0.05528422 0.05650850 0.05720103 0.05582870 0.05656616 0.05655372 0.05572230 0.05631299 0.05549879 0.05505274 0.05505457 0.05637228 0.05557100 0.05492664 0.05550608 0.05622658 0.05514780 0.05654355 0.05507301 0.05541969 0.05641732 0.05569705 0.05525806 0.05472574 0 0.05672935 0.05559528 0.05572230 0.05660221 0.05615622 0.05649308 0.00105099 0.05615041 0.05525022 0.05676594 0.05710765 0.05512407 0.05551836 0.01107494 0.05624520 0.05561240 0.05680736 0.05616116
s_3611 0.00800826 0.00148615 0.00833225 0.00850620 0.00796408 0.00838026 0.00893547 0.00982068 0.00879585 0.00920994 0.00831638 0.00848981 0.00916216 0.00820618 0.00844094 0.00776986 0.00893491 0.00813012 0.00789862 0.00840536 0.00825036 0.00823649 0.00848617 0.00818655 0.00782939 0.00818775 0.00796727 0.00772560 0.00782316 0.05672935 0 0.00829056 0.00830349 0.00128657 0.00787860 0.00844156 0.05266089 0.00929996 0.00836851 0.00992307 0.00970542 0.00820255 0.00844046 0.05208174 0.00820518 0.00943973 0.00790984 0.00792597
s_3585 0.00731967 0.00835320 0.00809035 0.00731230 0.00771001 0.00771189 0.00757041 0.00990112 0.00852282 0.00875530 0.00781898 0.00830554 0.00770310 0.00057412 0.00767433 0.00700315 0.00792611 0.00058086 0.00716325 0.00839571 0.00778512 0.00784719 0.00071714 0.00758544 0.00754407 0.00772572 0.00732099 0.00755357 0.00709726 0.05559528 0.00829056 0 0.00817843 0.00818218 0.00730592 0.00872277 0.05251356 0.00872831 0.00794823 0.00839820 0.00979589 0.00801124 0.00839841 0.05101265 0.00770918 0.00932904 0.00785573 0.00740198
s_3590 0.00743944 0.00812623 0.00760470 0.00839952 0.00815425 0.00779566 0.00861372 0.00227258 0.00867851 0.00845718 0.00777689 0.00832429 0.00880192 0.00813893 0.00782611 0.00712709 0.00871469 0.00812710 0.00732886 0.00108110 0.00767865 0.00828164 0.00849902 0.00765557 0.00812951 0.00772447 0.00765263 0.00784914 0.00689319 0.05572230 0.00830349 0.00817843 0 0.00807971 0.00771918 0.00100619 0.05152394 0.00870073 0.00796044 0.00932590 0.00999171 0.00841421 0.00098166 0.05146898 0.00761451 0.00935431 0.00787483 0.00775972
s_3632 0.00779478 0.00126117 0.00811091 0.00838049 0.00778513 0.00823100 0.00874575 0.00974957 0.00862537 0.00904127 0.00807233 0.00837859 0.00896554 0.00812127 0.00819609 0.00753724 0.00880080 0.00799512 0.00768504 0.00823816 0.00806383 0.00805157 0.00840599 0.00802480 0.00768130 0.00794000 0.00775954 0.00756258 0.00758687 0.05660221 0.00128657 0.00818218 0.00807971 0 0.00772684 0.00829799 0.05285796 0.00908468 0.00811824 0.00975330 0.00960393 0.00799901 0.00826003 0.05213018 0.00784254 0.00943489 0.00769518 0.00771993
s_3627 0.00718727 0.00792045 0.00796700 0.00794060 0.00723539 0.00761003 0.00774948 0.00972606 0.00851893 0.00867724 0.00780959 0.00855255 0.00802454 0.00730186 0.00760100 0.00691795 0.00878577 0.00727275 0.00707487 0.00802057 0.00778880 0.00288414 0.00761810 0.00745149 0.00727843 0.00772887 0.00113555 0.00254273 0.00698112 0.05615622 0.00787860 0.00730592 0.00771918 0.00772684 0 0.00835909 0.05250461 0.00891938 0.00786501 0.00870699 0.00951587 0.00306952 0.00789816 0.05165795 0.00774652 0.00427379 0.00794291 0.00112484
s_3634 0.00767350 0.00826762 0.00783284 0.00860632 0.00845660 0.00802334 0.00928063 0.00249278 0.00890149 0.00879469 0.00799146 0.00861702 0.00953413 0.00865258 0.00807780 0.00740703 0.00896832 0.00866040 0.00752129 0.00127346 0.00782808 0.00870790 0.00909792 0.00785355 0.00839550 0.00791850 0.00832968 0.00838115 0.00741526 0.05649308 0.00844156 0.00872277 0.00100619 0.00829799 0.00835909 0 0.05247054 0.00918237 0.00823918 0.01014700 0.01020017 0.00875833 0.00116084 0.05180514 0.00766675 0.00993531 0.00806089 0.00833137
s_3617 0.05177258 0.05230383 0.05307485 0.05193229 0.05181037 0.05202327 0.05311683 0.05314005 0.05182994 0.05326350 0.05295730 0.05284861 0.05286188 0.05251069 0.05215353 0.05135906 0.05288012 0.05238802 0.05152834 0.05191745 0.05260814 0.05166600 0.05318137 0.05152542 0.05166412 0.05296021 0.05217502 0.05164330 0.05082498 0.00105099 0.05266089 0.05251356 0.05152394 0.05285796 0.05250461 0.05247054 0 0.05288422 0.05149679 0.05340342 0.05377017 0.05165187 0.05179492 0.01023144 0.05249540 0.05269483 0.05288026 0.05247745
s_3604 0.00227468 0.00921460 0.00884374 0.00901411 0.00858476 0.00259850 0.00979228 0.01042641 0.00336129 0.00940407 0.00271783 0.00302814 0.00982919 0.00877075 0.00273175 0.00203864 0.00967954 0.00866279 0.00209188 0.00903184 0.00264612 0.00892224 0.00925184 0.00249887 0.00858411 0.00253012 0.00890021 0.00856999 0.00212610 0.05615041 0.00929996 0.00872831 0.00870073 0.00908468 0.00891938 0.00918237 0.05288422 0 0.00302234 0.01055551 0.01059740 0.00894850 0.00891460 0.05201852 0.00249112 0.01019202 0.00894056 0.00903836
s_3578 0.00173460 0.00826435 0.00793556 0.00853337 0.00801583 0.00221394 0.00871498 0.00943541 0.00267364 0.00865419 0.00188607 0.00236135 0.00889604 0.00794780 0.00229829 0.00143806 0.00880662 0.00796890 0.00161017 0.00823818 0.00184608 0.00828703 0.00815675 0.00203127 0.00799912 0.00174298 0.00791130 0.00794178 0.00155016 0.05525022 0.00836851 0.00794823 0.00796044 0.00811824 0.00786501 0.00823918 0.05149679 0.00302234 0 0.00963184 0.00974137 0.00830160 0.00812982 0.05021400 0.00174373 0.00927914 0.00808700 0.00795149
s_3609 0.00894886 0.00997774 0.00987348 0.00871585 0.00923399 0.00919816 0.00302634 0.01130924 0.01022038 0.01030760 0.00963757 0.00990489 0.00305291 0.00841280 0.00929691 0.00858053 0.00957715 0.00837944 0.00873907 0.00958183 0.00964672 0.00876043 0.00886088 0.00908323 0.00920633 0.00952804 0.00861792 0.00838156 0.00865702 0.05676594 0.00992307 0.00839820 0.00932590 0.00975330 0.00870699 0.01014700 0.05340342 0.01055551 0.00963184 0 0.01149919 0.00891416 0.00945994 0.05195206 0.00954139 0.01044535 0.00943467 0.00879870
s_3615 0.00907326 0.00951931 0.00958612 0.00979336 0.00260446 0.00944062 0.01052833 0.01121951 0.01002159 0.01051545 0.00933237 0.00959346 0.01078330 0.00973604 0.00939175 0.00877329 0.01009489 0.00962057 0.00893973 0.01019871 0.00922499 0.01016415 0.01016022 0.00930056 0.00248863 0.00925843 0.00966444 0.00981760 0.00883153 0.05710765 0.00970542 0.00979589 0.00999171 0.00960393 0.00951587 0.01020017 0.05377017 0.01059740 0.00974137 0.01149919 0 0.01004918 0.01016421 0.05131519 0.00924588 0.01122733 0.00959570 0.00960073
s_3592 0.00766542 0.00824335 0.00796573 0.00819864 0.00823339 0.00806752 0.00808335 0.00995091 0.00885160 0.00868084 0.00802860 0.00872386 0.00827480 0.00798840 0.00810756 0.00733782 0.00853907 0.00799550 0.00756311 0.00863784 0.00799727 0.00178745 0.00824544 0.00794430 0.00821151 0.00792445 0.00310777 0.00139823 0.00743477 0.05512407 0.00820255 0.00801124 0.00841421 0.00799901 0.00306952 0.00875833 0.05165187 0.00894850 0.00830160 0.00891416 0.01004918 0 0.00855702 0.05071076 0.00789884 0.00297569 0.00812200 0.00309328
s_3589 0.00755098 0.00837353 0.00788295 0.00854827 0.00829569 0.00791507 0.00881055 0.00241772 0.00885479 0.00855885 0.00799547 0.00841663 0.00892696 0.00837479 0.00793224 0.00725677 0.00892092 0.00827045 0.00750606 0.00119055 0.00784767 0.00840753 0.00867735 0.00777118 0.00822334 0.00788280 0.00787917 0.00810591 0.00727366 0.05551836 0.00844046 0.00839841 0.00098166 0.00826003 0.00789816 0.00116084 0.05179492 0.00891460 0.00812982 0.00945994 0.01016421 0.00855702 0 0.05174718 0.00778844 0.00957567 0.00804290 0.00793095
s_3636 0.05026927 0.05166010 0.05129715 0.05022717 0.04981315 0.05106640 0.05134019 0.05326343 0.05003181 0.05155646 0.04922738 0.05304043 0.05154596 0.05003336 0.05106027 0.05001410 0.05156119 0.05087409 0.05028429 0.05163406 0.05049590 0.05099575 0.05184134 0.05076572 0.04981583 0.04938136 0.05117567 0.05121311 0.04983021 0.01107494 0.05208174 0.05101265 0.05146898 0.05213018 0.05165795 0.05180514 0.01023144 0.05201852 0.05021400 0.05195206 0.05131519 0.05071076 0.05174718 0 0.04987111 0.05236123 0.04752305 0.05180104
s_3628 0.00098729 0.00776308 0.00731304 0.00780733 0.00742871 0.00140190 0.00863817 0.00922952 0.00195576 0.00827596 0.00106444 0.00168539 0.00883209 0.00766454 0.00152136 0.00073209 0.00810652 0.00760182 0.00085289 0.00788183 0.00111446 0.00793471 0.00812469 0.00123440 0.00738388 0.00097007 0.00780287 0.00757127 0.00080341 0.05624520 0.00820518 0.00770918 0.00761451 0.00784254 0.00774652 0.00766675 0.05249540 0.00249112 0.00174373 0.00954139 0.00924588 0.00789884 0.00778844 0.04987111 0 0.00919313 0.00737122 0.00777789
s_3618 0.00854992 0.00950947 0.00928637 0.00922291 0.00920890 0.00902461 0.00948605 0.01108557 0.01012040 0.01005677 0.00934713 0.00980137 0.00968633 0.00923684 0.00908856 0.00834099 0.00995156 0.00929393 0.00843024 0.00963444 0.00920011 0.00284645 0.00968208 0.00878957 0.00917338 0.00923674 0.00429472 0.00245406 0.00837844 0.05561240 0.00943973 0.00932904 0.00935431 0.00943489 0.00427379 0.00993531 0.05269483 0.01019202 0.00927914 0.01044535 0.01122733 0.00297569 0.00957567 0.05236123 0.00919313 0 0.00953430 0.00428447
