species	sample	contig	start	end	AR_gene
Acinetobacter_baumannii	N098_BC10	tig00000003	1861198	1862014	OXA-23_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	2259685	2260500	OXA-23_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	390981	391799	OXA-51_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	65452	66342	CARB-5_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	3485543	3486420	MphE_MLS
Acinetobacter_baumannii	N098_BC10	tig00000003	3480967	3481733	ArmA_AGly
Acinetobacter_baumannii	N098_BC10	tig00000003	2965754	2966705	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	168721	169415	Mbl_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	658348	659609	BlaA2_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	3245586	3246728	ADC_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	2360676	2361834	ADC_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	605	1616	BlaA1_Bla
Acinetobacter_baumannii	N098_BC10	tig00000003	3868998	3869995	BlaA1_Bla
Acinetobacter_baumannii	N098_BC10	tig00000004	6369	7374	BlaA1_Bla
Acinetobacter_baumannii	N100_BC08	tig00000000	1838474	1839292	OXA-51_Bla
Acinetobacter_baumannii	N100_BC08	tig00000000	3007847	3008802	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N100_BC08	tig00000000	2024763	2025457	Mbl_Bla
Acinetobacter_baumannii	N100_BC08	tig00000000	1557245	1558508	BlaA2_Bla
Acinetobacter_baumannii	N100_BC08	tig00000000	2713059	2714200	ADC_Bla
Acinetobacter_baumannii	N100_BC08	tig00000000	2128358	2129371	BlaA1_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	536675	537492	OXA-23_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	2778679	2780146	MsrE_MLS
Acinetobacter_baumannii	N106_BC02	tig00000000	138709	139525	OXA-23_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	2004073	2004891	OXA-51_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	2329379	2330269	CARB-5_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	2782433	2783200	ArmA_AGly
Acinetobacter_baumannii	N106_BC02	tig00000000	2777748	2778624	MphE_MLS
Acinetobacter_baumannii	N106_BC02	tig00000000	3297593	3298543	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	2226283	2226977	Mbl_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	1737446	1738709	BlaA2_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	3017423	3018563	ADC_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	37371	38527	ADC_Bla
Acinetobacter_baumannii	N106_BC02	tig00000000	2394169	2395176	BlaA1_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	2416549	2417440	CARB-5_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	345279	346094	OXA-23_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	743654	744468	OXA-23_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	2741913	2742730	OXA-51_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	1964473	1965233	ArmA_AGly
Acinetobacter_baumannii	N106_BC03	tig00000000	1967498	1968949	MsrE_MLS
Acinetobacter_baumannii	N106_BC03	tig00000000	1969004	1969873	MphE_MLS
Acinetobacter_baumannii	N106_BC03	tig00000000	3007945	3009209	BlaA2_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	1449540	1450489	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	2519797	2520489	Mbl_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	1729459	1730596	ADC_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	844648	845806	ADC_Bla
Acinetobacter_baumannii	N106_BC03	tig00000000	2351635	2352644	BlaA1_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	2862602	2864070	MsrE_MLS
Acinetobacter_baumannii	N106_BC04	tig00000000	1638574	1639390	OXA-23_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	2859550	2860318	ArmA_AGly
Acinetobacter_baumannii	N106_BC04	tig00000000	1240090	1240905	OXA-23_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	3637864	3638681	OXA-51_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	2864125	2865002	MphE_MLS
Acinetobacter_baumannii	N106_BC04	tig00000000	3312359	3313247	CARB-5_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	3415616	3416310	Mbl_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	39178	40441	BlaA2_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	2344367	2345315	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	2624194	2625336	ADC_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	1739560	1740717	ADC_Bla
Acinetobacter_baumannii	N106_BC04	tig00000000	3247442	3248454	BlaA1_Bla
Acinetobacter_baumannii	N106_BC06	tig00000000	343561	344378	OXA-51_Bla
Acinetobacter_baumannii	N106_BC06	tig00000000	1513094	1514046	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N106_BC06	tig00000000	529885	530578	Mbl_Bla
Acinetobacter_baumannii	N106_BC06	tig00000000	62625	63889	BlaA2_Bla
Acinetobacter_baumannii	N106_BC06	tig00000000	1218639	1219781	ADC_Bla
Acinetobacter_baumannii	N106_BC06	tig00000000	633531	634545	BlaA1_Bla
Acinetobacter_baumannii	N106_BC10	tig00000000	445985	446804	OXA-51_Bla
Acinetobacter_baumannii	N106_BC10	tig00000000	1615296	1616241	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N106_BC10	tig00000000	632259	632952	Mbl_Bla
Acinetobacter_baumannii	N106_BC10	tig00000000	165160	166427	BlaA2_Bla
Acinetobacter_baumannii	N106_BC10	tig00000000	1320523	1321664	ADC_Bla
Acinetobacter_baumannii	N106_BC10	tig00000000	735814	736828	BlaA1_Bla
Acinetobacter_baumannii	N107_BC11	tig00000046	23726	24979	BlaA2_Bla
Acinetobacter_baumannii	N107_BC11	tig00000047	870	1741	MphE_MLS
Acinetobacter_baumannii	N107_BC11	tig00000049	64799	65993	TetB_Tet
Acinetobacter_baumannii	N107_BC11	tig00000049	36660	37471	OXA-23_Bla
Acinetobacter_baumannii	N107_BC11	tig00000049	51392	52195	SulII_Sul
Acinetobacter_baumannii	N107_BC11	tig00000066	10671	11684	BlaA1_Bla
Acinetobacter_baumannii	N107_BC11	tig00000079	9610	10749	ADC_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	3259831	3260647	OXA-23_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	823054	823872	OXA-51_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	1148393	1149283	CARB-5_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	2158237	2159188	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	1044359	1045053	Mbl_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	555824	557083	BlaA2_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	1876839	1877980	ADC_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	2761442	2762592	ADC_Bla
Acinetobacter_baumannii	N110_BC01	tig00000000	1213076	1214087	BlaA1_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	1608013	1608827	OXA-23_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	155365	156182	OXA-51_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	3720595	3721485	CARB-5_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	2710311	2711262	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	422377	423639	BlaA2_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	3824937	3825630	Mbl_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	2991401	2992539	ADC_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	2106082	2107237	ADC_Bla
Acinetobacter_baumannii	N110_BC02	tig00000005	3655750	3656759	BlaA1_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	3252074	3252965	CARB-5_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	1139688	1140503	OXA-23_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	3578027	3578843	OXA-51_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	2241917	2242867	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	3356437	3357130	Mbl_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	3844972	3846233	BlaA2_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	2523257	2524396	ADC_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	1637795	1638951	ADC_Bla
Acinetobacter_baumannii	N110_BC03	tig00000000	3187244	3188254	BlaA1_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	1254862	1255752	CARB-5_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	3033262	3034076	OXA-23_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	1580838	1581653	OXA-51_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	244497	245447	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	1847599	1848860	BlaA2_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	1359180	1359872	Mbl_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	525848	526987	ADC_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	3531502	3532658	ADC_Bla
Acinetobacter_baumannii	N110_BC05	tig00000000	1190026	1191036	BlaA1_Bla
Acinetobacter_baumannii	N112_BC04	tig00000031	1643843	1644654	OXA-51_Bla
Acinetobacter_baumannii	N112_BC04	tig00000031	343225	344178	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N112_BC04	tig00000031	1459964	1460657	Mbl_Bla
Acinetobacter_baumannii	N112_BC04	tig00000031	652171	653311	ADC_Bla
Acinetobacter_baumannii	N112_BC05	tig00000000	215277	216094	OXA-51_Bla
Acinetobacter_baumannii	N112_BC05	tig00000000	2815869	2816821	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N112_BC05	tig00000000	31568	32262	Mbl_Bla
Acinetobacter_baumannii	N112_BC05	tig00000000	3124884	3126025	ADC_Bla
Acinetobacter_baumannii	N113_BC11	tig00000000	3589599	3590414	OXA-51_Bla
Acinetobacter_baumannii	N113_BC11	tig00000000	957929	958880	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N113_BC11	tig00000000	3776695	3777389	Mbl_Bla
Acinetobacter_baumannii	N113_BC11	tig00000000	661459	662583	ADC_Bla
Acinetobacter_baumannii	N113_BC11	tig00000000	3978457	3979467	BlaA1_Bla
Acinetobacter_baumannii	N113_BC12	tig00000003	322885	323703	OXA-51_Bla
Acinetobacter_baumannii	N113_BC12	tig00000003	135952	136645	Mbl_Bla
Acinetobacter_baumannii	N113_BC12	tig00000003	3250168	3251290	ADC_Bla
Acinetobacter_baumannii	N113_BC12	tig00000003	2953988	2954931	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N113_BC12	tig00000003	3894204	3895216	BlaA1_Bla
Acinetobacter_baumannii	N114_BC05	tig00000000	453025	453844	OXA-51_Bla
Acinetobacter_baumannii	N114_BC05	tig00000000	680933	681624	Mbl_Bla
Acinetobacter_baumannii	N114_BC05	tig00000000	1550618	1551758	ADC_Bla
Acinetobacter_baumannii	N114_BC05	tig00000000	197651	198916	BlaA2_Bla
Acinetobacter_baumannii	N114_BC05	tig00000000	884098	885110	BlaA1_Bla
Acinetobacter_baumannii	N114_BC07	tig00000000	2531862	2532679	OXA-51_Bla
Acinetobacter_baumannii	N114_BC07	tig00000000	2304277	2304969	Mbl_Bla
Acinetobacter_baumannii	N114_BC07	tig00000000	1434737	1435878	ADC_Bla
Acinetobacter_baumannii	N114_BC07	tig00000000	2786699	2787962	BlaA2_Bla
Acinetobacter_baumannii	N114_BC07	tig00000000	2100948	2101960	BlaA1_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	767116	767938	OXA-51_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	3857606	3859075	MsrE_MLS
Acinetobacter_baumannii	N115_BC01	tig00000000	2633391	2634207	OXA-23_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	2234954	2235768	OXA-23_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	441580	442469	CARB-5_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	3854557	3855323	ArmA_AGly
Acinetobacter_baumannii	N115_BC01	tig00000000	3859130	3860006	MphE_MLS
Acinetobacter_baumannii	N115_BC01	tig00000000	3339206	3340156	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	544845	545539	Mbl_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	1033202	1034464	BlaA2_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	3619200	3620338	ADC_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	2734389	2735546	ADC_Bla
Acinetobacter_baumannii	N115_BC01	tig00000000	376673	377682	BlaA1_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	3640884	3641702	OXA-23_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	1396339	1397807	MsrE_MLS
Acinetobacter_baumannii	N116_BC03	tig00000005	1847205	1848097	CARB-5_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	171765	172579	OXA-23_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	2172858	2173675	OXA-51_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	1397862	1398739	MphE_MLS
Acinetobacter_baumannii	N116_BC03	tig00000005	1393285	1394051	ArmA_AGly
Acinetobacter_baumannii	N116_BC03	tig00000005	877923	878875	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	1950507	1951201	Mbl_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	2438974	2440235	BlaA2_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	1157969	1159109	ADC_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	272767	273925	ADC_Bla
Acinetobacter_baumannii	N116_BC03	tig00000005	1781465	1782476	BlaA1_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	1364894	1366363	MsrE_MLS
Acinetobacter_baumannii	N116_BC04	tig00000000	588804	589624	OXA-51_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	2590038	2590855	OXA-23_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	2988809	2989625	OXA-23_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	914358	915249	CARB-5_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	1368648	1369415	ArmA_AGly
Acinetobacter_baumannii	N116_BC04	tig00000000	1363962	1364839	MphE_MLS
Acinetobacter_baumannii	N116_BC04	tig00000000	1883693	1884644	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	811252	811946	Mbl_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	322192	323454	BlaA2_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	1603675	1604816	ADC_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	2488678	2489836	ADC_Bla
Acinetobacter_baumannii	N116_BC04	tig00000000	980221	981230	BlaA1_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	1116665	1117483	OXA-23_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	717884	718702	OXA-23_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	2340489	2341958	MsrE_MLS
Acinetobacter_baumannii	N116_BC05	tig00000000	2342013	2342892	MphE_MLS
Acinetobacter_baumannii	N116_BC05	tig00000000	3117138	3117956	OXA-51_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	2791530	2792420	CARB-5_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	2337436	2338203	ArmA_AGly
Acinetobacter_baumannii	N116_BC05	tig00000000	1822259	1823209	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	2894812	2895506	Mbl_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	3383339	3384601	BlaA2_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	2102306	2103444	ADC_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	1217627	1218784	ADC_Bla
Acinetobacter_baumannii	N116_BC05	tig00000000	2725553	2726565	BlaA1_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	641327	642145	OXA-23_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	2264352	2265821	MsrE_MLS
Acinetobacter_baumannii	N116_BC06	tig00000000	3040978	3041798	OXA-51_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	1040018	1040834	OXA-23_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	2261300	2262066	ArmA_AGly
Acinetobacter_baumannii	N116_BC06	tig00000000	2715391	2716279	CARB-5_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	2265876	2266751	MphE_MLS
Acinetobacter_baumannii	N116_BC06	tig00000000	1745885	1746836	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	3307190	3308454	BlaA2_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	2818671	2819365	Mbl_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	2025939	2027079	ADC_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	1141000	1142158	ADC_Bla
Acinetobacter_baumannii	N116_BC06	tig00000000	2649455	2650463	BlaA1_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	1248514	1249983	MsrE_MLS
Acinetobacter_baumannii	N118_BC02	tig00000000	2872163	2872979	OXA-23_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	1252269	1253037	ArmA_AGly
Acinetobacter_baumannii	N118_BC02	tig00000000	1247580	1248459	MphE_MLS
Acinetobacter_baumannii	N118_BC02	tig00000000	2473508	2474323	OXA-23_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	473883	474700	OXA-51_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	799176	800065	CARB-5_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	1767497	1768449	Zn-dependent_hydrolase_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	207210	208474	BlaA2_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	696114	696808	Mbl_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	1487269	1488408	ADC_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	2372534	2373691	ADC_Bla
Acinetobacter_baumannii	N118_BC02	tig00000000	863981	864991	BlaA1_Bla
Acinetobacter_baumannii	N118_BC03	tig00000000	1396591	1397409	OXA-23_Bla
Acinetobacter_baumannii	N118_BC03	tig00000000	171141	172609	MsrE_MLS
Acinetobacter_baumannii	N118_BC03	tig00000000	1795331	1796148	OXA-23_Bla
Acinetobacter_baumannii	N118_BC03	tig00000000	170206	171086	MphE_MLS
Acinetobacter_baumannii	N118_BC03	tig00000000	3263225	3264044	OXA-51_Bla
