s_2377	s_2405	F_28	s_2393	F_47	F_17	F_12	s_2384	F_53	F_35	s_2373	F_51	s_2382	F_58	F_13	s_2370	F_37	s_2366	s_2414	s_2399	s_2368	F_39	s_2344	s_2371	F_44	s_2408	s_2401	s_2364	F_64	F_31	s_2387	F_61	G_2	s_2367	F_26	F_19	s_2390	F_21	s_2337	s_2360	G_5	s_2396	F_32	s_2391	s_2349	s_2336	F_56	s_2410	F_59	s_2412	F_41	s_2379	F_27	F_54	F_15	s_2340	s_2356	F_45	s_2361	s_2389	s_2335	F_24	s_2345	s_2397	s_2354	G_9	s_2403	G_4	s_2369	F_52	F_34	s_2363	F_25	F_11	F_18	F_62	s_2404	s_2378	F_43	F_29	s_2347	s_2409	F_42	F_40	s_2406	F_14	F_60	s_2353	F_48	F_20	s_2376	F_23	F_57	s_2343	s_2372	s_2388	s_2386	s_2400	F_36	F_66	F_38	G_7	s_2385	s_2338	s_2380	F_55	s_2398	s_2413	F_67	F_46	F_65	s_2350	G_8	s_2362	s_2381	F_63	s_2395	F_16	G_1	s_2355	F_22	s_2407	s_2415	G_6	F_30	s_2392	s_2411	s_2374	s_2348	s_2394	G_3	s_2351	s_2402	F_33	F_50	s_2383	F_49	s_2359	s_2365	s_2346
s_2367 0.00000097 0.00537525 0.00003530 0.00536935 0.00001561 0.00001561 0.00532038 0.00532098 0.00532376 0.00005699 0.00479498 0.00005056 0.00001810 0.00552504 0.00540136 0.00000000 0.00541761 0.00000024 0.00479038 0.00537673 0.00000459 0.00002925 0.00531035 0.00001520 0.07519469 0.00544284 0.00537635 0.00479858 0.15237208 0.00508174 0.00000459 0.00003506 0.00552250 0 0.00550414 0.00003125 0.00000435 0.00004360 0.00000411 0.00000072 0.00004609 0.00537429 0.00530211 0.00000460 0.00000481 0.00000652 0.00545596 0.00000484 0.00000626 0.00539312 0.00001853 0.00545780 0.00002852 0.00509478 0.00519669 0.00465843 0.00480146 0.00507826 0.00482297 0.00000460 0.08326327 0.00522964 0.00544719 0.00539133 0.00479099 0.00003926 0.00537015 0.00003219 0.00002532 0.00522449 0.00524643 0.00480070 0.00003411 0.00511794 0.00001533 0.00000000 0.00537470 0.07966517 0.00003081 0.00509977 0.00536228 0.00537249 0.00531910 0.00522341 0.00543837 0.00003972 0.07517428 0.00481796 0.00508903 0.00504530 0.00536980 0.00003409 0.00538619 0.00539147 0.00485004 0.00000557 0.00001860 0.00537697 0.00002537 0.00003559 0.00536738 0.00003584 0.00001715 0.00532538 0.08208618 0.00004430 0.00539083 0.00537470 0.00003656 0.00003555 0.00565171 0.00000844 0.00552136 0.00481581 0.00001735 0.00002958 0.00539478 0.00003628 0.00528005 0.00481958 0.00003930 0.00536863 0.00003465 0.00004023 0.00523394 0.00000533 0.00000727 0.00481094 0.00000314 0.00539614 0.00502748 0.05610954 0.00537697 0.00532302 0.15201235 0.00001739 0.00000916 0.00000024 0.00479192 0.00496885
F_26 0.00552102 0.00509319 0.00548584 0.00488431 0.00546359 0.00547047 0.00497792 0.00509054 0.00497552 0.00547498 0.00549598 0.00548683 0.00552161 0.00466124 0.00069259 0.00551563 0.00488719 0.00551219 0.00550272 0.00508785 0.00551385 0.00549978 0.00509620 0.00551619 0.07548178 0.00514410 0.00508964 0.00547284 0.15115292 0.00524924 0.00549938 0.00548479 0.00507824 0.00550414 0 0.00549316 0.00550059 0.00550694 0.00551176 0.00551234 0.00549343 0.00509029 0.00497754 0.00551347 0.00549993 0.00551267 0.00492353 0.00551562 0.00551112 0.00509451 0.00545303 0.00514811 0.00549250 0.00525084 0.00560264 0.00543988 0.00550398 0.00524564 0.00550149 0.00551421 0.08446612 0.00560502 0.00514973 0.00509976 0.00550053 0.00549866 0.00509804 0.00549544 0.00551493 0.00539797 0.00365127 0.00552858 0.00549444 0.00560292 0.00546147 0.00000000 0.00509919 0.08260575 0.00546073 0.00523600 0.00509835 0.00509734 0.00498153 0.00364930 0.00514386 0.00549792 0.07550903 0.00550083 0.00523782 0.00560245 0.00509861 0.00548810 0.00511007 0.00510451 0.00532340 0.00550940 0.00551586 0.00508929 0.00549983 0.00548459 0.00440882 0.00544622 0.00551136 0.00511602 0.08038873 0.00549874 0.00510667 0.00509617 0.00548975 0.00548948 0.00083292 0.00544557 0.00507806 0.00551101 0.00550463 0.00546764 0.00509237 0.00549197 0.00560185 0.00551710 0.00549670 0.00509181 0.00546129 0.00549629 0.00539555 0.00551401 0.00551586 0.00550809 0.00551262 0.00510988 0.00563449 0.05634878 0.00508420 0.00497869 0.15167473 0.00551741 0.00549921 0.00551329 0.00554860 0.00472001
F_19 0.00003130 0.00530681 0.00001815 0.00513772 0.00002223 0.00002298 0.00532053 0.00522065 0.00531701 0.00004773 0.00476973 0.00003963 0.00004049 0.00557379 0.00539422 0.00003010 0.00541644 0.00003058 0.00477807 0.00530360 0.00002913 0.00001830 0.00530833 0.00003809 0.07534940 0.00536929 0.00530341 0.00478706 0.15227041 0.00509757 0.00003065 0.00001792 0.00539235 0.00003125 0.00549316 0 0.00002990 0.00003027 0.00002841 0.00003061 0.00003771 0.00527729 0.00530634 0.00002947 0.00003073 0.00003154 0.00552507 0.00002921 0.00002636 0.00538691 0.00000911 0.00545535 0.00001614 0.00510932 0.00527182 0.00473675 0.00479881 0.00509420 0.00487158 0.00003020 0.08366001 0.00524166 0.00544620 0.00539045 0.00478166 0.00002920 0.00536008 0.00000474 0.00004815 0.00522168 0.00524136 0.00481280 0.00000711 0.00527336 0.00001729 0.00000000 0.00533963 0.07986455 0.00003503 0.00511288 0.00536029 0.00530403 0.00529800 0.00522269 0.00536479 0.00002158 0.07501422 0.00486789 0.00510447 0.00520318 0.00535950 0.00000616 0.00532844 0.00538974 0.00471343 0.00003071 0.00004126 0.00530225 0.00001399 0.00001887 0.00541282 0.00002417 0.00004154 0.00534601 0.07898795 0.00003344 0.00532878 0.00531006 0.00002858 0.00001814 0.00568508 0.00002419 0.00539151 0.00480490 0.00004049 0.00003083 0.00533672 0.00001896 0.00541206 0.00481153 0.00002713 0.00536230 0.00004049 0.00002895 0.00523387 0.00002996 0.00003218 0.00475691 0.00003011 0.00536475 0.00520237 0.05684970 0.00527983 0.00531711 0.15219274 0.00004128 0.00002758 0.00003034 0.00481005 0.00498556
s_2390 0.00000536 0.00536980 0.00003385 0.00537182 0.00001911 0.00001886 0.00531903 0.00522385 0.00532229 0.00005881 0.00476333 0.00005247 0.00001645 0.00551703 0.00541733 0.00000411 0.00541266 0.00000436 0.00478976 0.00537787 0.00000314 0.00002814 0.00530740 0.00001404 0.07517254 0.00546698 0.00537409 0.00479999 0.15238883 0.00507832 0.00000096 0.00003409 0.00557354 0.00000435 0.00550059 0.00002990 0 0.00004524 0.00000290 0.00000485 0.00004798 0.00537261 0.00530246 0.00000048 0.00000678 0.00000508 0.00545570 0.00000072 0.00000507 0.00538775 0.00001836 0.00545537 0.00002693 0.00509615 0.00519528 0.00468176 0.00480095 0.00507605 0.00482116 0.00000096 0.08314821 0.00522662 0.00544054 0.00538917 0.00479047 0.00004113 0.00536583 0.00003060 0.00002485 0.00522080 0.00528517 0.00480170 0.00003277 0.00519870 0.00001515 0.00000000 0.00536787 0.07953840 0.00003241 0.00510221 0.00535974 0.00536624 0.00530250 0.00521951 0.00543309 0.00003875 0.07516964 0.00483110 0.00508568 0.00516373 0.00535808 0.00003251 0.00539044 0.00539220 0.00470187 0.00000216 0.00001720 0.00537326 0.00002400 0.00003437 0.00538265 0.00003769 0.00001622 0.00531030 0.07839862 0.00004619 0.00538998 0.00537253 0.00003817 0.00003458 0.00561831 0.00001043 0.00551578 0.00481569 0.00001644 0.00003093 0.00539106 0.00003531 0.00536453 0.00481990 0.00004092 0.00536384 0.00003676 0.00004234 0.00522773 0.00000120 0.00000288 0.00480480 0.00000194 0.00541221 0.00511240 0.05606114 0.00537218 0.00532203 0.15193864 0.00001598 0.00000846 0.00000436 0.00479173 0.00496606
F_21 0.00004227 0.00531593 0.00001582 0.00515698 0.00002579 0.00002562 0.00531025 0.00522771 0.00531727 0.00002012 0.00464379 0.00003785 0.00005245 0.00558999 0.00539050 0.00004247 0.00542002 0.00004296 0.00466395 0.00531300 0.00004025 0.00002865 0.00531568 0.00004955 0.07516593 0.00537838 0.00531227 0.00468465 0.15221376 0.00506659 0.00004326 0.00001391 0.00532755 0.00004360 0.00550694 0.00003027 0.00004524 0 0.00004225 0.00004098 0.00002913 0.00528478 0.00529074 0.00004459 0.00004010 0.00004343 0.00551271 0.00004479 0.00003821 0.00539365 0.00002881 0.00547345 0.00002698 0.00508059 0.00508676 0.00472923 0.00468671 0.00506658 0.00488817 0.00004509 0.08031785 0.00500071 0.00544560 0.00540856 0.00466539 0.00002321 0.00537658 0.00002870 0.00005789 0.00524463 0.00522596 0.00465017 0.00003094 0.00506139 0.00002927 0.00000000 0.00534656 0.07609278 0.00001197 0.00508272 0.00537700 0.00531166 0.00531324 0.00520928 0.00538444 0.00001815 0.07515103 0.00485929 0.00506944 0.00526809 0.00537620 0.00003041 0.00536745 0.00540667 0.00473336 0.00004335 0.00005126 0.00531195 0.00002818 0.00001608 0.00537972 0.00001862 0.00005056 0.00536737 0.07535714 0.00000593 0.00534552 0.00531721 0.00002149 0.00001534 0.00575288 0.00003500 0.00532640 0.00469449 0.00005094 0.00000239 0.00534366 0.00001526 0.00521779 0.00469952 0.00002523 0.00537751 0.00002214 0.00002761 0.00522193 0.00004410 0.00004381 0.00461510 0.00003855 0.00537181 0.00500449 0.45879676 0.00528754 0.00531712 0.15192313 0.00005255 0.00003975 0.00004247 0.00467992 0.00499612
s_2337 0.00000438 0.00529034 0.00003247 0.00528435 0.00001320 0.00001296 0.00532917 0.00524197 0.00533263 0.00005691 0.00482099 0.00004977 0.00001569 0.00552741 0.00540921 0.00000386 0.00542302 0.00000434 0.00478634 0.00529145 0.00000121 0.00002690 0.00531473 0.00001425 0.07536546 0.00537859 0.00529107 0.00481981 0.15272617 0.00507845 0.00000339 0.00003247 0.00551056 0.00000411 0.00551176 0.00002841 0.00000290 0.00004225 0 0.00000387 0.00004531 0.00528939 0.00531362 0.00000339 0.00000266 0.00000459 0.00545677 0.00000242 0.00000386 0.00530754 0.00001467 0.00536951 0.00002642 0.00509377 0.00520087 0.00465764 0.00482911 0.00507820 0.00479320 0.00000363 0.08325353 0.00520703 0.00534007 0.00530647 0.00481972 0.00003849 0.00528532 0.00002913 0.00002242 0.00523033 0.00525201 0.00490411 0.00003153 0.00520394 0.00001171 1.00000000 0.00528978 0.07965708 0.00003028 0.00511554 0.00528496 0.00528724 0.00532765 0.00522529 0.00535004 0.00003712 0.07536569 0.00478636 0.00508618 0.00513163 0.00528458 0.00003056 0.00530773 0.00530613 0.00482163 0.00000339 0.00001595 0.00529202 0.00002254 0.00003297 0.00537608 0.00003531 0.00001597 0.00534809 0.08204695 0.00004375 0.00530564 0.00528965 0.00003603 0.00003296 0.00562887 0.00000587 0.00551906 0.00481231 0.00001522 0.00002818 0.00530924 0.00003369 0.00533706 0.00484643 0.00003827 0.00528344 0.00003419 0.00003970 0.00523909 0.00000290 0.00000509 0.00484013 0.00000193 0.00531064 0.00509067 0.06249731 0.00529202 0.00533233 0.15243478 0.00001618 0.00000724 0.00000386 0.00487485 0.00531033
s_2360 0.00000024 0.00537337 0.00003440 0.00536764 0.00001221 0.00001221 0.00532890 0.00531908 0.00533219 0.00005420 0.00479495 0.00005041 0.00001739 0.00552795 0.00540806 0.00000000 0.00542373 0.00000024 0.00478878 0.00537482 0.00000363 0.00002884 0.00530865 0.00001522 0.07532912 0.00544087 0.00537444 0.00477015 0.15280738 0.00509883 0.00000436 0.00003440 0.00552054 0.00000072 0.00551234 0.00003061 0.00000485 0.00004098 0.00000387 0 0.00004569 0.00537241 0.00531000 0.00000436 0.00000337 0.00000555 0.00546079 0.00000412 0.00000555 0.00539120 0.00001638 0.00545587 0.00002836 0.00510809 0.00520234 0.00465658 0.00480029 0.00509601 0.00481902 0.00000436 0.08326524 0.00520471 0.00544525 0.00538941 0.00479016 0.00003885 0.00536828 0.00003083 0.00002462 0.00522913 0.00525479 0.00489038 0.00003299 0.00515314 0.00001366 1.00000000 0.00537279 0.07966232 0.00002840 0.00511609 0.00536058 0.00537092 0.00532726 0.00522875 0.00543640 0.00003929 0.07532905 0.00478744 0.00510669 0.00504880 0.00536789 0.00003274 0.00539207 0.00538977 0.00488090 0.00000509 0.00001764 0.00537506 0.00002423 0.00003515 0.00537380 0.00003591 0.00001768 0.00532315 0.08206602 0.00004169 0.00538895 0.00537300 0.00003639 0.00003489 0.00565960 0.00000724 0.00551940 0.00481769 0.00001764 0.00002717 0.00539287 0.00003587 0.00528316 0.00481845 0.00003888 0.00536672 0.00003395 0.00004007 0.00524212 0.00000436 0.00000436 0.00483902 0.00000290 0.00539415 0.00504036 0.05609157 0.00537540 0.00533166 0.15242635 0.00001741 0.00000894 0.00000000 0.00486046 0.00496725
G_5 0.00004626 0.00501913 0.00003211 0.00486873 0.00003059 0.00003084 0.00532185 0.00493928 0.00532185 0.00003610 0.00490606 0.00001573 0.00005496 0.00555992 0.00539591 0.00004546 0.00540580 0.00004570 0.00490405 0.00501640 0.00004427 0.00003175 0.00502030 0.00005250 0.07536474 0.00507097 0.00501677 0.00488044 0.15221272 0.00505110 0.00004822 0.00003066 0.00532924 0.00004609 0.00549343 0.00003771 0.00004798 0.00002913 0.00004531 0.00004569 0 0.00499089 0.00531517 0.00004783 0.00005457 0.00004642 0.00549234 0.00004758 0.00004410 0.00509469 0.00003664 0.00515646 0.00003099 0.00506835 0.00487557 0.00467382 0.00491026 0.00505018 0.00483227 0.00004808 0.08334102 0.00487744 0.00514196 0.00510171 0.00490334 0.00000970 0.00507351 0.00003878 0.00006159 0.00524249 0.00524072 0.00498282 0.00003941 0.00487646 0.00003057 0.00000000 0.00505187 0.07954418 0.00002787 0.00508278 0.00507279 0.00501836 0.00530321 0.00521500 0.00507232 0.00003553 0.07503255 0.00479738 0.00506077 0.00480705 0.00507241 0.00003936 0.00501693 0.00510021 0.00461653 0.00004830 0.00005544 0.00501689 0.00003232 0.00003215 0.00539684 0.00001133 0.00005498 0.00502778 0.07865395 0.00002442 0.00504305 0.00502054 0.00000993 0.00003088 0.00547002 0.00005124 0.00544320 0.00492154 0.00005462 0.00002944 0.00504486 0.00003235 0.00507538 0.00492931 0.00001204 0.00507444 0.00003823 0.00001063 0.00522740 0.00004806 0.00004757 0.00489801 0.00004229 0.00507307 0.00487254 0.05617462 0.00499399 0.00532241 0.15130716 0.00005501 0.00004266 0.00004594 0.00491901 0.00472570
s_2396 0.00529876 0.00000810 0.00526996 0.00000646 0.00528335 0.00528418 0.00477458 0.00000903 0.00477606 0.00499548 0.00559909 0.00499435 0.00538780 0.00502401 0.00494886 0.00529117 0.00501655 0.00537488 0.00557659 0.00000832 0.00537051 0.00529802 0.00000715 0.00537886 0.07576666 0.00000732 0.00000880 0.00555762 0.15209469 0.00570570 0.00531811 0.00527425 0.00494575 0.00537429 0.00509029 0.00527729 0.00537261 0.00528478 0.00528939 0.00537241 0.00499089 0 0.00475764 0.00536710 0.00527676 0.00528916 0.00446906 0.00528284 0.00527521 0.00000453 0.00530039 0.00000318 0.00527928 0.00570865 0.00531982 0.00543428 0.00560580 0.00576984 0.00559171 0.00540504 0.08238559 0.00533575 0.00001068 0.00000381 0.00560282 0.00498584 0.00000357 0.00527697 0.00536155 0.00569916 0.00492251 0.00549033 0.00528877 0.00533121 0.00527218 1.00000000 0.00001309 0.07917764 0.00499795 0.00566069 0.00000453 0.00000572 0.00477762 0.00489237 0.00000537 0.00527673 0.07577311 0.00554881 0.00580506 0.00532898 0.00000524 0.00528253 0.00003119 0.00000453 0.00483376 0.00537111 0.00538723 0.00001237 0.00528844 0.00527701 0.00498107 0.00498317 0.00531560 0.00005781 0.07759689 0.00498715 0.00000286 0.00000405 0.00498397 0.00527130 0.00517655 0.00520231 0.00490967 0.00561291 0.00531446 0.00529229 0.00000310 0.00526840 0.00546122 0.00560961 0.00499340 0.00000500 0.00529523 0.00499236 0.00570089 0.00539663 0.00528188 0.00553972 0.00531210 0.00000505 0.00531378 0.03027583 0.00001118 0.00477323 0.15156404 0.00532803 0.00526209 0.00536976 0.00553979 0.00000517
F_32 0.00530747 0.00476785 0.00530512 0.00456287 0.00530097 0.00530187 0.00002702 0.00479208 0.00002517 0.00523620 0.00559186 0.00531079 0.00531978 0.00467281 0.00494077 0.00531070 0.00492692 0.00531089 0.00559959 0.00477912 0.00531288 0.00529095 0.00478472 0.00531951 0.07564337 0.00479368 0.00475331 0.00557474 0.15100022 0.00538241 0.00530130 0.00529067 0.00342037 0.00530211 0.00497754 0.00530634 0.00530246 0.00529074 0.00531362 0.00531000 0.00531517 0.00475764 0 0.00530721 0.00526209 0.00531311 0.00479465 0.00531142 0.00528322 0.00475996 0.00530178 0.00479943 0.00529956 0.00537103 0.00567155 0.00545568 0.00559345 0.00538072 0.00560171 0.00530902 0.08446316 0.00567376 0.00481619 0.00476346 0.00559307 0.00531206 0.00475170 0.00529725 0.00529647 0.00551725 0.00485753 0.00561418 0.00530717 0.00567588 0.00529944 0.00000000 0.00475905 0.08235467 0.00527333 0.00538097 0.00475469 0.00476251 0.00002724 0.00488192 0.00478436 0.00530400 0.07566830 0.00560495 0.00529370 0.00566368 0.00475836 0.00530796 0.00473199 0.00475697 0.00539993 0.00531013 0.00532041 0.00475467 0.00529286 0.00529275 0.00492238 0.00525657 0.00531759 0.00478127 0.08000087 0.00529792 0.00476459 0.00477004 0.00530097 0.00529003 0.00511274 0.00520871 0.00342057 0.00560041 0.00531099 0.00528595 0.00477138 0.00529964 0.00568305 0.00560223 0.00531826 0.00470201 0.00529980 0.00531748 0.00564132 0.00530975 0.00531143 0.00561095 0.00531133 0.00472785 0.00566142 0.05539552 0.00478105 0.00002724 0.15148547 0.00532227 0.00528428 0.00531041 0.00564741 0.00440078
s_2391 0.00000414 0.00536429 0.00003343 0.00536707 0.00001692 0.00001643 0.00532794 0.00521891 0.00533135 0.00005867 0.00476360 0.00005330 0.00001669 0.00552576 0.00543051 0.00000436 0.00542076 0.00000460 0.00479053 0.00537235 0.00000339 0.00002843 0.00530297 0.00001356 0.07516159 0.00546120 0.00536858 0.00479975 0.15279578 0.00507757 0.00000048 0.00003319 0.00545568 0.00000460 0.00551347 0.00002947 0.00000048 0.00004459 0.00000339 0.00000436 0.00004783 0.00536710 0.00530721 0 0.00000630 0.00000460 0.00546356 0.00000072 0.00000532 0.00538277 0.00001618 0.00545009 0.00002722 0.00508935 0.00523457 0.00465530 0.00480122 0.00507598 0.00482171 0.00000048 0.08326353 0.00523576 0.00543563 0.00538435 0.00479074 0.00004096 0.00536089 0.00003042 0.00002509 0.00525565 0.00528829 0.00480320 0.00003259 0.00515422 0.00001297 1.00000000 0.00536293 0.07953694 0.00003198 0.00509582 0.00535466 0.00536074 0.00532642 0.00522144 0.00542735 0.00003808 0.07516182 0.00480234 0.00508568 0.00511814 0.00535300 0.00003233 0.00539311 0.00538706 0.00470207 0.00000120 0.00001744 0.00536775 0.00002381 0.00003443 0.00537070 0.00003777 0.00001651 0.00531983 0.07852687 0.00004530 0.00538500 0.00536722 0.00003849 0.00003368 0.00565820 0.00001068 0.00539856 0.00481554 0.00001671 0.00003099 0.00538597 0.00003490 0.00528514 0.00481981 0.00004075 0.00535890 0.00003602 0.00004219 0.00523780 0.00000000 0.00000240 0.00477666 0.00000145 0.00540623 0.00507186 0.05605107 0.00536667 0.00533110 0.15240995 0.00001623 0.00000824 0.00000436 0.00476247 0.00496171
s_2349 0.00000364 0.00527896 0.00003333 0.00526538 0.00001021 0.00001046 0.00525922 0.00522058 0.00526562 0.00006396 0.00475633 0.00005929 0.00001611 0.00546282 0.00539839 0.00000313 0.00537829 0.00000409 0.00471965 0.00527834 0.00000192 0.00002774 0.00528404 0.00001348 0.07509748 0.00534060 0.00527799 0.00476675 0.15258276 0.00507957 0.00000678 0.00003236 0.00551340 0.00000481 0.00549993 0.00003073 0.00000678 0.00004010 0.00000266 0.00000337 0.00005457 0.00527676 0.00526209 0.00000630 0 0.00000411 0.00541942 0.00000629 0.00000384 0.00528843 0.00001509 0.00534822 0.00002678 0.00509245 0.00520472 0.00448012 0.00476307 0.00507573 0.00477675 0.00000678 0.08343006 0.00520850 0.00542526 0.00528586 0.00475454 0.00004775 0.00527392 0.00002949 0.00002378 0.00523218 0.00524810 0.00490369 0.00003044 0.00520524 0.00001262 1.00000000 0.00527728 0.07944283 0.00003813 0.00510232 0.00534604 0.00527538 0.00526517 0.00520146 0.00533223 0.00003700 0.07510818 0.00477444 0.00508579 0.00514301 0.00527308 0.00003043 0.00526559 0.00536786 0.00482800 0.00000630 0.00001662 0.00527911 0.00002219 0.00003408 0.00537339 0.00004433 0.00001616 0.00527952 0.08173381 0.00005129 0.00528623 0.00527667 0.00004529 0.00003285 0.00560053 0.00000493 0.00548019 0.00477794 0.00001663 0.00002584 0.00529018 0.00003358 0.00533878 0.00475565 0.00004754 0.00527371 0.00003258 0.00004896 0.00521241 0.00000557 0.00000557 0.00477572 0.00000145 0.00526075 0.00512442 0.06266368 0.00527778 0.00525817 0.15114040 0.00001564 0.00000649 0.00000361 0.00484109 0.00495106
s_2336 0.00000583 0.00529015 0.00003438 0.00528454 0.00001514 0.00001490 0.00532818 0.00523708 0.00533151 0.00005736 0.00479374 0.00005114 0.00001857 0.00552851 0.00540329 0.00000555 0.00541263 0.00000579 0.00475619 0.00529160 0.00000459 0.00002929 0.00531492 0.00001569 0.07535313 0.00537878 0.00529126 0.00479688 0.15272617 0.00509193 0.00000509 0.00003439 0.00551917 0.00000652 0.00551267 0.00003154 0.00000508 0.00004343 0.00000459 0.00000555 0.00004642 0.00528916 0.00531311 0.00000460 0.00000411 0 0.00545759 0.00000484 0.00000651 0.00530772 0.00001734 0.00536958 0.00002833 0.00510020 0.00523155 0.00469561 0.00480164 0.00509173 0.00481714 0.00000508 0.08325668 0.00523736 0.00533987 0.00530665 0.00479216 0.00003958 0.00528509 0.00003152 0.00002533 0.00523089 0.00525736 0.00488966 0.00003343 0.00523420 0.00001414 1.00000000 0.00528966 0.07965116 0.00003086 0.00510971 0.00528511 0.00528781 0.00532667 0.00522816 0.00535047 0.00003927 0.07534801 0.00481107 0.00510107 0.00516149 0.00528481 0.00003318 0.00530889 0.00530632 0.00484883 0.00000533 0.00001907 0.00529225 0.00002493 0.00003514 0.00536909 0.00003688 0.00001864 0.00534731 0.08205029 0.00004388 0.00530544 0.00528980 0.00003712 0.00003487 0.00563042 0.00000855 0.00551830 0.00481697 0.00001884 0.00002939 0.00530942 0.00003561 0.00536847 0.00482196 0.00003936 0.00528363 0.00003540 0.00004104 0.00523919 0.00000460 0.00000654 0.00483779 0.00000314 0.00531037 0.00512252 0.06250082 0.00529187 0.00533134 0.15243541 0.00001787 0.00000941 0.00000579 0.00485773 0.00531056
F_56 0.00545832 0.00447468 0.00554343 0.00427950 0.00546317 0.00546431 0.00482734 0.00447594 0.00481983 0.00550585 0.00563093 0.00548964 0.00546745 0.00482658 0.00483405 0.00546255 0.00488576 0.00546391 0.00559606 0.00447676 0.00545555 0.00544359 0.00447976 0.00546527 0.07603379 0.00449621 0.00447524 0.00560297 0.15165849 0.00544528 0.00545202 0.00554959 0.00494874 0.00545596 0.00492353 0.00552507 0.00545570 0.00551271 0.00545677 0.00546079 0.00549234 0.00446906 0.00479465 0.00546356 0.00541942 0.00545759 0 0.00546108 0.00544347 0.00449426 0.00552778 0.00451269 0.00544236 0.00546241 0.00575549 0.00549188 0.00563450 0.00545527 0.00563961 0.00546496 0.08411202 0.00576314 0.00450735 0.00449710 0.00563026 0.00548696 0.00447105 0.00552001 0.00543122 0.00549901 0.00499993 0.00559794 0.00553028 0.00576087 0.00545046 0.00000000 0.00447888 0.08270147 0.00551332 0.00547664 0.00447148 0.00447456 0.00475579 0.00503193 0.00448927 0.00553174 0.07608349 0.00561315 0.00546041 0.00571617 0.00447161 0.00552614 0.00449218 0.00449772 0.00540395 0.00546027 0.00546552 0.00447548 0.00551850 0.00554520 0.00491006 0.00544399 0.00545824 0.00449410 0.07996153 0.00550754 0.00449611 0.00447870 0.00547882 0.00554110 0.00517792 0.00536494 0.00494816 0.00564855 0.00545856 0.00550810 0.00450198 0.00553962 0.00575160 0.00564842 0.00548757 0.00447192 0.00552220 0.00549198 0.00546152 0.00546589 0.00546292 0.00565096 0.00545638 0.00450235 0.00574371 0.05644478 0.00447230 0.00481384 0.15175568 0.00546956 0.00543689 0.00546427 0.00565655 0.00415367
s_2410 0.00000439 0.00530564 0.00003293 0.00514989 0.00001517 0.00001493 0.00532632 0.00522509 0.00532943 0.00005728 0.00476595 0.00005232 0.00001620 0.00551872 0.00542765 0.00000411 0.00542085 0.00000484 0.00478941 0.00531227 0.00000363 0.00002791 0.00530864 0.00001429 0.07533125 0.00537527 0.00530879 0.00480209 0.15273374 0.00509608 0.00000144 0.00003294 0.00558133 0.00000484 0.00551562 0.00002921 0.00000072 0.00004479 0.00000242 0.00000412 0.00004758 0.00528284 0.00531142 0.00000072 0.00000629 0.00000484 0.00546108 0 0.00000483 0.00540931 0.00001519 0.00545667 0.00002718 0.00510684 0.00519726 0.00468407 0.00480358 0.00509294 0.00482398 0.00000120 0.08318095 0.00523424 0.00544171 0.00539295 0.00479312 0.00004071 0.00536010 0.00002992 0.00002434 0.00522898 0.00528710 0.00480426 0.00003208 0.00520097 0.00001246 1.00000000 0.00533823 0.07958941 0.00003219 0.00511424 0.00536069 0.00530254 0.00530927 0.00522024 0.00536651 0.00003784 0.07532819 0.00480466 0.00510383 0.00516475 0.00535903 0.00003183 0.00542004 0.00539341 0.00470654 0.00000096 0.00001696 0.00530729 0.00002305 0.00003345 0.00538984 0.00003751 0.00001699 0.00531188 0.07843454 0.00004549 0.00533373 0.00539424 0.00003848 0.00003343 0.00562866 0.00001044 0.00552344 0.00481782 0.00001623 0.00003096 0.00533718 0.00003440 0.00533301 0.00482209 0.00004050 0.00535828 0.00003699 0.00004193 0.00523500 0.00000048 0.00000096 0.00480689 0.00000218 0.00539052 0.00512112 0.05612639 0.00528309 0.00532907 0.15235621 0.00001672 0.00000774 0.00000436 0.00479480 0.00496713
