s_4408	s_4392	s_4428	s_4448	s_4445	s_4439	s_4419	s_4449	s_4443	s_4452	s_4412	s_4455	s_4409	s_4470	s_4458	s_4444	s_4414	s_4467	s_4435	s_4397	s_4394	s_4425	s_4416	s_4464	s_4461	s_4407	s_4399	s_4390	s_4405	s_4442	s_4404	s_4430	s_4391	s_4395	s_4421	s_4465	s_4450	s_4410	s_4460	s_4424	s_4415	s_4454	s_4456	s_4411	s_4413	s_4396	s_4423	s_4432	s_4433	s_4476	s_4474	s_4406	s_4418	s_4437	s_4401	s_4436	s_4420	s_4403	s_4469	s_4431	s_4422	s_4400	s_4402	s_4462	s_4453	s_4438	s_4475	s_4429
s_4412 0.01028162 0.01023203 0.00154377 0.03569985 0.01006076 0.00174310 0.00896229 0.03569649 0.00330454 0.01008901 0 0.00161214 0.00262853 0.00205196 0.00989346 0.00223013 0.01022664 0.00173715 0.01038072 0.01026283 0.01030301 0.01076695 0.01036095 0.00168390 0.00251182 0.01045981 0.01000764 0.01020641 0.01017118 0.01117172 0.01045763 0.00166978 0.01030053 0.01027702 0.00683721 0.03569534 0.03571405 0.00146007 0.00149900 0.00406412 0.01015283 0.00142663 0.01008940 0.00151931 0.01035102 0.01032299 0.01007719 0.00177196 0.00163163 0.00184613 0.01048148 0.01028631 0.00160434 0.00169140 0.00127800 0.00169977 0.00165112 0.03570194 0.00262862 0.00183326 0.00179768 0.00132003 0.00115262 0.00144271 0.01023627 0.00994528 0.00158582 0.00165808
s_4455 0.01109349 0.01089448 0.00133596 0.03691512 0.01080778 0.00153577 0.00951844 0.03707901 0.00296407 0.01079184 0.00161214 0 0.00250270 0.00163311 0.01048755 0.00202125 0.01092963 0.00129120 0.01095023 0.01102054 0.01098505 0.01189148 0.01105508 0.00142028 0.00231863 0.01110565 0.01077342 0.01084454 0.01080328 0.01186662 0.01107062 0.00151170 0.01095305 0.01088509 0.00695402 0.03689551 0.03706886 0.00149916 0.00129038 0.00410024 0.01095416 0.00118993 0.01070185 0.00151851 0.01108724 0.01101760 0.01082629 0.00130578 0.00129151 0.00140010 0.01115878 0.01090691 0.00149060 0.00143312 0.00112548 0.00151181 0.00152657 0.03675180 0.00230796 0.00138791 0.00166808 0.00116721 0.00109954 0.00132734 0.01090329 0.01068766 0.00113436 0.00145189
s_4409 0.01130103 0.01115010 0.00248280 0.03643869 0.01095633 0.00222000 0.00998344 0.03645755 0.00424296 0.01096404 0.00262853 0.00250270 0 0.00290237 0.01089425 0.00260493 0.01118120 0.00269328 0.01148050 0.01126664 0.01119885 0.01216234 0.01134744 0.00210557 0.00268165 0.01132211 0.01087923 0.01106142 0.01095761 0.01213843 0.01082947 0.00254204 0.01118957 0.01117444 0.00718496 0.03644566 0.03651603 0.00241920 0.00238915 0.00481215 0.01116454 0.00229217 0.01111909 0.00242084 0.01136921 0.01119207 0.01102894 0.00261070 0.00265121 0.00299803 0.01200394 0.01102210 0.00256717 0.00212539 0.00166797 0.00219012 0.00254144 0.03608971 0.00265938 0.00258537 0.00234656 0.00169742 0.00163979 0.00227153 0.01123811 0.01079218 0.00244562 0.00253574
s_4470 0.01144907 0.01134549 0.00170540 0.03744089 0.01114534 0.00188095 0.00981310 0.03760752 0.00337013 0.01115305 0.00205196 0.00163311 0.00290237 0 0.01099752 0.00241383 0.01136730 0.00166798 0.01146339 0.01140671 0.01137469 0.01233206 0.01155862 0.00179415 0.00286491 0.01151733 0.01113456 0.01126889 0.01115273 0.01228316 0.01145001 0.00188027 0.01137469 0.01129951 0.00742752 0.03766779 0.03752151 0.00187619 0.00168874 0.00446533 0.01136147 0.00159453 0.01131874 0.00189931 0.01151057 0.01135672 0.01119447 0.00165759 0.00166564 0.00180978 0.01153627 0.01128101 0.00185980 0.00172935 0.00143897 0.00188673 0.00186787 0.03752676 0.00274643 0.00173991 0.00204192 0.00148634 0.00142561 0.00169071 0.01133821 0.01107532 0.00153614 0.00189941
s_4458 0.00075748 0.00060678 0.01069094 0.03408159 0.00074791 0.01098587 0.00653448 0.03425546 0.01370543 0.00327751 0.00989346 0.01048755 0.01089425 0.01099752 0 0.01155726 0.00075441 0.01162446 0.00423684 0.00072547 0.00064784 0.00496413 0.00076558 0.01094267 0.01161696 0.00076108 0.00031331 0.00060602 0.00337878 0.00155013 0.00338590 0.01095443 0.00061321 0.00067477 0.00268576 0.03400236 0.03423296 0.01002118 0.01077449 0.00433340 0.00065302 0.01041108 0.00060306 0.00990507 0.00076824 0.00068451 0.00034258 0.01082322 0.01078023 0.01055675 0.00179165 0.00344366 0.00970968 0.01094720 0.00869374 0.01102769 0.01002628 0.03409858 0.01090680 0.01081602 0.01014224 0.00877490 0.00859247 0.01080544 0.00064603 0.00031789 0.01073554 0.01093624
s_4444 0.01201929 0.01189187 0.00197132 0.03731197 0.01159423 0.00172447 0.01035475 0.03737939 0.00376908 0.01160013 0.00223013 0.00202125 0.00260493 0.00241383 0.01155726 0 0.01195912 0.00215237 0.01181808 0.01195210 0.01193005 0.01265487 0.01204545 0.00163304 0.00231266 0.01209386 0.01171194 0.01182847 0.01164103 0.01281883 0.01197333 0.00206480 0.01190489 0.01188458 0.00761646 0.03735098 0.03737437 0.00209238 0.00185823 0.00447189 0.01190807 0.00177149 0.01178303 0.00215349 0.01205523 0.01196657 0.01178680 0.00206523 0.00205189 0.00244642 0.01229060 0.01174826 0.00221947 0.00165703 0.00128113 0.00168778 0.00221411 0.03738704 0.00234157 0.00210344 0.00210260 0.00132004 0.00126334 0.00181611 0.01186634 0.01164514 0.00193505 0.00200250
s_4414 0.00051569 0.00033225 0.01113959 0.03415425 0.00036017 0.01130701 0.00696586 0.03428083 0.01378052 0.00348079 0.01022664 0.01092963 0.01118120 0.01136730 0.00075441 0.01195912 0 0.01199061 0.00453457 0.00047088 0.00039227 0.00530233 0.00053735 0.01127200 0.01174627 0.00052418 0.00095947 0.00032024 0.00356758 0.00141869 0.00359745 0.01126212 0.00035062 0.00042576 0.00363718 0.03428049 0.03422670 0.01034547 0.01112389 0.00616460 0.00037347 0.01081904 0.00031223 0.01029108 0.00052359 0.00042427 0.00096869 0.01119310 0.01120245 0.01091934 0.00071298 0.00360057 0.01026867 0.01131121 0.00899739 0.01131246 0.01034424 0.03412821 0.01155538 0.01127454 0.01050714 0.00910204 0.00890536 0.01121778 0.00038477 0.00093055 0.01110213 0.01129274
s_4467 0.01204815 0.01206652 0.00145293 0.03748616 0.01184423 0.00162618 0.01005400 0.03728593 0.00306958 0.01164857 0.00173715 0.00129120 0.00269328 0.00166798 0.01162446 0.00215237 0.01199061 0 0.01183389 0.01212127 0.01206649 0.01211507 0.01224070 0.00161862 0.00305719 0.01222173 0.01173243 0.01207177 0.01155639 0.01303989 0.01309600 0.00161228 0.01212145 0.01207018 0.00766264 0.03738174 0.03745949 0.00163584 0.00138676 0.00483929 0.01205146 0.00134213 0.01201343 0.00168810 0.01224477 0.01210280 0.01179806 0.00134862 0.00136338 0.00149053 0.01219723 0.01173636 0.00164805 0.00156894 0.00135824 0.00156285 0.00159199 0.03730129 0.00284631 0.00141289 0.00178661 0.00131094 0.00125437 0.00154969 0.01216441 0.01172374 0.00113709 0.00161134
s_4435 0.00450926 0.00427030 0.01117476 0.03419707 0.00407628 0.01121289 0.00751743 0.03424579 0.01314424 0.00331108 0.01038072 0.01095023 0.01148050 0.01146339 0.00423684 0.01181808 0.00453457 0.01183389 0 0.00447408 0.00441112 0.00102955 0.00461559 0.01127722 0.01133485 0.00453823 0.00435588 0.00436506 0.00337332 0.00527955 0.00448134 0.01142829 0.00425612 0.00444613 0.00590557 0.03422289 0.03426801 0.01049553 0.01121461 0.00599199 0.00445647 0.01086914 0.00430082 0.01052662 0.00459788 0.00442610 0.00445025 0.01135395 0.01134206 0.00846620 0.00524552 0.00343965 0.01035302 0.01120716 0.00907567 0.01122235 0.01050798 0.03436228 0.01121994 0.01140544 0.01039093 0.00915064 0.00892520 0.01114502 0.00442418 0.00453948 0.01122827 0.01138089
s_4397 0.00047576 0.00034085 0.01116360 0.03413644 0.00033443 0.01135484 0.00700629 0.03421374 0.01389467 0.00346237 0.01026283 0.01102054 0.01126664 0.01140671 0.00072547 0.01195210 0.00047088 0.01212127 0.00447408 0 0.00036814 0.00524657 0.00050589 0.01133365 0.01194153 0.00048175 0.00091539 0.00034453 0.00359432 0.00136114 0.00357675 0.01135930 0.00035656 0.00040206 0.00355113 0.03420616 0.03423985 0.01044529 0.01118946 0.00606522 0.00036965 0.01092067 0.00030938 0.01040289 0.00050791 0.00038975 0.00093844 0.01124528 0.01124361 0.01097714 0.00070617 0.00361213 0.01029316 0.01136253 0.00896219 0.01138952 0.01044946 0.03408152 0.01163603 0.01124390 0.01053895 0.00917835 0.00898145 0.01129661 0.00033922 0.00091723 0.01114995 0.01132242
s_4394 0.00041316 0.00025605 0.01111390 0.03424403 0.00026553 0.01130403 0.00690482 0.03428796 0.01379159 0.00340390 0.01030301 0.01098505 0.01119885 0.01137469 0.00064784 0.01193005 0.00039227 0.01206649 0.00441112 0.00036814 0 0.00517102 0.00041159 0.01129012 0.01181802 0.00041821 0.00083634 0.00026399 0.00352004 0.00127903 0.00351996 0.01127400 0.00028422 0.00031753 0.00350431 0.03428212 0.03430309 0.01031606 0.01115184 0.00602055 0.00030203 0.01084518 0.00023234 0.01031180 0.00041667 0.00031057 0.00085237 0.01116305 0.01120893 0.01092950 0.00065306 0.00353931 0.01022127 0.01132410 0.00891682 0.01132984 0.01033940 0.03418665 0.01150844 0.01118562 0.01047239 0.00911113 0.00888145 0.01123052 0.00027134 0.00084224 0.01109214 0.01125863
s_4425 0.00532127 0.00501430 0.01203179 0.03486592 0.00476897 0.01211802 0.00882108 0.03467717 0.01338491 0.00406329 0.01076695 0.01189148 0.01216234 0.01233206 0.00496413 0.01265487 0.00530233 0.01211507 0.00102955 0.00524657 0.00517102 0 0.00531437 0.01203661 0.01313726 0.00523755 0.00482290 0.00523383 0.00412876 0.00616720 0.00453376 0.01213154 0.00508837 0.00526035 0.00562420 0.03465346 0.03487177 0.01099372 0.01211161 0.00701453 0.00523542 0.01173742 0.00523978 0.01097013 0.00529844 0.00519309 0.00526100 0.01215199 0.01219070 0.00972941 0.00524917 0.00411298 0.01071570 0.01204189 0.00962213 0.01211509 0.01103818 0.03452592 0.01213284 0.01218013 0.01088266 0.00955009 0.00955657 0.01197371 0.00537084 0.00555678 0.01208925 0.01215758
s_4416 0.00053029 0.00038498 0.01122275 0.03433792 0.00042392 0.01144193 0.00702233 0.03438313 0.01398136 0.00349921 0.01036095 0.01105508 0.01134744 0.01155862 0.00076558 0.01204545 0.00053735 0.01224070 0.00461559 0.00050589 0.00041159 0.00531437 0 0.01141055 0.01182197 0.00052789 0.00096467 0.00036328 0.00357528 0.00141211 0.00358799 0.01138587 0.00038974 0.00045361 0.00365432 0.03438172 0.03440152 0.01051189 0.01125809 0.00614460 0.00043973 0.01096941 0.00037555 0.01040648 0.00053237 0.00046028 0.00098811 0.01127510 0.01133753 0.01105261 0.00076970 0.00364524 0.01032226 0.01144066 0.00915734 0.01145552 0.01046729 0.03432413 0.01167161 0.01139179 0.01057031 0.00925453 0.00908336 0.01136032 0.00040010 0.00093851 0.01121452 0.01136686
s_4464 0.01138158 0.01123906 0.00125680 0.03704805 0.01100611 0.00105206 0.00970933 0.03718681 0.00333342 0.01098891 0.00168390 0.00142028 0.00210557 0.00179415 0.01094267 0.00163304 0.01127200 0.00161862 0.01127722 0.01133365 0.01129012 0.01203661 0.01141055 0 0.00181965 0.01143941 0.01105436 0.01119415 0.01098024 0.01221564 0.01122501 0.00143606 0.01125774 0.01123742 0.00692294 0.03697906 0.03713942 0.00148857 0.00122540 0.00389652 0.01127071 0.00111495 0.01124764 0.00151982 0.01142218 0.01134196 0.01114673 0.00139911 0.00144945 0.00180672 0.01164593 0.01109307 0.00165793 0.00094358 0.00068827 0.00102487 0.00162352 0.03685832 0.00183614 0.00151532 0.00152835 0.00074783 0.00068861 0.00106440 0.01125938 0.01097889 0.00125848 0.00140089
s_4461 0.01195173 0.01180950 0.00228880 0.03578550 0.01204479 0.00188902 0.01071092 0.03575851 0.00398661 0.01131386 0.00251182 0.00231863 0.00268165 0.00286491 0.01161696 0.00231266 0.01174627 0.00305719 0.01133485 0.01194153 0.01181802 0.01313726 0.01182197 0.00181965 0 0.01195889 0.01142415 0.01160308 0.01151617 0.01271614 0.01190188 0.00232849 0.01173100 0.01182737 0.00771359 0.03638066 0.03558075 0.00230734 0.00215391 0.00418663 0.01177101 0.00209776 0.01182709 0.00243070 0.01204767 0.01188851 0.01175364 0.00247791 0.00242132 0.00312091 0.01338699 0.01151480 0.00257757 0.00175905 0.00146040 0.00180624 0.00257025 0.03513396 0.00267742 0.00249115 0.00220316 0.00148742 0.00146820 0.00218345 0.01176748 0.01108069 0.00235852 0.00224737
s_4407 0.00051075 0.00038330 0.01126504 0.03431910 0.00040272 0.01147049 0.00701073 0.03442603 0.01397128 0.00349391 0.01045981 0.01110565 0.01132211 0.01151733 0.00076108 0.01209386 0.00052418 0.01222173 0.00453823 0.00048175 0.00041821 0.00523755 0.00052789 0.01143941 0.01195889 0 0.00095421 0.00039030 0.00356363 0.00140427 0.00357530 0.01143332 0.00041703 0.00044162 0.00369277 0.03441518 0.03438408 0.01049693 0.01130760 0.00614748 0.00043816 0.01100374 0.00036946 0.01045012 0.00051485 0.00044466 0.00094876 0.01132189 0.01135364 0.01101413 0.00076571 0.00365801 0.01038667 0.01146723 0.00914707 0.01147982 0.01050657 0.03424283 0.01164094 0.01141412 0.01060069 0.00925156 0.00904180 0.01138638 0.00039788 0.00093816 0.01125369 0.01141347
s_4399 0.00092813 0.00079465 0.01089032 0.03392859 0.00090618 0.01108413 0.00672807 0.03398830 0.01336365 0.00348523 0.01000764 0.01077342 0.01087923 0.01113456 0.00031331 0.01171194 0.00095947 0.01173243 0.00435588 0.00091539 0.00083634 0.00482290 0.00096467 0.01105436 0.01142415 0.00095421 0 0.00079741 0.00361593 0.00176012 0.00361391 0.01105877 0.00080259 0.00087186 0.00331510 0.03399251 0.03399478 0.01015587 0.01091832 0.00516386 0.00083394 0.01063509 0.00078374 0.01008947 0.00095133 0.00088629 0.00052345 0.01095931 0.01101883 0.01074972 0.00164286 0.00361334 0.01004646 0.01108370 0.00868754 0.01110835 0.01015483 0.03388557 0.01083673 0.01095729 0.01026716 0.00892328 0.00873016 0.01094696 0.00080273 0.00042546 0.01089840 0.01103571
s_4390 0.00038158 0.00020906 0.01103047 0.03405526 0.00021474 0.01123072 0.00682651 0.03408079 0.01369473 0.00331006 0.01020641 0.01084454 0.01106142 0.01126889 0.00060602 0.01182847 0.00032024 0.01207177 0.00436506 0.00034453 0.00026399 0.00523383 0.00036328 0.01119415 0.01160308 0.00039030 0.00079741 0 0.00341809 0.00127093 0.00342124 0.01118326 0.00024849 0.00029635 0.00352461 0.03409235 0.03410151 0.01029329 0.01106206 0.00592146 0.00025790 0.01075531 0.00016936 0.01022255 0.00039851 0.00029784 0.00083092 0.01106564 0.01109428 0.01067034 0.00059689 0.00348172 0.01023842 0.01122799 0.00892968 0.01123490 0.01027283 0.03398130 0.01131069 0.01117021 0.01040205 0.00905389 0.00888801 0.01112664 0.00022263 0.00077759 0.01101486 0.01115940
s_4405 0.00354448 0.00344749 0.01098767 0.03456124 0.00328879 0.01102099 0.00726736 0.03453442 0.01350518 0.00019946 0.01017118 0.01080328 0.01095761 0.01115273 0.00337878 0.01164103 0.00356758 0.01155639 0.00337332 0.00359432 0.00352004 0.00412876 0.00357528 0.01098024 0.01151617 0.00356363 0.00361593 0.00341809 0 0.00437471 0.00036674 0.01112501 0.00347387 0.00350984 0.00595344 0.03453499 0.03451030 0.01026323 0.01099606 0.00668164 0.00342383 0.01063286 0.00338745 0.01024032 0.00352643 0.00355650 0.00355710 0.01104865 0.01109113 0.00965231 0.00416508 0.00036758 0.01016405 0.01103950 0.00879929 0.01103664 0.01021229 0.03437035 0.01115685 0.01112802 0.01008205 0.00888146 0.00867850 0.01094357 0.00346384 0.00355027 0.01096827 0.01114407
s_4442 0.00138269 0.00126432 0.01195909 0.03484304 0.00124551 0.01223631 0.00772103 0.03496490 0.01476802 0.00431441 0.01117172 0.01186662 0.01213843 0.01228316 0.00155013 0.01281883 0.00141869 0.01303989 0.00527955 0.00136114 0.00127903 0.00616720 0.00141211 0.01221564 0.01271614 0.00140427 0.00176012 0.00127093 0.00437471 0 0.00437963 0.01220548 0.00129615 0.00130381 0.00410571 0.03508531 0.03507057 0.01131416 0.01207733 0.00613297 0.00131584 0.01178866 0.00125151 0.01123632 0.00140502 0.00130442 0.00178391 0.01207421 0.01196960 0.01166683 0.00159913 0.00442848 0.01118177 0.01217857 0.01000946 0.01224616 0.01131780 0.03483469 0.01247064 0.01210283 0.01140701 0.01008639 0.00991575 0.01218026 0.00128423 0.00166964 0.01204315 0.01214388
s_4404 0.00356392 0.00344814 0.01132801 0.03330535 0.00343909 0.01129384 0.00759664 0.03332954 0.01386688 0.00020738 0.01045763 0.01107062 0.01082947 0.01145001 0.00338590 0.01197333 0.00359745 0.01309600 0.00448134 0.00357675 0.00351996 0.00453376 0.00358799 0.01122501 0.01190188 0.00357530 0.00361391 0.00342124 0.00036674 0.00437963 0 0.01142673 0.00345886 0.00353013 0.00567449 0.03319413 0.03313227 0.01059444 0.01137930 0.00653953 0.00343673 0.01103114 0.00340267 0.01054289 0.00354204 0.00354375 0.00356704 0.01132244 0.01134595 0.00947647 0.00378066 0.00035877 0.01035017 0.01131349 0.00898538 0.01132707 0.01046851 0.03319764 0.01142028 0.01137600 0.01032015 0.00899808 0.00891087 0.01124664 0.00348530 0.00361794 0.01121476 0.01144794
s_4430 0.01138250 0.01125560 0.00129678 0.03714527 0.01106874 0.00153766 0.00984452 0.03716126 0.00326035 0.01114205 0.00166978 0.00151170 0.00254204 0.00188027 0.01095443 0.00206480 0.01126212 0.00161228 0.01142829 0.01135930 0.01127400 0.01213154 0.01138587 0.00143606 0.00232849 0.01143332 0.01105877 0.01118326 0.01112501 0.01220548 0.01142673 0 0.01124829 0.01122550 0.00707218 0.03708912 0.03707371 0.00147224 0.00130805 0.00444668 0.01124089 0.00119280 0.01118516 0.00151685 0.01142184 0.01131774 0.01114577 0.00150430 0.00155696 0.00184378 0.01140360 0.01125262 0.00168508 0.00145662 0.00118127 0.00151626 0.00169887 0.03691102 0.00240036 0.00164031 0.00180899 0.00121392 0.00113020 0.00122572 0.01129289 0.01097783 0.00138457 0.00142475
