s_3676	s_3672	s_3708	s_3701	s_3705	s_3690	s_3721	s_3706	s_3674	s_3707	s_3686	s_3683	s_3702	s_3691	s_3692	s_3728	s_3726	s_3693	s_3732	s_3720	s_3684	s_3735	s_3673	s_3722	s_3679	s_3678	s_3727	s_3719	s_3698	s_3710	s_3680	s_3694	s_3687	s_3700	s_3709	s_3682	s_3681	s_3675	s_3729	s_3677	s_3685	s_3737	s_3703
s_3702 0.10000000 0.00293995 0.00355022 0.00344506 0.00351166 0.00311536 0.00348199 0.00348552 0.00319251 0.00349148 0.00307975 0.00321413 0 0.00306822 0.00311099 0.00359544 0.00358816 0.00321909 0.00356210 0.00075199 0.00322918 0.00354832 0.00313007 0.00357493 0.00321307 0.00320185 0.00349304 0.00361064 0.00336610 0.00347388 0.00320376 0.00306433 0.00314505 0.00342107 0.00350057 0.00317812 0.00324933 0.00322318 0.00336271 0.00323638 0.00320759 0.00360861 0.00101540
s_3691 0.10000000 0.00047137 0.00286853 0.00292348 0.00289470 0.00044144 0.00290506 0.00306793 0.00037214 0.00292139 0.00277490 0.00277420 0.00306822 0 0.00039074 0.00290510 0.00293175 0.00037004 0.00040333 0.00294509 0.00278772 0.00042073 0.00039356 0.00041495 0.00296273 0.00298551 0.00043425 0.00290321 0.00060631 0.00285660 0.00297257 0.00284065 0.00278488 0.00287977 0.00298405 0.00271443 0.00290568 0.00037895 0.00293727 0.00290328 0.00286340 0.00302894 0.00310133
s_3692 0.10000000 0.00044484 0.00294114 0.00301740 0.00297309 0.00041575 0.00300379 0.00307487 0.00034918 0.00300880 0.00282600 0.00282707 0.00311099 0.00039074 0 0.00289706 0.00298903 0.00033264 0.00034049 0.00302161 0.00285627 0.00038058 0.00036709 0.00036203 0.00302806 0.00303197 0.00039244 0.00298732 0.00057867 0.00289338 0.00300448 0.00290775 0.00288945 0.00295687 0.00305671 0.00278372 0.00297746 0.00034478 0.00302192 0.00298939 0.00293836 0.00306727 0.00316471
s_3728 0.10000000 0.00273233 0.00346618 0.00343271 0.00342902 0.00293806 0.00353852 0.00370121 0.00302419 0.00353987 0.00309615 0.00036509 0.00359544 0.00290510 0.00289706 0 0.00347282 0.00300959 0.00342644 0.00357286 0.00033913 0.00341237 0.00293257 0.00340200 0.00331132 0.00331379 0.00338025 0.00330742 0.00319169 0.00087190 0.00329558 0.00315895 0.00313794 0.00315369 0.00351402 0.00038467 0.00313191 0.00304303 0.00352764 0.00313926 0.00320785 0.00355368 0.00359298
s_3726 0.10000000 0.00278305 0.00061331 0.00340402 0.00059706 0.00303417 0.00353238 0.00372475 0.00308996 0.00352233 0.00303143 0.00310626 0.00358816 0.00293175 0.00298903 0.00347282 0 0.00309312 0.00355716 0.00364613 0.00308407 0.00355578 0.00299701 0.00355606 0.00331589 0.00332537 0.00346239 0.00358853 0.00333073 0.00348780 0.00325471 0.00311187 0.00308562 0.00343166 0.00352742 0.00303296 0.00314310 0.00311294 0.00357529 0.00312925 0.00309332 0.00360868 0.00365306
s_3693 0.10000000 0.00039517 0.00304735 0.00310412 0.00307523 0.00036637 0.00309543 0.00318184 0.00027891 0.00312197 0.00291052 0.00291650 0.00321909 0.00037004 0.00033264 0.00300959 0.00309312 0 0.00029986 0.00313839 0.00292200 0.00033959 0.00029694 0.00030972 0.00310450 0.00310395 0.00033788 0.00303915 0.00056135 0.00298075 0.00308815 0.00299858 0.00297943 0.00305583 0.00305905 0.00287414 0.00300858 0.00026398 0.00314706 0.00301049 0.00302864 0.00317697 0.00326712
s_3732 0.10000000 0.00042494 0.00354806 0.00351214 0.00353264 0.00042022 0.00363000 0.00371941 0.00030219 0.00359546 0.00305781 0.00302615 0.00356210 0.00040333 0.00034049 0.00342644 0.00355716 0.00029986 0 0.00364856 0.00301781 0.00053145 0.00032035 0.00051805 0.00326973 0.00327603 0.00054850 0.00348585 0.00071999 0.00342460 0.00321957 0.00304917 0.00313338 0.00335134 0.00346281 0.00298155 0.00312500 0.00027194 0.00351594 0.00309274 0.00310022 0.00362114 0.00361179
s_3720 0.10000000 0.00283859 0.00361901 0.00340189 0.00356107 0.00302169 0.00353614 0.00347172 0.00309969 0.00351054 0.00298205 0.00310515 0.00075199 0.00294509 0.00302161 0.00357286 0.00364613 0.00313839 0.00364856 0 0.00312593 0.00358976 0.00305820 0.00362074 0.00311127 0.00310270 0.00350587 0.00365983 0.00334820 0.00347646 0.00306521 0.00298444 0.00304232 0.00341375 0.00348652 0.00306446 0.00313527 0.00313677 0.00335090 0.00312514 0.00312825 0.00366559 0.00093950
s_3684 0.10000000 0.00264466 0.00304533 0.00306023 0.00305095 0.00285549 0.00306873 0.00320581 0.00279967 0.00305945 0.00293080 0.00027720 0.00322918 0.00278772 0.00285627 0.00033913 0.00308407 0.00292200 0.00301781 0.00312593 0 0.00302839 0.00286333 0.00302664 0.00313296 0.00314836 0.00299823 0.00290522 0.00296332 0.00061780 0.00314544 0.00304406 0.00297412 0.00297253 0.00314572 0.00029745 0.00299497 0.00294411 0.00314753 0.00302169 0.00299475 0.00312215 0.00326451
s_3735 0.10000000 0.00045828 0.00352577 0.00347364 0.00352492 0.00042738 0.00359000 0.00369468 0.00033045 0.00358639 0.00306553 0.00306500 0.00354832 0.00042073 0.00038058 0.00341237 0.00355578 0.00033959 0.00053145 0.00358976 0.00302839 0 0.00034629 0.00053268 0.00327825 0.00328551 0.00055741 0.00348882 0.00075244 0.00339489 0.00321323 0.00306432 0.00312264 0.00332424 0.00347302 0.00301201 0.00314672 0.00032943 0.00345676 0.00311465 0.00319727 0.00363027 0.00360004
s_3673 0.10000000 0.00039204 0.00296833 0.00302892 0.00300532 0.00039270 0.00300011 0.00309157 0.00026828 0.00302107 0.00284250 0.00283729 0.00313007 0.00039356 0.00036709 0.00293257 0.00299701 0.00029694 0.00032035 0.00305820 0.00286333 0.00034629 0 0.00030651 0.00299303 0.00302684 0.00034634 0.00295608 0.00058353 0.00292106 0.00299926 0.00292099 0.00289739 0.00297828 0.00298969 0.00280255 0.00293538 0.00024434 0.00302614 0.00293544 0.00294318 0.00309248 0.00318390
s_3722 0.10000000 0.00044652 0.00353468 0.00350050 0.00354463 0.00042564 0.00362773 0.00372626 0.00030097 0.00359337 0.00306590 0.00302232 0.00357493 0.00041495 0.00036203 0.00340200 0.00355606 0.00030972 0.00051805 0.00362074 0.00302664 0.00053268 0.00030651 0 0.00326877 0.00328613 0.00055184 0.00349024 0.00071743 0.00340401 0.00321137 0.00306746 0.00313960 0.00333387 0.00347239 0.00298210 0.00312295 0.00028388 0.00349140 0.00311353 0.00320430 0.00361524 0.00362480
s_3679 0.10000000 0.00282671 0.00323600 0.00323679 0.00325260 0.00301933 0.00320252 0.00027523 0.00307366 0.00322465 0.00300041 0.00313785 0.00321307 0.00296273 0.00302806 0.00331132 0.00331589 0.00310450 0.00326973 0.00311127 0.00313296 0.00327825 0.00299303 0.00326877 0 0.00023193 0.00323066 0.00323561 0.00316778 0.00324899 0.00022050 0.00289084 0.00306873 0.00324275 0.00325802 0.00307035 0.00310500 0.00309891 0.00307320 0.00312271 0.00314384 0.00333017 0.00323195
s_3678 0.10000000 0.00283919 0.00326175 0.00325160 0.00326442 0.00301931 0.00324396 0.00027057 0.00309512 0.00323510 0.00302134 0.00313711 0.00320185 0.00298551 0.00303197 0.00331379 0.00332537 0.00310395 0.00327603 0.00310270 0.00314836 0.00328551 0.00302684 0.00328613 0.00023193 0 0.00323341 0.00324549 0.00317624 0.00326674 0.00021610 0.00290469 0.00308415 0.00326231 0.00324930 0.00311119 0.00312236 0.00312687 0.00307772 0.00312816 0.00317494 0.00334258 0.00326203
s_3727 0.10000000 0.00044786 0.00344349 0.00341873 0.00347930 0.00046588 0.00348876 0.00361732 0.00032177 0.00352754 0.00303016 0.00298749 0.00349304 0.00043425 0.00039244 0.00338025 0.00346239 0.00033788 0.00054850 0.00350587 0.00299823 0.00055741 0.00034634 0.00055184 0.00323066 0.00323341 0 0.00341360 0.00073948 0.00335291 0.00319043 0.00303571 0.00307826 0.00328880 0.00341917 0.00295579 0.00307499 0.00031801 0.00347004 0.00308726 0.00312974 0.00355620 0.00354126
s_3719 0.10000000 0.00279746 0.00356630 0.00345468 0.00353630 0.00301031 0.00359542 0.00367714 0.00304579 0.00355950 0.00302414 0.00291321 0.00361064 0.00290321 0.00298732 0.00330742 0.00358853 0.00303915 0.00348585 0.00365983 0.00290522 0.00348882 0.00295608 0.00349024 0.00323561 0.00324549 0.00341360 0 0.00326873 0.00331081 0.00319965 0.00301934 0.00311165 0.00067465 0.00348216 0.00288277 0.00309801 0.00304625 0.00352022 0.00307709 0.00316429 0.00359936 0.00364769
s_3698 0.10000000 0.00060868 0.00330852 0.00330023 0.00330145 0.00061983 0.00330859 0.00338238 0.00060282 0.00333347 0.00297671 0.00295679 0.00336610 0.00060631 0.00057867 0.00319169 0.00333073 0.00056135 0.00071999 0.00334820 0.00296332 0.00075244 0.00058353 0.00071743 0.00316778 0.00317624 0.00073948 0.00326873 0 0.00313859 0.00313452 0.00301331 0.00303556 0.00316333 0.00330874 0.00292822 0.00311954 0.00060294 0.00328766 0.00313682 0.00308812 0.00339401 0.00339250
s_3710 0.10000000 0.00269537 0.00342505 0.00336924 0.00339632 0.00288104 0.00348791 0.00363294 0.00298988 0.00347539 0.00304552 0.00064347 0.00347388 0.00285660 0.00289338 0.00087190 0.00348780 0.00298075 0.00342460 0.00347646 0.00061780 0.00339489 0.00292106 0.00340401 0.00324899 0.00326674 0.00335291 0.00331081 0.00313859 0 0.00323941 0.00310034 0.00311108 0.00313960 0.00344293 0.00064083 0.00310683 0.00300714 0.00346132 0.00310253 0.00315883 0.00353560 0.00350848
s_3680 0.10000000 0.00283154 0.00317864 0.00319875 0.00321918 0.00300593 0.00317549 0.00022756 0.00307850 0.00318602 0.00299555 0.00311674 0.00320376 0.00297257 0.00300448 0.00329558 0.00325471 0.00308815 0.00321957 0.00306521 0.00314544 0.00321323 0.00299926 0.00321137 0.00022050 0.00021610 0.00319043 0.00319965 0.00313452 0.00323941 0 0.00282849 0.00306236 0.00321442 0.00321337 0.00308439 0.00309875 0.00309874 0.00303529 0.00311529 0.00312069 0.00328062 0.00322469
s_3694 0.10000000 0.00272825 0.00306664 0.00307792 0.00305789 0.00290199 0.00308379 0.00296924 0.00299521 0.00308286 0.00287446 0.00301778 0.00306433 0.00284065 0.00290775 0.00315895 0.00311187 0.00299858 0.00304917 0.00298444 0.00304406 0.00306432 0.00292099 0.00306746 0.00289084 0.00290469 0.00303571 0.00301934 0.00301331 0.00310034 0.00282849 0 0.00293316 0.00308390 0.00309306 0.00295671 0.00303331 0.00301671 0.00051347 0.00303565 0.00299706 0.00313481 0.00306031
s_3687 0.10000000 0.00272499 0.00306102 0.00099262 0.00303272 0.00286674 0.00095504 0.00318957 0.00295729 0.00098051 0.00041963 0.00296552 0.00314505 0.00278488 0.00288945 0.00313794 0.00308562 0.00297943 0.00313338 0.00304232 0.00297412 0.00312264 0.00289739 0.00313960 0.00306873 0.00308415 0.00307826 0.00311165 0.00303556 0.00311108 0.00306236 0.00293316 0 0.00308678 0.00313472 0.00291120 0.00299164 0.00295725 0.00312122 0.00297636 0.00035964 0.00323184 0.00314812
s_3700 0.10000000 0.00279334 0.00343082 0.00335142 0.00338973 0.00298719 0.00336557 0.00343336 0.00305765 0.00339861 0.00302486 0.00292530 0.00342107 0.00287977 0.00295687 0.00315369 0.00343166 0.00305583 0.00335134 0.00341375 0.00297253 0.00332424 0.00297828 0.00333387 0.00324275 0.00326231 0.00328880 0.00067465 0.00316333 0.00313960 0.00321442 0.00308390 0.00308678 0 0.00335820 0.00290591 0.00309191 0.00311083 0.00339953 0.00312669 0.00315102 0.00342503 0.00351801
s_3709 0.10000000 0.00284074 0.00348645 0.00339630 0.00345079 0.00305517 0.00348780 0.00363324 0.00311056 0.00350992 0.00304416 0.00314868 0.00350057 0.00298405 0.00305671 0.00351402 0.00352742 0.00305905 0.00346281 0.00348652 0.00314572 0.00347302 0.00298969 0.00347239 0.00325802 0.00324930 0.00341917 0.00348216 0.00330874 0.00344293 0.00321337 0.00309306 0.00313472 0.00335820 0 0.00308459 0.00068315 0.00306742 0.00347734 0.00067852 0.00319916 0.00355307 0.00348794
s_3682 0.10000000 0.00262789 0.00297096 0.00301021 0.00297656 0.00279068 0.00304094 0.00314850 0.00286801 0.00301365 0.00288299 0.00031674 0.00317812 0.00271443 0.00278372 0.00038467 0.00303296 0.00287414 0.00298155 0.00306446 0.00029745 0.00301201 0.00280255 0.00298210 0.00307035 0.00311119 0.00295579 0.00288277 0.00292822 0.00064083 0.00308439 0.00295671 0.00291120 0.00290591 0.00308459 0 0.00297723 0.00288725 0.00306438 0.00297003 0.00296985 0.00305269 0.00319553
s_3681 0.10000000 0.00279712 0.00311815 0.00308523 0.00311156 0.00296647 0.00299355 0.00317717 0.00301419 0.00308467 0.00291697 0.00301997 0.00324933 0.00290568 0.00297746 0.00313191 0.00314310 0.00300858 0.00312500 0.00313527 0.00299497 0.00314672 0.00293538 0.00312295 0.00310500 0.00312236 0.00307499 0.00309801 0.00311954 0.00310683 0.00309875 0.00303331 0.00299164 0.00309191 0.00068315 0.00297723 0 0.00302376 0.00319451 0.00026005 0.00306371 0.00313642 0.00326886
s_3675 0.10000000 0.00038822 0.00307197 0.00311513 0.00310304 0.00037557 0.00309867 0.00316683 0.00019336 0.00309065 0.00292508 0.00292286 0.00322318 0.00037895 0.00034478 0.00304303 0.00311294 0.00026398 0.00027194 0.00313677 0.00294411 0.00032943 0.00024434 0.00028388 0.00309891 0.00312687 0.00031801 0.00304625 0.00060294 0.00300714 0.00309874 0.00301671 0.00295725 0.00311083 0.00306742 0.00288725 0.00302376 0 0.00312918 0.00303249 0.00301951 0.00316377 0.00327389
s_3729 0.10000000 0.00283769 0.00350604 0.00346420 0.00348930 0.00302300 0.00353785 0.00341154 0.00313414 0.00352786 0.00300033 0.00314957 0.00336271 0.00293727 0.00302192 0.00352764 0.00357529 0.00314706 0.00351594 0.00335090 0.00314753 0.00345676 0.00302614 0.00349140 0.00307320 0.00307772 0.00347004 0.00352022 0.00328766 0.00346132 0.00303529 0.00051347 0.00312122 0.00339953 0.00347734 0.00306438 0.00319451 0.00312918 0 0.00319296 0.00318910 0.00359616 0.00337788
s_3677 0.10000000 0.00281023 0.00311166 0.00306902 0.00311305 0.00295576 0.00306208 0.00318145 0.00301956 0.00308010 0.00294005 0.00302339 0.00323638 0.00290328 0.00298939 0.00313926 0.00312925 0.00301049 0.00309274 0.00312514 0.00302169 0.00311465 0.00293544 0.00311353 0.00312271 0.00312816 0.00308726 0.00307709 0.00313682 0.00310253 0.00311529 0.00303565 0.00297636 0.00312669 0.00067852 0.00297003 0.00026005 0.00303249 0.00319296 0 0.00303871 0.00310425 0.00326774
s_3685 0.10000000 0.00273740 0.00305129 0.00095647 0.00301195 0.00292313 0.00092908 0.00325063 0.00300619 0.00095113 0.00037836 0.00303676 0.00320759 0.00286340 0.00293836 0.00320785 0.00309332 0.00302864 0.00310022 0.00312825 0.00299475 0.00319727 0.00294318 0.00320430 0.00314384 0.00317494 0.00312974 0.00316429 0.00308812 0.00315883 0.00312069 0.00299706 0.00035964 0.00315102 0.00319916 0.00296985 0.00306371 0.00301951 0.00318910 0.00303871 0 0.00328051 0.00320368
s_3737 0.10000000 0.00287373 0.00360711 0.00356008 0.00357513 0.00308289 0.00372834 0.00379218 0.00317158 0.00368423 0.00313505 0.00310271 0.00360861 0.00302894 0.00306727 0.00355368 0.00360868 0.00317697 0.00362114 0.00366559 0.00312215 0.00363027 0.00309248 0.00361524 0.00333017 0.00334258 0.00355620 0.00359936 0.00339401 0.00353560 0.00328062 0.00313481 0.00323184 0.00342503 0.00355307 0.00305269 0.00313642 0.00316377 0.00359616 0.00310425 0.00328051 0 0.00361876
s_3703 0.10000000 0.00296681 0.00363598 0.00350544 0.00358523 0.00312903 0.00349864 0.00351478 0.00320986 0.00350726 0.00308725 0.00323517 0.00101540 0.00310133 0.00316471 0.00359298 0.00365306 0.00326712 0.00361179 0.00093950 0.00326451 0.00360004 0.00318390 0.00362480 0.00323195 0.00326203 0.00354126 0.00364769 0.00339250 0.00350848 0.00322469 0.00306031 0.00314812 0.00351801 0.00348794 0.00319553 0.00326886 0.00327389 0.00337788 0.00326774 0.00320368 0.00361876 0
