phage	is_Circular	is_Novel	AR	VF
N125_BC01_tig00000001	False	True	NA	NA
N157_BC03_tig00000057	False	True	NA	NA
N168_BC07_tig00000049	False	True	NA	NA
N168_BC07_tig00000042	False	True	NA	NA
N168_BC07_tig00000339	False	False	NA	NA
N168_BC07_tig00012204	True	True	NA	NA
N168_BC07_tig00012215	False	True	NA	NA
N200_BC02_tig00000280	False	True	NA	NA
N237_BC07_tig00000211	True	True	NA	NA
N237_BC07_tig00000237	True	True	NA	NA
N237_BC07_tig00006089	False	True	NA	NA
N213_BC03_tig00004860	False	False	NA	NA
N156_BC11_tig00000052	True	False	NA	NA
N156_BC11_tig00000061	False	True	NA	NA
N156_BC11_tig00000090	False	True	NA	NA
N169_BC06_tig00000071	False	True	NA	NA
N164_BC11_tig00000003	False	True	NA	NA
N239_BC09_tig00000150	False	True	NA	NA
N158_BC01_tig00000016	False	True	NA	NA
N210_BC08_tig00000333	False	True	NA	NA
N210_BC08_tig00000316	True	True	NA	NA
N227_BC06_tig00000121	False	False	NA	NA
N227_BC06_tig00000681	False	True	NA	NA
N204_BC03_tig00000228	False	False	NA	NA
N204_BC03_tig00000233	True	True	NA	NA
N204_BC03_tig00000403	False	True	NA	NA
N204_BC03_tig00000445	False	True	NA	NA
N221_BC11_tig00000038	False	False	NA	VFDB|VFG001328, VFDB|VFG002422, VFDB|VFG002423, VFDB|VFG001799
N221_BC11_tig00000064	False	True	NA	NA
N221_BC11_tig00000068	True	True	NA	NA
N203_BC02_tig00000094	False	True	NA	NA
N231_BC11_tig00000067	False	False	NA	NA
N172_BC04_tig00000137	False	True	NA	NA
N228_BC10_tig00000535	False	True	NA	NA
N228_BC10_tig00011193	False	False	NA	NA
N228_BC10_tig00011194	False	False	NA	NA
N229_BC05_tig00000077	False	True	NA	NA
N229_BC05_tig00000141	False	True	NA	NA
N229_BC05_tig00000158	False	True	NA	NA
N229_BC05_tig00000177	False	True	NA	NA
N219_BC06_tig00000053	False	True	NA	NA
N110_BC07_tig00000062	False	True	NA	NA
N110_BC07_tig00000128	False	True	NA	NA
N216_BC04_tig00000261	True	True	NA	NA
N216_BC04_tig00000263	True	True	NA	NA
N216_BC04_tig00006209	False	True	NA	NA
N219_BC03_tig00000038	False	True	NA	PATRIC_VF|S2726, PATRIC_VF|S2725
N184_BC04_tig00000085	False	False	NA	NA
N184_BC04_tig00000115	False	False	NA	NA
N143_BC01_tig00000331	False	False	NA	NA
N224_BC04_tig00002236	False	False	NA	NA
N224_BC04_tig00002237	False	False	NA	NA
N224_BC04_tig00000089	True	True	NA	NA
N224_BC04_tig00000095	False	True	NA	NA
N224_BC04_tig00000103	False	True	NA	NA
N240_BC06_tig00000041	True	False	NA	NA
N229_BC06_tig00000606	False	True	NA	NA
N139_BC04_tig00000004	False	True	NA	NA
N139_BC04_tig00000042	False	True	NA	NA
N184_BC07_tig00000195	False	True	['LsaA_MLS']	NA
N184_BC07_tig00000326	False	False	NA	NA
N197_BC07_tig00000071	False	True	NA	NA
N197_BC07_tig00000219	False	True	NA	NA
N197_BC07_tig00000445	False	True	NA	NA
N192_BC03_tig00000089	True	True	NA	NA
N199_BC08_tig00000169	False	False	NA	NA
N198_BC01_tig00000595	False	True	NA	NA
N186_BC06_tig00000252	True	False	NA	NA
N186_BC06_tig00000477	False	True	NA	NA
N153_BC10_tig00000106	False	True	NA	NA
N153_BC10_tig00000136	False	True	NA	NA
N153_BC10_tig00000150	False	True	NA	NA
N153_BC10_tig00000173	False	True	NA	NA
N153_BC10_tig00000744	False	False	NA	NA
N196_BC04_tig00000644	False	False	NA	NA
N196_BC04_tig00000192	False	True	NA	NA
N196_BC04_tig00000307	True	True	NA	NA
N196_BC04_tig00000343	False	True	NA	NA
N196_BC04_tig00000377	True	True	NA	NA
N196_BC04_tig00000522	False	True	NA	NA
N136_BC11_tig00000002	False	True	NA	NA
N194_BC06_tig00000407	False	True	NA	NA
N105_BC12_tig00000016	False	True	['Aph3-III_AGly']	NA
N105_BC12_tig00000018	False	False	NA	NA
N105_BC12_tig00000032	False	False	NA	NA
N224_BC08_tig00000051	False	True	NA	NA
N167_BC05_tig00000098	True	True	NA	NA
N167_BC05_tig00000252	False	True	NA	NA
N227_BC09_tig00000141	False	True	NA	NA
N173_BC09_tig00000120	False	True	NA	NA
N153_BC11_tig00000075	False	False	NA	NA
N134_BC03_tig00000047	False	False	NA	NA
N118_BC06_tig00000179	False	True	NA	NA
N155_BC05_tig00004437	False	True	NA	NA
N155_BC05_tig00004436	False	True	NA	NA
N202_BC04_tig00000115	True	True	NA	NA
N202_BC04_tig00000140	False	True	NA	NA
N202_BC04_tig00000176	False	True	NA	NA
N207_BC01_tig00000071	True	True	NA	NA
N207_BC01_tig00006467	False	True	NA	NA
N228_BC02_tig00000128	True	True	NA	NA
N215_BC10_tig00000137	False	False	NA	VFDB|VFG000077
N215_BC10_tig00000142	False	False	NA	NA
N215_BC10_tig00000310	False	True	NA	NA
N215_BC10_tig00000335	False	False	NA	NA
N105_BC01_tig00000031	False	True	NA	NA
N197_BC10_tig00000316	False	False	NA	NA
N133_BC05_tig00000015	False	False	NA	NA
N139_BC08_tig00000078	False	True	NA	NA
N195_BC06_tig00000766	False	True	NA	NA
N154_BC02_tig00000134	False	True	NA	NA
N233_BC07_tig00000270	False	True	NA	NA
N233_BC07_tig00000337	False	True	NA	NA
N124_BC07_tig00000008	False	True	NA	NA
N204_BC04_tig00004796	False	False	NA	NA
N204_BC04_tig00004797	False	False	NA	NA
N204_BC04_tig00000184	True	True	NA	NA
N204_BC04_tig00000331	False	True	NA	NA
N204_BC04_tig00000357	False	True	NA	NA
N204_BC04_tig00000865	True	True	NA	NA
N204_BC04_tig00000866	False	True	NA	NA
N204_BC04_tig00004795	False	False	NA	NA
N204_BC04_tig00004801	False	True	NA	NA
N123_BC05_tig00000009	False	True	NA	NA
N123_BC05_tig00000027	False	True	NA	NA
N123_BC05_tig00000032	False	True	NA	NA
N123_BC05_tig00000104	False	True	NA	NA
N105_BC05_tig00000066	False	False	NA	NA
N212_BC03_tig00000029	False	True	NA	NA
N212_BC03_tig00000228	True	True	NA	NA
N212_BC03_tig00004264	True	True	NA	NA
N112_BC03_tig00000008	False	True	NA	NA
N112_BC03_tig00000050	False	False	NA	NA
N126_BC07_tig00000005	True	False	NA	NA
N186_BC07_tig00000492	False	True	NA	NA
N186_BC07_tig00000953	True	False	NA	NA
N186_BC07_tig00000067	False	True	NA	NA
N186_BC07_tig00000418	True	True	NA	NA
N186_BC07_tig00000952	False	False	NA	NA
N186_BC07_tig00008088	True	True	NA	NA
N163_BC04_tig00000099	False	False	NA	NA
N163_BC04_tig00000162	False	False	NA	VFDB|VFG002423
N163_BC04_tig00000230	False	False	NA	NA
N163_BC04_tig00000235	False	True	NA	NA
N233_BC09_tig00000148	False	True	NA	NA
N233_BC09_tig00000202	False	True	NA	NA
N233_BC09_tig00000240	False	True	NA	NA
N233_BC09_tig00000305	False	True	NA	NA
N169_BC12_tig00000075	False	True	NA	NA
N115_BC11_tig00000016	False	True	NA	NA
N236_BC12_tig00000090	True	True	NA	NA
N170_BC02_tig00000008	False	True	NA	NA
N237_BC10_tig00000078	False	True	NA	NA
N237_BC10_tig00000101	False	False	NA	NA
N237_BC10_tig00000111	False	True	NA	NA
N237_BC10_tig00000198	False	True	NA	NA
N237_BC10_tig00000513	False	True	NA	NA
N238_BC11_tig00003736	False	False	NA	NA
N238_BC11_tig00000108	True	True	NA	NA
N238_BC11_tig00003737	False	False	NA	NA
N230_BC08_tig00000112	True	True	NA	NA
N230_BC08_tig00000525	False	True	NA	NA
N230_BC08_tig00000583	False	True	NA	NA
N230_BC08_tig00000662	False	True	NA	NA
N230_BC08_tig00000745	False	True	NA	NA
N230_BC08_tig00000868	False	True	NA	NA
N230_BC08_tig00001111	False	True	NA	NA
N173_BC06_tig00000705	False	True	NA	NA
N173_BC06_tig00000117	True	True	NA	NA
N173_BC06_tig00000121	False	False	NA	VFDB|VFG001799, VFDB|VFG002423, VFDB|VFG002422, VFDB|VFG001328
N173_BC06_tig00000138	True	True	NA	NA
N173_BC06_tig00000160	False	True	NA	NA
N173_BC06_tig00000436	False	False	NA	NA
N173_BC06_tig00000457	False	True	NA	NA
N173_BC06_tig00000468	False	True	NA	NA
N173_BC06_tig00001286	True	True	NA	NA
N232_BC04_tig00000204	True	True	NA	NA
N140_BC05_tig00000021	True	True	NA	NA
N169_BC08_tig00000099	False	True	NA	NA
N230_BC04_tig00000530	False	True	NA	NA
N230_BC04_tig00000607	False	True	NA	NA
N136_BC10_tig00000056	False	True	NA	NA
N119_BC02_tig00000030	False	True	NA	NA
N119_BC02_tig00000047	False	True	NA	NA
N119_BC02_tig00000059	False	True	NA	NA
N119_BC02_tig00000257	False	True	NA	NA
N192_BC12_tig00002946	False	True	NA	NA
N192_BC12_tig00002947	False	True	NA	NA
N132_BC03_tig00000037	False	False	NA	NA
N132_BC03_tig00000042	False	True	NA	NA
N132_BC03_tig00000047	False	True	NA	NA
N132_BC03_tig00000094	False	False	NA	NA
N168_BC05_tig00000710	False	True	NA	NA
N168_BC05_tig00000072	False	True	NA	NA
N168_BC05_tig00000179	False	False	NA	NA
N168_BC05_tig00000189	False	True	NA	NA
N168_BC05_tig00000242	False	False	NA	NA
N168_BC05_tig00000351	False	True	NA	NA
N168_BC05_tig00000696	False	True	NA	NA
N168_BC05_tig00000708	False	True	NA	NA
N168_BC05_tig00000716	False	True	NA	NA
N168_BC05_tig00007448	False	True	NA	NA
N116_BC06_tig00000005	True	False	NA	NA
N158_BC02_tig00000185	False	True	NA	NA
N158_BC02_tig00000192	False	True	NA	NA
N195_BC05_tig00000086	False	True	NA	NA
N195_BC05_tig00000103	False	True	NA	NA
N098_BC07_tig00000013	False	False	NA	NA
N098_BC07_tig00000038	False	False	NA	NA
N213_BC10_tig00000381	False	True	NA	NA
N213_BC10_tig00000435	False	True	NA	NA
N181_BC03_tig00000140	False	True	NA	NA
N211_BC03_tig00000273	False	True	NA	NA
N211_BC03_tig00000275	False	True	NA	NA
N171_BC05_tig00000092	False	True	NA	NA
N171_BC05_tig00000016	False	True	NA	NA
N171_BC05_tig00000174	False	False	NA	NA
N171_BC05_tig00000226	True	True	NA	NA
N171_BC05_tig00004562	True	True	NA	NA
N182_BC12_tig00000129	True	False	NA	NA
N214_BC01_tig00000259	False	False	NA	NA
N178_BC05_tig00000091	False	True	NA	NA
N178_BC05_tig00000292	True	True	NA	NA
N178_BC05_tig00000338	True	True	NA	NA
N178_BC05_tig00000375	False	True	NA	NA
N178_BC05_tig00000875	False	True	NA	NA
N208_BC03_tig00000263	False	False	NA	NA
N177_BC10_tig00000101	False	True	NA	NA
N159_BC12_tig00000012	False	False	NA	NA
N134_BC06_tig00000015	False	True	NA	NA
N134_BC06_tig00000016	False	True	NA	NA
N134_BC06_tig00000036	False	True	NA	NA
N173_BC11_tig00000002	False	True	NA	NA
N129_BC02_tig00000000	False	True	NA	NA
N207_BC03_tig00000870	False	True	NA	NA
N207_BC03_tig00000720	True	True	NA	NA
N200_BC12_tig00000193	False	True	NA	NA
N234_BC09_tig00000148	False	True	NA	NA
N234_BC09_tig00008658	False	True	NA	NA
N234_BC09_tig00008659	False	True	NA	NA
N195_BC10_tig00000382	False	True	NA	NA
N202_BC11_tig00000163	False	True	NA	NA
N215_BC12_tig00000177	False	True	NA	NA
N215_BC12_tig00011899	False	False	NA	NA
N226_BC01_tig00000818	False	False	NA	NA
N226_BC01_tig00000824	False	True	NA	NA
N198_BC02_tig00021223	False	False	NA	NA
N168_BC01_tig00000149	False	True	NA	NA
N168_BC01_tig00000040	False	True	NA	NA
N168_BC01_tig00000104	False	True	NA	NA
N235_BC05_tig00000071	False	True	NA	NA
N235_BC05_tig00000098	False	True	NA	NA
N235_BC05_tig00000546	True	True	NA	NA
N200_BC04_tig00000040	True	False	NA	NA
N203_BC05_tig00000193	False	False	NA	NA
N203_BC05_tig00008927	True	False	NA	NA
N203_BC05_tig00008928	False	False	NA	NA
N120_BC04_tig00000020	False	True	NA	NA
N182_BC02_tig00004856	False	True	NA	NA
N225_BC11_tig00000943	False	True	NA	NA
N225_BC11_tig00000824	False	True	NA	NA
N104_BC11_tig00000032	False	False	NA	NA
N104_BC11_tig00000011	False	False	NA	NA
N104_BC11_tig00000125	False	False	NA	VFDB|VFG001328, VFDB|VFG002422, VFDB|VFG002423
N179_BC05_tig00000196	False	False	NA	NA
N179_BC05_tig00000235	False	False	NA	NA
N179_BC05_tig00000237	False	True	NA	NA
N209_BC03_tig00000145	False	True	NA	NA
N209_BC03_tig00000265	False	True	NA	NA
N209_BC03_tig00000296	False	True	NA	NA
N209_BC03_tig00000415	False	True	NA	NA
N209_BC03_tig00001013	False	True	NA	NA
N209_BC03_tig00001023	False	True	NA	NA
N116_BC04_tig00000003	True	False	NA	NA
N194_BC12_tig00000082	True	True	NA	NA
N194_BC12_tig00000108	False	True	NA	NA
N194_BC12_tig00000217	False	True	NA	NA
N194_BC12_tig00000239	False	False	NA	NA
N194_BC12_tig00000240	False	True	NA	NA
N194_BC12_tig00000435	False	True	NA	NA
N228_BC09_tig00000630	False	True	NA	NA
N144_BC08_tig00000153	False	False	NA	NA
N144_BC08_tig00000425	False	True	NA	NA
N229_BC10_tig00004983	True	True	NA	NA
N229_BC10_tig00004984	False	True	NA	NA
N138_BC09_tig00000001	False	False	NA	NA
N138_BC09_tig00000012	False	False	NA	NA
N138_BC09_tig00000042	False	False	NA	NA
N232_BC08_tig00000216	False	True	NA	NA
N232_BC08_tig00000221	False	True	NA	NA
N237_BC02_tig00001508	False	True	NA	NA
N237_BC02_tig00006924	True	True	NA	NA
N185_BC10_tig00000002	False	False	NA	NA
N202_BC10_tig00006020	False	True	NA	NA
N202_BC10_tig00006021	False	True	NA	NA
N235_BC03_tig00000505	False	True	NA	NA
N235_BC03_tig00012439	False	True	NA	NA
N235_BC03_tig00012443	False	True	NA	NA
N122_BC05_tig00000005	True	True	NA	NA
N122_BC05_tig00000014	True	True	NA	NA
N122_BC05_tig00000024	False	True	NA	NA
N122_BC05_tig00000045	False	True	NA	NA
N122_BC05_tig00000439	False	True	NA	NA
N122_BC05_tig00000442	False	True	NA	NA
N211_BC01_tig00000386	False	True	NA	NA
N130_BC04_tig00000021	False	False	NA	NA
N130_BC04_tig00000044	False	False	NA	VFDB|VFG001328, VFDB|VFG002422, VFDB|VFG002423, VFDB|VFG001799
N228_BC05_tig00000117	True	True	NA	NA
N223_BC02_tig00000164	True	True	NA	NA
N223_BC02_tig00000242	False	True	NA	NA
N196_BC03_tig00000464	False	True	NA	NA
N196_BC03_tig00007537	False	True	NA	NA
N227_BC10_tig00000004	False	False	NA	NA
N227_BC10_tig00000125	True	True	NA	NA
N201_BC07_tig00000377	False	True	NA	NA
N189_BC11_tig00000464	False	False	NA	NA
N189_BC11_tig00000445	False	True	NA	NA
N189_BC11_tig00000459	False	True	NA	NA
N189_BC11_tig00004967	False	True	NA	NA
N154_BC08_tig00000016	False	False	NA	NA
N154_BC08_tig00000094	False	False	NA	NA
N154_BC08_tig00000111	False	False	NA	NA
N154_BC08_tig00000171	False	False	NA	NA
N154_BC08_tig00008048	False	False	NA	NA
N171_BC07_tig00000042	True	True	NA	NA
N171_BC07_tig00000195	False	True	NA	NA
N188_BC12_tig00000158	False	False	NA	NA
N188_BC12_tig00000252	False	True	NA	NA
N188_BC12_tig00000287	False	True	NA	NA
N153_BC03_tig00000180	True	True	NA	NA
N153_BC03_tig00000236	False	True	NA	NA
N153_BC03_tig00000309	False	True	NA	NA
N153_BC03_tig00000367	False	False	NA	NA
N153_BC03_tig00017473	False	False	NA	NA
N170_BC06_tig00001851	False	True	NA	NA
N165_BC07_tig00000486	False	False	NA	NA
N165_BC07_tig00005464	True	True	NA	NA
N211_BC10_tig00000106	False	False	NA	NA
N120_BC12_tig00000030	True	True	NA	NA
N120_BC12_tig00000090	False	True	NA	NA
N120_BC12_tig00000091	False	True	NA	NA
N165_BC09_tig00000217	False	False	NA	NA
N165_BC09_tig00000224	False	True	NA	NA
N165_BC09_tig00000265	False	True	NA	NA
N104_BC03_tig00000009	False	False	NA	NA
N238_BC12_tig00001085	False	True	NA	NA
N238_BC12_tig00000016	False	True	NA	NA
N238_BC12_tig00000324	False	True	NA	NA
N238_BC12_tig00000758	False	False	NA	NA
N238_BC12_tig00008934	False	True	NA	NA
N107_BC08_tig00000020	False	False	NA	NA
N107_BC08_tig00000043	False	False	NA	VFDB|VFG002423, VFDB|VFG001799
N107_BC08_tig00000084	False	True	NA	NA
N107_BC08_tig00000100	False	False	NA	NA
N107_BC08_tig00000186	False	True	NA	NA
N198_BC10_tig00000165	False	True	NA	NA
N106_BC03_tig00000003	True	False	NA	NA
N166_BC05_tig00000313	False	False	NA	NA
N215_BC06_tig00000217	True	False	NA	NA
N215_BC06_tig00000238	True	True	NA	NA
N234_BC05_tig00000179	True	True	NA	NA
N123_BC06_tig00000006	False	True	NA	NA
N137_BC06_tig00000007	False	False	NA	NA
N193_BC12_tig00000080	False	False	NA	NA
N193_BC12_tig00004330	False	False	NA	NA
N183_BC10_tig00000324	False	False	NA	NA
N183_BC10_tig00000446	True	False	NA	NA
N183_BC10_tig00000511	False	False	NA	NA
N107_BC04_tig00000128	False	False	NA	NA
N145_BC01_tig00000285	False	True	NA	NA
N145_BC01_tig00000304	False	False	NA	NA
N145_BC01_tig00000399	False	False	NA	VFDB|VFG043520
N145_BC01_tig00000419	False	True	NA	NA
N145_BC01_tig00000457	False	False	NA	NA
N204_BC01_tig00000002	True	True	NA	NA
N100_BC04_tig00000003	False	True	NA	NA
N100_BC04_tig00000004	False	True	NA	NA
N175_BC11_tig00000059	False	False	NA	NA
N175_BC11_tig00000125	False	False	NA	NA
N233_BC03_tig00000189	False	True	NA	NA
N233_BC03_tig00000427	False	True	NA	NA
N233_BC03_tig00000448	False	True	NA	NA
N233_BC03_tig00001008	False	True	NA	NA
N233_BC03_tig00005463	True	False	NA	NA
N194_BC01_tig00000452	False	True	NA	NA
N176_BC12_tig00000101	False	False	NA	NA
N176_BC12_tig00000144	False	False	NA	NA
N176_BC12_tig00000166	False	True	NA	NA
N176_BC12_tig00000189	False	True	NA	NA
N176_BC12_tig00000259	False	True	NA	NA
N176_BC12_tig00000260	False	True	NA	NA
N192_BC06_tig00000279	False	True	NA	NA
N214_BC10_tig00000147	False	True	NA	NA
N214_BC10_tig00000197	False	True	NA	NA
N214_BC10_tig00007253	False	False	NA	NA
N221_BC08_tig00000293	True	True	NA	NA
N221_BC08_tig00000323	True	True	NA	NA
N221_BC08_tig00000724	False	False	NA	NA
N221_BC08_tig00000726	False	False	NA	NA
N221_BC08_tig00004952	False	False	NA	NA
N212_BC02_tig00000230	True	True	NA	NA
N213_BC11_tig00000100	False	True	NA	NA
N150_BC11_tig00000284	False	True	NA	NA
N200_BC08_tig00000245	False	False	NA	NA
N154_BC05_tig00000014	False	True	NA	NA
N131_BC02_tig00000010	False	True	NA	NA
N122_BC08_tig00000040	True	True	NA	NA
N208_BC02_tig00000580	False	True	NA	NA
N222_BC10_tig00000285	False	False	NA	NA
N222_BC10_tig00000107	True	True	NA	NA
N222_BC10_tig00000177	False	True	NA	NA
N222_BC10_tig00000246	False	True	NA	NA
N110_BC01_tig00000014	False	True	NA	NA
N110_BC01_tig00000042	False	True	NA	NA
N116_BC12_tig00000016	False	True	NA	NA
N116_BC12_tig00000017	False	True	NA	NA
N116_BC12_tig00000019	True	True	NA	NA
N150_BC03_tig00000051	False	False	NA	NA
N150_BC03_tig00000008	True	True	NA	NA
N150_BC03_tig00000041	False	False	NA	NA
N111_BC12_tig00000040	False	True	NA	NA
N151_BC02_tig00000629	False	True	NA	NA
N151_BC02_tig00000255	False	True	NA	NA
N151_BC02_tig00006495	True	True	NA	NA
N219_BC01_tig00000098	False	True	NA	NA
N219_BC01_tig00000114	False	True	NA	NA
N219_BC01_tig00000123	True	True	NA	NA
N219_BC01_tig00000178	False	True	NA	NA
N219_BC01_tig00000192	True	True	NA	NA
N219_BC01_tig00000285	False	False	NA	NA
N219_BC01_tig00000687	False	True	NA	NA
N219_BC01_tig00000688	False	True	NA	NA
N219_BC01_tig00013234	False	True	NA	NA
N215_BC11_tig00002433	False	True	NA	NA
N215_BC11_tig00002434	False	True	NA	NA
N133_BC11_tig00000028	False	False	NA	NA
N226_BC09_tig00000201	False	True	NA	NA
N226_BC09_tig00000329	False	False	NA	NA
N226_BC09_tig00000404	False	True	NA	NA
N226_BC09_tig00002185	False	True	NA	NA
N226_BC09_tig00020043	False	True	NA	NA
N233_BC05_tig00000623	False	True	NA	NA
N233_BC05_tig00000915	False	True	NA	NA
N207_BC09_tig00000484	False	True	NA	NA
N207_BC09_tig00000451	False	True	NA	NA
N194_BC02_tig00000136	True	True	NA	NA
N194_BC02_tig00000210	True	True	NA	NA
N194_BC02_tig00002315	False	True	NA	NA
N129_BC07_tig00000001	True	False	NA	NA
N129_BC07_tig00000034	False	True	NA	NA
N140_BC07_tig00005600	False	True	NA	NA
N232_BC07_tig00000273	False	True	NA	NA
N232_BC07_tig00000317	False	True	NA	NA
N232_BC07_tig00000964	False	True	NA	NA
N125_BC12_tig00000009	False	True	NA	NA
N198_BC06_tig00008632	False	True	NA	NA
N198_BC06_tig00008633	False	True	NA	NA
N149_BC10_tig00000163	False	True	NA	NA
N149_BC10_tig00000245	False	True	NA	NA
N149_BC10_tig00000339	False	False	NA	NA
N176_BC06_tig00000109	False	True	NA	NA
N209_BC06_tig00005755	False	True	NA	NA
N209_BC06_tig00005772	False	True	NA	NA
N230_BC02_tig00000345	False	True	NA	NA
N157_BC09_tig00000143	False	False	NA	NA
N202_BC05_tig00000179	False	True	NA	NA
N202_BC05_tig00005959	True	True	NA	NA
N234_BC04_tig00000002	False	True	NA	NA
N191_BC05_tig00003155	False	True	NA	NA
N191_BC05_tig00003156	False	True	NA	NA
N226_BC07_tig00001081	False	False	NA	NA
N226_BC07_tig00006999	False	False	NA	NA
N226_BC07_tig00007000	False	False	NA	NA
N147_BC04_tig00000055	False	True	NA	NA
N147_BC04_tig00000005	False	True	NA	NA
N147_BC04_tig00000036	False	True	NA	NA
N147_BC04_tig00000057	False	True	NA	NA
N182_BC09_tig00000207	True	True	NA	NA
N182_BC09_tig00000327	False	True	NA	NA
N103_BC07_tig00000007	True	True	NA	NA
N106_BC04_tig00000006	False	False	NA	NA
N106_BC04_tig00000016	True	True	NA	NA
N135_BC10_tig00000024	False	False	NA	NA
N240_BC07_tig00000376	False	True	NA	NA
N240_BC07_tig00000202	False	True	NA	NA
N240_BC07_tig00000476	False	True	NA	NA
N240_BC07_tig00000504	False	True	NA	NA
N240_BC07_tig00001795	False	True	NA	NA
N240_BC07_tig00001801	False	True	NA	NA
N134_BC09_tig00000037	False	False	NA	NA
N136_BC02_tig00000018	True	True	NA	NA
N136_BC02_tig00000030	False	True	NA	NA
N104_BC12_tig00000026	False	False	NA	NA
N225_BC12_tig00000203	False	True	NA	NA
N153_BC12_tig00000026	False	False	NA	NA
N231_BC08_tig00000456	False	False	NA	NA
N231_BC08_tig00000503	False	False	NA	NA
N147_BC06_tig00000036	False	False	NA	NA
N140_BC08_tig00000013	False	True	NA	NA
N232_BC10_tig00000195	False	True	NA	NA
N152_BC06_tig00000005	False	True	NA	NA
N152_BC06_tig00000017	False	False	NA	NA
N152_BC06_tig00003219	False	True	NA	NA
N152_BC06_tig00003220	False	True	NA	NA
N184_BC12_tig00000011	False	False	NA	NA
N184_BC12_tig00004705	False	False	NA	NA
N170_BC05_tig00000074	False	True	NA	NA
N170_BC05_tig00000085	False	True	NA	NA
N161_BC03_tig00004527	False	True	NA	NA
N161_BC03_tig00004531	False	True	NA	NA
N142_BC06_tig00000025	False	True	NA	NA
N115_BC05_tig00000003	True	True	NA	NA
N115_BC05_tig00000007	False	False	NA	NA
N113_BC01_tig00000107	False	True	NA	NA
N153_BC08_tig00000079	False	True	NA	NA
N153_BC08_tig00000444	False	True	NA	NA
N192_BC10_tig00000153	False	True	NA	NA
N192_BC10_tig00000180	False	True	NA	NA
N192_BC10_tig00004050	False	True	NA	NA
N200_BC10_tig00000055	False	False	NA	NA
N124_BC12_tig00000065	False	True	NA	NA
N223_BC07_tig00000085	False	False	NA	NA
N223_BC07_tig00000217	False	False	NA	NA
N154_BC03_tig00000025	False	False	NA	NA
N191_BC03_tig00002773	False	False	NA	NA
N206_BC05_tig00000610	False	True	NA	NA
N215_BC07_tig00003275	False	True	NA	NA
N215_BC07_tig00000196	True	True	NA	NA
N215_BC07_tig00000206	True	True	NA	NA
N215_BC07_tig00000360	False	True	NA	NA
N215_BC07_tig00000367	False	True	NA	NA
N104_BC09_tig00000089	False	False	NA	NA
N179_BC03_tig00000062	False	True	NA	NA
N185_BC11_tig00002570	False	True	NA	NA
N116_BC05_tig00000006	True	False	NA	NA
N115_BC12_tig00000010	False	False	NA	NA
N121_BC10_tig00000018	False	True	NA	NA
N224_BC11_tig00003083	False	False	NA	NA
N224_BC11_tig00003084	True	False	NA	NA
N214_BC03_tig00000048	False	True	NA	NA
N214_BC03_tig00000140	False	True	NA	NA
N214_BC03_tig00000168	False	True	NA	NA
N214_BC03_tig00000261	False	False	NA	NA
N214_BC03_tig00000675	False	False	NA	NA
N214_BC03_tig00011169	False	False	NA	NA
