s_129	G_20	s_133	s_112	s_194	s_201	s_228	s_142	s_158	G_18	s_205	s_172	s_115	s_222	s_145	s_226	G_31	s_168	s_106	G_22	s_215	s_135	s_138	s_199	s_224	G_33	s_153	s_208	s_219	s_181	s_151	s_121	s_118	s_196	s_183	s_164	s_178	s_102	G_2	s_213	G_27	s_136	G_14	G_10	s_182	s_156	G_5	s_144	s_117	s_192	G_16	s_100	s_220	s_203	s_111	s_187	G_25	s_184	s_154	G_21	s_124	s_131	s_159	s_97	s_209	G_28	s_166	s_188	G_19	s_216	G_17	s_229	s_195	s_128	s_123	s_160	s_174	G_9	s_101	G_12	s_218	G_4	s_114	s_202	s_225	s_104	s_108	s_132	s_127	s_212	s_227	s_214	s_99	s_134	s_148	s_198	s_221	s_191	s_162	s_120	s_185	G_32	s_171	s_126	s_143	s_149	s_107	s_150	s_197	s_179	G_36	G_34	s_137	s_152	G_23	s_169	s_177	s_176	s_223	s_103	s_146	s_140	s_113	s_122	G_7	s_147	s_207	s_119	s_105	s_189	s_180	G_8	s_110	G_35	s_116	s_170	s_165	G_1	s_125	G_26	G_11	s_204	s_139	G_15	s_155	s_200	s_217	s_109	s_130	s_175	s_193	G_6	s_141	G_30	G_29	s_173	G_3	s_98	s_211	s_206	s_210	s_157	s_186	s_190	G_24	s_161	G_13
s_196 0.00001009 0.00734752 0.00000468 0.00764327 0.00001287 0.00726287 0.00713019 0.00725747 0.00000928 0.00730342 0.00745512 0.00747331 0.00001278 0.00713785 0.00000561 0.00718705 0.00720071 0.00028085 0.00722405 0.00729008 0.00740518 0.00005396 0.00725588 0.00725346 0.00725747 0.00722006 0.00708487 0.00721877 0.00000718 0.00734517 0.00723237 0.00001440 0.00001118 0 0.00743026 0.00723899 0.00755924 0.00722319 0.00737398 0.00758530 0.00720769 0.00005859 0.00725134 0.00739274 0.00734169 0.00738790 0.00722119 0.00721340 0.00000798 0.00763422 0.00728367 0.00001041 0.00000932 0.00001173 0.00758301 0.00723516 0.00730779 0.00741933 0.00721056 0.00724831 0.00699375 0.00001071 0.00000531 0.00000452 0.00731520 0.00725714 0.00028014 0.00720677 0.00726147 0.00000824 0.00721094 0.00730594 0.00716314 0.00000982 0.00714604 0.00720225 0.00735675 0.00720443 0.00000987 0.00723859 0.00735065 0.00723663 0.00001176 0.00724475 0.00715391 0.00000775 0.00770050 0.00000664 0.00723838 0.00721915 0.00717264 0.00734030 0.00001363 0.00005595 0.00001035 0.00005549 0.00001199 0.00757792 0.00647141 0.00001249 0.00792894 0.00723413 0.00742412 0.00000691 0.00726679 0.00000769 0.00734408 0.00001967 0.00001063 0.00734489 0.00730805 0.00726265 0.00005778 0.00721710 0.00716586 0.00745959 0.00751554 0.00723440 0.00715824 0.00000694 0.00001035 0.00722603 0.00763651 0.00000798 0.00721460 0.00000902 0.00706277 0.00001281 0.00000614 0.00753705 0.00733941 0.00729766 0.00757635 0.00733704 0.00000682 0.00745577 0.00725944 0.00738856 0.00000583 0.00720887 0.00734070 0.00678229 0.00726894 0.00723693 0.00740771 0.00765572 0.00730082 0.00748584 0.00000292 0.00721364 0.00001064 0.00728045 0.00724344 0.00719373 0.00723581 0.00737252 0.00739225 0.00001198 0.00754163 0.00725198 0.00743962 0.00726965 0.00723616 0.00001396 0.00724566 0.00703755 0.00718975
s_183 0.00741156 0.00746430 0.00756229 0.00383410 0.00744852 0.00745508 0.00675430 0.00742307 0.00740754 0.00743715 0.00360474 0.00700625 0.00743582 0.00757837 0.00741061 0.00704104 0.00744456 0.00732774 0.00695051 0.00750204 0.00000139 0.00738641 0.00742717 0.00745488 0.00745415 0.00744961 0.00661907 0.00677160 0.00745468 0.00312559 0.00742837 0.00741826 0.00742159 0.00743026 0 0.00742155 0.00765965 0.00692061 0.00752678 0.00771427 0.00743719 0.00739496 0.00744854 0.00695192 0.00312121 0.00702481 0.00743757 0.00741662 0.00741138 0.00383679 0.00749038 0.00711295 0.00744653 0.00741317 0.00325890 0.00743850 0.00744498 0.00000111 0.00676227 0.00747801 0.00663591 0.00741711 0.00741657 0.00743304 0.00709331 0.00746779 0.00733287 0.00743005 0.00746934 0.00743844 0.00744593 0.00692234 0.00691673 0.00741143 0.00674645 0.00741891 0.00335787 0.00745557 0.00743106 0.00744623 0.00366460 0.00745692 0.00742869 0.00744805 0.00757547 0.00743027 0.00774465 0.00741968 0.00743234 0.00741806 0.00676291 0.00313154 0.00741477 0.00739309 0.00740976 0.00745215 0.00744903 0.00326090 0.00608590 0.00743384 0.00802677 0.00748634 0.00753824 0.00741838 0.00742414 0.00740693 0.00704242 0.00770763 0.00744487 0.00313128 0.00751515 0.00748281 0.00738906 0.00741947 0.00744339 0.00753593 0.00763473 0.00742718 0.00759127 0.00742900 0.00741082 0.00742250 0.00382269 0.00741950 0.00740510 0.00742342 0.00659203 0.00742488 0.00743329 0.00769410 0.00313342 0.00749959 0.00325989 0.00748093 0.00728605 0.00754002 0.00742872 0.00754387 0.00741588 0.00744612 0.00749703 0.00741944 0.00742985 0.00745953 0.00682995 0.00325340 0.00361392 0.00730290 0.00741155 0.00741621 0.00745098 0.00749964 0.00741631 0.00743670 0.00744720 0.00365580 0.00695560 0.00742052 0.00767521 0.00743085 0.00753145 0.00742256 0.00743651 0.00745201 0.00747385 0.00658633 0.00743961
s_164 0.00719611 0.00108350 0.00718421 0.00749933 0.00723832 0.00000601 0.00740821 0.00000522 0.00720548 0.00008174 0.00740080 0.00738324 0.00723332 0.00743815 0.00716489 0.00744928 0.00007299 0.00700240 0.00745867 0.00009567 0.00741982 0.00719600 0.00000861 0.00000706 0.00000653 0.00007294 0.00739158 0.00759110 0.00724848 0.00744031 0.00000183 0.00720144 0.00720635 0.00723899 0.00742155 0 0.00733417 0.00745737 0.00097292 0.00734524 0.00007272 0.00721943 0.00011011 0.00730500 0.00743767 0.00755930 0.00007511 0.00000783 0.00720260 0.00748971 0.00010784 0.00699325 0.00722044 0.00720275 0.00745717 0.00000183 0.00008332 0.00741693 0.00758697 0.00011740 0.00734358 0.00722562 0.00721655 0.00725255 0.00755911 0.00007041 0.00699940 0.00000287 0.00009157 0.00722695 0.00008196 0.00748858 0.00741129 0.00721340 0.00747034 0.00000157 0.00734414 0.00008467 0.00723965 0.00007671 0.00741380 0.00008401 0.00725076 0.00000417 0.00741006 0.00721708 0.00755920 0.00720812 0.00000865 0.00000266 0.00738329 0.00743863 0.00719199 0.00720037 0.00720650 0.00722688 0.00724162 0.00746533 0.00675674 0.00722966 0.00779994 0.00010415 0.00722766 0.00723881 0.00000575 0.00719807 0.00758298 0.00736693 0.00723458 0.00744262 0.00014254 0.00007992 0.00718597 0.00000209 0.00007012 0.00722812 0.00732069 0.00000391 0.00743935 0.00723858 0.00719697 0.00000652 0.00750354 0.00719983 0.00007378 0.00724456 0.00739022 0.00722702 0.00725145 0.00732624 0.00743720 0.00007003 0.00742850 0.00011232 0.00708159 0.00722665 0.00000209 0.00102372 0.00725963 0.00007587 0.00097782 0.00004621 0.00000652 0.00009150 0.00769546 0.00757592 0.00734105 0.00712333 0.00719442 0.00000130 0.00724822 0.00007543 0.00000392 0.00007251 0.00009353 0.00741120 0.00724228 0.00720985 0.00732332 0.00000052 0.00722797 0.00000575 0.00000235 0.00723062 0.00007932 0.00736806 0.00007006
s_178 0.00756086 0.00738142 0.00770521 0.00775532 0.00756279 0.00729391 0.00764786 0.00729880 0.00756317 0.00731292 0.00774771 0.00768321 0.00759092 0.00766245 0.00756295 0.00759639 0.00726571 0.00749918 0.00775798 0.00738026 0.00765376 0.00754740 0.00732311 0.00729942 0.00729367 0.00729051 0.00752865 0.00750545 0.00755996 0.00759010 0.00733025 0.00755830 0.00757353 0.00755924 0.00765965 0.00733417 0 0.00775285 0.00749545 0.00000845 0.00726810 0.00755008 0.00729570 0.00755015 0.00758693 0.00786451 0.00725766 0.00733074 0.00756869 0.00775988 0.00732281 0.00726936 0.00755590 0.00756042 0.00780585 0.00728393 0.00735701 0.00764704 0.00757081 0.00734950 0.00756674 0.00755300 0.00757776 0.00755935 0.00787379 0.00730099 0.00752631 0.00728408 0.00732987 0.00755337 0.00733339 0.00773197 0.00764526 0.00756159 0.00766490 0.00729681 0.00767955 0.00732176 0.00757793 0.00734112 0.00757702 0.00733805 0.00758153 0.00728163 0.00766562 0.00759084 0.00776197 0.00755736 0.00737131 0.00727608 0.00766186 0.00758666 0.00757167 0.00755055 0.00756337 0.00755198 0.00756892 0.00779529 0.00683671 0.00756213 0.00800146 0.00730303 0.00764985 0.00755660 0.00730030 0.00756026 0.00799947 0.00767379 0.00756147 0.00758607 0.00737208 0.00734742 0.00754629 0.00733150 0.00726008 0.00765087 0.00000474 0.00733447 0.00766138 0.00754162 0.00756327 0.00733679 0.00778338 0.00756320 0.00729419 0.00757619 0.00750283 0.00758211 0.00758528 0.00000527 0.00758292 0.00733889 0.00773612 0.00736946 0.00740823 0.00765641 0.00729321 0.00753603 0.00758385 0.00728836 0.00748715 0.00725311 0.00729886 0.00729285 0.00769492 0.00787522 0.00748272 0.00740442 0.00755946 0.00733128 0.00755690 0.00731037 0.00734918 0.00727819 0.00730941 0.00755567 0.00755381 0.00757622 0.00000343 0.00728323 0.00762744 0.00730381 0.00727973 0.00754263 0.00729056 0.00744797 0.00725567
s_102 0.00722260 0.00759105 0.00736175 0.00699503 0.00722451 0.00745810 0.00419226 0.00745911 0.00722937 0.00746615 0.00703945 0.00450955 0.00722724 0.00756484 0.00721182 0.00000442 0.00744911 0.00704253 0.00000368 0.00749767 0.00692086 0.00722336 0.00745951 0.00745843 0.00746188 0.00746404 0.00455047 0.00417581 0.00722149 0.00732280 0.00745844 0.00722404 0.00722463 0.00722319 0.00692061 0.00745737 0.00775285 0 0.00744493 0.00777590 0.00746052 0.00722206 0.00746744 0.00761479 0.00732128 0.00359484 0.00745112 0.00746213 0.00721767 0.00695629 0.00748982 0.00694614 0.00722048 0.00721340 0.00696366 0.00745595 0.00748282 0.00692596 0.00415603 0.00747012 0.00334923 0.00722547 0.00721459 0.00718995 0.00382182 0.00745058 0.00704109 0.00745825 0.00746193 0.00721892 0.00745085 0.00326182 0.00387048 0.00722155 0.00312301 0.00745664 0.00664682 0.00745444 0.00720681 0.00745422 0.00667667 0.00746883 0.00722459 0.00745855 0.00756891 0.00721460 0.00770208 0.00722676 0.00747791 0.00743748 0.00418095 0.00731413 0.00720767 0.00722249 0.00722774 0.00722220 0.00722586 0.00696275 0.00400097 0.00722688 0.00787764 0.00749243 0.00733212 0.00720524 0.00746123 0.00722711 0.00000536 0.00734561 0.00722222 0.00732700 0.00750110 0.00745853 0.00721948 0.00745719 0.00743787 0.00733453 0.00774926 0.00746622 0.00756638 0.00721741 0.00722876 0.00746036 0.00699080 0.00722406 0.00745064 0.00722623 0.00454743 0.00722699 0.00722351 0.00775331 0.00732384 0.00747472 0.00695941 0.00750884 0.00722257 0.00732928 0.00745408 0.00745441 0.00722345 0.00746767 0.00742400 0.00739888 0.00745882 0.00746980 0.00398938 0.00711854 0.00656023 0.00720488 0.00722094 0.00746005 0.00721680 0.00746104 0.00746194 0.00746355 0.00747837 0.00667152 0.00763556 0.00719523 0.00775276 0.00745852 0.00733058 0.00745851 0.00745715 0.00722992 0.00746451 0.00454663 0.00745361
G_2 0.00733284 0.00194324 0.00744906 0.00756454 0.00737938 0.00096921 0.00739234 0.00096689 0.00733488 0.00099252 0.00750903 0.00741952 0.00737859 0.00746512 0.00731479 0.00744505 0.00097644 0.00710598 0.00744953 0.00100068 0.00753630 0.00730270 0.00096686 0.00096742 0.00096845 0.00098094 0.00730861 0.00761451 0.00734318 0.00739175 0.00096890 0.00733945 0.00734368 0.00737398 0.00752678 0.00097292 0.00749545 0.00744493 0 0.00750899 0.00098228 0.00732425 0.00102419 0.00731639 0.00740874 0.00755877 0.00097748 0.00097197 0.00734705 0.00757137 0.00101528 0.00711464 0.00738185 0.00734582 0.00750934 0.00096790 0.00098445 0.00751946 0.00756483 0.00102426 0.00728542 0.00735303 0.00738422 0.00738124 0.00712738 0.00097078 0.00716077 0.00097143 0.00101137 0.00735346 0.00098546 0.00755026 0.00747214 0.00734276 0.00749863 0.00097191 0.00740357 0.00099146 0.00738178 0.00098603 0.00739450 0.00098256 0.00738340 0.00096992 0.00738760 0.00735180 0.00766852 0.00732748 0.00097169 0.00098295 0.00742453 0.00740861 0.00734027 0.00730971 0.00733765 0.00731330 0.00733132 0.00750141 0.00675902 0.00734986 0.00794012 0.00101223 0.00726860 0.00736251 0.00096853 0.00733772 0.00756680 0.00761752 0.00732394 0.00740521 0.00103112 0.00097111 0.00729313 0.00097185 0.00097045 0.00726308 0.00755421 0.00097217 0.00744847 0.00736640 0.00734398 0.00096719 0.00755713 0.00734429 0.00098080 0.00736519 0.00731843 0.00735892 0.00738031 0.00749864 0.00739181 0.00098593 0.00749811 0.00101290 0.00721797 0.00727034 0.00096880 0.00012636 0.00738166 0.00098633 0.00008001 0.00103481 0.00097033 0.00100225 0.00777728 0.00759823 0.00733441 0.00733801 0.00734067 0.00096958 0.00735705 0.00097967 0.00097110 0.00097491 0.00100236 0.00739157 0.00732562 0.00735964 0.00748872 0.00096710 0.00726723 0.00096577 0.00097095 0.00734761 0.00100202 0.00727137 0.00096934
s_213 0.00757274 0.00742703 0.00771885 0.00773081 0.00758252 0.00733840 0.00770653 0.00731320 0.00757427 0.00736442 0.00775006 0.00770271 0.00759541 0.00770131 0.00757109 0.00764774 0.00730325 0.00749511 0.00778139 0.00740921 0.00770547 0.00755587 0.00733322 0.00734447 0.00731669 0.00733164 0.00755294 0.00755946 0.00758411 0.00761221 0.00735269 0.00756992 0.00757662 0.00758530 0.00771427 0.00734524 0.00000845 0.00777590 0.00750899 0 0.00732512 0.00755849 0.00735003 0.00760545 0.00761513 0.00789459 0.00730682 0.00734190 0.00757312 0.00774740 0.00736531 0.00727180 0.00758777 0.00759347 0.00782380 0.00731501 0.00740434 0.00770490 0.00759789 0.00739517 0.00756542 0.00756384 0.00759051 0.00755990 0.00722180 0.00735744 0.00752223 0.00734471 0.00738094 0.00758542 0.00738920 0.00778354 0.00768054 0.00757636 0.00766571 0.00730831 0.00767323 0.00737078 0.00758946 0.00737637 0.00760916 0.00736171 0.00759262 0.00729899 0.00770476 0.00759493 0.00780362 0.00756870 0.00738175 0.00730135 0.00770186 0.00763075 0.00757628 0.00755846 0.00757550 0.00755675 0.00759330 0.00781754 0.00688215 0.00757355 0.00811030 0.00735032 0.00766249 0.00756356 0.00731441 0.00757155 0.00799269 0.00766683 0.00757311 0.00761181 0.00741985 0.00740417 0.00755476 0.00734261 0.00731088 0.00766344 0.00000845 0.00735730 0.00769686 0.00755307 0.00757463 0.00734939 0.00775886 0.00756709 0.00735323 0.00758750 0.00752252 0.00758660 0.00758869 0.00000633 0.00761173 0.00737152 0.00781025 0.00741140 0.00741616 0.00766745 0.00731503 0.00756239 0.00759480 0.00733412 0.00751212 0.00724439 0.00730322 0.00732196 0.00772969 0.00791973 0.00752584 0.00740144 0.00757063 0.00733954 0.00757694 0.00734910 0.00735214 0.00733038 0.00737142 0.00756569 0.00759610 0.00757987 0.00000977 0.00730461 0.00766835 0.00731933 0.00733953 0.00756145 0.00734633 0.00747264 0.00730611
G_27 0.00720798 0.00104793 0.00715382 0.00750718 0.00721506 0.00007502 0.00740203 0.00007304 0.00720330 0.00006605 0.00737547 0.00736061 0.00721571 0.00738884 0.00717852 0.00750908 0.00005228 0.00706831 0.00746717 0.00007850 0.00743445 0.00721684 0.00007323 0.00007504 0.00007431 0.00005171 0.00736137 0.00759268 0.00721984 0.00741546 0.00007196 0.00721312 0.00722772 0.00720769 0.00743719 0.00007272 0.00726810 0.00746052 0.00098228 0.00732512 0 0.00721530 0.00009085 0.00733597 0.00743604 0.00759334 0.00005107 0.00007351 0.00721552 0.00750326 0.00009089 0.00695960 0.00720332 0.00718758 0.00747483 0.00007012 0.00006939 0.00742653 0.00755726 0.00009260 0.00730132 0.00720280 0.00722265 0.00722432 0.00712911 0.00005298 0.00709728 0.00007354 0.00006985 0.00721427 0.00005789 0.00753662 0.00752082 0.00722560 0.00754490 0.00007248 0.00738795 0.00006471 0.00721383 0.00005360 0.00741818 0.00006162 0.00721317 0.00007272 0.00739565 0.00721494 0.00754915 0.00720761 0.00007733 0.00007464 0.00739932 0.00744041 0.00721357 0.00722068 0.00720702 0.00721067 0.00721508 0.00747142 0.00672554 0.00721560 0.00784451 0.00008620 0.00727996 0.00721697 0.00007330 0.00720552 0.00758536 0.00732899 0.00720123 0.00744135 0.00012217 0.00005989 0.00720527 0.00007327 0.00004746 0.00727630 0.00730120 0.00007377 0.00741994 0.00720023 0.00720362 0.00007398 0.00751169 0.00721157 0.00005094 0.00720320 0.00739421 0.00721289 0.00721460 0.00727862 0.00741348 0.00004945 0.00747658 0.00009794 0.00708821 0.00727577 0.00007167 0.00104761 0.00721639 0.00004983 0.00099879 0.00011347 0.00007502 0.00007163 0.00772297 0.00758932 0.00735492 0.00722521 0.00720686 0.00007397 0.00722282 0.00005381 0.00007277 0.00005152 0.00007577 0.00742384 0.00736464 0.00721496 0.00725992 0.00007302 0.00727567 0.00007279 0.00007219 0.00720502 0.00005874 0.00734082 0.00004440
s_136 0.00006257 0.00731915 0.00006716 0.00759743 0.00005007 0.00722512 0.00716377 0.00723024 0.00006651 0.00723520 0.00745178 0.00740732 0.00005311 0.00712319 0.00007130 0.00719073 0.00719565 0.00028269 0.00722413 0.00723663 0.00739562 0.00000576 0.00722226 0.00723055 0.00722881 0.00721134 0.00706009 0.00718232 0.00005264 0.00734008 0.00722111 0.00005294 0.00005071 0.00005859 0.00739496 0.00721943 0.00755008 0.00722206 0.00732425 0.00755849 0.00721530 0 0.00724124 0.00736781 0.00733419 0.00732567 0.00721309 0.00722119 0.00005528 0.00756124 0.00729233 0.00005325 0.00004939 0.00006563 0.00758423 0.00721898 0.00722509 0.00737913 0.00718517 0.00723931 0.00701200 0.00006720 0.00006680 0.00004986 0.00730545 0.00721418 0.00028422 0.00722626 0.00724496 0.00005154 0.00719870 0.00716044 0.00715745 0.00007059 0.00720131 0.00722030 0.00720423 0.00718524 0.00004724 0.00723504 0.00731348 0.00722063 0.00005195 0.00722351 0.00711081 0.00005767 0.00770925 0.00007514 0.00723806 0.00719612 0.00716722 0.00733817 0.00005280 0.00000761 0.00006297 0.00000682 0.00005429 0.00754466 0.00714125 0.00005247 0.00780783 0.00720626 0.00741033 0.00005606 0.00723147 0.00006759 0.00733947 0.00008219 0.00006624 0.00733826 0.00724093 0.00719552 0.00000393 0.00722599 0.00715914 0.00741863 0.00751734 0.00722377 0.00713146 0.00005794 0.00006871 0.00722797 0.00758931 0.00005845 0.00722271 0.00007005 0.00708109 0.00005081 0.00005849 0.00753139 0.00733263 0.00723604 0.00756314 0.00723895 0.00005689 0.00741545 0.00721747 0.00733546 0.00006617 0.00720103 0.00729658 0.00682672 0.00722574 0.00722087 0.00735003 0.00765577 0.00725794 0.00743947 0.00006886 0.00722020 0.00005373 0.00725675 0.00723332 0.00717818 0.00720204 0.00730184 0.00736623 0.00005148 0.00751719 0.00722050 0.00741389 0.00723476 0.00721971 0.00005016 0.00724313 0.00705819 0.00718286
G_14 0.00720325 0.00109769 0.00718673 0.00753391 0.00724560 0.00011342 0.00742256 0.00010990 0.00720773 0.00010374 0.00739315 0.00739257 0.00725452 0.00745531 0.00717396 0.00747350 0.00009243 0.00700474 0.00747189 0.00012120 0.00745162 0.00721641 0.00011137 0.00011259 0.00011244 0.00009336 0.00741310 0.00761402 0.00721201 0.00745419 0.00011036 0.00719945 0.00721484 0.00725134 0.00744854 0.00011011 0.00729570 0.00746744 0.00102419 0.00735003 0.00009085 0.00724124 0 0.00740727 0.00747052 0.00764439 0.00009114 0.00011006 0.00721479 0.00754622 0.00011477 0.00698496 0.00724616 0.00722760 0.00749811 0.00011039 0.00010476 0.00744774 0.00764224 0.00013238 0.00735596 0.00722215 0.00725666 0.00726553 0.00717163 0.00008849 0.00706496 0.00010963 0.00010382 0.00721889 0.00009449 0.00757128 0.00753619 0.00721285 0.00756222 0.00011039 0.00740762 0.00010110 0.00724555 0.00008748 0.00744539 0.00010071 0.00724605 0.00011009 0.00740483 0.00723109 0.00756482 0.00720175 0.00011542 0.00010975 0.00743027 0.00747955 0.00721621 0.00722382 0.00720882 0.00724845 0.00721562 0.00744805 0.00677666 0.00722849 0.00785346 0.00011821 0.00730488 0.00725364 0.00011042 0.00720760 0.00759213 0.00738482 0.00720253 0.00747836 0.00015934 0.00009758 0.00721695 0.00010960 0.00008641 0.00730180 0.00733258 0.00011244 0.00742472 0.00723420 0.00720830 0.00011159 0.00754132 0.00720651 0.00008810 0.00724531 0.00745127 0.00722468 0.00725574 0.00729263 0.00745103 0.00008666 0.00744372 0.00012748 0.00710442 0.00730184 0.00011116 0.00108792 0.00726178 0.00009496 0.00104518 0.00015059 0.00011287 0.00011018 0.00775068 0.00762238 0.00737540 0.00724020 0.00720289 0.00011048 0.00723123 0.00009264 0.00011044 0.00008905 0.00011006 0.00742308 0.00735996 0.00723299 0.00727286 0.00010911 0.00730025 0.00010912 0.00010932 0.00721553 0.00008928 0.00739897 0.00008519
G_10 0.00740010 0.00490848 0.00753599 0.00791298 0.00739339 0.00727436 0.00700969 0.00735190 0.00739546 0.00737552 0.00773999 0.00747095 0.00740090 0.00768990 0.00733931 0.00750560 0.00727787 0.00718748 0.00761859 0.00732808 0.00696123 0.00736794 0.00735188 0.00727535 0.00727672 0.00730179 0.00673016 0.00738882 0.00740293 0.00728963 0.00730117 0.00739974 0.00740319 0.00739274 0.00695192 0.00730500 0.00755015 0.00761479 0.00731639 0.00760545 0.00733597 0.00736781 0.00740727 0 0.00729172 0.00766423 0.00726635 0.00733875 0.00741056 0.00792217 0.00738113 0.00711752 0.00740124 0.00733082 0.00727569 0.00738209 0.00733380 0.00693911 0.00737364 0.00732859 0.00742697 0.00739347 0.00740134 0.00740502 0.00719138 0.00732796 0.00718744 0.00730786 0.00736454 0.00740377 0.00733188 0.00781357 0.00762051 0.00740261 0.00772679 0.00729967 0.00760917 0.00730064 0.00739966 0.00734986 0.00747900 0.00725917 0.00739281 0.00738349 0.00767945 0.00740038 0.00777418 0.00739132 0.00730013 0.00739252 0.00700469 0.00728932 0.00739733 0.00736724 0.00739543 0.00736601 0.00739790 0.00723234 0.00677384 0.00739152 0.00792035 0.00736471 0.00753883 0.00739047 0.00735352 0.00739774 0.00777386 0.00731311 0.00738781 0.00728967 0.00735675 0.00733307 0.00736591 0.00730720 0.00728844 0.00753108 0.00753005 0.00734051 0.00770435 0.00739294 0.00739577 0.00731373 0.00792856 0.00740965 0.00728306 0.00738631 0.00675824 0.00740578 0.00740092 0.00755730 0.00729130 0.00732937 0.00723567 0.00735073 0.00724979 0.00756678 0.00738081 0.00736438 0.00738927 0.00731554 0.00726136 0.00732616 0.00731973 0.00729847 0.00755825 0.00734571 0.00745576 0.00736602 0.00740071 0.00730293 0.00740044 0.00732442 0.00734725 0.00730546 0.00730221 0.00765822 0.00006309 0.00739996 0.00754761 0.00733937 0.00756286 0.00735338 0.00735157 0.00740066 0.00735824 0.00671581 0.00729544
s_182 0.00732989 0.00749387 0.00737455 0.00290809 0.00733404 0.00746104 0.00703845 0.00746088 0.00732831 0.00744638 0.00250909 0.00736113 0.00733251 0.00762012 0.00731673 0.00730995 0.00743783 0.00724769 0.00731882 0.00745766 0.00312993 0.00733129 0.00746050 0.00746073 0.00746413 0.00745187 0.00708244 0.00702868 0.00733777 0.00000273 0.00744052 0.00733172 0.00732683 0.00734169 0.00312121 0.00743767 0.00758693 0.00732128 0.00740874 0.00761513 0.00743604 0.00733419 0.00747052 0.00729172 0 0.00736798 0.00745212 0.00744007 0.00733255 0.00291161 0.00747778 0.00706085 0.00734352 0.00731968 0.00257251 0.00745631 0.00745373 0.00312551 0.00701990 0.00747232 0.00708947 0.00732972 0.00733190 0.00732827 0.00727444 0.00742513 0.00724510 0.00745931 0.00745479 0.00733356 0.00743981 0.00729266 0.00725951 0.00733580 0.00713895 0.00743910 0.00262154 0.00745906 0.00733659 0.00744672 0.00284585 0.00747098 0.00733391 0.00746010 0.00762240 0.00732957 0.00774302 0.00733410 0.00743583 0.00743145 0.00703359 0.00000137 0.00732899 0.00732973 0.00733117 0.00734405 0.00733911 0.00257932 0.00625768 0.00733217 0.00801189 0.00746878 0.00747377 0.00733775 0.00746093 0.00733271 0.00750467 0.00722645 0.00733701 0.00000383 0.00747319 0.00743450 0.00732868 0.00743752 0.00742850 0.00747690 0.00758630 0.00744167 0.00761806 0.00733425 0.00733337 0.00743706 0.00291292 0.00732933 0.00745076 0.00733645 0.00706268 0.00733037 0.00733182 0.00759518 0.00000219 0.00744077 0.00257578 0.00748035 0.00718689 0.00747410 0.00746069 0.00742387 0.00733946 0.00745506 0.00737246 0.00734305 0.00746066 0.00746566 0.00712396 0.00253938 0.00281197 0.00739609 0.00733221 0.00743969 0.00733916 0.00743006 0.00744089 0.00744795 0.00745853 0.00284432 0.00729156 0.00732804 0.00759479 0.00745921 0.00744940 0.00746093 0.00745731 0.00733418 0.00744410 0.00704823 0.00740066
s_156 0.00736441 0.00774583 0.00754637 0.00767978 0.00737285 0.00756061 0.00293422 0.00759040 0.00737870 0.00762756 0.00736832 0.00192881 0.00736974 0.00754893 0.00732741 0.00339417 0.00760966 0.00716662 0.00357737 0.00764587 0.00702437 0.00732438 0.00758897 0.00756162 0.00756289 0.00759943 0.00343335 0.00488800 0.00737854 0.00736951 0.00759052 0.00736490 0.00737106 0.00738790 0.00702481 0.00755930 0.00786451 0.00359484 0.00755877 0.00789459 0.00759334 0.00732567 0.00764439 0.00766423 0.00736798 0 0.00760157 0.00759002 0.00737387 0.00769338 0.00762315 0.00713210 0.00738337 0.00735009 0.00695899 0.00755392 0.00763883 0.00702281 0.00488015 0.00765204 0.00294660 0.00736145 0.00737713 0.00736240 0.00432220 0.00760678 0.00715518 0.00756256 0.00762681 0.00737200 0.00758453 0.00473531 0.00250204 0.00736903 0.00341114 0.00755654 0.00734296 0.00760062 0.00736961 0.00757759 0.00741559 0.00761786 0.00736778 0.00759873 0.00754626 0.00736719 0.00770294 0.00736453 0.00761566 0.00754926 0.00293551 0.00736951 0.00736530 0.00732960 0.00736893 0.00733751 0.00737851 0.00699796 0.00444517 0.00736586 0.00791553 0.00758959 0.00743495 0.00736766 0.00759032 0.00736922 0.00394837 0.00753733 0.00737723 0.00737225 0.00767226 0.00760468 0.00732258 0.00759239 0.00759905 0.00743677 0.00786909 0.00755695 0.00755157 0.00737400 0.00737025 0.00758626 0.00768463 0.00736475 0.00762227 0.00737206 0.00341343 0.00736545 0.00737562 0.00786444 0.00736580 0.00760933 0.00699857 0.00763477 0.00721959 0.00743463 0.00755359 0.00758433 0.00737523 0.00760969 0.00749656 0.00747453 0.00753223 0.00759587 0.00518754 0.00696844 0.00733554 0.00725994 0.00736403 0.00755661 0.00737616 0.00762144 0.00751799 0.00761712 0.00763067 0.00741307 0.00769606 0.00736645 0.00786589 0.00755838 0.00743413 0.00755976 0.00755480 0.00738126 0.00760377 0.00340252 0.00758728
