Genome_ID	Nanopore_ID	Species	Sequence_size	N50	AR_gene_list	Genome_quality	Illumina_Library_ID	Sample_ID.x	Culturing_Sample_ID	Antibiotics	Sample_ID.y	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number
s_3255	N101_BC01	Enterococcus_faecalis	3232735	3200602	Aac6-Aph2;TetM;MphD;TetM;LsaA;	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	STREP	HMD007	Room_3	Door_Handle	Metal	Empty	2	Isolation_rooms	NA
s_5491	N101_BC02	Staphylococcus_epidermidis	2663775	2637276	DfrC;MECA;Aac6-Aph2;ErmC;Far1;DfrC;BlaZ;	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	TET	HMD007	Room_3	Door_Handle	Metal	Empty	2	Isolation_rooms	NA
s_3256	N101_BC02	Enterococcus_faecalis	3253552	2862219	TetM;TetM;Aac6-Aph2;TetM;MphD;LsaA;TetM;	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	TET	HMD007	Room_3	Door_Handle	Metal	Empty	2	Isolation_rooms	NA
s_3672	N101_BC03	Klebsiella_pneumoniae	5312798	755091	OqxB;OqxA;SHV-OKP-LEN;OXA-1;TetA;AacAad;StrA;CTX-M-1;TEM-1D;DfrA5;CatBx;SulII;QnrB;StrB;Aac3-IIa;AmpH;	HIGH_QUAL	WEE039	HMBR133	HMBR135	STREP	HMBR133	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_3673	N101_BC04	Klebsiella_pneumoniae	5667283	5298258	SHV-OKP-LEN;OqxB;AmpH;OqxA;DfrA1;TetA;Aph3Ia;SulIII;TEM-1D;Qnr-S;AadA;TetA;StrB;OXA-1;AacAad;CTX-M-1;StrA;DfrA5;CatBx;Aac3-IIa;FloR;SulII;QnrB;	HIGH_QUAL	WEE039	HMBR133	HMBR135	KAN	HMBR133	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_5492	N101_BC05	Staphylococcus_epidermidis	2296230	832252	DfrC;BlaZ;	HIGH_QUAL	WEE078	HMBL091	HMBL093	AMP	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_5945	N101_BC05	Staphylococcus_haemolyticus	2702116	950962	Far1;	HIGH_QUAL	WEE078	HMBL091	HMBL093	AMP	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_1841	N101_BC05	Bacillus_thuringiensis	2784073	35224		MEDIUM_QUAL	WEE078	HMBL091	HMBL093	AMP	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_3974	N101_BC06	Paenibacillus_xylanexedens	6514003	6153901		HIGH_QUAL	WEE078	HMBL091	HMBL093	STREP	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_5493	N101_BC07	Staphylococcus_epidermidis	2452101	152456	DfrC;Far1;BlaZ;MphC;MsrA;MECA;	HIGH_QUAL	WEE078	HMBL091	HMBL093	KAN	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_5946	N101_BC07	Staphylococcus_haemolyticus	2538353	2480720	MsrA;MsrA;	HIGH_QUAL	WEE078	HMBL091	HMBL093	KAN	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_5432	N101_BC08	Staphylococcus_cohnii	2674046	2647443		HIGH_QUAL	WEE078	HMBL091	HMBL093	CHLOR	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_3257	N101_BC11	Enterococcus_faecalis	3216180	2328387	TetM;Aac6-Aph2;MphD;LsaA;TetM;	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	AMP	HMD007	Room_3	Door_Handle	Metal	Empty	2	Isolation_rooms	NA
s_3258	N101_BC12	Enterococcus_faecalis	3219184	2868692	Aac6-Aph2;MphD;TetM;TetM;LsaA;TetM;	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	KAN	HMD007	Room_3	Door_Handle	Metal	Empty	2	Isolation_rooms	NA
s_5494	N101_BC12	Staphylococcus_epidermidis	2663968	2637467	MECA;DfrC;ErmC;Far1;Aac6-Aph2;DfrC;BlaZ;	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	KAN	HMD007	Room_3	Door_Handle	Metal	Empty	2	Isolation_rooms	NA
s_3259	N102_BC01	Enterococcus_faecalis	3228356	2871523	TetM;Aac6-Aph2;TetM;MphD;TetM;LsaA;	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	TET	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_5495	N102_BC01	Staphylococcus_epidermidis	2688921	2640174	DfrC;MECA;Aac6-Aph2;ErmC;Far1;DfrC;BlaZ;	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	TET	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_5433	N102_BC02	Staphylococcus_cohnii	2745620	2579547		HIGH_QUAL	WEE035	HMBL133_02	HMBL135_02	AMP	HMBL133	Room_5	Bedside_Locker	Wood	Moderate_(2-5)	2	Isolation_rooms	NA
s_5434	N102_BC03	Staphylococcus_cohnii	2638050	1588938		HIGH_QUAL	WEE035	HMBL133_02	HMBL135_02	CHLOR	HMBL133	Room_5	Bedside_Locker	Wood	Moderate_(2-5)	2	Isolation_rooms	NA
s_7007	N102_BC04	Staphylococcus_lugdunensis	2686817	843576	MECA;BlaZ;	HIGH_QUAL	WEE079	HMBL106	HMBL108	KAN	HMBL106	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	1
s_5148	N102_BC06	Staphylococcus_capitis	2632149	2463980	MECA;Aac6-Aph2;Far1;VgaA;	HIGH_QUAL	WEE332	HMCT052	HMCT054	KAN	HMCT052	Ward_4	Cardiac_Table	Metal_and_Wood	Low_(less_than_2)	1	MDRO_wards	3
s_6666	N102_BC09	Staphylococcus_hominis	2276073	2003283	MECA;	HIGH_QUAL	WEE078	HMBL091	HMBL093	TET	HMBL091	Ward_3	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_3260	N102_BC10	Enterococcus_faecalis	3242689	2879690	TetM;TetM;Aac6-Aph2;MphD;TetM;LsaA;TetM;	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	AMP	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_3261	N102_BC11	Enterococcus_faecalis	3231700	3199578	Aac6-Aph2;TetM;MphD;TetM;LsaA;	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	STREP	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_5497	N102_BC12	Staphylococcus_epidermidis	2678837	2652189	DfrC;Aac6-Aph2;MECA;MECA;ErmC;DfrC;Far1;BlaZ;	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	KAN	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_3262	N102_BC12	Enterococcus_faecalis	3256660	2878052	TetM;TetM;Aac6-Aph2;TetM;MphD;LsaA;TetM;	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	KAN	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_5498	N103_BC01	Staphylococcus_epidermidis	2514459	2489437	MphC;DfrC;MECA;Far1;MsrA;BlaZ;	HIGH_QUAL	WEE292	HMCT013	HMCT015	AMP	HMCT013	Ward_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_wards	5
s_5499	N103_BC02	Staphylococcus_epidermidis	2518920	2493854	MphC;MECA;DfrC;Far1;MsrA;BlaZ;	HIGH_QUAL	WEE292	HMCT013	HMCT015	KAN	HMCT013	Ward_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_wards	5
s_4671	N103_BC03	Staphylococcus_aureus	2893831	2832028	Aac3-Ik;MECA;Dha1;APH-Stph;Tet-38;BlaZ;NorA;Aac6-Aph2;	HIGH_QUAL	WEE292	HMCT013	HMCT015	TET	HMCT013	Ward_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_wards	5
s_7009	N103_BC04	Staphylococcus_lugdunensis	1500200	24622		MEDIUM_QUAL	WEE376	HMBL118	HMBL120	KAN	HMBL118	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_6667	N103_BC04	Staphylococcus_hominis	2298285	716311	MECA;DfrC;	HIGH_QUAL	WEE376	HMBL118	HMBL120	KAN	HMBL118	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_5951	N103_BC04	Staphylococcus_haemolyticus	2524813	59473	MphC;MsrA;Aph3-III;TetK;Sat4A;AadD;ErmC;BlaZ;LnuA;BlaZ;Aac6-Aph2;BlaZ;ErmC;AadD;Aac6-Aph2;BlaZ;	HIGH_QUAL	WEE376	HMBL118	HMBL120	KAN	HMBL118	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	5
s_5149	N103_BC05	Staphylococcus_capitis	2391600	1297405	AadD;ErmA;MECA;Spc;ErmA;	HIGH_QUAL	WEE242	HMBL052	HMBL054	CHLOR	HMBL052	Ward_4	Bedside_Locker	Wood	Low_(less_than_2)	1	MDRO_wards	3
s_5150	N103_BC06	Staphylococcus_capitis	2752447	2635210	Aac6-Aph2;ErmA;MECA;Spc;MECA;AadD;Aac6-Aph2;DfrC;	HIGH_QUAL	WEE242	HMBL052	HMBL054	KAN	HMBL052	Ward_4	Bedside_Locker	Wood	Low_(less_than_2)	1	MDRO_wards	3
s_5151	N103_BC07	Staphylococcus_capitis	2668562	2102197	MECA;Spc;AadD;ErmA;Spc;MECA;ErmA;TetK;	HIGH_QUAL	WEE242	HMBL052	HMBL054	TET	HMBL052	Ward_4	Bedside_Locker	Wood	Low_(less_than_2)	1	MDRO_wards	3
s_5152	N103_BC08	Staphylococcus_capitis	2690350	787824	Aac6-Aph2;MECA;	HIGH_QUAL	WEE162	HMBL076	HMBL078	KAN	HMBL076	Ward_2	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_5952	N103_BC08	Staphylococcus_haemolyticus	2551962	353981	Aac6-Aph2;TetK;Sat4A;	HIGH_QUAL	WEE162	HMBL076	HMBL078	KAN	HMBL076	Ward_2	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_6669	N103_BC09	Staphylococcus_hominis	2321139	666841	MphC;MsrA;MECA;DfrC;BlaZ;	HIGH_QUAL	WEE162	HMBL076	HMBL078	STREP	HMBL076	Ward_2	Bedside_Locker	Wood	Empty	1	Standard_wards	1
s_5953	N103_BC10	Staphylococcus_haemolyticus	2773930	1771307	MphC;MsrA;MECA;Aac6-Aph2;Dfr;BlaZ;BlaZ;	HIGH_QUAL	WEE094	HMCT109	HMCT111	KAN	HMCT109	Ward_4	Cardiac_Table	Metal	Low_(less_than_2)	1	Standard_wards	2
s_5954	N103_BC11	Staphylococcus_haemolyticus	2694455	1982468	MphC;Aac6-Aph2;MsrA;Aph3-III;BlaZ;MECA;Sat4A;Aac6-Aph2;	HIGH_QUAL	WEE094	HMCT109	HMCT111	STREP	HMCT109	Ward_4	Cardiac_Table	Metal	Low_(less_than_2)	1	Standard_wards	2
s_5955	N103_BC12	Staphylococcus_haemolyticus	2724387	792436	TetK;MECA;Dfr;BlaZ;Aac6-Aph2;MphC;MsrA;	HIGH_QUAL	WEE094	HMCT109	HMCT111	TET	HMCT109	Ward_4	Cardiac_Table	Metal	Low_(less_than_2)	1	Standard_wards	2
s_4674	N104_BC01	Staphylococcus_aureus	2940798	2842299	MECA;APH-Stph;BlaZ;TetK;Aac6-Aph2;Aac3-Ik;Tet-38;Dha1;NorA;	HIGH_QUAL	WEE038	HMBR130	HMBR132	AMP	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_4675	N104_BC03	Staphylococcus_aureus	2964699	2559858	Aac3-Ik;NorA;BlaZ;MECA;Aac6-Aph2;APH-Stph;TetK;Tet-38;Dha1;	HIGH_QUAL	WEE038	HMBR130	HMBR132	KAN	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_4206	N104_BC04	Pseudomonas_sp.	2228010	571047		MEDIUM_QUAL	WEE038	HMBR130	HMBR132	STREP	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_4676	N104_BC05	Staphylococcus_aureus	2702158	64542	Tet-38;BlaZ;Aac6-Aph2;Dha1;Aac3-Ik;NorA;APH-Stph;	HIGH_QUAL	WEE038	HMBR130	HMBR132	TET	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_2514	N104_BC06	Burkholderia_lata	1468945	29494		MEDIUM_QUAL	WEE028	HMA039	HMA041	AMP	HMA039	Room_4	Aerator	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_5957	N104_BC09	Staphylococcus_haemolyticus	1417268	20936		MEDIUM_QUAL	WEE299	HMP007	HMP009	AMP	HMP007	Ward_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_474	N104_BC09	Acinetobacter_pittii	2365692	118150	Mbl;	MEDIUM_QUAL	WEE299	HMP007	HMP009	AMP	HMP007	Ward_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_475	N104_BC10	Acinetobacter_pittii	3878715	3559325	Mbl;ADC;BlaA1;	HIGH_QUAL	WEE299	HMP007	HMP009	CHLOR	HMP007	Ward_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_5507	N104_BC11	Staphylococcus_epidermidis	2440920	1946166	DfrC;MECA;	HIGH_QUAL	WEE299	HMP007	HMP009	STREP	HMP007	Ward_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_5958	N104_BC12	Staphylococcus_haemolyticus	2524561	120336	Dfr;MECA;Aac6-Aph2;MphC;MsrA;	HIGH_QUAL	WEE299	HMP007	HMP009	TET	HMP007	Ward_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_4679	N104_BC12	Staphylococcus_aureus	2939995	461332	BlaZ;APH-Stph;NorA;Aac3-Ik;Tet-38;Dfr;Dha1;FosB;	HIGH_QUAL	WEE299	HMP007	HMP009	TET	HMP007	Ward_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_wards	NA
s_4003	N105_BC01	Plautia_stali	4277971	1048057		MEDIUM_QUAL	WEE106	HMBL115	HMBL117	AMP	HMBL115	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	4
s_5435	N105_BC02	Staphylococcus_cohnii	2628364	1301225		HIGH_QUAL	WEE106	HMBL115	HMBL117	CHLOR	HMBL115	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	4
s_5959	N105_BC03	Staphylococcus_haemolyticus	2768783	765147	MECA;Aph3-III;Sat4A;BlaZ;Aac6-Aph2;MphC;Aac6-Aph2;MsrA;	HIGH_QUAL	WEE106	HMBL115	HMBL117	KAN	HMBL115	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	4
s_7011	N105_BC03	Staphylococcus_lugdunensis	2551725	1266047	MECA;BlaZ;	HIGH_QUAL	WEE106	HMBL115	HMBL117	KAN	HMBL115	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	4
s_5960	N105_BC04	Staphylococcus_haemolyticus	2683000	2317208	BlaZ;Aph3-III;MECA;Aac6-Aph2;Aac6-Aph2;Sat4A;MphC;MsrA;	HIGH_QUAL	WEE106	HMBL115	HMBL117	STREP	HMBL115	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	4
s_6671	N105_BC05	Staphylococcus_hominis	2302347	1303196	MECA;BlaZ;	HIGH_QUAL	WEE106	HMBL115	HMBL117	TET	HMBL115	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	4
s_5961	N105_BC05	Staphylococcus_haemolyticus	2200543	44293	Aac6-Aph2;MphC;MsrA;MECA;BlaZ;	MEDIUM_QUAL	WEE106	HMBL115	HMBL117	TET	HMBL115	Ward_4	Bedside_Locker	Metal_and_Wood	Empty	1	Standard_wards	4
s_5508	N105_BC06	Staphylococcus_epidermidis	2618958	391065	DfrC;MECA;Aac6-Aph2;	HIGH_QUAL	WEE117	HMBL073_02	HMBL075_02	KAN	HMBL073	Ward_1	Bedside_Locker	Wood	Empty	2	Standard_wards	5
s_5962	N105_BC06	Staphylococcus_haemolyticus	2097222	46121	AadD;TetK;LnuA;	MEDIUM_QUAL	WEE117	HMBL073_02	HMBL075_02	KAN	HMBL073	Ward_1	Bedside_Locker	Wood	Empty	2	Standard_wards	5
s_4680	N105_BC06	Staphylococcus_aureus	1455541	17831	Tet-38;Aac3-Ik;Dha1;AadD;MECA;	MEDIUM_QUAL	WEE117	HMBL073_02	HMBL075_02	KAN	HMBL073	Ward_1	Bedside_Locker	Wood	Empty	2	Standard_wards	5
s_4681	N105_BC07	Staphylococcus_aureus	1844293	27539	Tet-38;Dha1;Aac3-Ik;	MEDIUM_QUAL	WEE117	HMBL073_02	HMBL075_02	TET	HMBL073	Ward_1	Bedside_Locker	Wood	Empty	2	Standard_wards	5
s_5963	N105_BC07	Staphylococcus_haemolyticus	2517235	175636	Aac6-Aph2;BlaZ;TetK;AadD;LnuA;TetK;	HIGH_QUAL	WEE117	HMBL073_02	HMBL075_02	TET	HMBL073	Ward_1	Bedside_Locker	Wood	Empty	2	Standard_wards	5
s_5509	N105_BC07	Staphylococcus_epidermidis	2362584	683461	DfrC;Far1;MECA;	HIGH_QUAL	WEE117	HMBL073_02	HMBL075_02	TET	HMBL073	Ward_1	Bedside_Locker	Wood	Empty	2	Standard_wards	5
s_5154	N105_BC08	Staphylococcus_capitis	2523370	2498261	Aac6-Aph2;MECA;Far1;	HIGH_QUAL	WEE366	HMD001	HMD003	AMP	HMD001	Room_1	Door_Handle	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
s_5155	N105_BC09	Staphylococcus_capitis	2530599	2505416	MECA;Aac6-Aph2;Far1;	HIGH_QUAL	WEE366	HMD001	HMD003	KAN	HMD001	Room_1	Door_Handle	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
s_5156	N105_BC10	Staphylococcus_capitis	2481544	2456848	MECA;Aac6-Aph2;	HIGH_QUAL	WEE366	HMD001	HMD003	TET	HMD001	Room_1	Door_Handle	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
s_5964	N105_BC11	Staphylococcus_haemolyticus	2689167	1343596	BlaZ;Aac6-Aph2;MECA;Dfr;	HIGH_QUAL	WEE103	HMBL085	HMBL087	AMP	HMBL085	Ward_2	Bedside_Locker	Wood	Empty	1	Standard_wards	4
s_5965	N105_BC12	Staphylococcus_haemolyticus	2844800	116595	Aph3-III;BlaZ;MECA;Aac6-Aph2;MphC;Aac6-Aph2;MsrA;	MEDIUM_QUAL	WEE103	HMBL085	HMBL087	KAN	HMBL085	Ward_2	Bedside_Locker	Wood	Empty	1	Standard_wards	4
s_23	N106_BC01	Achromobacter_sp.	6629077	6563315		HIGH_QUAL	WEE074	HMA004_02	HMA006_02	TET	HMA004	Ward_2	Aerator	Metal	Empty	2	MDRO_wards	NA
s_191	N106_BC02	Acinetobacter_baumannii	3929450	3890418	OXA-23;MsrE;OXA-23;OXA-51;CARB-5;ArmA;MphE;Zn-dependent;Mbl;BlaA2;ADC;ADC;BlaA1;	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	CHLOR	HMBR019	Ward_2	Bed_Rail	Metal	Empty	2	MDRO_wards	2
s_192	N106_BC03	Acinetobacter_baumannii	3921609	3882655	CARB-5;OXA-23;OXA-23;OXA-51;ArmA;MsrE;MphE;BlaA2;Zn-dependent;Mbl;ADC;ADC;BlaA1;	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	KAN	HMBR019	Ward_2	Bed_Rail	Metal	Empty	2	MDRO_wards	2
s_3264	N106_BC04	Enterococcus_faecalis	2050300	107529	TetM;LsaA;MphD;	MEDIUM_QUAL	WEE062	HMBR019_02	HMBR021_02	TET	HMBR019	Ward_2	Bed_Rail	Metal	Empty	2	MDRO_wards	2
s_193	N106_BC04	Acinetobacter_baumannii	3920693	3881749	MsrE;OXA-23;ArmA;OXA-23;OXA-51;MphE;CARB-5;Mbl;BlaA2;Zn-dependent;ADC;ADC;BlaA1;	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	TET	HMBR019	Ward_2	Bed_Rail	Metal	Empty	2	MDRO_wards	2
s_4392	N106_BC05	Serratia_marcescens	5578022	5522668	Tet-41;SRT-SST;Aac6-Ic;	MEDIUM_QUAL	WEE056	HMST039	HMST041	STREP	HMST039	Room_4	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
