Sample_ID	Site	Library	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number
HMD004	WEE245	WEE245	Room_2	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
HMD004	WEE386	WEE386	Room_2	Door_handle-interior	Metal	Empty	1	Isolation_rooms	NA
HMD001	WEE045	WEE045	Room_1	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
HMD001	WEE366	WEE366	Room_1	Door_handle-interior	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
HMCT133	WEE044	WEE044	Room_5	Cardiac_Table	Metal_and_Wood	Moderate_(2-5)	2	Isolation_rooms	NA
HMCT133	WEE153	WEE153	Room_5	Cardiac_Table	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
HMCT130	WEE171	WEE171	Room_4	Cardiac_Table	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
HMCT130	WEE273	WEE273	Room_4	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
HMCT127	WEE043	WEE043	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
HMCT127	WEE150	WEE150	Room_3	Cardiac_Table	Metal	Empty	1	Isolation_rooms	NA
HMCT124	WEE147	WEE147	Room_2	Cardiac_Table	Metal	Empty	1	Isolation_rooms	NA
HMCT124	WEE372	WEE372	Room_2	Cardiac_Table	Metal	Empty	2	Isolation_rooms	NA
HMCT121	WEE041	WEE041	Room_1	Cardiac_Table	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
HMCT121	WEE042	WEE042	Room_1	Cardiac_Table	Plastic_and_Wood	Empty	2	Isolation_rooms	NA
HMCT118	WEE205	WEE205	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	5
HMCT118	WEE357	WEE357	Cubicle_4	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	5
HMCT115	WEE116	WEE116	Cubicle_4	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	4
HMCT115	WEE328	WEE328	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	4
HMCT112	WEE324	WEE324	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	3
HMCT112	WEE378	WEE378	Cubicle_4	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	3
HMCT109	WEE094	WEE094	Cubicle_4	Cardiac_Table	Metal	Low_(less_than_2)	1	Non-cohort_cubicles	2
HMCT109	WEE210	WEE210	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	2
HMCT106	WEE211	WEE211	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	1
HMCT106	WEE377	WEE377	Cubicle_4	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	1
HMCT103	WEE348	WEE348	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5
HMCT103	WEE384	WEE384	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	5
HMCT100	WEE115	WEE115	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
HMCT100	WEE343	WEE343	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	4
HMCT097	WEE102	WEE102	Cubicle_3	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	3
HMCT097	WEE341	WEE341	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	3
HMCT094	WEE093	WEE093	Cubicle_3	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2
HMCT094	WEE320	WEE320	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	2
HMCT091	WEE085	WEE085	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	1
HMCT091	WEE252	WEE252	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	1
HMCT088	WEE122	WEE122	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	5
HMCT088	WEE146	WEE146	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5
HMCT085	WEE114	WEE114	Cubicle_2	Cardiac_Table	Metal_and_Wood	Moderate_(2-5)	2	Non-cohort_cubicles	4
HMCT085	WEE164	WEE164	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
HMCT082	WEE121	WEE121	Cubicle_2	Cardiac_Table	Metal	Empty	2	Non-cohort_cubicles	3
HMCT082	WEE163	WEE163	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	3
HMCT079	WEE092	WEE092	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	2
HMCT079	WEE136	WEE136	Cubicle_2	Cardiac_Table	Metal_and_Wood	Low_(less_than_2)	2	Non-cohort_cubicles	2
HMCT076	WEE149	WEE149	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	Non-cohort_cubicles	1
HMCT076	WEE180	WEE180	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	1
HMCT073	WEE179	WEE179	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	5
HMCT073	WEE382	WEE382	Cubicle_1	Cardiac_Table	Metal	Empty	2	Non-cohort_cubicles	5
HMCT070	WEE112	WEE112	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	4
HMCT070	WEE113	WEE113	Cubicle_1	Cardiac_Table	Metal_and_Wood	Low_(less_than_2)	2	Non-cohort_cubicles	4
HMCT067	WEE101	WEE101	Cubicle_1	Cardiac_Table	Metal	Empty	2	Non-cohort_cubicles	3
HMCT067	WEE182	WEE182	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	3
HMCT064	WEE148	WEE148	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2
HMCT064	WEE170	WEE170	Cubicle_1	Cardiac_Table	Metal	Empty	2	Non-cohort_cubicles	2
HMCT061	WEE084	WEE084	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	1
HMCT061	WEE195	WEE195	Cubicle_1	Cardiac_Table	Metal	Empty	2	Non-cohort_cubicles	1
HMCT058	WEE231	WEE231	Cubicle_4	Cardiac_Table	Plastic_and_Wood	Empty	2	MDRO_cubicles	5
HMCT058	WEE267	WEE267	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	5
HMCT055	WEE257	WEE257	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	4
HMCT055	WEE293	WEE293	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	4
HMCT052	WEE236	WEE236	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	3
HMCT052	WEE332	WEE332	Cubicle_4	Cardiac_Table	Metal_and_Wood	Low_(less_than_2)	1	MDRO_cubicles	3
HMCT049	WEE251	WEE251	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2
HMCT049	WEE263	WEE263	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
HMCT046	WEE203	WEE203	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	1
HMCT046	WEE319	WEE319	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1
HMCT043	WEE229	WEE229	Cubicle_3	Cardiac_Table	Metal	Low_(less_than_2)	2	MDRO_cubicles	5
HMCT043	WEE288	WEE288	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	5
HMCT040	WEE202	WEE202	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	4
HMCT040	WEE289	WEE289	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	4
HMCT037	WEE250	WEE250	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	3
HMCT037	WEE317	WEE317	Cubicle_3	Cardiac_Table	Metal	Empty	1	MDRO_cubicles	3
HMCT034	WEE207	WEE207	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
HMCT034	WEE224	WEE224	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2
HMCT031	WEE204	WEE204	Cubicle_3	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	1
HMCT031	WEE255	WEE255	Cubicle_3	Cardiac_Table	Plastic	Empty	1	MDRO_cubicles	1
HMCT028	WEE073	WEE073	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	5
HMCT028	WEE313	WEE313	Cubicle_2	Cardiac_Table	Metal	Moderate_(2-5)	1	MDRO_cubicles	5
HMCT025	WEE069	WEE069	Cubicle_2	Cardiac_Table	Metal_and_Wood	Moderate_(2-5)	2	MDRO_cubicles	4
HMCT025	WEE268	WEE268	Cubicle_2	Cardiac_Table	Wood	Empty	1	MDRO_cubicles	4
HMCT022	WEE066	WEE066	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	3
HMCT022	WEE312	WEE312	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	3
HMCT019	WEE063	WEE063	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
HMCT019	WEE295	WEE295	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2
HMCT016	WEE060	WEE060	Cubicle_2	Cardiac_Table	Metal	Empty	2	MDRO_cubicles	1
HMCT016	WEE301	WEE301	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1
HMCT013	WEE173	WEE173	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	5
HMCT013	WEE292	WEE292	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	5
HMCT010	WEE176	WEE176	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	4
HMCT010	WEE279	WEE279	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	4
HMCT007	WEE174	WEE174	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	3
HMCT007	WEE314	WEE314	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	3
HMCT004	WEE144	WEE144	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2
HMCT004	WEE262	WEE262	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2
HMCT001	WEE175	WEE175	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	1
HMCT001	WEE304	WEE304	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1
HMBR133	WEE039	WEE039	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
HMBR133	WEE040	WEE040	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	2	Isolation_rooms	NA
HMBR130	WEE038	WEE038	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
HMBR130	WEE218	WEE218	Room_4	Bed_Rail	Plastic	Empty	2	Isolation_rooms	NA
HMBR127	WEE037	WEE037	Room_3	Bed_Rail	Plastic	Empty	2	Isolation_rooms	NA
HMBR127	WEE151	WEE151	Room_3	Bed_Rail	Plastic	Empty	1	Isolation_rooms	NA
HMBR124	WEE238	WEE238	Room_2	Bed_Rail	Plastic	Empty	2	Isolation_rooms	NA
HMBR124	WEE381	WEE381	Room_2	Bed_Rail	Plastic	Empty	1	Isolation_rooms	NA
HMBR121	WEE036	WEE036	Room_1	Bed_Rail	Metal	Empty	2	Isolation_rooms	NA
HMBR121	WEE157	WEE157	Room_1	Bed_Rail	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
HMBR118	WEE360	WEE360	Cubicle_4	Bed_Rail	Plastic	Empty	1	Non-cohort_cubicles	5
HMBR118	WEE373	WEE373	Cubicle_4	Bed_Rail	Plastic	Empty	2	Non-cohort_cubicles	5
HMBR115	WEE111	WEE111	Cubicle_4	Bed_Rail	Plastic	Empty	1	Non-cohort_cubicles	4
HMBR115	WEE253	WEE253	Cubicle_4	Bed_Rail	Plastic	Empty	2	Non-cohort_cubicles	4
HMBR112	WEE100	WEE100	Cubicle_4	Bed_Rail	Plastic	Empty	1	Non-cohort_cubicles	3
HMBR112	WEE334	WEE334	Cubicle_4	Bed_Rail	Plastic	Empty	2	Non-cohort_cubicles	3
HMBR109	WEE091	WEE091	Cubicle_4	Bed_Rail	Plastic	Low_(less_than_2)	1	Non-cohort_cubicles	2
HMBR109	WEE222	WEE222	Cubicle_4	Bed_Rail	Plastic	Empty	2	Non-cohort_cubicles	2
HMBR106	WEE083	WEE083	Cubicle_4	Bed_Rail	Plastic	Empty	1	Non-cohort_cubicles	1
HMBR106	WEE213	WEE213	Cubicle_4	Bed_Rail	Plastic	Empty	2	Non-cohort_cubicles	1
HMBR103	WEE339	WEE339	Cubicle_3	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	5
HMBR103	WEE345	WEE345	Cubicle_3	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	5
HMBR100	WEE110	WEE110	Cubicle_3	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4
HMBR100	WEE189	WEE189	Cubicle_3	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	4
HMBR097	WEE099	WEE099	Cubicle_3	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	3
HMBR097	WEE321	WEE321	Cubicle_3	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	3
HMBR094	WEE090	WEE090	Cubicle_3	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	2
HMBR094	WEE325	WEE325	Cubicle_3	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	2
HMBR091	WEE082	WEE082	Cubicle_3	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	1
HMBR091	WEE374	WEE374	Cubicle_3	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	1
HMBR088	WEE126	WEE126	Cubicle_2	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	5
HMBR088	WEE361	WEE361	Cubicle_2	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	5
HMBR085	WEE108	WEE108	Cubicle_2	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4
HMBR085	WEE109	WEE109	Cubicle_2	Bed_Rail	Metal	Moderate_(2-5)	2	Non-cohort_cubicles	4
HMBR082	WEE130	WEE130	Cubicle_2	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	3
HMBR082	WEE160	WEE160	Cubicle_2	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	3
HMBR079	WEE089	WEE089	Cubicle_2	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	2
HMBR079	WEE129	WEE129	Cubicle_2	Bed_Rail	Metal	Low_(less_than_2)	2	Non-cohort_cubicles	2
HMBR076	WEE081	WEE081	Cubicle_2	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	1
HMBR076	WEE127	WEE127	Cubicle_2	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	1
HMBR073	WEE138	WEE138	Cubicle_1	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	5
HMBR073	WEE161	WEE161	Cubicle_1	Bed_Rail	Plastic	Empty	1	Non-cohort_cubicles	5
HMBR070	WEE107	WEE107	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4
HMBR070	WEE132	WEE132	Cubicle_1	Bed_Rail	Metal	Low_(less_than_2)	2	Non-cohort_cubicles	4
HMBR067	WEE097	WEE097	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	3
HMBR067	WEE098	WEE098	Cubicle_1	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	3
HMBR064	WEE184	WEE184	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	2
HMBR064	WEE197	WEE197	Cubicle_1	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	2
HMBR061	WEE080	WEE080	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	1
HMBR061	WEE193	WEE193	Cubicle_1	Bed_Rail	Metal	Empty	2	Non-cohort_cubicles	1
HMBR058	WEE244	WEE244	Cubicle_4	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	5
HMBR058	WEE260	WEE260	Cubicle_4	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	5
HMBR055	WEE239	WEE239	Cubicle_4	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	4
HMBR055	WEE270	WEE270	Cubicle_4	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	4
HMBR052	WEE187	WEE187	Cubicle_4	Bed_Rail	Plastic	Low_(less_than_2)	1	MDRO_cubicles	3
HMBR052	WEE285	WEE285	Cubicle_4	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	3
HMBR049	WEE226	WEE226	Cubicle_4	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	2
HMBR049	WEE243	WEE243	Cubicle_4	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	2
HMBR046	WEE225	WEE225	Cubicle_4	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	1
HMBR046	WEE256	WEE256	Cubicle_4	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	1
HMBR043	WEE216	WEE216	Cubicle_3	Bed_Rail	Plastic	Low_(less_than_2)	2	MDRO_cubicles	5
HMBR043	WEE259	WEE259	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	5
HMBR040	WEE206	WEE206	Cubicle_3	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	4
HMBR040	WEE208	WEE208	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	4
HMBR037	WEE200	WEE200	Cubicle_3	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	3
HMBR037	WEE275	WEE275	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	3
HMBR034	WEE221	WEE221	Cubicle_3	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	2
HMBR034	WEE294	WEE294	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	2
HMBR031	WEE185	WEE185	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	1
HMBR031	WEE227	WEE227	Cubicle_3	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	1
HMBR028	WEE072	WEE072	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	5
HMBR028	WEE302	WEE302	Cubicle_2	Bed_Rail	Metal	Moderate_(2-5)	1	MDRO_cubicles	5
HMBR025	WEE068	WEE068	Cubicle_2	Bed_Rail	Metal	Moderate_(2-5)	2	MDRO_cubicles	4
HMBR025	WEE306	WEE306	Cubicle_2	Bed_Rail	Metal	Empty	1	MDRO_cubicles	4
HMBR022	WEE065	WEE065	Cubicle_2	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	3
HMBR022	WEE303	WEE303	Cubicle_2	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	3
HMBR019	WEE062	WEE062	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
HMBR019	WEE305	WEE305	Cubicle_2	Bed_Rail	Metal	Empty	1	MDRO_cubicles	2
HMBR016	WEE059	WEE059	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	1
HMBR016	WEE296	WEE296	Cubicle_2	Bed_Rail	Metal	Empty	1	MDRO_cubicles	1
HMBR013	WEE145	WEE145	Cubicle_1	Bed_Rail	Metal	Empty	2	MDRO_cubicles	5
HMBR013	WEE271	WEE271	Cubicle_1	Bed_Rail	Metal	Empty	1	MDRO_cubicles	5
HMBR010	WEE169	WEE169	Cubicle_1	Bed_Rail	Metal	Empty	2	MDRO_cubicles	4
HMBR010	WEE281	WEE281	Cubicle_1	Bed_Rail	Metal	Empty	1	MDRO_cubicles	4
HMBR007	WEE154	WEE154	Cubicle_1	Bed_Rail	Metal	Empty	2	MDRO_cubicles	3
HMBR007	WEE309	WEE309	Cubicle_1	Bed_Rail	Metal	Empty	1	MDRO_cubicles	3
HMBR004	WEE192	WEE192	Cubicle_1	Bed_Rail	Plastic	Empty	2	MDRO_cubicles	2
